*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1T6B_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/1T6B/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1T6B_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 17816 | -2.98 | 2299.40 |     0 |     0 |     0 |  409.98 |    0.00 |    0.00 |     0 | 0.00 || -2.05204 0.10123 2.65388 32.98318 -4.44185 57.95415
   2 | 15868 | -3.78 | 2308.40 |     0 |     0 |     0 |  347.08 |    0.00 |    0.00 |     0 | 0.00 || -1.92867 -0.17463 -2.51697 42.91238 19.13978 65.32110
   3 | 15666 | -2.89 | 2202.10 |     0 |     0 |     0 |  322.12 |    0.00 |    0.00 |     0 | 0.00 || -0.31484 0.10225 -0.10533 -2.03670 11.50360 71.32899
   4 | 15394 | -4.10 | 2455.40 |     0 |     0 |     0 |  438.79 |    0.00 |    0.00 |     0 | 0.00 || -2.88336 0.99989 -2.76703 20.16961 20.37342 -1.91336
   5 | 14872 | -3.79 | 2233.80 |     0 |     0 |     0 |  485.95 |    0.00 |    0.00 |     0 | 0.00 || 1.28761 -0.46175 -2.88379 37.52912 33.96173 63.57508
   6 | 14502 | -3.50 | 2336.00 |     0 |     0 |     0 |  451.41 |    0.00 |    0.00 |     0 | 0.00 || 0.88251 -0.14208 2.35741 43.30184 9.19487 58.82783
   7 | 14490 | -3.05 | 1904.20 |     0 |     0 |     0 |  478.64 |    0.00 |    0.00 |     0 | 0.00 || 2.37718 0.93172 2.73815 59.01844 -9.27706 10.17454
   8 | 14052 | -3.07 | 1981.50 |     0 |     0 |     0 |  334.59 |    0.00 |    0.00 |     0 | 0.00 || -0.64953 0.04805 0.51965 -6.51111 17.33322 38.60249
   9 | 13952 | -3.21 | 1904.30 |     0 |     0 |     0 |  456.00 |    0.00 |    0.00 |     0 | 0.00 || 1.58709 1.01477 0.99254 72.33395 25.32662 9.85875
  10 | 13888 | -3.68 | 2400.70 |     0 |     0 |     0 |  385.97 |    0.00 |    0.00 |     0 | 0.00 || -0.07408 0.54982 0.90724 12.12139 -8.71271 59.19933
