*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1US7_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/1US7/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1US7_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 13608 | -3.11 | 1932.80 |     0 |     0 |     0 |  404.31 |    0.00 |    0.00 |     0 | 0.00 || -0.76938 0.72622 1.62491 67.30246 -29.46302 26.96556
   2 | 12730 | -2.99 | 1648.30 |     0 |     0 |     0 |  324.07 |    0.00 |    0.00 |     0 | 0.00 || 0.59222 -0.99304 1.17645 114.17658 18.35419 50.40889
   3 | 12702 | -3.56 | 2076.40 |     0 |     0 |     0 |  363.00 |    0.00 |    0.00 |     0 | 0.00 || -1.86442 -0.42060 2.70716 68.78801 17.17405 45.67672
   4 | 12008 | -3.31 | 1870.00 |     0 |     0 |     0 |  313.37 |    0.00 |    0.00 |     0 | 0.00 || -2.81198 0.40162 1.07559 -15.00674 44.79593 -45.25099
   5 | 11698 | -3.17 | 1661.70 |     0 |     0 |     0 |  427.45 |    0.00 |    0.00 |     0 | 0.00 || -0.59272 0.53905 -2.01269 59.64090 150.56834 42.26744
   6 | 11688 | -2.62 | 1494.50 |     0 |     0 |     0 |  251.77 |    0.00 |    0.00 |     0 | 0.00 || 1.45653 -0.91077 -0.78786 -36.30212 66.95429 10.34122
   7 | 11624 | -3.01 | 1743.00 |     0 |     0 |     0 |  -74.29 |    0.00 |    0.00 |     0 | 0.00 || -1.31264 -0.26286 -2.06889 90.05247 65.35793 54.04079
   8 | 11572 | -2.71 | 1693.90 |     0 |     0 |     0 |  238.51 |    0.00 |    0.00 |     0 | 0.00 || -1.68399 0.89596 2.60143 83.99583 -26.34862 -6.79113
   9 | 11532 | -3.52 | 2015.00 |     0 |     0 |     0 |  351.34 |    0.00 |    0.00 |     0 | 0.00 || 2.39243 -0.51606 -2.79619 126.86601 62.61700 -39.11132
  10 | 11498 | -2.96 | 1415.50 |     0 |     0 |     0 |  475.88 |    0.00 |    0.00 |     0 | 0.00 || -2.15993 0.63430 0.95756 -38.03406 60.00758 -1.13482
  11 | 11494 | -3.11 | 1628.00 |     0 |     0 |     0 |  488.06 |    0.00 |    0.00 |     0 | 0.00 || -0.30397 -0.00664 -0.39294 -13.56486 46.70231 69.13761
  12 | 11258 | -3.12 | 1694.70 |     0 |     0 |     0 |  475.28 |    0.00 |    0.00 |     0 | 0.00 || 1.28948 -0.80280 -1.62759 27.89789 130.73933 -11.18180
  13 | 11250 | -3.22 | 1607.20 |     0 |     0 |     0 |  446.79 |    0.00 |    0.00 |     0 | 0.00 || -0.09721 -0.59700 -2.43315 26.62674 105.53674 75.76685
  14 | 11204 | -3.24 | 1506.20 |     0 |     0 |     0 |  292.85 |    0.00 |    0.00 |     0 | 0.00 || 0.81968 1.11817 2.21041 111.87557 91.98012 -81.69572
  15 | 11134 | -3.39 | 1826.40 |     0 |     0 |     0 |  344.45 |    0.00 |    0.00 |     0 | 0.00 || 2.73354 -0.21368 -0.84032 30.70159 150.86966 -42.32741
  16 | 11100 | -3.09 | 1514.90 |     0 |     0 |     0 |  443.04 |    0.00 |    0.00 |     0 | 0.00 || 0.56466 -0.97719 -1.41948 -25.88140 65.23953 46.73131
  17 | 11088 | -2.91 | 1591.90 |     0 |     0 |     0 |  264.14 |    0.00 |    0.00 |     0 | 0.00 || -2.56585 1.33570 0.83046 0.94701 84.89859 -73.78885
  18 | 11062 | -3.23 | 1608.20 |     0 |     0 |     0 |  365.51 |    0.00 |    0.00 |     0 | 0.00 || 2.23390 0.37101 3.13624 73.55006 69.56262 -49.73862
  19 | 11040 | -2.84 | 1348.40 |     0 |     0 |     0 |  394.77 |    0.00 |    0.00 |     0 | 0.00 || -2.53557 0.06208 0.05230 9.26597 123.34807 -8.89389
  20 | 11026 | -4.23 | 1899.90 |     0 |     0 |     0 |  447.37 |    0.00 |    0.00 |     0 | 0.00 || -3.06843 -0.14624 -0.51621 38.39895 139.40233 -27.27861
  21 | 11026 | -3.23 | 1627.40 |     0 |     0 |     0 |  423.09 |    0.00 |    0.00 |     0 | 0.00 || -1.67386 -0.07806 2.18369 52.00811 16.88270 39.47258
  22 | 11022 | -4.00 | 1726.20 |     0 |     0 |     0 |  449.39 |    0.00 |    0.00 |     0 | 0.00 || 0.00296 1.09208 0.39043 7.93695 -14.81923 -21.15722
  23 | 10998 | -2.71 | 1361.20 |     0 |     0 |     0 |  477.25 |    0.00 |    0.00 |     0 | 0.00 || -0.01137 1.02152 -2.92519 110.11559 131.49240 -14.65956
  24 | 10956 | -3.65 | 1699.00 |     0 |     0 |     0 |  307.09 |    0.00 |    0.00 |     0 | 0.00 || 2.56814 -0.27120 2.33249 81.47769 -5.93443 -50.20119
  25 | 10950 | -3.49 | 1647.50 |     0 |     0 |     0 |  459.52 |    0.00 |    0.00 |     0 | 0.00 || -1.36138 1.41820 2.08712 53.36076 -21.69730 -41.20388
  26 | 10884 | -3.23 | 1438.90 |     0 |     0 |     0 |  452.27 |    0.00 |    0.00 |     0 | 0.00 || 2.08231 -0.49367 2.40538 115.46672 -4.30761 -45.00271
  27 | 10850 | -3.21 | 1411.30 |     0 |     0 |     0 |  441.78 |    0.00 |    0.00 |     0 | 0.00 || 0.21551 0.25264 2.46862 142.07208 67.67819 27.58179
  28 | 10818 | -2.85 | 1325.50 |     0 |     0 |     0 |  445.20 |    0.00 |    0.00 |     0 | 0.00 || -3.12248 -0.47480 -1.17384 75.09377 131.01630 -17.49678
  29 | 10698 | -3.04 | 1378.40 |     0 |     0 |     0 |  389.03 |    0.00 |    0.00 |     0 | 0.00 || 2.40792 0.56733 1.46135 16.12105 36.62708 -48.66505
  30 | 10686 | -3.18 | 1555.60 |     0 |     0 |     0 |  290.50 |    0.00 |    0.00 |     0 | 0.00 || 1.84118 -1.23199 2.49748 139.62250 34.03345 27.31291
  31 | 10652 | -3.31 | 1427.90 |     0 |     0 |     0 |  334.22 |    0.00 |    0.00 |     0 | 0.00 || 2.18920 -0.81288 -1.44590 39.56966 111.22762 3.25725
  32 | 10618 | -3.51 | 1648.80 |     0 |     0 |     0 |  462.24 |    0.00 |    0.00 |     0 | 0.00 || -0.72906 -1.04798 -0.32100 88.90621 35.40428 86.10374
  33 | 10568 | -3.00 | 1310.40 |     0 |     0 |     0 |  354.92 |    0.00 |    0.00 |     0 | 0.00 || -0.42022 -0.54313 1.21708 96.44049 6.69770 52.21356
  34 | 10558 | -3.08 | 1479.90 |     0 |     0 |     0 |  382.62 |    0.00 |    0.00 |     0 | 0.00 || -0.58081 -0.32738 -0.32335 25.78189 42.88223 89.01424
  35 | 10530 | -3.34 | 1753.30 |     0 |     0 |     0 |  426.53 |    0.00 |    0.00 |     0 | 0.00 || -0.43705 -1.13283 -1.18218 25.32495 32.60944 48.76036
  36 | 10522 | -3.65 | 1666.50 |     0 |     0 |     0 |  359.45 |    0.00 |    0.00 |     0 | 0.00 || 0.55057 1.08152 0.88464 96.53093 8.94373 -74.36894
  37 | 10482 | -2.64 | 1346.40 |     0 |     0 |     0 |  213.32 |    0.00 |    0.00 |     0 | 0.00 || 1.14288 0.60261 -1.09788 30.50211 68.52547 -57.62233
  38 | 10456 | -3.45 | 1565.50 |     0 |     0 |     0 |  446.81 |    0.00 |    0.00 |     0 | 0.00 || 1.03212 0.01949 -0.48385 -20.25741 15.54143 -20.55828
  39 | 10450 | -3.08 | 1511.60 |     0 |     0 |     0 |  436.84 |    0.00 |    0.00 |     0 | 0.00 || 1.22615 1.10403 -0.42808 36.10880 -8.07911 -60.33382
  40 | 10406 | -3.10 | 1363.60 |     0 |     0 |     0 |  318.52 |    0.00 |    0.00 |     0 | 0.00 || 2.61564 -1.05573 1.30154 30.43784 11.64651 17.83555
  41 | 10394 | -2.88 | 1239.10 |     0 |     0 |     0 |  436.13 |    0.00 |    0.00 |     0 | 0.00 || -0.14020 -0.83235 -1.06532 -2.79526 62.31555 48.93636
