*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1UUG_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/1UUG/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1UUG_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 11862 | -3.17 | 1595.50 |     0 |     0 |     0 |  319.41 |    0.00 |    0.00 |     0 | 0.00 || 2.35631 -1.05906 -0.22471 49.02629 58.68642 93.56435
   2 | 11576 | -2.81 | 1540.50 |     0 |     0 |     0 |  117.02 |    0.00 |    0.00 |     0 | 0.00 || -2.80187 0.03789 -1.34379 11.72704 56.46727 95.22305
   3 | 11556 | -3.77 | 1775.00 |     0 |     0 |     0 |  324.11 |    0.00 |    0.00 |     0 | 0.00 || 2.74761 -0.17512 -0.10398 -2.32675 46.45648 96.93042
   4 | 11454 | -2.75 | 1493.30 |     0 |     0 |     0 |  357.13 |    0.00 |    0.00 |     0 | 0.00 || 2.97054 0.11618 -0.13614 -19.72561 38.79239 87.20088
   5 | 11386 | -2.42 | 1398.10 |     0 |     0 |     0 |   49.37 |    0.00 |    0.00 |     0 | 0.00 || -0.70873 -0.97532 -1.18099 -31.56742 42.96130 60.11299
   6 | 11272 | -3.05 | 1468.40 |     0 |     0 |     0 |  164.55 |    0.00 |    0.00 |     0 | 0.00 || -0.78211 -0.80578 -1.91130 2.60832 80.05368 49.46684
   7 | 11242 | -2.55 | 1431.90 |     0 |     0 |     0 |  104.70 |    0.00 |    0.00 |     0 | 0.00 || 1.57464 -0.68708 -3.05742 67.74669 -35.96136 66.39717
   8 | 11234 | -2.94 | 1565.70 |     0 |     0 |     0 |  380.92 |    0.00 |    0.00 |     0 | 0.00 || -2.19046 0.15402 -1.50873 -12.41647 60.00702 75.68524
   9 | 11222 | -3.40 | 1584.70 |     0 |     0 |     0 |  387.46 |    0.00 |    0.00 |     0 | 0.00 || 1.28675 0.83330 -1.12696 71.44646 54.31322 4.68369
  10 | 11094 | -2.85 | 1628.00 |     0 |     0 |     0 |  -87.99 |    0.00 |    0.00 |     0 | 0.00 || -3.09278 -1.09381 0.39985 61.36701 33.02240 105.92093
  11 | 10994 | -3.00 | 1425.00 |     0 |     0 |     0 |  -46.62 |    0.00 |    0.00 |     0 | 0.00 || -3.09812 -0.65834 -0.15062 38.41119 17.38764 116.73268
  12 | 10816 | -2.78 | 1345.30 |     0 |     0 |     0 |  104.11 |    0.00 |    0.00 |     0 | 0.00 || -3.09981 -0.31399 -1.01333 21.77085 36.95149 110.35535
  13 | 10790 | -2.79 | 1310.40 |     0 |     0 |     0 |   63.70 |    0.00 |    0.00 |     0 | 0.00 || 2.10534 -0.28659 -2.79035 78.47322 -15.32834 84.18004
  14 | 10690 | -2.63 | 1253.30 |     0 |     0 |     0 |   62.26 |    0.00 |    0.00 |     0 | 0.00 || -1.24792 0.51866 1.78016 90.40708 3.40001 26.69900
  15 | 10666 | -3.17 | 1459.30 |     0 |     0 |     0 | -123.26 |    0.00 |    0.00 |     0 | 0.00 || -1.78269 -0.84850 -3.05315 37.12284 64.56786 90.63237
  16 | 10634 | -3.04 | 1450.40 |     0 |     0 |     0 |  169.76 |    0.00 |    0.00 |     0 | 0.00 || 1.06684 0.94017 -2.20606 51.03644 -5.55860 -5.06353
  17 | 10510 | -2.78 | 1421.00 |     0 |     0 |     0 |   97.15 |    0.00 |    0.00 |     0 | 0.00 || -0.08008 -1.37633 -1.18610 -10.75205 65.76869 70.32430
  18 | 10506 | -2.46 | 1239.40 |     0 |     0 |     0 |  245.63 |    0.00 |    0.00 |     0 | 0.00 || 0.46555 0.38066 2.51182 23.96848 5.54742 -18.27030
  19 | 10474 | -2.81 | 1474.70 |     0 |     0 |     0 |  176.17 |    0.00 |    0.00 |     0 | 0.00 || -2.18145 0.23240 -0.59520 -33.73320 8.27363 74.57533
  20 | 10362 | -2.80 | 1407.60 |     0 |     0 |     0 |   73.14 |    0.00 |    0.00 |     0 | 0.00 || 2.92696 -0.15840 -1.05435 38.75375 50.67120 103.89554
  21 | 10350 | -3.09 | 1522.30 |     0 |     0 |     0 | -426.70 |    0.00 |    0.00 |     0 | 0.00 || -1.75187 -0.02589 1.13932 58.38268 -11.23579 78.47334
  22 | 10350 | -2.58 | 1283.50 |     0 |     0 |     0 |  -31.22 |    0.00 |    0.00 |     0 | 0.00 || -1.05203 0.07175 0.05762 -0.41265 -38.02991 29.96301
  23 | 10330 | -3.15 | 1568.20 |     0 |     0 |     0 |  -16.09 |    0.00 |    0.00 |     0 | 0.00 || 2.90785 -0.66124 -0.18569 32.32412 38.15301 108.35333
  24 | 10306 | -3.13 | 1348.00 |     0 |     0 |     0 |  269.61 |    0.00 |    0.00 |     0 | 0.00 || 0.48063 -0.07029 1.47975 9.16532 -14.52509 -5.53064
  25 | 10200 | -3.45 | 1506.90 |     0 |     0 |     0 |  394.68 |    0.00 |    0.00 |     0 | 0.00 || 3.01848 0.25358 -2.09479 22.60573 45.83327 97.42607
  26 | 10172 | -2.90 | 1283.20 |     0 |     0 |     0 |  -79.10 |    0.00 |    0.00 |     0 | 0.00 || 2.38929 0.25468 2.45168 20.27764 -37.37807 63.53917
  27 | 10162 | -3.19 | 1506.40 |     0 |     0 |     0 |  363.64 |    0.00 |    0.00 |     0 | 0.00 || -1.38870 0.09267 -1.98489 -14.33330 70.65195 40.55101
  28 | 10114 | -2.87 | 1387.50 |     0 |     0 |     0 |  207.27 |    0.00 |    0.00 |     0 | 0.00 || -0.34255 0.22553 1.76845 61.18141 2.08271 -8.87209
  29 | 10102 | -2.84 | 1300.10 |     0 |     0 |     0 |  136.41 |    0.00 |    0.00 |     0 | 0.00 || -2.32150 1.12572 -0.79535 -14.36862 34.83601 59.05408
  30 | 10082 | -3.64 | 1486.70 |     0 |     0 |     0 |  285.91 |    0.00 |    0.00 |     0 | 0.00 || 1.87455 -0.53939 1.81827 -12.36045 15.22010 88.56906
  31 | 10072 | -2.61 | 1239.00 |     0 |     0 |     0 |  401.67 |    0.00 |    0.00 |     0 | 0.00 || 1.25567 0.72348 -1.65228 82.88449 31.58762 4.72603
  32 | 10064 | -3.22 | 1570.30 |     0 |     0 |     0 |  -49.09 |    0.00 |    0.00 |     0 | 0.00 || -1.83930 -0.23843 -2.25694 12.57584 70.53548 79.18746
  33 | 10064 | -3.66 | 1391.60 |     0 |     0 |     0 |  229.85 |    0.00 |    0.00 |     0 | 0.00 || 0.48075 0.53039 1.90680 4.07658 18.13750 -20.05384
  34 | 10056 | -2.85 | 1322.00 |     0 |     0 |     0 |  231.34 |    0.00 |    0.00 |     0 | 0.00 || 0.18019 0.48169 -0.85982 31.70630 39.66526 24.14520
  35 | 10054 | -3.36 | 1401.80 |     0 |     0 |     0 |  147.83 |    0.00 |    0.00 |     0 | 0.00 || 2.44925 0.17347 -3.13918 54.72124 6.79253 98.17517
  36 | 10008 | -2.99 | 1308.40 |     0 |     0 |     0 |  186.07 |    0.00 |    0.00 |     0 | 0.00 || 0.35583 -0.20399 2.87745 26.20306 -2.26333 28.91376
  37 |  9978 | -3.51 | 1540.00 |     0 |     0 |     0 |  257.06 |    0.00 |    0.00 |     0 | 0.00 || 1.12181 0.34163 2.57197 16.24945 -29.05109 3.88732
  38 |  9970 | -2.84 | 1301.10 |     0 |     0 |     0 |  148.85 |    0.00 |    0.00 |     0 | 0.00 || -1.80092 -0.11342 -1.80337 -13.42831 63.17513 71.11393
  39 |  9904 | -3.13 | 1638.00 |     0 |     0 |     0 | -187.31 |    0.00 |    0.00 |     0 | 0.00 || -2.02509 -0.97197 2.36140 55.75797 45.28946 98.41954
  40 |  9882 | -2.68 | 1279.90 |     0 |     0 |     0 |  113.94 |    0.00 |    0.00 |     0 | 0.00 || 2.78059 0.12703 1.79452 15.12511 -32.29081 93.40207
  41 |  9860 | -3.61 | 1569.80 |     0 |     0 |     0 |  128.44 |    0.00 |    0.00 |     0 | 0.00 || -0.86556 -0.12431 -2.14232 -0.50420 72.43237 21.47842
  42 |  9846 | -3.17 | 1379.30 |     0 |     0 |     0 |  349.20 |    0.00 |    0.00 |     0 | 0.00 || 1.65794 0.64618 -1.09547 64.44991 74.72903 22.09370
  43 |  9830 | -2.91 | 1455.70 |     0 |     0 |     0 |  162.54 |    0.00 |    0.00 |     0 | 0.00 || 2.72252 -0.48255 -0.22666 19.07823 48.66197 102.22675
  44 |  9828 | -3.22 | 1493.40 |     0 |     0 |     0 |  130.79 |    0.00 |    0.00 |     0 | 0.00 || 0.08263 0.53659 0.89850 16.17671 15.19225 -19.77266
  45 |  9750 | -2.61 | 1267.20 |     0 |     0 |     0 |  118.94 |    0.00 |    0.00 |     0 | 0.00 || -2.79265 0.44537 1.93501 61.69999 -33.31572 82.15923
  46 |  9746 | -2.88 | 1198.50 |     0 |     0 |     0 |   27.53 |    0.00 |    0.00 |     0 | 0.00 || -0.62120 0.57092 0.62392 29.94666 -15.26723 -7.88568
  47 |  9724 | -2.59 | 1205.20 |     0 |     0 |     0 |  407.85 |    0.00 |    0.00 |     0 | 0.00 || 0.02177 1.16688 0.01322 39.16569 43.86823 7.89399
  48 |  9682 | -3.59 | 1413.10 |     0 |     0 |     0 |  227.59 |    0.00 |    0.00 |     0 | 0.00 || -0.00008 -0.77276 0.91479 -26.95625 -14.67561 44.92852
  49 |  9680 | -3.17 | 1399.00 |     0 |     0 |     0 |  236.40 |    0.00 |    0.00 |     0 | 0.00 || -1.21793 1.21571 0.84666 67.05550 -12.79097 2.81338
  50 |  9666 | -2.86 | 1154.50 |     0 |     0 |     0 |   20.79 |    0.00 |    0.00 |     0 | 0.00 || 0.96518 -0.50009 1.86043 9.07180 -7.88275 12.98510
  51 |  9656 | -2.86 | 1301.70 |     0 |     0 |     0 |   25.50 |    0.00 |    0.00 |     0 | 0.00 || 2.17017 -0.16580 -2.90192 73.07700 -23.60381 82.33704
  52 |  9650 | -2.76 | 1118.10 |     0 |     0 |     0 |  103.81 |    0.00 |    0.00 |     0 | 0.00 || -3.11752 0.12998 0.63339 -16.20201 -6.96099 94.67480
  53 |  9632 | -2.57 | 1150.90 |     0 |     0 |     0 | -134.08 |    0.00 |    0.00 |     0 | 0.00 || 1.21957 -0.79121 1.24432 -37.86234 -6.68451 56.89653
  54 |  9586 | -2.96 | 1216.80 |     0 |     0 |     0 |  221.34 |    0.00 |    0.00 |     0 | 0.00 || 2.35251 0.63155 -2.79282 90.48714 -7.64490 51.98656
  55 |  9556 | -3.00 | 1233.90 |     0 |     0 |     0 |    1.31 |    0.00 |    0.00 |     0 | 0.00 || -1.30082 -0.03733 2.04261 71.43484 32.49490 55.06582
  56 |  9552 | -2.86 | 1355.90 |     0 |     0 |     0 |  223.14 |    0.00 |    0.00 |     0 | 0.00 || 0.26569 1.07617 0.48991 39.99949 44.03194 -15.71750
  57 |  9516 | -2.82 | 1187.80 |     0 |     0 |     0 |  179.57 |    0.00 |    0.00 |     0 | 0.00 || 1.87885 0.16723 -2.80414 85.13070 -16.67600 47.52985
  58 |  9512 | -2.78 | 1306.80 |     0 |     0 |     0 |  187.49 |    0.00 |    0.00 |     0 | 0.00 || 0.06022 -0.31683 0.51356 -2.98743 17.02979 40.03540
  59 |  9502 | -2.63 | 1271.60 |     0 |     0 |     0 |  -15.42 |    0.00 |    0.00 |     0 | 0.00 || -1.78808 0.18571 0.34596 4.01471 -41.99502 62.39736
  60 |  9482 | -2.74 | 1128.70 |     0 |     0 |     0 |   64.13 |    0.00 |    0.00 |     0 | 0.00 || 1.60089 0.04715 2.62403 17.29698 -43.80235 35.03482
  61 |  9470 | -3.17 | 1247.80 |     0 |     0 |     0 |   41.75 |    0.00 |    0.00 |     0 | 0.00 || 0.88353 -0.62810 3.01473 82.97824 -18.12058 43.32571
  62 |  9462 | -3.35 | 1354.40 |     0 |     0 |     0 |  420.41 |    0.00 |    0.00 |     0 | 0.00 || 2.65994 -0.27859 -3.06708 28.11521 19.79966 102.83351
  63 |  9428 | -3.02 | 1265.30 |     0 |     0 |     0 |  215.33 |    0.00 |    0.00 |     0 | 0.00 || 0.73071 0.37489 2.23383 7.38698 -7.79140 -12.18953
  64 |  9426 | -3.37 | 1521.20 |     0 |     0 |     0 | -118.58 |    0.00 |    0.00 |     0 | 0.00 || -2.74273 -0.48615 -0.60026 16.42224 3.37217 115.45590
  65 |  9424 | -3.12 | 1355.10 |     0 |     0 |     0 |  243.33 |    0.00 |    0.00 |     0 | 0.00 || 0.73251 -0.08124 0.06852 -18.06887 51.05363 37.99623
  66 |  9418 | -2.95 | 1144.90 |     0 |     0 |     0 |  475.61 |    0.00 |    0.00 |     0 | 0.00 || -2.84161 -0.47527 -0.50923 23.19464 11.30892 62.97263
