*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1VFB_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/1VFB/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1VFB_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 12124 | -2.85 | 1700.90 |     0 |     0 |     0 |  362.84 |    0.00 |    0.00 |     0 | 0.00 || -0.82373 -0.72544 -1.83867 32.20736 54.83109 10.90927
   2 | 12046 | -2.88 | 1632.40 |     0 |     0 |     0 |  442.35 |    0.00 |    0.00 |     0 | 0.00 || 2.73176 -1.24454 -2.06098 10.95999 26.12906 36.43251
   3 | 11808 | -2.91 | 1605.70 |     0 |     0 |     0 |  175.10 |    0.00 |    0.00 |     0 | 0.00 || -2.32872 -0.50752 1.27860 17.04984 -39.13686 9.05081
   4 | 11566 | -2.73 | 1416.40 |     0 |     0 |     0 |  444.23 |    0.00 |    0.00 |     0 | 0.00 || -2.78811 -0.37021 1.46219 65.87043 -44.48502 -10.24142
   5 | 11450 | -2.90 | 1381.50 |     0 |     0 |     0 |  318.30 |    0.00 |    0.00 |     0 | 0.00 || -0.65444 1.09660 0.84257 1.71193 8.41599 -61.23416
   6 | 11354 | -3.14 | 1447.70 |     0 |     0 |     0 |  237.89 |    0.00 |    0.00 |     0 | 0.00 || 0.52225 -0.71410 -0.88610 7.19432 57.19682 32.96656
   7 | 11308 | -2.82 | 1560.70 |     0 |     0 |     0 |  240.45 |    0.00 |    0.00 |     0 | 0.00 || -0.43217 0.35601 1.65016 8.95438 -33.23883 -35.19368
   8 | 11284 | -3.37 | 1511.70 |     0 |     0 |     0 |  396.62 |    0.00 |    0.00 |     0 | 0.00 || 1.25278 1.26927 -0.71279 -0.04855 30.43171 -52.33168
   9 | 11228 | -3.06 | 1642.00 |     0 |     0 |     0 |  365.37 |    0.00 |    0.00 |     0 | 0.00 || -1.46696 -0.29501 -1.74009 62.81469 52.48804 -25.79184
  10 | 11216 | -2.90 | 1479.30 |     0 |     0 |     0 |  172.01 |    0.00 |    0.00 |     0 | 0.00 || -1.97359 -0.97235 -2.63600 70.94682 47.29473 2.32063
  11 | 11196 | -3.34 | 1510.40 |     0 |     0 |     0 |  389.81 |    0.00 |    0.00 |     0 | 0.00 || 2.62855 1.14900 -0.22988 21.79949 1.55263 -68.23177
  12 | 10856 | -3.65 | 1991.10 |     0 |     0 |     0 |  407.78 |    0.00 |    0.00 |     0 | 0.00 || -1.63130 1.12368 1.66777 31.77619 7.93260 -80.93642
  13 | 10806 | -2.83 | 1383.50 |     0 |     0 |     0 |  331.06 |    0.00 |    0.00 |     0 | 0.00 || -1.94731 -0.43489 -2.40613 44.61591 56.68074 -1.37148
  14 | 10666 | -2.88 | 1346.50 |     0 |     0 |     0 |  285.97 |    0.00 |    0.00 |     0 | 0.00 || 2.43741 0.93240 -2.30902 37.30739 46.44567 -43.36127
  15 | 10612 | -3.17 | 1388.00 |     0 |     0 |     0 |  477.81 |    0.00 |    0.00 |     0 | 0.00 || -0.60696 0.31127 1.00309 26.70567 -27.73567 -57.70803
  16 | 10536 | -3.40 | 1456.60 |     0 |     0 |     0 |    4.43 |    0.00 |    0.00 |     0 | 0.00 || -1.35022 -0.49412 -1.36257 1.37079 70.68566 -1.27992
  17 | 10492 | -2.39 | 1251.90 |     0 |     0 |     0 |  257.05 |    0.00 |    0.00 |     0 | 0.00 || 2.33800 0.02088 -0.78694 -12.68941 19.62040 24.39030
  18 | 10478 | -3.71 | 1567.50 |     0 |     0 |     0 |  146.19 |    0.00 |    0.00 |     0 | 0.00 || 2.30898 -0.43526 -3.02250 53.50262 20.24152 26.31286
  19 | 10340 | -3.02 | 1491.90 |     0 |     0 |     0 |  346.66 |    0.00 |    0.00 |     0 | 0.00 || -1.08390 0.31567 0.85160 -12.69278 -17.66369 -40.34091
  20 | 10298 | -2.80 | 1353.40 |     0 |     0 |     0 |  221.14 |    0.00 |    0.00 |     0 | 0.00 || -2.06811 1.11773 2.92792 30.35901 19.87652 -60.66133
  21 | 10294 | -3.29 | 1408.20 |     0 |     0 |     0 |  198.53 |    0.00 |    0.00 |     0 | 0.00 || 2.01347 0.89606 0.93589 -13.81891 -28.10123 -37.76989
