*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1WDW_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/1WDW/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1WDW_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 15264 | -2.50 | 1831.20 |     0 |     0 |     0 |  209.45 |    0.00 |    0.00 |     0 | 0.00 || -0.08305 0.18730 -0.07600 10.75041 -10.41449 8.32629
   2 | 14968 | -3.36 | 1984.20 |     0 |     0 |     0 |   -0.58 |    0.00 |    0.00 |     0 | 0.00 || -2.07578 -0.29646 2.46406 112.47193 239.90028 434.61108
   3 | 14190 | -3.70 | 2070.20 |     0 |     0 |     0 |  424.17 |    0.00 |    0.00 |     0 | 0.00 || 2.14071 1.03811 -0.83521 330.84119 335.25439 68.25101
   4 | 14140 | -3.53 | 2393.80 |     0 |     0 |     0 |  457.93 |    0.00 |    0.00 |     0 | 0.00 || 0.59279 -1.37119 -2.85409 338.94690 362.91187 191.91743
   5 | 14120 | -3.07 | 1792.00 |     0 |     0 |     0 |  227.53 |    0.00 |    0.00 |     0 | 0.00 || 0.05008 0.46936 -2.31835 -78.79535 321.89648 -58.95326
   6 | 13732 | -3.32 | 1811.80 |     0 |     0 |     0 |  125.52 |    0.00 |    0.00 |     0 | 0.00 || 2.79435 -0.82418 2.20308 -141.05933 62.00519 262.55057
   7 | 13446 | -3.98 | 2204.90 |     0 |     0 |     0 |  448.83 |    0.00 |    0.00 |     0 | 0.00 || 2.95366 -0.07595 -0.30102 98.21358 464.08667 326.76828
   8 | 13350 | -3.00 | 1683.40 |     0 |     0 |     0 |  466.74 |    0.00 |    0.00 |     0 | 0.00 || -1.83943 -0.63043 0.18333 207.91478 146.14227 418.56665
   9 | 13192 | -3.87 | 2306.20 |     0 |     0 |     0 |  420.86 |    0.00 |    0.00 |     0 | 0.00 || -0.27375 -1.34886 3.01651 233.65309 455.90274 224.48251
  10 | 13170 | -3.79 | 2275.60 |     0 |     0 |     0 |  421.04 |    0.00 |    0.00 |     0 | 0.00 || 2.84044 0.13492 -2.35583 317.42749 79.28073 251.34427
  11 | 13040 | -2.90 | 1824.90 |     0 |     0 |     0 |  390.66 |    0.00 |    0.00 |     0 | 0.00 || -0.63145 -0.07550 1.52191 350.98410 131.23662 165.14697
  12 | 12730 | -3.09 | 1865.60 |     0 |     0 |     0 |   73.34 |    0.00 |    0.00 |     0 | 0.00 || 0.30218 0.85511 2.39775 94.90622 414.03259 -32.94086
  13 | 12710 | -3.83 | 1975.50 |     0 |     0 |     0 |  447.31 |    0.00 |    0.00 |     0 | 0.00 || -3.13960 -0.14255 -2.59631 230.88815 46.38882 343.66840
  14 | 12686 | -3.12 | 1831.90 |     0 |     0 |     0 |  486.08 |    0.00 |    0.00 |     0 | 0.00 || -0.61002 0.78916 2.66041 239.85748 450.50894 130.04428
  15 | 12662 | -3.49 | 1856.90 |     0 |     0 |     0 |  219.58 |    0.00 |    0.00 |     0 | 0.00 || -0.98122 -0.49582 -0.59778 -100.77675 -11.62749 243.46590
  16 | 12662 | -3.04 | 1951.70 |     0 |     0 |     0 |  305.96 |    0.00 |    0.00 |     0 | 0.00 || 0.96455 -0.72625 -2.55258 287.40082 313.19952 -10.39659
  17 | 12586 | -3.93 | 2023.90 |     0 |     0 |     0 |  336.81 |    0.00 |    0.00 |     0 | 0.00 || 0.37435 -0.77441 -2.79773 229.25854 421.11804 40.49429
  18 | 12532 | -4.04 | 2132.00 |     0 |     0 |     0 |  287.26 |    0.00 |    0.00 |     0 | 0.00 || 2.14251 1.09236 0.19655 77.25101 480.75507 69.68579
  19 | 12524 | -3.68 | 1817.00 |     0 |     0 |     0 |  234.27 |    0.00 |    0.00 |     0 | 0.00 || 1.06031 0.36668 1.59199 34.16278 245.77734 -108.62447
  20 | 12514 | -2.63 | 1560.80 |     0 |     0 |     0 |  446.68 |    0.00 |    0.00 |     0 | 0.00 || -1.87238 0.10880 0.02057 -16.34808 129.50751 427.09595
  21 | 12478 | -4.39 | 2216.40 |     0 |     0 |     0 |  282.07 |    0.00 |    0.00 |     0 | 0.00 || -2.95973 0.60037 2.21411 52.87047 -35.70915 322.67978
  22 | 12472 | -3.99 | 2258.60 |     0 |     0 |     0 |  443.63 |    0.00 |    0.00 |     0 | 0.00 || 0.87196 -0.13033 2.62788 169.89551 137.85056 -122.31570
  23 | 12434 | -3.37 | 1954.00 |     0 |     0 |     0 | -151.60 |    0.00 |    0.00 |     0 | 0.00 || -1.69916 -0.31496 3.00663 103.41812 344.20905 397.03113
  24 | 12412 | -2.96 | 1627.30 |     0 |     0 |     0 |  301.48 |    0.00 |    0.00 |     0 | 0.00 || 0.67397 1.08577 -2.06657 -115.42541 72.60938 -5.53122
  25 | 12356 | -3.85 | 2121.20 |     0 |     0 |     0 |  399.39 |    0.00 |    0.00 |     0 | 0.00 || 1.48280 1.18830 0.40793 203.88127 428.86884 24.12994
  26 | 12324 | -3.98 | 2498.70 |     0 |     0 |     0 |  224.19 |    0.00 |    0.00 |     0 | 0.00 || 1.36376 0.66597 1.24692 -26.45058 336.33539 -92.54861
  27 | 12320 | -3.30 | 1622.60 |     0 |     0 |     0 |  391.31 |    0.00 |    0.00 |     0 | 0.00 || -2.67634 -0.07652 -1.85025 246.45950 189.48769 404.22711
  28 | 12274 | -3.43 | 1745.70 |     0 |     0 |     0 |    5.46 |    0.00 |    0.00 |     0 | 0.00 || 1.11446 1.16220 -1.79238 76.43254 -15.13387 9.65068
  29 | 12268 | -3.10 | 1561.70 |     0 |     0 |     0 |  295.66 |    0.00 |    0.00 |     0 | 0.00 || -1.78272 -0.80532 2.91315 -26.65765 367.13782 355.71475
  30 | 12156 | -3.36 | 1630.70 |     0 |     0 |     0 |  215.13 |    0.00 |    0.00 |     0 | 0.00 || 2.79122 0.57257 -1.51349 333.43253 351.03653 215.38394
  31 | 12106 | -3.52 | 1726.00 |     0 |     0 |     0 |  438.14 |    0.00 |    0.00 |     0 | 0.00 || 0.81046 -0.52378 -1.77126 58.51860 402.32812 -66.21712
  32 | 12096 | -3.11 | 1795.60 |     0 |     0 |     0 |  324.75 |    0.00 |    0.00 |     0 | 0.00 || -1.48188 -0.64599 -0.59765 19.57459 -2.57748 344.22021
  33 | 12086 | -2.64 | 1445.50 |     0 |     0 |     0 |  253.17 |    0.00 |    0.00 |     0 | 0.00 || -1.94369 0.79518 2.36736 315.32526 100.80653 282.92804
  34 | 12008 | -3.43 | 1730.40 |     0 |     0 |     0 |  355.70 |    0.00 |    0.00 |     0 | 0.00 || -1.32897 0.18414 -0.57513 -153.05333 35.19690 359.22766
  35 | 12004 | -3.05 | 1822.50 |     0 |     0 |     0 |  128.83 |    0.00 |    0.00 |     0 | 0.00 || 1.96062 -0.52683 -0.96692 204.09174 448.59186 70.30661
  36 | 11950 | -3.19 | 1607.10 |     0 |     0 |     0 |  388.51 |    0.00 |    0.00 |     0 | 0.00 || -2.11611 -0.55325 -0.59535 144.17508 77.42145 436.77350
  37 | 11858 | -2.98 | 1513.60 |     0 |     0 |     0 |  428.53 |    0.00 |    0.00 |     0 | 0.00 || -1.16682 0.97642 3.13349 257.43964 448.74634 216.63319
  38 | 11836 | -2.79 | 1439.50 |     0 |     0 |     0 |  290.19 |    0.00 |    0.00 |     0 | 0.00 || -0.02661 0.42339 0.38582 189.74590 25.53763 -10.42378
