*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1WQ1_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/1WQ1/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1WQ1_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 14714 | -2.72 | 1907.40 |     0 |     0 |     0 |  486.90 |    0.00 |    0.00 |     0 | 0.00 || 0.42545 -1.17621 2.13342 1.27231 -26.34618 16.34624
   2 | 14322 | -2.95 | 1941.90 |     0 |     0 |     0 |  197.35 |    0.00 |    0.00 |     0 | 0.00 || -0.24003 0.41201 -2.67060 -28.94751 31.10804 8.33621
   3 | 14084 | -2.81 | 1716.50 |     0 |     0 |     0 |  493.16 |    0.00 |    0.00 |     0 | 0.00 || -1.99537 -0.92619 1.18174 17.57481 24.12024 34.45968
   4 | 13866 | -2.94 | 1772.80 |     0 |     0 |     0 |  470.14 |    0.00 |    0.00 |     0 | 0.00 || -2.39726 -0.32399 -1.36403 -3.26558 -9.09492 49.44702
   5 | 13850 | -3.85 | 1981.40 |     0 |     0 |     0 |  473.26 |    0.00 |    0.00 |     0 | 0.00 || 1.36971 -0.80501 1.85370 -20.92029 -5.61483 2.13588
   6 | 13802 | -3.59 | 2131.30 |     0 |     0 |     0 |  499.75 |    0.00 |    0.00 |     0 | 0.00 || -0.70069 0.20690 -1.81664 -42.32395 15.00290 22.07034
   7 | 13726 | -3.54 | 2105.40 |     0 |     0 |     0 |  411.86 |    0.00 |    0.00 |     0 | 0.00 || 2.35541 1.11577 0.36483 -16.77431 39.02153 32.41532
   8 | 13694 | -2.88 | 1653.10 |     0 |     0 |     0 |  202.61 |    0.00 |    0.00 |     0 | 0.00 || 2.37315 0.66576 2.39637 -57.82357 -36.06210 10.58467
   9 | 13474 | -3.41 | 2033.10 |     0 |     0 |     0 |  498.47 |    0.00 |    0.00 |     0 | 0.00 || 2.81094 0.60283 2.16255 -47.36115 -34.93661 27.31481
  10 | 13394 | -3.02 | 1651.40 |     0 |     0 |     0 |  460.00 |    0.00 |    0.00 |     0 | 0.00 || 0.00892 -0.59953 -2.67445 -27.44643 61.16284 -16.64201
