*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1XU1_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/1XU1/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1XU1_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 10328 | -2.76 | 1253.50 |     0 |     0 |     0 |  234.20 |    0.00 |    0.00 |     0 | 0.00 || 0.61619 -1.39429 -2.37811 79.66049 -5.38831 20.11413
   2 |  9898 | -2.67 | 1259.90 |     0 |     0 |     0 |  317.52 |    0.00 |    0.00 |     0 | 0.00 || -2.85491 -0.57665 -1.35674 24.06626 -34.86809 53.43708
   3 |  9756 | -2.38 | 1112.40 |     0 |     0 |     0 |  246.49 |    0.00 |    0.00 |     0 | 0.00 || -2.06950 -0.70641 1.02413 53.47535 20.60273 40.28599
   4 |  9664 | -2.72 | 1339.30 |     0 |     0 |     0 |   -9.11 |    0.00 |    0.00 |     0 | 0.00 || 1.83210 -0.65172 2.18877 -48.50528 -28.76372 52.45409
   5 |  9596 | -2.59 | 1318.20 |     0 |     0 |     0 |  -26.48 |    0.00 |    0.00 |     0 | 0.00 || -2.73240 -0.62061 -2.56586 -13.53303 23.45466 73.31413
   6 |  9556 | -2.92 | 1434.80 |     0 |     0 |     0 |  264.48 |    0.00 |    0.00 |     0 | 0.00 || -0.12125 -0.19304 -0.03791 17.08699 -22.70666 -16.61956
   7 |  9468 | -2.46 | 1107.50 |     0 |     0 |     0 |  301.24 |    0.00 |    0.00 |     0 | 0.00 || -2.50119 -0.07272 -0.99719 11.46216 -22.44570 72.07599
   8 |  9434 | -2.50 | 1140.70 |     0 |     0 |     0 |  279.42 |    0.00 |    0.00 |     0 | 0.00 || -0.59695 -0.19910 0.13004 22.34519 -51.76807 -10.97174
   9 |  9414 | -2.58 | 1199.90 |     0 |     0 |     0 |   34.80 |    0.00 |    0.00 |     0 | 0.00 || -1.31315 0.06041 -0.49598 -2.82982 -29.43394 35.81581
  10 |  9406 | -2.69 | 1240.90 |     0 |     0 |     0 |  173.97 |    0.00 |    0.00 |     0 | 0.00 || 1.13960 0.22328 -0.99018 70.91742 47.80790 -7.45094
  11 |  9354 | -2.49 | 1097.30 |     0 |     0 |     0 |  218.52 |    0.00 |    0.00 |     0 | 0.00 || 1.03043 1.00769 1.26066 -13.51846 65.57864 10.09004
  12 |  9312 | -2.68 | 1203.50 |     0 |     0 |     0 |  158.99 |    0.00 |    0.00 |     0 | 0.00 || -0.13146 0.45599 1.61011 9.36607 45.67220 0.29552
  13 |  9300 | -3.06 | 1220.10 |     0 |     0 |     0 |  240.57 |    0.00 |    0.00 |     0 | 0.00 || 3.12993 0.40593 -0.98160 -25.54802 32.69708 83.43378
  14 |  9282 | -2.54 | 1137.40 |     0 |     0 |     0 |  237.73 |    0.00 |    0.00 |     0 | 0.00 || 0.16855 -0.59090 1.84030 -1.71099 -1.34451 -27.42681
  15 |  9262 | -2.54 | 1095.00 |     0 |     0 |     0 |  298.30 |    0.00 |    0.00 |     0 | 0.00 || -1.27609 1.17180 1.09578 57.79992 -1.23208 47.33302
  16 |  9206 | -3.13 | 1447.30 |     0 |     0 |     0 |  215.53 |    0.00 |    0.00 |     0 | 0.00 || -2.29047 -0.16336 2.93983 -8.31299 28.23199 61.47989
  17 |  9160 | -3.08 | 1366.50 |     0 |     0 |     0 |  270.71 |    0.00 |    0.00 |     0 | 0.00 || -0.39077 0.20183 -0.05198 38.56340 -35.34842 -24.39326
  18 |  9152 | -2.99 | 1194.90 |     0 |     0 |     0 |  285.83 |    0.00 |    0.00 |     0 | 0.00 || -0.16726 -0.79014 -0.40241 -5.50515 5.69938 -30.14881
  19 |  9116 | -2.77 | 1301.90 |     0 |     0 |     0 |  117.19 |    0.00 |    0.00 |     0 | 0.00 || -0.67028 -0.58726 2.97934 56.71547 20.08358 -0.17154
  20 |  9086 | -3.38 | 1347.60 |     0 |     0 |     0 |   78.80 |    0.00 |    0.00 |     0 | 0.00 || 2.77019 0.29164 2.15420 19.79180 -32.57284 74.90969
  21 |  9086 | -2.47 | 1099.80 |     0 |     0 |     0 |  146.79 |    0.00 |    0.00 |     0 | 0.00 || 2.70207 -0.67330 2.76592 -4.68996 -24.18415 54.00717
  22 |  9084 | -3.21 | 1093.30 |     0 |     0 |     0 |  350.98 |    0.00 |    0.00 |     0 | 0.00 || -1.35981 -0.92153 0.49575 46.81249 -55.14832 0.16440
