*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1Z0K_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/1Z0K/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1Z0K_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 10052 | -2.69 | 1315.60 |     0 |     0 |     0 |  307.72 |    0.00 |    0.00 |     0 | 0.00 || 2.72010 -0.05943 -0.74615 42.11255 116.44122 -5.05790
   2 |  9918 | -2.73 | 1344.90 |     0 |     0 |     0 |  218.75 |    0.00 |    0.00 |     0 | 0.00 || 2.39196 0.70643 0.96168 -43.39970 90.77091 5.35649
   3 |  9870 | -2.48 | 1298.00 |     0 |     0 |     0 |   49.96 |    0.00 |    0.00 |     0 | 0.00 || 0.99102 -0.09494 -2.95588 18.80619 52.75924 -54.05378
   4 |  9858 | -2.70 | 1195.00 |     0 |     0 |     0 |  484.21 |    0.00 |    0.00 |     0 | 0.00 || 1.43750 0.08096 -0.41043 21.64543 98.44985 -30.90556
   5 |  9676 | -2.77 | 1306.60 |     0 |     0 |     0 |  353.25 |    0.00 |    0.00 |     0 | 0.00 || 2.95479 -0.31608 -2.54088 37.43427 15.66410 43.78860
   6 |  9652 | -2.82 | 1259.50 |     0 |     0 |     0 |  252.50 |    0.00 |    0.00 |     0 | 0.00 || 1.68981 0.41393 -0.53441 39.30046 106.61699 -28.02018
   7 |  9552 | -3.03 | 1390.10 |     0 |     0 |     0 |  481.06 |    0.00 |    0.00 |     0 | 0.00 || -1.37864 0.17549 -2.82682 9.47164 110.92242 38.76656
   8 |  9542 | -3.30 | 1338.30 |     0 |     0 |     0 |  264.53 |    0.00 |    0.00 |     0 | 0.00 || 0.35676 -0.51392 2.38871 68.00146 87.48255 -9.99406
   9 |  9530 | -2.85 | 1255.30 |     0 |     0 |     0 |  402.21 |    0.00 |    0.00 |     0 | 0.00 || 2.68480 0.83672 0.00044 -10.29480 121.91183 15.54317
  10 |  9514 | -2.27 | 1093.60 |     0 |     0 |     0 |  225.19 |    0.00 |    0.00 |     0 | 0.00 || 0.82109 -0.63675 2.50732 66.95927 62.69037 -12.70800
  11 |  9466 | -2.77 | 1203.50 |     0 |     0 |     0 |  289.71 |    0.00 |    0.00 |     0 | 0.00 || 3.03006 0.05723 -1.25539 55.30127 85.57415 46.53888
  12 |  9426 | -3.27 | 1388.10 |     0 |     0 |     0 |   95.06 |    0.00 |    0.00 |     0 | 0.00 || -2.58498 -0.57637 -0.20622 25.68511 69.11033 54.66362
  13 |  9362 | -2.81 | 1170.90 |     0 |     0 |     0 |  372.27 |    0.00 |    0.00 |     0 | 0.00 || 0.56174 -0.27055 -1.63856 4.78899 90.12178 -45.41178
  14 |  9346 | -2.28 | 1051.80 |     0 |     0 |     0 |  234.77 |    0.00 |    0.00 |     0 | 0.00 || -1.94484 1.17454 -0.40150 -48.31258 59.68439 14.67964
  15 |  9340 | -2.56 | 1180.70 |     0 |     0 |     0 |  313.36 |    0.00 |    0.00 |     0 | 0.00 || 2.43247 0.80192 -0.26035 14.93389 110.85767 5.41705
  16 |  9330 | -2.79 | 1230.30 |     0 |     0 |     0 |  490.38 |    0.00 |    0.00 |     0 | 0.00 || -2.38184 -1.04623 1.34630 25.29163 111.11182 44.55563
  17 |  9212 | -4.08 | 1383.90 |     0 |     0 |     0 |  223.49 |    0.00 |    0.00 |     0 | 0.00 || 2.76712 -1.09437 -1.21428 61.62543 65.25368 25.17455
  18 |  9210 | -2.99 | 1175.70 |     0 |     0 |     0 |  130.24 |    0.00 |    0.00 |     0 | 0.00 || 2.00243 -0.54151 -2.42117 67.68166 34.34890 -0.64349
  19 |  9176 | -3.20 | 1399.30 |     0 |     0 |     0 |  338.72 |    0.00 |    0.00 |     0 | 0.00 || -1.09707 -0.28507 -2.45839 -20.32385 102.25219 25.00043
  20 |  9096 | -2.32 | 1067.20 |     0 |     0 |     0 |  283.91 |    0.00 |    0.00 |     0 | 0.00 || 2.09580 0.39925 -2.74895 21.78775 24.53290 -39.64545
  21 |  9080 | -3.06 | 1233.70 |     0 |     0 |     0 |  300.81 |    0.00 |    0.00 |     0 | 0.00 || 2.34177 1.01177 -1.85806 67.05473 50.46366 8.96782
  22 |  9052 | -2.29 | 1054.10 |     0 |     0 |     0 |  467.67 |    0.00 |    0.00 |     0 | 0.00 || -1.15245 -0.70449 -1.61462 -37.26829 65.23032 30.42011
  23 |  9040 | -2.53 | 1100.60 |     0 |     0 |     0 |  215.02 |    0.00 |    0.00 |     0 | 0.00 || 1.76084 0.46622 2.20565 -27.84415 43.10122 -20.18757
  24 |  9012 | -2.73 | 1236.70 |     0 |     0 |     0 |  139.66 |    0.00 |    0.00 |     0 | 0.00 || 2.71759 0.42246 2.13497 -30.57551 25.08325 -11.56826
  25 |  8992 | -2.77 | 1147.20 |     0 |     0 |     0 |  436.99 |    0.00 |    0.00 |     0 | 0.00 || 0.47403 -0.24617 0.95530 16.69538 37.70140 -45.22731
  26 |  8976 | -2.73 | 1080.50 |     0 |     0 |     0 |  215.84 |    0.00 |    0.00 |     0 | 0.00 || -0.95150 0.84398 -1.77897 -24.06899 112.32973 37.49454
  27 |  8896 | -2.60 | 1189.30 |     0 |     0 |     0 |  267.21 |    0.00 |    0.00 |     0 | 0.00 || -1.56976 0.14403 -0.94548 -10.29089 75.48447 73.40157
  28 |  8890 | -2.62 | 1062.00 |     0 |     0 |     0 |  192.72 |    0.00 |    0.00 |     0 | 0.00 || -3.01774 1.51251 0.89824 -49.63660 48.91053 4.44248
  29 |  8886 | -2.98 | 1142.70 |     0 |     0 |     0 |  128.80 |    0.00 |    0.00 |     0 | 0.00 || -0.93439 -0.68948 2.87974 4.95483 113.25080 50.36611
  30 |  8878 | -2.57 | 1077.50 |     0 |     0 |     0 |   20.56 |    0.00 |    0.00 |     0 | 0.00 || 0.65427 1.00656 -2.64934 -26.41361 47.88934 -40.41235
  31 |  8830 | -2.79 | 1096.00 |     0 |     0 |     0 |  243.63 |    0.00 |    0.00 |     0 | 0.00 || 2.90104 -0.31300 -1.88155 56.19710 42.48807 38.07056
  32 |  8792 | -3.02 | 1309.30 |     0 |     0 |     0 |  427.05 |    0.00 |    0.00 |     0 | 0.00 || -2.33893 -0.07487 2.18335 13.65667 60.05537 80.21203
  33 |  8782 | -2.97 | 1200.10 |     0 |     0 |     0 |  238.42 |    0.00 |    0.00 |     0 | 0.00 || 2.11213 -0.06522 -2.14707 52.36493 45.14759 -39.53068
  34 |  8780 | -2.65 | 1118.70 |     0 |     0 |     0 |  271.84 |    0.00 |    0.00 |     0 | 0.00 || -3.12011 0.86918 0.46389 -35.15661 83.56484 33.96971
  35 |  8770 | -3.31 | 1176.00 |     0 |     0 |     0 |  434.98 |    0.00 |    0.00 |     0 | 0.00 || -2.97440 0.14577 2.46047 5.11350 34.83459 52.79465
  36 |  8750 | -2.86 | 1254.20 |     0 |     0 |     0 |  285.11 |    0.00 |    0.00 |     0 | 0.00 || -0.72095 0.35381 0.48781 14.13313 2.81509 33.94655
  37 |  8742 | -2.95 | 1208.30 |     0 |     0 |     0 |  132.51 |    0.00 |    0.00 |     0 | 0.00 || 0.63572 -0.11043 -1.50432 -12.23906 79.79731 -63.38930
  38 |  8728 | -2.95 | 1042.70 |     0 |     0 |     0 |  197.38 |    0.00 |    0.00 |     0 | 0.00 || -2.44431 -0.14852 -0.10834 20.14169 66.30916 55.56088
  39 |  8704 | -2.86 | 1041.10 |     0 |     0 |     0 |  107.00 |    0.00 |    0.00 |     0 | 0.00 || 0.87307 0.26939 -2.85384 7.60880 53.74131 -53.64344
  40 |  8696 | -3.00 | 1313.30 |     0 |     0 |     0 |  437.23 |    0.00 |    0.00 |     0 | 0.00 || -1.98218 -0.42291 1.48420 38.83808 77.03659 61.27599
  41 |  8674 | -3.25 | 1177.70 |     0 |     0 |     0 |   -4.07 |    0.00 |    0.00 |     0 | 0.00 || 0.42200 0.93894 0.70816 55.98380 35.06527 -35.58517
  42 |  8544 | -3.14 | 1193.80 |     0 |     0 |     0 |  230.33 |    0.00 |    0.00 |     0 | 0.00 || -2.95204 0.70812 0.59262 -55.21756 83.42931 44.49106
  43 |  8542 | -2.74 | 1050.40 |     0 |     0 |     0 |  141.79 |    0.00 |    0.00 |     0 | 0.00 || -0.41119 0.52297 0.81054 47.82436 7.38670 -23.52341
  44 |  8528 | -3.14 | 1244.10 |     0 |     0 |     0 |  -87.90 |    0.00 |    0.00 |     0 | 0.00 || -2.22239 -1.24451 -2.78742 -35.17620 15.57970 29.65601
  45 |  8516 | -2.06 |  929.40 |     0 |     0 |     0 |  237.97 |    0.00 |    0.00 |     0 | 0.00 || -1.89529 -0.60307 -2.18990 -18.81535 67.75026 57.23270
  46 |  8510 | -2.90 | 1115.40 |     0 |     0 |     0 |  143.84 |    0.00 |    0.00 |     0 | 0.00 || -0.93013 0.29812 1.04626 42.40331 19.34025 48.82728
  47 |  8510 | -3.48 | 1408.90 |     0 |     0 |     0 |  236.94 |    0.00 |    0.00 |     0 | 0.00 || 2.94989 0.36959 1.03127 -49.61207 80.25491 2.76074
  48 |  8502 | -3.43 | 1319.50 |     0 |     0 |     0 |  460.18 |    0.00 |    0.00 |     0 | 0.00 || -0.76286 -0.12553 -3.00645 5.11402 118.88923 8.83799
  49 |  8500 | -3.23 | 1133.40 |     0 |     0 |     0 |  430.58 |    0.00 |    0.00 |     0 | 0.00 || -0.22199 0.84862 2.05952 44.46529 104.02287 -12.51595
  50 |  8486 | -2.83 | 1169.90 |     0 |     0 |     0 | -101.42 |    0.00 |    0.00 |     0 | 0.00 || -1.59211 -0.04269 2.46218 42.13873 55.33998 54.00212
  51 |  8474 | -3.45 | 1148.00 |     0 |     0 |     0 |  384.65 |    0.00 |    0.00 |     0 | 0.00 || -1.91149 -1.19792 -1.91657 -25.42342 35.02726 39.42133
  52 |  8456 | -2.76 | 1125.80 |     0 |     0 |     0 |   56.67 |    0.00 |    0.00 |     0 | 0.00 || -2.19511 0.35325 -0.31557 -23.23803 61.10409 49.43652
  53 |  8430 | -2.92 | 1060.90 |     0 |     0 |     0 |  323.98 |    0.00 |    0.00 |     0 | 0.00 || -2.90558 -0.02615 0.54482 -29.04379 103.95390 34.18770
  54 |  8412 | -2.63 |  987.50 |     0 |     0 |     0 |  147.08 |    0.00 |    0.00 |     0 | 0.00 || 2.72195 -0.52594 -1.57721 66.04645 60.26574 33.02719
  55 |  8382 | -2.79 | 1143.30 |     0 |     0 |     0 |  447.39 |    0.00 |    0.00 |     0 | 0.00 || -1.80207 0.13714 -1.44945 3.29640 75.23204 42.94353
  56 |  8370 | -2.70 | 1075.00 |     0 |     0 |     0 |   88.07 |    0.00 |    0.00 |     0 | 0.00 || 2.58660 -0.10206 -0.98405 57.57656 101.78204 -15.13132
  57 |  8368 | -2.30 |  920.30 |     0 |     0 |     0 |  -25.27 |    0.00 |    0.00 |     0 | 0.00 || -2.15449 -0.45999 2.93817 -11.00535 39.74241 57.38485
