*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1ZM4_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/1ZM4/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1ZM4_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 17412 | -3.67 | 2684.30 |     0 |     0 |     0 |  294.00 |    0.00 |    0.00 |     0 | 0.00 || -2.86478 -0.77542 0.03513 50.66870 -0.16751 113.92961
   2 | 16644 | -3.42 | 2552.60 |     0 |     0 |     0 |  405.22 |    0.00 |    0.00 |     0 | 0.00 || 0.40380 -0.58998 -0.66372 -42.08561 67.62270 18.47483
   3 | 16320 | -3.75 | 2563.10 |     0 |     0 |     0 |  342.86 |    0.00 |    0.00 |     0 | 0.00 || -0.78194 0.11154 -0.51496 -13.91114 -52.57146 -20.64876
   4 | 16110 | -3.83 | 2574.90 |     0 |     0 |     0 |  429.85 |    0.00 |    0.00 |     0 | 0.00 || -2.02043 0.23159 1.19007 56.43357 -13.13113 70.58568
   5 | 15990 | -3.28 | 2393.00 |     0 |     0 |     0 |  382.08 |    0.00 |    0.00 |     0 | 0.00 || 2.00458 -1.10833 1.21105 -64.26224 90.60205 72.22386
   6 | 15830 | -4.34 | 2767.30 |     0 |     0 |     0 |  213.69 |    0.00 |    0.00 |     0 | 0.00 || -2.36220 0.94502 -1.01542 -82.81318 10.38029 99.37212
   7 | 15796 | -2.97 | 1960.90 |     0 |     0 |     0 |  346.08 |    0.00 |    0.00 |     0 | 0.00 || 0.57113 0.21238 -0.40926 9.89762 10.60270 -27.46962
   8 | 15310 | -3.83 | 2539.60 |     0 |     0 |     0 |  424.87 |    0.00 |    0.00 |     0 | 0.00 || 1.85456 1.11982 0.95852 -97.21320 57.11855 39.47969
   9 | 15282 | -3.91 | 2539.50 |     0 |     0 |     0 |  446.86 |    0.00 |    0.00 |     0 | 0.00 || 1.02969 -0.89633 1.34461 -97.37404 -15.67855 61.35157
  10 | 15246 | -2.98 | 2040.70 |     0 |     0 |     0 |  408.60 |    0.00 |    0.00 |     0 | 0.00 || -1.99231 -1.22531 0.76358 54.53363 -78.28181 62.09273
  11 | 15172 | -4.05 | 2666.20 |     0 |     0 |     0 |  399.30 |    0.00 |    0.00 |     0 | 0.00 || 1.92231 0.01632 -2.25511 88.34111 -43.93517 78.22952
  12 | 15172 | -3.41 | 2097.60 |     0 |     0 |     0 |  307.90 |    0.00 |    0.00 |     0 | 0.00 || 1.76074 -0.66730 -0.49583 18.38485 38.66879 68.13754
  13 | 15170 | -3.54 | 2213.60 |     0 |     0 |     0 |  463.41 |    0.00 |    0.00 |     0 | 0.00 || 0.16203 -1.43776 0.40118 -104.73093 -12.40201 79.88011
  14 | 15142 | -2.70 | 1911.30 |     0 |     0 |     0 |  318.71 |    0.00 |    0.00 |     0 | 0.00 || -0.62642 -0.27046 2.76552 32.30326 34.47112 9.17384
  15 | 15012 | -3.48 | 2496.00 |     0 |     0 |     0 |  121.46 |    0.00 |    0.00 |     0 | 0.00 || -2.32405 -0.53543 -2.40960 -110.13118 39.93096 73.33170
  16 | 14976 | -3.40 | 1846.00 |     0 |     0 |     0 |  486.56 |    0.00 |    0.00 |     0 | 0.00 || -0.33338 0.14679 -1.64963 -12.79504 -1.62871 -65.80335
  17 | 14920 | -3.44 | 2154.60 |     0 |     0 |     0 |  195.74 |    0.00 |    0.00 |     0 | 0.00 || -0.20412 0.20263 -2.73082 -40.46265 -17.62974 -63.36355
  18 | 14906 | -3.29 | 1969.50 |     0 |     0 |     0 |  497.04 |    0.00 |    0.00 |     0 | 0.00 || -0.92162 -1.24165 3.12839 46.41561 67.91033 73.66022
  19 | 14766 | -3.62 | 2095.20 |     0 |     0 |     0 |  447.85 |    0.00 |    0.00 |     0 | 0.00 || 1.18097 0.86130 -0.91176 41.93852 85.72668 -2.50901
  20 | 14756 | -3.02 | 2053.20 |     0 |     0 |     0 |  450.24 |    0.00 |    0.00 |     0 | 0.00 || -1.59597 -0.38630 2.42065 86.43710 70.96783 32.44640
