*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/2A9K_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/2A9K/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/2A9K_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 12620 | -2.73 | 1672.50 |     0 |     0 |     0 |  465.79 |    0.00 |    0.00 |     0 | 0.00 || -2.09716 0.12199 -1.99949 -13.14513 -2.19262 45.38783
   2 | 12100 | -3.35 | 2029.30 |     0 |     0 |     0 |  479.99 |    0.00 |    0.00 |     0 | 0.00 || -0.25964 0.80854 0.80529 44.36178 11.90922 -6.87751
   3 | 11730 | -2.58 | 1363.80 |     0 |     0 |     0 |  393.91 |    0.00 |    0.00 |     0 | 0.00 || 1.97298 1.13046 1.92725 -34.02380 21.46420 11.84722
   4 | 11436 | -2.90 | 1515.50 |     0 |     0 |     0 |  495.81 |    0.00 |    0.00 |     0 | 0.00 || 1.61235 -1.44190 -2.03455 34.75785 34.46988 17.57874
   5 | 11436 | -3.71 | 1856.50 |     0 |     0 |     0 |  428.82 |    0.00 |    0.00 |     0 | 0.00 || 1.14019 -0.44710 -3.01666 11.77226 -23.62692 -24.50223
   6 | 11362 | -2.88 | 1380.50 |     0 |     0 |     0 |  447.91 |    0.00 |    0.00 |     0 | 0.00 || 2.56485 -0.52055 2.12425 9.97735 -25.99768 13.77374
   7 | 11358 | -2.47 | 1387.70 |     0 |     0 |     0 |  403.86 |    0.00 |    0.00 |     0 | 0.00 || -2.73194 -0.41750 -2.15694 35.30968 5.52353 33.73405
   8 | 11264 | -2.76 | 1422.50 |     0 |     0 |     0 |  451.62 |    0.00 |    0.00 |     0 | 0.00 || 3.02613 0.84263 1.58377 -12.03144 -21.52354 48.58381
   9 | 11184 | -3.60 | 1468.10 |     0 |     0 |     0 |  338.50 |    0.00 |    0.00 |     0 | 0.00 || 0.03410 1.14564 1.37628 34.76109 30.82656 13.81728
  10 | 11140 | -2.58 | 1317.90 |     0 |     0 |     0 |  362.45 |    0.00 |    0.00 |     0 | 0.00 || 1.77755 -0.22710 0.78943 -1.92538 34.37031 -29.74663
  11 | 11060 | -2.89 | 1367.10 |     0 |     0 |     0 |  331.37 |    0.00 |    0.00 |     0 | 0.00 || -0.24281 -0.00451 -1.61717 -7.14628 -12.79517 -30.85736
