*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/2AJF_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/2AJF/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/2AJF_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 15556 | -3.63 | 2638.40 |     0 |     0 |     0 |  113.91 |    0.00 |    0.00 |     0 | 0.00 || 0.14615 0.43689 1.36255 35.75520 67.14853 1.49726
   2 | 15326 | -3.60 | 2651.80 |     0 |     0 |     0 |  -17.46 |    0.00 |    0.00 |     0 | 0.00 || -2.94297 0.47154 -2.98140 65.07832 45.56965 132.99762
   3 | 15158 | -3.52 | 2242.30 |     0 |     0 |     0 |  406.43 |    0.00 |    0.00 |     0 | 0.00 || -0.05280 0.28192 -0.90750 68.70720 11.77234 -9.30830
   4 | 14842 | -3.09 | 2033.60 |     0 |     0 |     0 |  143.66 |    0.00 |    0.00 |     0 | 0.00 || -0.90120 -0.52444 -1.70008 -10.66673 52.04698 21.81959
   5 | 14738 | -3.70 | 2291.80 |     0 |     0 |     0 |  348.19 |    0.00 |    0.00 |     0 | 0.00 || 0.77254 -0.69148 2.01977 -0.20013 -16.97409 18.15603
   6 | 14568 | -3.79 | 2544.30 |     0 |     0 |     0 |  -84.27 |    0.00 |    0.00 |     0 | 0.00 || 2.24133 -0.38534 1.75329 -6.77159 10.90714 122.30939
   7 | 14402 | -3.87 | 3128.70 |     0 |     0 |     0 |  183.63 |    0.00 |    0.00 |     0 | 0.00 || 2.62465 -0.62732 2.59720 -8.25837 4.70013 123.78771
   8 | 14158 | -3.74 | 2223.00 |     0 |     0 |     0 |  209.23 |    0.00 |    0.00 |     0 | 0.00 || -3.08579 0.45286 -3.05669 65.12199 51.92661 118.06303
   9 | 14154 | -3.17 | 1971.30 |     0 |     0 |     0 |  364.58 |    0.00 |    0.00 |     0 | 0.00 || -2.75292 0.74825 2.27261 98.48645 25.31554 106.27489
  10 | 14100 | -3.58 | 1948.30 |     0 |     0 |     0 |  477.26 |    0.00 |    0.00 |     0 | 0.00 || 2.06073 0.38155 0.39414 -12.22742 60.19699 127.26962
  11 | 13994 | -2.34 | 1648.90 |     0 |     0 |     0 |  270.82 |    0.00 |    0.00 |     0 | 0.00 || 1.83326 -0.59663 0.63008 29.80494 94.96573 75.22902
  12 | 13974 | -3.28 | 1953.70 |     0 |     0 |     0 |  339.20 |    0.00 |    0.00 |     0 | 0.00 || 2.26008 -0.85757 0.56807 53.07043 98.69920 86.55895
  13 | 13906 | -3.28 | 2138.70 |     0 |     0 |     0 |  344.52 |    0.00 |    0.00 |     0 | 0.00 || 2.48683 0.35541 -1.78409 87.42035 33.84701 120.56750
  14 | 13896 | -3.72 | 2421.10 |     0 |     0 |     0 |  286.62 |    0.00 |    0.00 |     0 | 0.00 || 1.46640 -0.43236 -2.07454 106.15946 -15.40231 58.78296
  15 | 13824 | -3.20 | 1797.00 |     0 |     0 |     0 |  299.43 |    0.00 |    0.00 |     0 | 0.00 || 0.79148 -0.08643 2.36275 -50.12493 -36.16482 21.08452
  16 | 13748 | -3.69 | 2074.90 |     0 |     0 |     0 |  196.61 |    0.00 |    0.00 |     0 | 0.00 || -2.84140 0.36112 2.47376 70.37534 43.34036 130.00371
  17 | 13730 | -3.89 | 2094.40 |     0 |     0 |     0 |   53.93 |    0.00 |    0.00 |     0 | 0.00 || -1.32930 1.48079 0.02234 20.40969 -82.08589 67.27697
  18 | 13700 | -3.53 | 2076.20 |     0 |     0 |     0 |  196.89 |    0.00 |    0.00 |     0 | 0.00 || 0.22381 -0.74450 -1.09822 54.12137 44.40275 21.35130
  19 | 13660 | -4.01 | 2052.00 |     0 |     0 |     0 |  306.85 |    0.00 |    0.00 |     0 | 0.00 || 0.38744 0.67363 -0.06240 95.44649 66.75716 10.90796
  20 | 13648 | -3.41 | 1777.00 |     0 |     0 |     0 |  362.65 |    0.00 |    0.00 |     0 | 0.00 || -0.63458 -1.12318 2.82240 70.09929 -10.61661 42.40750
  21 | 13636 | -2.78 | 1739.30 |     0 |     0 |     0 |  264.23 |    0.00 |    0.00 |     0 | 0.00 || 1.08759 0.10393 -2.91823 61.54578 -42.79210 28.12693
  22 | 13534 | -3.45 | 2305.90 |     0 |     0 |     0 | -193.40 |    0.00 |    0.00 |     0 | 0.00 || -1.24843 -1.07396 0.81379 82.44110 -36.27531 32.11969
  23 | 13526 | -3.30 | 2031.10 |     0 |     0 |     0 |  484.70 |    0.00 |    0.00 |     0 | 0.00 || -3.10119 -0.25712 -2.47401 -13.78161 17.77879 144.60468
  24 | 13494 | -2.77 | 1691.10 |     0 |     0 |     0 | -288.45 |    0.00 |    0.00 |     0 | 0.00 || 0.13030 0.60116 2.11593 3.70342 76.20496 -16.64532
  25 | 13476 | -3.67 | 2016.60 |     0 |     0 |     0 |  121.52 |    0.00 |    0.00 |     0 | 0.00 || -0.08864 -0.68409 2.63531 84.74747 -0.04823 0.52629
  26 | 13456 | -2.38 | 1647.50 |     0 |     0 |     0 |  146.00 |    0.00 |    0.00 |     0 | 0.00 || 1.53194 -1.38004 -0.85404 54.75739 31.50599 27.32730
  27 | 13370 | -3.69 | 1882.30 |     0 |     0 |     0 | -146.76 |    0.00 |    0.00 |     0 | 0.00 || -1.55881 -0.30946 2.05257 107.69383 56.88268 61.58825
  28 | 13346 | -4.29 | 2751.50 |     0 |     0 |     0 |  431.65 |    0.00 |    0.00 |     0 | 0.00 || -0.19301 1.10636 -0.24831 106.93629 6.50656 36.36926
  29 | 13286 | -3.38 | 2031.30 |     0 |     0 |     0 |   10.66 |    0.00 |    0.00 |     0 | 0.00 || 0.97168 -0.33398 3.10764 53.02457 -46.49772 32.42573
  30 | 13276 | -3.18 | 2176.10 |     0 |     0 |     0 |  182.30 |    0.00 |    0.00 |     0 | 0.00 || 3.01527 0.14326 -0.53710 5.72797 13.37482 95.70119
  31 | 13248 | -4.41 | 2222.60 |     0 |     0 |     0 |  328.73 |    0.00 |    0.00 |     0 | 0.00 || -0.61348 0.62497 -0.40903 72.59712 -26.67822 18.20736
  32 | 13214 | -3.60 | 2017.50 |     0 |     0 |     0 |   51.00 |    0.00 |    0.00 |     0 | 0.00 || 2.97081 0.52104 1.64505 34.03936 -2.58683 140.74367
  33 | 13184 | -3.23 | 1639.30 |     0 |     0 |     0 |  177.17 |    0.00 |    0.00 |     0 | 0.00 || 0.71908 -0.00820 -1.54452 47.07878 -9.80749 4.20954
  34 | 13142 | -2.79 | 1873.90 |     0 |     0 |     0 |  404.10 |    0.00 |    0.00 |     0 | 0.00 || 1.27284 0.20776 0.15031 54.57589 90.78983 54.72286
  35 | 13126 | -3.22 | 1903.20 |     0 |     0 |     0 |  128.96 |    0.00 |    0.00 |     0 | 0.00 || -0.85247 -0.78416 -0.83991 -12.62317 13.59329 23.79249
  36 | 13106 | -2.90 | 1770.70 |     0 |     0 |     0 |  164.46 |    0.00 |    0.00 |     0 | 0.00 || 1.99660 -0.67620 1.97438 -56.39433 -17.16444 43.23137
  37 | 13070 | -3.12 | 1754.20 |     0 |     0 |     0 |  246.07 |    0.00 |    0.00 |     0 | 0.00 || -3.03556 -0.46267 -2.38219 -47.89072 -3.05484 113.17830
  38 | 12968 | -3.22 | 1932.80 |     0 |     0 |     0 |  -21.27 |    0.00 |    0.00 |     0 | 0.00 || 0.65632 -0.86508 -2.80567 101.12491 -35.00246 36.97436
  39 | 12950 | -3.18 | 1762.40 |     0 |     0 |     0 |  412.65 |    0.00 |    0.00 |     0 | 0.00 || 1.60901 -0.91177 -2.70808 69.24686 -56.79088 72.77009
  40 | 12902 | -3.45 | 1693.50 |     0 |     0 |     0 |  300.42 |    0.00 |    0.00 |     0 | 0.00 || 0.90913 -0.76403 -1.37949 67.64079 26.59066 52.03051
  41 | 12890 | -3.41 | 2023.00 |     0 |     0 |     0 |   46.85 |    0.00 |    0.00 |     0 | 0.00 || -1.98604 -0.51689 -3.12345 40.23517 98.76274 52.40215
  42 | 12888 | -3.77 | 2012.20 |     0 |     0 |     0 |  -55.09 |    0.00 |    0.00 |     0 | 0.00 || 1.78058 0.30177 2.88609 31.75988 -69.81775 104.49187
  43 | 12880 | -3.58 | 1907.30 |     0 |     0 |     0 |  383.04 |    0.00 |    0.00 |     0 | 0.00 || -0.98559 1.27632 -3.06546 -60.22776 50.00832 48.41762
  44 | 12858 | -2.86 | 1699.80 |     0 |     0 |     0 |   37.53 |    0.00 |    0.00 |     0 | 0.00 || -1.05281 0.41011 0.26048 32.29291 -30.94077 6.55186
  45 | 12854 | -3.59 | 2307.10 |     0 |     0 |     0 |  438.57 |    0.00 |    0.00 |     0 | 0.00 || 0.73865 0.40075 -0.06278 80.53603 76.74690 24.37293
  46 | 12838 | -3.12 | 1865.70 |     0 |     0 |     0 |  477.27 |    0.00 |    0.00 |     0 | 0.00 || -2.89465 0.98164 -1.08786 -47.31972 31.94326 120.93452
  47 | 12820 | -3.20 | 1665.30 |     0 |     0 |     0 |    9.96 |    0.00 |    0.00 |     0 | 0.00 || -2.56209 0.62771 -0.70034 8.49460 2.08361 116.12393
  48 | 12806 | -3.56 | 1882.20 |     0 |     0 |     0 |  332.35 |    0.00 |    0.00 |     0 | 0.00 || -2.62372 0.65642 2.93407 62.38197 22.71996 69.76608
  49 | 12790 | -4.15 | 2391.80 |     0 |     0 |     0 |  208.62 |    0.00 |    0.00 |     0 | 0.00 || 2.22623 -0.13041 -1.49298 99.03633 7.98891 120.42221
  50 | 12788 | -3.18 | 1537.90 |     0 |     0 |     0 |  440.95 |    0.00 |    0.00 |     0 | 0.00 || 2.15643 -0.67603 -2.95891 -33.73032 -54.56830 91.28104
  51 | 12782 | -3.79 | 2112.80 |     0 |     0 |     0 |  439.78 |    0.00 |    0.00 |     0 | 0.00 || -0.38514 -0.32153 2.25623 53.58012 -12.91221 -51.46139
  52 | 12764 | -3.16 | 2084.40 |     0 |     0 |     0 |  396.26 |    0.00 |    0.00 |     0 | 0.00 || 3.05596 0.10800 -0.18987 8.97357 -0.18845 94.57204
  53 | 12758 | -3.61 | 1785.80 |     0 |     0 |     0 |  159.39 |    0.00 |    0.00 |     0 | 0.00 || 1.37764 0.04245 -1.22352 65.59799 12.76387 62.27643
