*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/2AQ3_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/2AQ3/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/2AQ3_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 17884 | -4.08 | 2748.60 |     0 |     0 |     0 | -202.06 |    0.00 |    0.00 |     0 | 0.00 || 0.01027 0.25906 -0.78139 -18.49371 -52.01753 82.10863
   2 | 17402 | -3.62 | 2770.40 |     0 |     0 |     0 |  267.59 |    0.00 |    0.00 |     0 | 0.00 || -2.04312 -0.33332 -0.19096 29.70391 33.31420 -4.52967
   3 | 17300 | -3.80 | 2827.50 |     0 |     0 |     0 |  404.81 |    0.00 |    0.00 |     0 | 0.00 || 0.74053 -1.23490 -1.79505 -56.39962 -89.45107 6.15511
   4 | 17222 | -3.83 | 2911.10 |     0 |     0 |     0 |  179.96 |    0.00 |    0.00 |     0 | 0.00 || -0.76027 -1.03962 -2.43547 -40.76502 -65.51031 5.41844
   5 | 17120 | -4.01 | 2659.40 |     0 |     0 |     0 |  298.62 |    0.00 |    0.00 |     0 | 0.00 || -2.38572 1.30237 1.64426 -48.16774 -28.84811 23.63973
   6 | 16790 | -3.87 | 3274.10 |     0 |     0 |     0 |   44.54 |    0.00 |    0.00 |     0 | 0.00 || -2.68872 -0.31506 -0.47256 27.98125 16.42390 -42.14662
   7 | 16650 | -4.83 | 2839.10 |     0 |     0 |     0 |  289.51 |    0.00 |    0.00 |     0 | 0.00 || 1.44924 -1.39044 0.29669 6.95580 -105.98784 -11.15245
   8 | 16572 | -4.24 | 2631.40 |     0 |     0 |     0 |  268.28 |    0.00 |    0.00 |     0 | 0.00 || 1.33217 -0.26433 0.85008 61.09181 -68.50362 -17.61940
   9 | 16258 | -3.19 | 2249.90 |     0 |     0 |     0 |  388.45 |    0.00 |    0.00 |     0 | 0.00 || 1.73495 -0.27536 1.80769 3.57850 23.74578 -50.08876
  10 | 16068 | -4.42 | 3367.90 |     0 |     0 |     0 |  308.66 |    0.00 |    0.00 |     0 | 0.00 || 2.98498 0.28245 -1.16076 30.84346 -49.47321 -31.70792
  11 | 16026 | -4.32 | 3927.00 |     0 |     0 |     0 |   75.89 |    0.00 |    0.00 |     0 | 0.00 || -0.56826 -0.45156 -2.42557 -39.78374 -52.30904 34.29651
  12 | 15886 | -3.60 | 2357.30 |     0 |     0 |     0 |  300.54 |    0.00 |    0.00 |     0 | 0.00 || -1.39571 0.82866 0.07753 -25.34719 25.31602 31.32091
