*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/2B4J_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/2B4J/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/2B4J_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 12930 | -2.56 | 1668.40 |     0 |     0 |     0 |  426.89 |    0.00 |    0.00 |     0 | 0.00 || 2.41854 -0.83829 -0.83485 14.99700 -19.04447 -69.12989
   2 | 12272 | -2.95 | 1700.70 |     0 |     0 |     0 |  497.00 |    0.00 |    0.00 |     0 | 0.00 || -1.78132 -0.44779 1.02100 -14.29863 48.29309 -19.69642
   3 | 11948 | -2.87 | 1592.60 |     0 |     0 |     0 |  466.44 |    0.00 |    0.00 |     0 | 0.00 || 1.14578 0.32063 -0.98961 -15.89782 -14.63282 -29.30659
   4 | 11728 | -3.51 | 1739.00 |     0 |     0 |     0 |  448.58 |    0.00 |    0.00 |     0 | 0.00 || -3.12447 0.00871 -2.02518 -17.35130 -60.86769 -30.87144
   5 | 11714 | -3.30 | 1678.20 |     0 |     0 |     0 |  414.61 |    0.00 |    0.00 |     0 | 0.00 || 2.27695 0.30901 1.64634 -5.02043 1.01462 -38.88952
   6 | 11704 | -3.56 | 1973.20 |     0 |     0 |     0 |  489.69 |    0.00 |    0.00 |     0 | 0.00 || 1.24859 1.07527 -0.06170 29.71811 -20.80647 18.40437
   7 | 11446 | -3.13 | 1531.20 |     0 |     0 |     0 |  258.24 |    0.00 |    0.00 |     0 | 0.00 || 1.52671 -0.91013 2.68925 -27.30905 16.08779 -56.47014
   8 | 11440 | -3.01 | 1567.60 |     0 |     0 |     0 |  156.62 |    0.00 |    0.00 |     0 | 0.00 || -1.52791 -0.08306 -3.04856 -52.87728 5.29596 -8.65319
   9 | 11264 | -2.54 | 1252.30 |     0 |     0 |     0 |  445.04 |    0.00 |    0.00 |     0 | 0.00 || 2.55693 -0.47185 2.72732 -45.56524 8.24957 -50.98462
  10 | 10994 | -2.54 | 1259.30 |     0 |     0 |     0 |  343.62 |    0.00 |    0.00 |     0 | 0.00 || -2.02294 -1.10829 -2.44593 -36.31343 -11.54689 -42.66660
  11 | 10988 | -3.45 | 1704.20 |     0 |     0 |     0 |  215.92 |    0.00 |    0.00 |     0 | 0.00 || -1.97836 0.17529 -2.67571 -40.48820 -9.15962 -10.32132
  12 | 10928 | -2.39 | 1304.60 |     0 |     0 |     0 |  398.45 |    0.00 |    0.00 |     0 | 0.00 || 1.51050 0.83473 1.63441 -24.93095 42.32993 -26.88317
  13 | 10904 | -3.09 | 1523.30 |     0 |     0 |     0 |  384.71 |    0.00 |    0.00 |     0 | 0.00 || -2.47666 1.46849 0.68663 -13.51200 7.80564 31.76059
  14 | 10900 | -2.74 | 1440.40 |     0 |     0 |     0 |  468.56 |    0.00 |    0.00 |     0 | 0.00 || 1.86468 -0.22435 0.49059 -11.01679 21.29586 -57.93261
  15 | 10878 | -2.87 | 1603.40 |     0 |     0 |     0 |  403.70 |    0.00 |    0.00 |     0 | 0.00 || -0.72717 0.63014 -2.03492 -17.52687 -8.80265 36.47385
  16 | 10858 | -2.77 | 1436.60 |     0 |     0 |     0 |  388.80 |    0.00 |    0.00 |     0 | 0.00 || 0.27381 -0.31267 2.42961 -31.77268 43.98260 -33.48128
  17 | 10840 | -2.94 | 1341.50 |     0 |     0 |     0 |  132.57 |    0.00 |    0.00 |     0 | 0.00 || 2.40506 -0.78239 1.60310 -14.00557 19.57866 -74.50940
  18 | 10802 | -3.28 | 1378.20 |     0 |     0 |     0 |  469.77 |    0.00 |    0.00 |     0 | 0.00 || 0.26347 -1.09511 2.89426 -1.08618 -4.65990 -58.11232
  19 | 10754 | -3.27 | 1764.00 |     0 |     0 |     0 |  303.37 |    0.00 |    0.00 |     0 | 0.00 || -0.92224 1.05009 -0.09221 -28.88360 4.82847 9.05647
  20 | 10680 | -2.97 | 1598.60 |     0 |     0 |     0 |  246.97 |    0.00 |    0.00 |     0 | 0.00 || 1.14228 1.08543 -0.53234 -9.22799 -50.06612 -10.76901
  21 | 10656 | -2.98 | 1477.30 |     0 |     0 |     0 |  473.41 |    0.00 |    0.00 |     0 | 0.00 || -1.36100 -0.72978 0.42606 2.88302 26.71532 -35.57328
  22 | 10614 | -3.08 | 1427.40 |     0 |     0 |     0 |  485.50 |    0.00 |    0.00 |     0 | 0.00 || -1.80862 -0.45571 -1.71072 12.73224 -61.30777 -26.69131
  23 | 10606 | -3.09 | 1479.20 |     0 |     0 |     0 |  144.00 |    0.00 |    0.00 |     0 | 0.00 || 0.77964 -0.42074 1.26123 -3.39734 28.20376 -40.46825
  24 | 10528 | -3.78 | 1478.30 |     0 |     0 |     0 |  310.70 |    0.00 |    0.00 |     0 | 0.00 || -2.94022 0.53517 0.89052 -32.31422 42.09134 -12.11300
  25 | 10398 | -2.79 | 1297.10 |     0 |     0 |     0 |  446.17 |    0.00 |    0.00 |     0 | 0.00 || -1.01728 0.61848 1.60534 -20.48770 -15.35210 4.06791
  26 | 10398 | -3.46 | 1485.50 |     0 |     0 |     0 |   87.46 |    0.00 |    0.00 |     0 | 0.00 || 1.49692 0.03801 -0.46465 -2.89024 -42.61602 -50.93966
  27 | 10354 | -2.75 | 1208.70 |     0 |     0 |     0 |   58.08 |    0.00 |    0.00 |     0 | 0.00 || -2.40836 -0.50893 1.74383 -56.61277 7.19022 -31.70338
  28 | 10288 | -3.63 | 1556.90 |     0 |     0 |     0 |  208.97 |    0.00 |    0.00 |     0 | 0.00 || -0.94425 0.35987 2.76858 -41.18200 22.32885 0.07741
  29 | 10272 | -3.27 | 1364.50 |     0 |     0 |     0 |  295.54 |    0.00 |    0.00 |     0 | 0.00 || -2.26802 0.57547 0.96589 -7.18846 16.03064 31.53254
  30 | 10260 | -2.86 | 1360.10 |     0 |     0 |     0 |  423.25 |    0.00 |    0.00 |     0 | 0.00 || -0.12081 0.27393 0.88811 38.05575 -1.90212 18.42883
  31 | 10246 | -3.13 | 1592.30 |     0 |     0 |     0 |  323.22 |    0.00 |    0.00 |     0 | 0.00 || -0.20765 -0.60481 -0.77114 10.59942 -62.32007 -38.12355
  32 | 10236 | -3.06 | 1526.50 |     0 |     0 |     0 |  207.32 |    0.00 |    0.00 |     0 | 0.00 || -1.07320 -0.85330 1.04476 17.94492 41.92622 -46.87268
  33 | 10222 | -3.19 | 1308.60 |     0 |     0 |     0 |  291.76 |    0.00 |    0.00 |     0 | 0.00 || 3.07829 0.90950 -1.53998 29.88894 -27.41141 19.87654
  34 | 10204 | -3.08 | 1468.90 |     0 |     0 |     0 |  227.22 |    0.00 |    0.00 |     0 | 0.00 || 0.85771 0.32442 1.30844 -5.59828 32.71460 -27.30129
  35 | 10184 | -2.64 | 1284.70 |     0 |     0 |     0 |  405.87 |    0.00 |    0.00 |     0 | 0.00 || 0.40690 -0.91707 -2.37425 -49.45981 -20.82305 -52.39720
  36 | 10134 | -2.79 | 1359.40 |     0 |     0 |     0 |  279.10 |    0.00 |    0.00 |     0 | 0.00 || 1.97512 -0.34501 -0.90357 -12.07816 0.01045 -59.83814
  37 | 10126 | -3.03 | 1471.10 |     0 |     0 |     0 |  120.28 |    0.00 |    0.00 |     0 | 0.00 || 0.13586 0.57155 -2.49818 -57.91526 18.13252 -12.80144
  38 | 10114 | -3.06 | 1461.50 |     0 |     0 |     0 |  463.97 |    0.00 |    0.00 |     0 | 0.00 || -1.99592 1.28465 -1.94272 6.17132 11.40741 -17.71799
  39 | 10108 | -3.09 | 1343.20 |     0 |     0 |     0 |  197.89 |    0.00 |    0.00 |     0 | 0.00 || 1.05634 0.66082 -1.47645 -9.22409 -31.44383 11.77527
  40 | 10066 | -2.93 | 1506.60 |     0 |     0 |     0 |  442.73 |    0.00 |    0.00 |     0 | 0.00 || 2.25665 -0.71859 0.47849 8.78732 -15.48163 -66.82875
