*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/2BTF_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/2BTF/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/2BTF_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 14616 | -3.60 | 2106.00 |     0 |     0 |     0 |  152.95 |    0.00 |    0.00 |     0 | 0.00 || 0.17124 -0.78036 2.94392 148.75575 93.75040 13.25190
   2 | 13894 | -2.79 | 1815.70 |     0 |     0 |     0 |  359.74 |    0.00 |    0.00 |     0 | 0.00 || -1.78290 0.73774 -0.41563 -64.09480 30.69679 95.99192
   3 | 13758 | -3.52 | 2218.50 |     0 |     0 |     0 |  -82.10 |    0.00 |    0.00 |     0 | 0.00 || -0.10838 -1.22334 -1.66101 -38.48023 128.84149 64.25208
   4 | 13434 | -3.04 | 1732.30 |     0 |     0 |     0 |  233.28 |    0.00 |    0.00 |     0 | 0.00 || 1.64323 0.53410 0.47285 17.94605 121.77374 -43.46318
   5 | 13356 | -3.45 | 1870.00 |     0 |     0 |     0 |  293.40 |    0.00 |    0.00 |     0 | 0.00 || 2.15859 -1.14286 -1.87761 124.22223 55.40366 77.70321
   6 | 13324 | -3.36 | 1867.20 |     0 |     0 |     0 |  255.80 |    0.00 |    0.00 |     0 | 0.00 || 3.07170 1.01282 -2.68469 117.82481 -2.43924 58.11756
   7 | 13274 | -3.61 | 2093.20 |     0 |     0 |     0 |  341.48 |    0.00 |    0.00 |     0 | 0.00 || 0.59603 1.52478 -0.85779 93.90507 -57.64790 -0.54685
   8 | 13210 | -2.74 | 1887.60 |     0 |     0 |     0 |  333.86 |    0.00 |    0.00 |     0 | 0.00 || -2.34474 -0.21650 -1.16733 46.22380 56.59100 167.48480
   9 | 13194 | -3.09 | 1809.70 |     0 |     0 |     0 |  178.64 |    0.00 |    0.00 |     0 | 0.00 || 0.24933 -0.82378 2.76346 119.92799 72.16474 13.14079
  10 | 13074 | -4.07 | 2355.20 |     0 |     0 |     0 |  120.53 |    0.00 |    0.00 |     0 | 0.00 || 2.12346 -0.59833 -1.66720 158.24883 85.76764 40.98881
  11 | 13032 | -3.06 | 1866.40 |     0 |     0 |     0 |  404.74 |    0.00 |    0.00 |     0 | 0.00 || -3.09172 -0.25470 1.12964 -34.92036 54.68021 140.65863
  12 | 13030 | -3.93 | 2082.10 |     0 |     0 |     0 | -181.32 |    0.00 |    0.00 |     0 | 0.00 || 2.18832 0.99736 1.31221 -99.94752 73.03866 2.70370
  13 | 12972 | -3.50 | 1806.20 |     0 |     0 |     0 |  205.82 |    0.00 |    0.00 |     0 | 0.00 || 1.84875 -1.00094 -2.25727 126.20244 42.35730 63.11134
  14 | 12956 | -4.11 | 2003.40 |     0 |     0 |     0 |  212.04 |    0.00 |    0.00 |     0 | 0.00 || 1.99116 0.70744 -2.81041 39.07381 -52.45387 -7.89895
