*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/2C0L_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/2C0L/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/2C0L_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 14746 | -3.17 | 2281.50 |     0 |     0 |     0 |  276.74 |    0.00 |    0.00 |     0 | 0.00 || -0.58533 0.33674 0.51170 9.65370 -12.87649 -10.33824
   2 | 13580 | -3.83 | 2112.00 |     0 |     0 |     0 |  302.89 |    0.00 |    0.00 |     0 | 0.00 || 0.96014 -0.78039 1.35838 -55.09010 -11.03467 46.97873
   3 | 13296 | -3.24 | 1821.40 |     0 |     0 |     0 |  160.13 |    0.00 |    0.00 |     0 | 0.00 || -0.69335 0.23843 -2.83989 -5.62344 -10.67091 -9.68138
   4 | 13070 | -3.28 | 1708.70 |     0 |     0 |     0 |  395.80 |    0.00 |    0.00 |     0 | 0.00 || 2.93109 1.02411 2.69077 54.96716 -21.98354 69.75153
   5 | 12738 | -3.34 | 2095.10 |     0 |     0 |     0 |  373.89 |    0.00 |    0.00 |     0 | 0.00 || -1.70759 0.43849 -1.97466 -28.27625 45.98281 29.40887
   6 | 12662 | -3.15 | 1622.80 |     0 |     0 |     0 |  437.67 |    0.00 |    0.00 |     0 | 0.00 || 1.48141 0.04721 2.29926 -15.00776 -12.95450 83.00085
   7 | 12590 | -4.46 | 2035.30 |     0 |     0 |     0 |  249.18 |    0.00 |    0.00 |     0 | 0.00 || -1.56615 0.29045 -0.22461 6.37085 -18.88522 24.22859
   8 | 12560 | -3.08 | 1743.10 |     0 |     0 |     0 |  273.10 |    0.00 |    0.00 |     0 | 0.00 || -2.35090 -0.39254 -2.08439 -63.75718 41.49422 68.75798
   9 | 12550 | -2.97 | 1827.10 |     0 |     0 |     0 |  368.51 |    0.00 |    0.00 |     0 | 0.00 || 1.26640 -0.59263 -3.07919 6.20817 -71.54546 57.96925
  10 | 12516 | -3.56 | 2004.40 |     0 |     0 |     0 |  214.71 |    0.00 |    0.00 |     0 | 0.00 || 0.65102 -1.45085 -0.56498 10.69522 41.96526 48.13524
  11 | 12502 | -2.95 | 1681.90 |     0 |     0 |     0 |  -21.11 |    0.00 |    0.00 |     0 | 0.00 || -2.49741 0.84659 1.56272 56.31891 -37.81665 44.38335
