*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/DockingBenchmark5/2GAF_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/2GAF/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/DockingBenchmark5/2GAF_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 17342 | -2.99 | 2349.40 |     0 |     0 |     0 |  478.74 |    0.00 |    0.00 |     0 | 0.00 || 0.76910 0.47589 -1.65665 48.70389 22.15406 -53.04648
   2 | 16914 | -4.33 | 2664.40 |     0 |     0 |     0 |  393.06 |    0.00 |    0.00 |     0 | 0.00 || 0.47302 -0.52485 2.94034 118.85339 32.17930 16.93768
   3 | 16310 | -2.54 | 1981.20 |     0 |     0 |     0 |  489.36 |    0.00 |    0.00 |     0 | 0.00 || -1.70293 -0.56636 2.65919 76.31578 89.43359 130.56866
   4 | 15796 | -3.14 | 2142.80 |     0 |     0 |     0 |  125.09 |    0.00 |    0.00 |     0 | 0.00 || -2.18563 -0.44103 -1.98055 -22.45864 44.95471 122.21370
   5 | 15486 | -2.73 | 1877.60 |     0 |     0 |     0 |  456.18 |    0.00 |    0.00 |     0 | 0.00 || 3.05114 -0.81451 0.56387 -1.89932 103.76476 84.52753
   6 | 15478 | -2.80 | 2015.40 |     0 |     0 |     0 |  441.56 |    0.00 |    0.00 |     0 | 0.00 || 0.17881 -1.14892 -3.07242 84.80474 89.26245 23.55168
   7 | 15346 | -3.98 | 3304.20 |     0 |     0 |     0 |   52.69 |    0.00 |    0.00 |     0 | 0.00 || -2.61789 -0.24928 1.96487 52.44706 20.46579 149.06775
   8 | 15282 | -4.19 | 2652.80 |     0 |     0 |     0 |  101.54 |    0.00 |    0.00 |     0 | 0.00 || -1.44115 -0.42585 -1.82114 -60.88857 69.39822 81.19436
   9 | 15096 | -4.21 | 2429.80 |     0 |     0 |     0 |  456.70 |    0.00 |    0.00 |     0 | 0.00 || 3.08832 -0.26263 -2.11936 54.32344 23.11167 113.46836
  10 | 15084 | -3.52 | 2245.70 |     0 |     0 |     0 |  328.99 |    0.00 |    0.00 |     0 | 0.00 || -0.90937 -0.35639 -1.24060 -55.71482 93.71420 33.37877
