*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/2GOX_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/2GOX/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/2GOX_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 10216 | -2.25 | 1206.40 |     0 |     0 |     0 |  337.67 |    0.00 |    0.00 |     0 | 0.00 || 1.73806 -0.56229 -2.16209 45.88927 -27.01099 63.67825
   2 | 10126 | -3.02 | 1229.70 |     0 |     0 |     0 |  349.05 |    0.00 |    0.00 |     0 | 0.00 || -1.84631 -0.85133 1.88184 46.96402 -48.68120 13.79790
   3 | 10100 | -3.09 | 1276.80 |     0 |     0 |     0 |  386.99 |    0.00 |    0.00 |     0 | 0.00 || 0.42358 0.36834 -0.99172 22.08440 -8.73045 -13.43283
   4 |  9908 | -3.65 | 1289.50 |     0 |     0 |     0 |  318.92 |    0.00 |    0.00 |     0 | 0.00 || -0.76602 -0.71883 2.22325 20.93454 -96.33671 -17.76001
   5 |  9812 | -2.65 | 1342.30 |     0 |     0 |     0 |  351.73 |    0.00 |    0.00 |     0 | 0.00 || 2.84504 0.60568 -1.37146 -40.45608 -12.44169 15.42112
   6 |  9762 | -2.80 | 1195.50 |     0 |     0 |     0 |  232.14 |    0.00 |    0.00 |     0 | 0.00 || -2.94202 0.99454 2.48904 54.67149 -45.40593 -4.69583
   7 |  9668 | -3.07 | 1371.40 |     0 |     0 |     0 |  478.45 |    0.00 |    0.00 |     0 | 0.00 || -0.54955 0.19338 0.88362 -31.83417 -32.13135 -33.82436
   8 |  9620 | -2.99 | 1310.80 |     0 |     0 |     0 |  418.85 |    0.00 |    0.00 |     0 | 0.00 || -0.89782 -0.91524 -0.16086 -54.18238 -35.94519 -11.82702
   9 |  9578 | -2.88 | 1199.20 |     0 |     0 |     0 |  269.35 |    0.00 |    0.00 |     0 | 0.00 || -0.08074 -0.80307 -1.12810 20.94304 -10.18475 5.56966
  10 |  9540 | -4.00 | 1307.80 |     0 |     0 |     0 |  117.06 |    0.00 |    0.00 |     0 | 0.00 || 1.38317 0.52321 2.61548 48.39835 -86.51387 37.69820
  11 |  9458 | -2.82 | 1178.80 |     0 |     0 |     0 |  471.09 |    0.00 |    0.00 |     0 | 0.00 || -2.86904 1.09196 3.10073 52.06715 17.72272 -1.55428
