*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/2HQS_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/2HQS/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/2HQS_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 13508 | -3.48 | 1969.40 |     0 |     0 |     0 |  488.68 |    0.00 |    0.00 |     0 | 0.00 || 1.49964 0.25657 2.91004 -28.99597 20.47121 -8.77108
   2 | 12776 | -3.10 | 1568.00 |     0 |     0 |     0 |  367.42 |    0.00 |    0.00 |     0 | 0.00 || -0.74034 -1.40428 -2.02500 -3.04498 -12.96513 -44.73746
   3 | 12756 | -3.33 | 1997.30 |     0 |     0 |     0 |  466.44 |    0.00 |    0.00 |     0 | 0.00 || 2.03010 -0.02801 0.96298 41.95885 -2.89301 -19.47275
   4 | 12632 | -2.71 | 1500.20 |     0 |     0 |     0 |  282.60 |    0.00 |    0.00 |     0 | 0.00 || 0.40168 -0.50085 -1.28399 15.72145 -46.38511 22.15928
   5 | 12628 | -3.47 | 1966.10 |     0 |     0 |     0 |  454.12 |    0.00 |    0.00 |     0 | 0.00 || -1.99882 0.73618 -2.64352 -2.39493 -47.47006 9.08471
   6 | 12444 | -3.81 | 1731.70 |     0 |     0 |     0 |  481.39 |    0.00 |    0.00 |     0 | 0.00 || 1.81188 -0.19682 1.89297 -7.16587 23.79285 -22.55063
   7 | 12384 | -3.15 | 1684.20 |     0 |     0 |     0 |  394.22 |    0.00 |    0.00 |     0 | 0.00 || -1.20135 0.53370 -1.59964 36.64663 -25.14964 0.35611
   8 | 12324 | -2.92 | 1552.70 |     0 |     0 |     0 |  289.81 |    0.00 |    0.00 |     0 | 0.00 || 0.23450 -0.15327 -2.19072 -27.16399 -22.44893 -8.61669
   9 | 12312 | -2.97 | 1658.40 |     0 |     0 |     0 |  431.36 |    0.00 |    0.00 |     0 | 0.00 || -0.54607 -0.23482 -1.83751 -9.43296 -30.29568 -14.38201
  10 | 12218 | -3.02 | 1814.60 |     0 |     0 |     0 |  391.62 |    0.00 |    0.00 |     0 | 0.00 || -2.92384 -0.26137 -0.80609 3.23268 -9.56183 -38.08875
  11 | 12168 | -2.58 | 1413.70 |     0 |     0 |     0 |  212.19 |    0.00 |    0.00 |     0 | 0.00 || 0.95116 -0.32532 -2.39233 -19.62098 -18.21321 28.32133
