*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/2HRK_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/2HRK/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/2HRK_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 13378 | -2.82 | 1667.30 |     0 |     0 |     0 |  254.85 |    0.00 |    0.00 |     0 | 0.00 || -2.42043 0.45598 0.01461 6.47947 -4.51828 11.95647
   2 | 12492 | -2.91 | 1735.10 |     0 |     0 |     0 |  334.50 |    0.00 |    0.00 |     0 | 0.00 || -0.45157 0.88959 0.13861 8.55924 -34.82348 5.66603
   3 | 12348 | -3.24 | 1821.30 |     0 |     0 |     0 |  435.05 |    0.00 |    0.00 |     0 | 0.00 || -2.21128 -1.37259 0.84708 16.00219 8.49121 -9.18200
   4 | 12040 | -2.77 | 1578.10 |     0 |     0 |     0 |   67.03 |    0.00 |    0.00 |     0 | 0.00 || -0.80258 0.30558 -2.94189 5.81576 3.47257 -15.60881
   5 | 11950 | -3.19 | 1583.90 |     0 |     0 |     0 | -180.46 |    0.00 |    0.00 |     0 | 0.00 || -1.03798 0.51746 -0.71577 -35.25288 -24.81531 9.42862
   6 | 11932 | -3.47 | 2013.20 |     0 |     0 |     0 |  257.54 |    0.00 |    0.00 |     0 | 0.00 || -3.09476 0.41167 -0.98551 28.73237 -9.10288 -2.12793
   7 | 11908 | -2.82 | 1490.00 |     0 |     0 |     0 |  -75.88 |    0.00 |    0.00 |     0 | 0.00 || -2.93378 -0.50297 2.56576 -39.47436 -33.92143 -4.07382
   8 | 11866 | -3.10 | 1577.80 |     0 |     0 |     0 |  460.93 |    0.00 |    0.00 |     0 | 0.00 || 0.40589 0.70978 2.46253 17.30001 9.58075 -7.86484
   9 | 11588 | -2.65 | 1500.10 |     0 |     0 |     0 |  294.99 |    0.00 |    0.00 |     0 | 0.00 || 1.25045 0.22223 1.91837 8.65882 3.24364 -17.90326
  10 | 11562 | -2.85 | 1485.00 |     0 |     0 |     0 |  144.51 |    0.00 |    0.00 |     0 | 0.00 || 1.73721 0.82411 -0.97970 16.42528 -20.63533 -3.46351
  11 | 11470 | -2.94 | 1475.90 |     0 |     0 |     0 |  -11.95 |    0.00 |    0.00 |     0 | 0.00 || 0.20614 0.87079 -2.35602 -42.44630 -8.88165 -6.18113
  12 | 11276 | -2.86 | 1488.10 |     0 |     0 |     0 | -161.72 |    0.00 |    0.00 |     0 | 0.00 || -2.71532 -0.03259 -2.95752 -25.87397 -42.65900 -3.46864
  13 | 11264 | -3.66 | 1527.80 |     0 |     0 |     0 |  387.12 |    0.00 |    0.00 |     0 | 0.00 || 0.59382 1.22683 -0.76740 8.30070 -30.70963 1.98071
  14 | 11198 | -2.95 | 1394.20 |     0 |     0 |     0 |  247.05 |    0.00 |    0.00 |     0 | 0.00 || -1.24423 0.49069 0.22706 2.20881 -15.37913 24.41437
  15 | 11186 | -2.76 | 1453.40 |     0 |     0 |     0 |  263.31 |    0.00 |    0.00 |     0 | 0.00 || -1.21706 -1.15461 -0.39442 -5.63331 -32.70879 -2.28707
  16 | 11116 | -3.19 | 1699.60 |     0 |     0 |     0 |  293.84 |    0.00 |    0.00 |     0 | 0.00 || 3.11466 -0.00948 0.41179 -27.40385 4.72685 -9.01638
  17 | 11034 | -3.93 | 1712.70 |     0 |     0 |     0 |  152.47 |    0.00 |    0.00 |     0 | 0.00 || -1.41188 -0.38207 -0.14767 -9.08653 -21.06792 14.60044
  18 | 10984 | -3.68 | 1915.40 |     0 |     0 |     0 |   93.48 |    0.00 |    0.00 |     0 | 0.00 || -0.97931 0.90393 -0.05072 -1.05469 -25.73639 10.58330
  19 | 10976 | -2.77 | 1507.40 |     0 |     0 |     0 |  378.48 |    0.00 |    0.00 |     0 | 0.00 || 3.09644 -0.60564 2.26446 -15.92785 -18.21511 0.32299
