*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/2I9B_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/2I9B/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/2I9B_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 16804 | -3.27 | 2307.50 |     0 |     0 |     0 |  399.47 |    0.00 |    0.00 |     0 | 0.00 || -0.70985 0.92033 -1.12960 -152.25735 110.51374 62.18274
   2 | 16656 | -3.18 | 2073.70 |     0 |     0 |     0 |  -53.20 |    0.00 |    0.00 |     0 | 0.00 || 2.05477 0.74146 0.50232 -28.32431 286.17395 -29.45588
   3 | 16398 | -3.88 | 2964.80 |     0 |     0 |     0 |  487.52 |    0.00 |    0.00 |     0 | 0.00 || 2.15596 -0.60036 1.89930 -112.43327 57.43490 -30.48940
   4 | 15412 | -3.85 | 2551.30 |     0 |     0 |     0 |  238.67 |    0.00 |    0.00 |     0 | 0.00 || 2.06283 0.41660 0.21802 -9.49894 237.86755 -47.07707
   5 | 15350 | -3.32 | 2172.10 |     0 |     0 |     0 |  385.87 |    0.00 |    0.00 |     0 | 0.00 || -0.22620 0.65702 -1.11276 -134.25552 57.63408 28.61259
   6 | 14924 | -3.49 | 2600.70 |     0 |     0 |     0 |  193.73 |    0.00 |    0.00 |     0 | 0.00 || -3.06799 0.79914 -1.60929 101.14029 166.40509 76.73066
   7 | 14090 | -2.55 | 1656.40 |     0 |     0 |     0 |  343.13 |    0.00 |    0.00 |     0 | 0.00 || 2.76680 -0.89559 1.72569 -158.15277 107.14191 33.84142
   8 | 14014 | -3.37 | 2000.70 |     0 |     0 |     0 |  377.10 |    0.00 |    0.00 |     0 | 0.00 || -2.08323 -0.73099 0.68345 32.53194 202.61192 133.45309
   9 | 13908 | -3.14 | 1966.30 |     0 |     0 |     0 |   65.32 |    0.00 |    0.00 |     0 | 0.00 || -0.73441 -1.25800 -1.55851 -158.78317 71.14415 32.87915
  10 | 13660 | -4.25 | 2637.30 |     0 |     0 |     0 |  459.78 |    0.00 |    0.00 |     0 | 0.00 || -0.42462 -0.40737 -2.91376 -59.33781 261.18506 43.17502
  11 | 13100 | -3.21 | 2042.90 |     0 |     0 |     0 | -166.75 |    0.00 |    0.00 |     0 | 0.00 || 2.64077 -0.62708 0.22269 -69.03619 296.84753 9.13059
  12 | 13048 | -3.29 | 1792.10 |     0 |     0 |     0 | -105.24 |    0.00 |    0.00 |     0 | 0.00 || 2.79143 -0.66190 2.93696 -68.56020 34.97574 27.30124
  13 | 12964 | -3.73 | 2473.50 |     0 |     0 |     0 |   47.75 |    0.00 |    0.00 |     0 | 0.00 || -3.06627 0.03049 0.35709 -68.44390 244.39313 97.12807
  14 | 12900 | -3.55 | 1599.30 |     0 |     0 |     0 |  106.41 |    0.00 |    0.00 |     0 | 0.00 || -0.32062 -0.86696 -2.83723 -83.49825 294.69479 21.75155
