*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/2J0T_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/2J0T/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/2J0T_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 13546 | -3.05 | 1764.60 |     0 |     0 |     0 | -116.40 |    0.00 |    0.00 |     0 | 0.00 || 0.23430 -1.17968 0.07433 24.27687 11.11807 53.36256
   2 | 13106 | -3.19 | 1761.00 |     0 |     0 |     0 |  115.35 |    0.00 |    0.00 |     0 | 0.00 || -0.67917 -0.31503 2.74287 115.08436 -17.87884 45.54319
   3 | 12744 | -3.04 | 1747.60 |     0 |     0 |     0 |  -31.34 |    0.00 |    0.00 |     0 | 0.00 || -3.12110 -0.64959 2.40396 91.74094 -31.86219 69.66472
   4 | 11686 | -3.57 | 1789.60 |     0 |     0 |     0 | -204.74 |    0.00 |    0.00 |     0 | 0.00 || -0.04734 -0.82513 2.96022 99.43730 -2.97053 76.10158
   5 | 11412 | -3.30 | 1578.10 |     0 |     0 |     0 |  239.54 |    0.00 |    0.00 |     0 | 0.00 || 0.64456 1.31160 -1.95367 75.41899 -14.00574 -10.58699
   6 | 11144 | -2.63 | 1508.70 |     0 |     0 |     0 | -177.51 |    0.00 |    0.00 |     0 | 0.00 || 2.59560 0.99642 -1.11199 36.81628 29.23769 -20.41647
   7 | 11066 | -3.36 | 1509.70 |     0 |     0 |     0 |  111.78 |    0.00 |    0.00 |     0 | 0.00 || 2.16696 -0.47006 -0.83099 53.74944 25.75847 64.94657
   8 | 11038 | -3.05 | 1355.30 |     0 |     0 |     0 | -184.77 |    0.00 |    0.00 |     0 | 0.00 || 1.87037 0.83025 -0.41374 31.32747 26.47514 -24.80478
   9 | 10864 | -2.61 | 1353.40 |     0 |     0 |     0 |  -13.24 |    0.00 |    0.00 |     0 | 0.00 || 0.24439 -0.07255 -0.91784 15.66207 50.29044 30.19808
  10 | 10810 | -3.51 | 1759.80 |     0 |     0 |     0 |   43.29 |    0.00 |    0.00 |     0 | 0.00 || 1.37522 -0.06506 2.48858 104.43764 -43.08531 25.37827
  11 | 10758 | -3.63 | 1757.40 |     0 |     0 |     0 | -279.37 |    0.00 |    0.00 |     0 | 0.00 || 1.62698 0.68739 -1.32931 53.37343 45.75304 -13.58519
  12 | 10752 | -2.83 | 1381.70 |     0 |     0 |     0 |  221.64 |    0.00 |    0.00 |     0 | 0.00 || 2.42755 -0.45229 2.26081 84.47254 -47.82356 62.57444
  13 | 10676 | -2.86 | 1418.90 |     0 |     0 |     0 | -208.80 |    0.00 |    0.00 |     0 | 0.00 || 2.98280 -1.18862 2.43369 71.56770 -6.34340 91.38351
  14 | 10636 | -3.07 | 1364.20 |     0 |     0 |     0 |  357.52 |    0.00 |    0.00 |     0 | 0.00 || 1.18553 0.80053 -2.20766 92.12881 2.35667 2.52572
  15 | 10584 | -3.38 | 1502.50 |     0 |     0 |     0 |  -38.65 |    0.00 |    0.00 |     0 | 0.00 || 2.44661 0.23036 2.29912 94.02598 -50.83664 15.10912
  16 | 10564 | -3.33 | 1520.30 |     0 |     0 |     0 |  245.17 |    0.00 |    0.00 |     0 | 0.00 || 3.03837 -0.97553 -0.01790 60.91214 -4.16458 65.09998
  17 | 10516 | -2.34 | 1241.80 |     0 |     0 |     0 |  -84.44 |    0.00 |    0.00 |     0 | 0.00 || 1.14424 0.70206 -1.27880 49.70187 46.83103 -11.85781
