*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/2JEL_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/2JEL/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/2JEL_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 16200 | -3.16 | 2189.60 |     0 |     0 |     0 |   39.05 |    0.00 |    0.00 |     0 | 0.00 || 1.90912 0.90927 -1.71017 46.38183 65.48463 -27.59101
   2 | 15772 | -3.74 | 2288.30 |     0 |     0 |     0 |   59.50 |    0.00 |    0.00 |     0 | 0.00 || 0.44851 -1.03029 0.41550 -10.57527 23.90074 41.59093
   3 | 14330 | -3.59 | 2050.00 |     0 |     0 |     0 |  137.70 |    0.00 |    0.00 |     0 | 0.00 || 1.84055 0.18470 1.59592 24.86112 -60.00714 20.18912
   4 | 13930 | -3.80 | 2323.70 |     0 |     0 |     0 | -200.11 |    0.00 |    0.00 |     0 | 0.00 || -1.16525 0.58425 2.58927 68.19691 -29.41975 -93.55330
   5 | 13830 | -2.51 | 1557.80 |     0 |     0 |     0 |  495.30 |    0.00 |    0.00 |     0 | 0.00 || 2.60215 -0.28557 0.23211 -8.34005 -29.18572 42.57407
   6 | 13420 | -3.38 | 1901.10 |     0 |     0 |     0 |  104.88 |    0.00 |    0.00 |     0 | 0.00 || -2.75433 -0.63091 2.55534 94.50735 11.61942 30.00406
   7 | 13068 | -3.03 | 1673.80 |     0 |     0 |     0 |   96.70 |    0.00 |    0.00 |     0 | 0.00 || 3.12627 0.96258 2.60780 91.67317 10.07589 -39.23707
   8 | 12736 | -3.51 | 2160.40 |     0 |     0 |     0 |  329.87 |    0.00 |    0.00 |     0 | 0.00 || -0.71304 -0.61558 -2.48256 91.68103 29.29401 -1.61375
   9 | 12724 | -3.27 | 1881.40 |     0 |     0 |     0 |  380.80 |    0.00 |    0.00 |     0 | 0.00 || -0.85895 -0.21812 1.04397 3.84369 -68.51463 -57.17556
  10 | 12628 | -3.84 | 2235.30 |     0 |     0 |     0 |  415.89 |    0.00 |    0.00 |     0 | 0.00 || -1.36194 0.23211 -2.52994 62.26084 32.64423 -50.46240
  11 | 12620 | -3.23 | 2110.10 |     0 |     0 |     0 |  262.73 |    0.00 |    0.00 |     0 | 0.00 || 0.72526 -0.03287 0.11287 -29.23421 31.45186 7.14002
  12 | 12378 | -3.71 | 2062.90 |     0 |     0 |     0 |  -81.84 |    0.00 |    0.00 |     0 | 0.00 || 1.80997 1.21552 1.92990 53.60059 -74.29073 -71.85024
  13 | 12304 | -3.99 | 2198.50 |     0 |     0 |     0 |  214.74 |    0.00 |    0.00 |     0 | 0.00 || -1.63793 0.12011 -0.62117 -8.03415 -4.41892 -69.61520
  14 | 12242 | -3.55 | 1713.10 |     0 |     0 |     0 | -158.43 |    0.00 |    0.00 |     0 | 0.00 || -2.86160 -0.30387 0.75629 33.11240 -83.04208 -7.86574
  15 | 12234 | -3.05 | 1627.30 |     0 |     0 |     0 |  218.68 |    0.00 |    0.00 |     0 | 0.00 || -2.88275 -0.99365 -0.41098 -6.47688 -24.06329 48.60493
