*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/2MTA_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/2MTA/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/2MTA_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 12706 | -3.29 | 1767.40 |     0 |     0 |     0 | -140.23 |    0.00 |    0.00 |     0 | 0.00 || 0.86485 0.31860 -2.97567 4.63063 -6.67351 -42.58375
   2 | 12604 | -3.36 | 1896.20 |     0 |     0 |     0 |  234.09 |    0.00 |    0.00 |     0 | 0.00 || 3.13845 -0.94250 1.96969 5.97949 27.05344 51.80527
   3 | 12210 | -2.56 | 1500.20 |     0 |     0 |     0 |  -90.01 |    0.00 |    0.00 |     0 | 0.00 || -0.64132 0.31868 -1.17597 -13.40062 -20.70768 -8.75472
   4 | 12210 | -2.89 | 1707.80 |     0 |     0 |     0 |  150.45 |    0.00 |    0.00 |     0 | 0.00 || 0.68728 -0.20974 1.85073 34.89933 -20.13858 -41.48130
   5 | 12122 | -3.25 | 1826.10 |     0 |     0 |     0 | -518.85 |    0.00 |    0.00 |     0 | 0.00 || -3.10619 -0.15632 -0.07169 18.42350 16.49525 16.59839
   6 | 12058 | -2.78 | 1488.80 |     0 |     0 |     0 |  135.23 |    0.00 |    0.00 |     0 | 0.00 || 1.76430 -0.37361 1.06637 13.66939 29.64684 8.92377
   7 | 12016 | -2.92 | 1639.20 |     0 |     0 |     0 | -242.38 |    0.00 |    0.00 |     0 | 0.00 || -2.19032 0.33545 2.54319 27.68170 -22.28088 27.30204
   8 | 11908 | -2.67 | 1404.60 |     0 |     0 |     0 |  474.94 |    0.00 |    0.00 |     0 | 0.00 || -0.47656 -0.94376 0.00991 35.52521 -11.33332 35.18758
   9 | 11860 | -2.94 | 1636.90 |     0 |     0 |     0 |   71.09 |    0.00 |    0.00 |     0 | 0.00 || 0.57355 -0.20398 1.18444 34.16670 -21.93756 -40.92158
  10 | 11826 | -2.51 | 1440.10 |     0 |     0 |     0 |  101.36 |    0.00 |    0.00 |     0 | 0.00 || -1.41857 -0.28894 -0.92873 6.84181 -33.33986 19.24681
