*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/2NYZ_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/2NYZ/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/2NYZ_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 17978 | -4.93 | 4274.20 |     0 |     0 |     0 |  -38.75 |    0.00 |    0.00 |     0 | 0.00 || 0.20347 -0.85848 -1.60627 40.47151 47.22818 25.30135
   2 | 17768 | -3.90 | 3065.90 |     0 |     0 |     0 |  433.85 |    0.00 |    0.00 |     0 | 0.00 || 1.34184 1.19616 -1.16293 127.65718 29.39259 137.73955
   3 | 16932 | -3.64 | 2544.00 |     0 |     0 |     0 | -216.59 |    0.00 |    0.00 |     0 | 0.00 || -0.70958 -0.85764 -0.09124 -68.23733 -63.47951 32.81660
   4 | 16792 | -4.31 | 2481.20 |     0 |     0 |     0 |  275.47 |    0.00 |    0.00 |     0 | 0.00 || 1.32990 -0.01450 -0.43064 46.64349 104.09588 104.93380
   5 | 16558 | -3.95 | 2771.90 |     0 |     0 |     0 |  138.85 |    0.00 |    0.00 |     0 | 0.00 || -1.99774 -1.09022 0.50524 57.77448 -64.17065 112.71632
   6 | 16546 | -3.57 | 2705.90 |     0 |     0 |     0 |  242.53 |    0.00 |    0.00 |     0 | 0.00 || -0.07550 -0.24985 -1.46462 4.04132 32.21078 9.06596
   7 | 16490 | -3.55 | 3274.30 |     0 |     0 |     0 | -254.73 |    0.00 |    0.00 |     0 | 0.00 || -2.84501 -0.57627 0.32781 71.98251 -0.48787 171.51196
   8 | 16346 | -3.32 | 2161.70 |     0 |     0 |     0 |   17.34 |    0.00 |    0.00 |     0 | 0.00 || 0.34644 0.68556 -1.82143 27.00879 -56.85581 49.50094
   9 | 16298 | -3.56 | 2251.60 |     0 |     0 |     0 | -252.79 |    0.00 |    0.00 |     0 | 0.00 || -1.74952 0.39092 0.09340 44.88604 -53.91993 126.07282
  10 | 15896 | -3.58 | 2657.80 |     0 |     0 |     0 | -378.21 |    0.00 |    0.00 |     0 | 0.00 || 1.54169 -0.60613 -0.50551 61.74480 61.64117 96.26362
  11 | 15848 | -3.00 | 2063.80 |     0 |     0 |     0 |  -26.84 |    0.00 |    0.00 |     0 | 0.00 || 1.72725 -0.90280 -2.54831 63.01208 -70.56385 130.39851
  12 | 15836 | -3.36 | 2211.00 |     0 |     0 |     0 |  256.89 |    0.00 |    0.00 |     0 | 0.00 || 2.04099 0.24870 1.46822 -86.99622 32.72248 159.50684
  13 | 15754 | -3.05 | 2225.10 |     0 |     0 |     0 |  -64.49 |    0.00 |    0.00 |     0 | 0.00 || -0.37668 0.76430 -2.51952 -87.29460 -14.75360 48.64909
  14 | 15696 | -3.86 | 2319.60 |     0 |     0 |     0 |   40.89 |    0.00 |    0.00 |     0 | 0.00 || -1.53872 -0.48310 0.24903 53.05469 -50.30642 66.28737
  15 | 15690 | -3.67 | 2118.50 |     0 |     0 |     0 |  111.47 |    0.00 |    0.00 |     0 | 0.00 || -2.84850 0.73059 -0.52448 -79.81552 -0.32266 188.85617
  16 | 15668 | -3.94 | 2227.80 |     0 |     0 |     0 |  182.16 |    0.00 |    0.00 |     0 | 0.00 || 2.83142 1.38455 -1.04582 -38.77911 74.35970 124.84744
  17 | 15602 | -2.99 | 2263.10 |     0 |     0 |     0 |    1.85 |    0.00 |    0.00 |     0 | 0.00 || -0.40957 -0.45375 2.70476 13.89861 14.85614 12.69714
  18 | 15530 | -4.55 | 2470.60 |     0 |     0 |     0 |  161.07 |    0.00 |    0.00 |     0 | 0.00 || 0.41589 0.96279 -1.82720 16.54987 -80.77376 67.86357
  19 | 15492 | -3.23 | 2392.00 |     0 |     0 |     0 |  297.97 |    0.00 |    0.00 |     0 | 0.00 || 1.63891 0.00643 1.29456 -42.85230 54.16730 123.83073
  20 | 15486 | -3.60 | 2152.70 |     0 |     0 |     0 |   94.49 |    0.00 |    0.00 |     0 | 0.00 || 2.61834 -1.05887 0.56099 46.72982 96.19730 131.66377
  21 | 15420 | -2.99 | 2194.10 |     0 |     0 |     0 |  -71.47 |    0.00 |    0.00 |     0 | 0.00 || -1.95261 0.21829 -2.19150 -45.95455 45.72562 124.32948
