*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/2O3B_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/2O3B/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/2O3B_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 12862 | -2.81 | 1595.20 |     0 |     0 |     0 |  351.86 |    0.00 |    0.00 |     0 | 0.00 || 0.48690 1.01860 1.27623 59.51658 51.58637 29.30151
   2 | 12410 | -3.43 | 1641.70 |     0 |     0 |     0 |  287.94 |    0.00 |    0.00 |     0 | 0.00 || 1.29029 -0.42943 0.89558 -8.82319 16.31749 -33.97143
   3 | 11946 | -2.91 | 1416.40 |     0 |     0 |     0 |  233.87 |    0.00 |    0.00 |     0 | 0.00 || -0.58098 -0.06885 1.28617 55.88074 51.98561 4.05877
   4 | 11854 | -3.67 | 1870.90 |     0 |     0 |     0 |  398.08 |    0.00 |    0.00 |     0 | 0.00 || 1.83365 0.22593 3.12728 -34.75688 18.96812 -26.15668
   5 | 11800 | -2.87 | 1480.70 |     0 |     0 |     0 |  324.45 |    0.00 |    0.00 |     0 | 0.00 || 0.58014 0.94859 0.72214 65.15598 22.10289 29.00748
   6 | 11730 | -3.16 | 1656.10 |     0 |     0 |     0 |  127.02 |    0.00 |    0.00 |     0 | 0.00 || 3.02738 -0.25328 2.73937 -32.07283 -10.48590 20.97198
   7 | 11526 | -2.97 | 1772.50 |     0 |     0 |     0 |  361.67 |    0.00 |    0.00 |     0 | 0.00 || -2.34131 -0.78566 -2.80077 -35.96482 -25.40542 26.29779
   8 | 11526 | -2.38 | 1303.20 |     0 |     0 |     0 |  416.38 |    0.00 |    0.00 |     0 | 0.00 || -1.46870 0.58552 1.84119 4.06299 14.78879 66.67402
   9 | 11476 | -2.74 | 1473.30 |     0 |     0 |     0 |  395.61 |    0.00 |    0.00 |     0 | 0.00 || -2.25688 -0.20285 2.77467 -25.99103 16.20788 66.52672
  10 | 11314 | -2.75 | 1459.60 |     0 |     0 |     0 |  392.86 |    0.00 |    0.00 |     0 | 0.00 || -0.06406 -0.75359 -1.11127 -51.39011 -15.32980 9.29380
  11 | 11270 | -3.76 | 1539.30 |     0 |     0 |     0 |  191.48 |    0.00 |    0.00 |     0 | 0.00 || -1.50333 0.11650 2.38657 3.30781 44.80115 79.78815
  12 | 11246 | -3.17 | 1544.40 |     0 |     0 |     0 |  435.73 |    0.00 |    0.00 |     0 | 0.00 || 2.48256 0.76618 1.16867 -36.44024 82.49930 9.58162
  13 | 11242 | -4.07 | 1753.00 |     0 |     0 |     0 |  419.13 |    0.00 |    0.00 |     0 | 0.00 || 1.94978 -1.35694 -1.36926 9.98746 85.44712 -17.43934
  14 | 11234 | -3.58 | 1566.30 |     0 |     0 |     0 |  486.30 |    0.00 |    0.00 |     0 | 0.00 || -1.30640 -0.12504 1.24936 14.39637 45.47541 71.47043
  15 | 11222 | -3.32 | 1640.90 |     0 |     0 |     0 |  332.26 |    0.00 |    0.00 |     0 | 0.00 || -0.82414 -0.40446 1.86314 36.21719 70.46596 52.78152
  16 | 11124 | -3.76 | 1638.80 |     0 |     0 |     0 |  370.85 |    0.00 |    0.00 |     0 | 0.00 || 1.55790 0.84078 0.65405 25.86915 103.35950 24.54568
  17 | 11060 | -2.90 | 1474.00 |     0 |     0 |     0 |  325.94 |    0.00 |    0.00 |     0 | 0.00 || -0.02898 -0.94207 -0.94282 -39.17107 -28.24834 -15.84852
  18 | 11036 | -2.58 | 1448.20 |     0 |     0 |     0 |   59.38 |    0.00 |    0.00 |     0 | 0.00 || 2.81736 0.05641 -0.18167 28.93890 42.94316 17.00431
  19 | 11028 | -2.55 | 1253.80 |     0 |     0 |     0 |  192.02 |    0.00 |    0.00 |     0 | 0.00 || 2.61745 0.27217 -2.98215 -19.06051 -28.17698 50.52122
  20 | 11024 | -3.67 | 1412.20 |     0 |     0 |     0 |  116.74 |    0.00 |    0.00 |     0 | 0.00 || -2.78098 0.07127 -0.37623 35.04979 51.34097 86.33366
  21 | 11014 | -3.58 | 1464.10 |     0 |     0 |     0 |  437.00 |    0.00 |    0.00 |     0 | 0.00 || 0.59700 -0.04831 1.31996 49.39436 39.04911 -5.87853
  22 | 10960 | -3.11 | 1519.10 |     0 |     0 |     0 |   56.18 |    0.00 |    0.00 |     0 | 0.00 || 2.49752 0.02343 2.38445 -34.50990 8.58907 6.37148
  23 | 10940 | -3.42 | 1397.40 |     0 |     0 |     0 |  477.63 |    0.00 |    0.00 |     0 | 0.00 || 0.57436 0.75574 -1.17606 -35.31881 -20.94148 7.72871
  24 | 10882 | -2.95 | 1519.80 |     0 |     0 |     0 |  189.81 |    0.00 |    0.00 |     0 | 0.00 || 1.71470 0.46065 2.87823 -38.30950 33.46521 -17.20152
  25 | 10880 | -2.67 | 1352.20 |     0 |     0 |     0 |  147.13 |    0.00 |    0.00 |     0 | 0.00 || -1.92783 1.03225 -2.57192 44.42535 42.46455 68.35180
  26 | 10876 | -2.91 | 1328.40 |     0 |     0 |     0 |  250.71 |    0.00 |    0.00 |     0 | 0.00 || 0.92520 -0.22177 1.06814 16.25605 16.72331 -34.30954
  27 | 10840 | -3.20 | 1556.50 |     0 |     0 |     0 |  285.37 |    0.00 |    0.00 |     0 | 0.00 || 1.62297 -0.02980 -2.47824 -4.79193 21.93389 -27.50120
  28 | 10840 | -3.02 | 1424.80 |     0 |     0 |     0 |  316.21 |    0.00 |    0.00 |     0 | 0.00 || -0.96282 -0.93161 2.50038 -2.50527 79.88934 37.68905
  29 | 10812 | -2.62 | 1296.90 |     0 |     0 |     0 |  240.71 |    0.00 |    0.00 |     0 | 0.00 || 1.55151 -0.18832 -1.47263 12.10548 36.28360 -23.70178
  30 | 10812 | -2.52 | 1395.40 |     0 |     0 |     0 |  261.31 |    0.00 |    0.00 |     0 | 0.00 || -2.55459 0.80555 -1.04086 32.57415 69.91395 62.16663
  31 | 10804 | -2.91 | 1279.50 |     0 |     0 |     0 |  321.26 |    0.00 |    0.00 |     0 | 0.00 || 0.82853 0.12381 -1.18568 -32.98049 -5.92104 -18.45826
  32 | 10766 | -3.27 | 1536.10 |     0 |     0 |     0 |  190.46 |    0.00 |    0.00 |     0 | 0.00 || 0.62244 1.21055 2.15014 15.32161 85.83116 26.39626
  33 | 10764 | -2.89 | 1375.10 |     0 |     0 |     0 |  386.07 |    0.00 |    0.00 |     0 | 0.00 || 2.64186 -0.16028 -2.53808 18.81473 -16.24138 -2.69163
  34 | 10742 | -2.67 | 1299.80 |     0 |     0 |     0 |  434.42 |    0.00 |    0.00 |     0 | 0.00 || -2.31759 -0.52838 2.41958 -51.61955 30.47905 58.30909
  35 | 10724 | -3.11 | 1442.90 |     0 |     0 |     0 |  360.05 |    0.00 |    0.00 |     0 | 0.00 || -1.72857 0.63278 -0.07712 -11.42174 -4.64598 86.01965
  36 | 10724 | -2.73 | 1230.00 |     0 |     0 |     0 |  466.13 |    0.00 |    0.00 |     0 | 0.00 || -0.96629 -0.92057 2.91742 -33.21121 77.59854 39.85798
  37 | 10722 | -3.49 | 1620.90 |     0 |     0 |     0 |  265.86 |    0.00 |    0.00 |     0 | 0.00 || -2.75040 0.29907 0.02774 11.94792 58.89220 89.87811
  38 | 10690 | -2.91 | 1349.20 |     0 |     0 |     0 |  497.22 |    0.00 |    0.00 |     0 | 0.00 || 2.19486 0.20545 -1.88537 9.46560 -12.13182 -21.86097
  39 | 10640 | -2.89 | 1393.10 |     0 |     0 |     0 |  283.82 |    0.00 |    0.00 |     0 | 0.00 || 1.08861 0.05480 0.80447 47.80096 38.17477 -25.01582
  40 | 10634 | -3.70 | 1649.60 |     0 |     0 |     0 |  227.31 |    0.00 |    0.00 |     0 | 0.00 || 0.56727 0.34359 1.68380 37.72740 59.13138 -0.64278
  41 | 10624 | -2.74 | 1306.30 |     0 |     0 |     0 |  362.66 |    0.00 |    0.00 |     0 | 0.00 || 2.38255 -0.88042 1.93618 -37.59683 -2.00553 -11.28831
  42 | 10616 | -3.54 | 1605.20 |     0 |     0 |     0 |  101.95 |    0.00 |    0.00 |     0 | 0.00 || -2.05630 -0.16983 -0.04753 43.78766 12.70745 73.61772
  43 | 10608 | -3.16 | 1435.50 |     0 |     0 |     0 |  360.48 |    0.00 |    0.00 |     0 | 0.00 || 1.71958 0.89386 2.28866 -48.36733 68.54268 0.26947
  44 | 10576 | -2.62 | 1337.50 |     0 |     0 |     0 |  282.70 |    0.00 |    0.00 |     0 | 0.00 || 2.71126 -0.25225 -1.99827 19.98615 -29.27184 34.32614
  45 | 10530 | -3.38 | 1376.50 |     0 |     0 |     0 |  321.57 |    0.00 |    0.00 |     0 | 0.00 || 1.69969 0.42978 -0.31328 23.73302 31.02685 -18.95445
  46 | 10464 | -2.50 | 1161.90 |     0 |     0 |     0 |  484.50 |    0.00 |    0.00 |     0 | 0.00 || -2.26371 -0.32744 -0.14265 21.37915 49.50756 67.90212
