*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/2OOB_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/2OOB/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/2OOB_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 |  7366 | -2.45 |  923.40 |     0 |     0 |     0 | -158.80 |    0.00 |    0.00 |     0 | 0.00 || 0.29203 0.05209 -1.49990 3.84123 4.94171 -16.45735
   2 |  6872 | -2.20 |  804.40 |     0 |     0 |     0 |  378.65 |    0.00 |    0.00 |     0 | 0.00 || -2.03206 0.25809 -1.66800 -10.87062 -0.18414 14.29606
   3 |  6832 | -3.20 |  956.50 |     0 |     0 |     0 | -162.84 |    0.00 |    0.00 |     0 | 0.00 || 0.13427 -1.10016 -0.49405 -28.39569 12.10862 -0.85066
   4 |  6698 | -2.70 |  866.00 |     0 |     0 |     0 |  344.94 |    0.00 |    0.00 |     0 | 0.00 || 1.85673 -0.32418 1.09171 -14.39569 -12.04401 27.94381
   5 |  6646 | -2.33 |  788.50 |     0 |     0 |     0 |  160.42 |    0.00 |    0.00 |     0 | 0.00 || -2.76402 -0.98171 0.00076 31.26742 -10.73851 15.21840
   6 |  6586 | -2.38 |  798.60 |     0 |     0 |     0 |  -56.46 |    0.00 |    0.00 |     0 | 0.00 || -1.73626 0.20212 2.77349 18.81985 13.49047 2.82975
   7 |  6546 | -2.55 |  869.60 |     0 |     0 |     0 |   34.90 |    0.00 |    0.00 |     0 | 0.00 || 0.96540 0.83227 -1.85784 22.32959 -21.81059 -15.54262
   8 |  6530 | -2.90 |  872.20 |     0 |     0 |     0 |  273.00 |    0.00 |    0.00 |     0 | 0.00 || 2.29448 0.09835 -2.27251 21.42826 -11.63991 31.89710
   9 |  6520 | -2.34 |  808.90 |     0 |     0 |     0 |  319.69 |    0.00 |    0.00 |     0 | 0.00 || -0.08923 -0.38828 1.66517 10.01987 -3.38948 -16.14978
  10 |  6506 | -2.66 |  800.20 |     0 |     0 |     0 |  -61.08 |    0.00 |    0.00 |     0 | 0.00 || -2.37977 1.23531 2.44634 29.02386 3.21414 16.95424
  11 |  6450 | -2.74 |  744.00 |     0 |     0 |     0 |   57.15 |    0.00 |    0.00 |     0 | 0.00 || -2.79820 0.71882 -2.96631 41.46421 18.32344 1.84679
  12 |  6434 | -2.55 |  755.50 |     0 |     0 |     0 | -152.58 |    0.00 |    0.00 |     0 | 0.00 || 2.27121 0.01616 -2.04806 22.42651 -2.43807 15.41311
  13 |  6408 | -2.85 |  866.50 |     0 |     0 |     0 |  -50.94 |    0.00 |    0.00 |     0 | 0.00 || 1.76952 -0.20848 -0.50145 2.73595 18.65660 18.12551
  14 |  6404 | -2.55 |  790.10 |     0 |     0 |     0 |  412.88 |    0.00 |    0.00 |     0 | 0.00 || 2.55947 0.38379 -1.33157 19.98999 6.22198 26.89519
  15 |  6392 | -2.69 |  790.30 |     0 |     0 |     0 |  142.66 |    0.00 |    0.00 |     0 | 0.00 || -1.67616 0.06472 2.93949 31.53785 8.85938 11.56348
  16 |  6386 | -2.72 |  812.60 |     0 |     0 |     0 |  196.01 |    0.00 |    0.00 |     0 | 0.00 || 1.48030 0.67689 2.30624 -14.56622 -41.09496 -4.92288
  17 |  6322 | -2.97 |  841.30 |     0 |     0 |     0 |  173.60 |    0.00 |    0.00 |     0 | 0.00 || -0.54984 0.96534 2.18248 21.23571 4.10225 -14.08652
  18 |  6302 | -2.55 |  781.10 |     0 |     0 |     0 |  128.80 |    0.00 |    0.00 |     0 | 0.00 || 2.70553 0.28940 -1.66255 4.98770 11.42434 27.36783
  19 |  6292 | -2.66 |  752.10 |     0 |     0 |     0 |  294.35 |    0.00 |    0.00 |     0 | 0.00 || -1.02575 0.01096 1.50989 28.22908 4.32996 -2.39529
  20 |  6290 | -2.42 |  802.70 |     0 |     0 |     0 |  -83.91 |    0.00 |    0.00 |     0 | 0.00 || 2.57245 0.22196 2.42201 20.19106 -19.24904 13.34508
  21 |  6256 | -2.31 |  738.10 |     0 |     0 |     0 |  -34.33 |    0.00 |    0.00 |     0 | 0.00 || 2.70831 0.78152 1.00673 -6.35136 -10.07049 2.61087
  22 |  6240 | -2.64 |  821.40 |     0 |     0 |     0 |   63.20 |    0.00 |    0.00 |     0 | 0.00 || 1.10448 -1.06412 -1.87886 30.41169 3.35661 -0.51823
  23 |  6240 | -2.36 |  768.40 |     0 |     0 |     0 |   98.17 |    0.00 |    0.00 |     0 | 0.00 || 3.06876 1.15685 0.82998 -2.47160 -23.90439 -9.09629
  24 |  6234 | -2.48 |  775.70 |     0 |     0 |     0 | -166.93 |    0.00 |    0.00 |     0 | 0.00 || -3.08867 0.36362 1.11148 -9.76347 -5.89161 27.06042
  25 |  6234 | -2.67 |  830.30 |     0 |     0 |     0 |  197.73 |    0.00 |    0.00 |     0 | 0.00 || -1.12775 -0.32036 1.76218 27.60085 4.29256 -8.24798
