*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/2OOR_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/2OOR/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/2OOR_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 15382 | -3.14 | 2156.20 |     0 |     0 |     0 |  439.94 |    0.00 |    0.00 |     0 | 0.00 || -0.38546 1.33536 1.25365 -17.05224 9.01861 78.76128
   2 | 14672 | -3.72 | 2060.90 |     0 |     0 |     0 |  359.61 |    0.00 |    0.00 |     0 | 0.00 || 0.70436 -0.79839 1.81898 -26.65547 8.74880 44.72392
   3 | 14004 | -2.59 | 1680.30 |     0 |     0 |     0 |  314.61 |    0.00 |    0.00 |     0 | 0.00 || 1.51740 0.45349 1.19291 -19.63497 -1.08678 97.91714
   4 | 13594 | -3.61 | 2312.20 |     0 |     0 |     0 | -321.07 |    0.00 |    0.00 |     0 | 0.00 || 2.71438 -0.38517 0.36120 47.64029 -31.38764 54.90007
   5 | 13486 | -3.30 | 1952.20 |     0 |     0 |     0 | -196.76 |    0.00 |    0.00 |     0 | 0.00 || -2.38411 0.06221 2.39928 -36.22811 1.37956 -10.28399
   6 | 13436 | -2.91 | 1805.80 |     0 |     0 |     0 |  207.23 |    0.00 |    0.00 |     0 | 0.00 || 0.12126 0.32290 2.21045 -46.62958 23.30701 60.65566
   7 | 13296 | -3.47 | 2003.80 |     0 |     0 |     0 |  278.08 |    0.00 |    0.00 |     0 | 0.00 || 3.12911 0.86529 1.74603 24.17493 4.02678 78.98351
   8 | 13158 | -3.16 | 2042.30 |     0 |     0 |     0 |  429.78 |    0.00 |    0.00 |     0 | 0.00 || -2.74596 -0.65227 -2.02953 -29.27911 -21.40644 30.60071
   9 | 13152 | -2.85 | 1615.60 |     0 |     0 |     0 |  342.94 |    0.00 |    0.00 |     0 | 0.00 || -3.07068 -0.56864 1.26903 33.34426 -1.15661 40.37949
  10 | 13084 | -3.18 | 1946.10 |     0 |     0 |     0 |  369.18 |    0.00 |    0.00 |     0 | 0.00 || 0.14395 0.12098 2.19451 -46.37875 -13.49606 61.25045
  11 | 13060 | -3.37 | 1968.10 |     0 |     0 |     0 |  417.05 |    0.00 |    0.00 |     0 | 0.00 || 1.30610 0.74087 2.19055 -17.59376 -23.10437 95.90204
  12 | 12984 | -3.28 | 2130.80 |     0 |     0 |     0 |  204.72 |    0.00 |    0.00 |     0 | 0.00 || 1.42742 -0.73711 -0.66689 35.80669 -37.75641 54.26418
  13 | 12850 | -3.37 | 1834.00 |     0 |     0 |     0 |  207.27 |    0.00 |    0.00 |     0 | 0.00 || 1.05945 0.29868 -1.61353 22.80737 -43.56482 85.19081
  14 | 12756 | -2.76 | 1704.50 |     0 |     0 |     0 |  464.54 |    0.00 |    0.00 |     0 | 0.00 || -1.23102 0.77587 3.13879 -32.99178 -26.65141 55.07681
  15 | 12722 | -3.24 | 1953.20 |     0 |     0 |     0 |  379.94 |    0.00 |    0.00 |     0 | 0.00 || -1.23407 0.17773 -1.32718 14.05849 -43.36480 34.42179
  16 | 12718 | -4.31 | 1956.70 |     0 |     0 |     0 |  289.29 |    0.00 |    0.00 |     0 | 0.00 || 2.83568 0.57627 -1.20835 -31.38060 -46.22381 82.03178
  17 | 12674 | -3.53 | 1860.00 |     0 |     0 |     0 |  180.84 |    0.00 |    0.00 |     0 | 0.00 || -2.57022 -1.34051 1.42859 3.36021 -67.94509 -13.76556
  18 | 12664 | -3.59 | 2141.60 |     0 |     0 |     0 |  286.21 |    0.00 |    0.00 |     0 | 0.00 || -1.61304 -0.06466 1.64263 2.04145 8.10906 25.61721
  19 | 12544 | -3.76 | 1850.80 |     0 |     0 |     0 |  201.60 |    0.00 |    0.00 |     0 | 0.00 || -1.08786 0.94968 -0.33258 38.18301 -19.80799 62.24854
  20 | 12544 | -3.07 | 1534.10 |     0 |     0 |     0 |  391.21 |    0.00 |    0.00 |     0 | 0.00 || 3.02201 -0.50540 -2.26916 -52.39939 -23.76866 48.92119
  21 | 12504 | -3.21 | 1584.60 |     0 |     0 |     0 |  312.93 |    0.00 |    0.00 |     0 | 0.00 || 1.28020 0.95881 -2.31149 23.62779 -24.14831 93.67049
  22 | 12482 | -3.27 | 1789.90 |     0 |     0 |     0 |  -24.68 |    0.00 |    0.00 |     0 | 0.00 || 2.87976 -0.68287 -2.41694 -54.06533 16.75912 40.68707
