*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/2OZA_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/2OZA/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/2OZA_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 15976 | -3.49 | 2314.20 |     0 |     0 |     0 |  406.99 |    0.00 |    0.00 |     0 | 0.00 || -3.10817 0.19862 -2.00677 20.01225 27.07202 136.35983
   2 | 15232 | -2.89 | 1937.30 |     0 |     0 |     0 |  288.28 |    0.00 |    0.00 |     0 | 0.00 || -2.49114 1.19017 -2.30220 14.57674 93.94781 104.58954
   3 | 15172 | -3.10 | 2087.10 |     0 |     0 |     0 |  355.55 |    0.00 |    0.00 |     0 | 0.00 || -2.97945 0.19887 -2.76378 60.01002 13.33191 172.08594
   4 | 15112 | -3.38 | 2337.10 |     0 |     0 |     0 |  415.67 |    0.00 |    0.00 |     0 | 0.00 || -1.56531 0.05558 -2.80917 -31.95327 86.43510 108.25916
   5 | 14876 | -3.75 | 2298.10 |     0 |     0 |     0 |  431.32 |    0.00 |    0.00 |     0 | 0.00 || 1.15356 -0.47811 -0.40526 -56.99323 99.22365 0.71200
   6 | 14790 | -4.21 | 2904.00 |     0 |     0 |     0 |  399.51 |    0.00 |    0.00 |     0 | 0.00 || -0.18402 -0.71073 -2.99730 26.06317 71.92940 22.08062
   7 | 14450 | -3.75 | 2299.00 |     0 |     0 |     0 |  302.35 |    0.00 |    0.00 |     0 | 0.00 || 1.34278 0.20052 -1.62645 48.62027 62.19973 -4.26028
   8 | 14446 | -3.66 | 2043.20 |     0 |     0 |     0 |  354.01 |    0.00 |    0.00 |     0 | 0.00 || -2.89686 0.08104 2.48190 -21.84781 -25.28274 173.51498
   9 | 14424 | -2.77 | 1807.00 |     0 |     0 |     0 |  333.16 |    0.00 |    0.00 |     0 | 0.00 || -2.72239 -0.10992 -1.95756 -15.10247 15.95830 182.48035
  10 | 14382 | -3.34 | 2040.90 |     0 |     0 |     0 |  356.79 |    0.00 |    0.00 |     0 | 0.00 || 1.46775 -1.03459 2.29407 -50.62814 -50.61877 41.88504
