*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/2PCB_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/2PCB/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/2PCB_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 10418 | -3.14 | 1407.50 |     0 |     0 |     0 |  302.88 |    0.00 |    0.00 |     0 | 0.00 || 1.97690 -1.20451 2.54761 31.21095 -34.86479 83.72922
   2 | 10072 | -2.77 | 1342.30 |     0 |     0 |     0 |  326.38 |    0.00 |    0.00 |     0 | 0.00 || 2.48260 1.45095 -2.50779 132.03954 -36.06089 2.38089
   3 | 10070 | -2.77 | 1313.70 |     0 |     0 |     0 |  369.11 |    0.00 |    0.00 |     0 | 0.00 || 1.40621 1.40326 1.90670 -50.28817 72.09026 5.05109
   4 |  9880 | -3.46 | 1560.80 |     0 |     0 |     0 |  234.31 |    0.00 |    0.00 |     0 | 0.00 || 1.61871 0.03197 -1.80272 109.86485 73.90706 1.20824
   5 |  9858 | -3.02 | 1289.80 |     0 |     0 |     0 |  407.62 |    0.00 |    0.00 |     0 | 0.00 || -1.57495 -1.11053 3.01652 44.13657 80.78127 100.07700
   6 |  9808 | -3.20 | 1402.00 |     0 |     0 |     0 |  389.51 |    0.00 |    0.00 |     0 | 0.00 || 0.08496 0.41140 -2.84083 9.22408 81.90933 -15.46589
   7 |  9750 | -2.61 | 1223.40 |     0 |     0 |     0 |  242.48 |    0.00 |    0.00 |     0 | 0.00 || -2.30050 0.47959 -1.09118 12.83618 92.97427 61.80325
   8 |  9738 | -2.97 | 1354.30 |     0 |     0 |     0 |  437.07 |    0.00 |    0.00 |     0 | 0.00 || -1.80914 -0.54837 -0.58674 45.01837 -28.04709 108.54092
   9 |  9698 | -2.55 | 1154.00 |     0 |     0 |     0 |  201.20 |    0.00 |    0.00 |     0 | 0.00 || -0.82263 -0.71021 2.94988 111.95355 87.04446 61.96663
  10 |  9672 | -2.63 | 1220.50 |     0 |     0 |     0 |  211.78 |    0.00 |    0.00 |     0 | 0.00 || 0.98552 0.29239 0.97231 10.13964 44.23832 -18.70940
  11 |  9644 | -2.60 | 1062.10 |     0 |     0 |     0 |  429.97 |    0.00 |    0.00 |     0 | 0.00 || 2.58436 -0.45046 1.57029 -54.90644 21.59072 66.19577
  12 |  9582 | -2.78 | 1267.50 |     0 |     0 |     0 |  489.90 |    0.00 |    0.00 |     0 | 0.00 || -0.49069 0.88088 -1.23449 -4.15662 -12.37290 -7.10463
  13 |  9542 | -3.08 | 1255.50 |     0 |     0 |     0 |  384.46 |    0.00 |    0.00 |     0 | 0.00 || 1.26063 0.64041 2.17428 -19.68673 25.77273 -48.92606
  14 |  9540 | -2.62 | 1164.40 |     0 |     0 |     0 |  459.83 |    0.00 |    0.00 |     0 | 0.00 || -1.68255 -0.88081 0.01962 45.44189 -9.77270 94.43266
  15 |  9458 | -2.42 | 1095.00 |     0 |     0 |     0 |  496.32 |    0.00 |    0.00 |     0 | 0.00 || -1.52646 -0.15893 2.12396 84.08527 18.01916 90.80775
  16 |  9434 | -3.13 | 1312.60 |     0 |     0 |     0 |  277.39 |    0.00 |    0.00 |     0 | 0.00 || 2.97846 0.93094 -0.68832 29.59736 141.34708 55.32260
  17 |  9406 | -2.71 | 1210.10 |     0 |     0 |     0 |  236.13 |    0.00 |    0.00 |     0 | 0.00 || 0.03996 1.18944 0.56528 83.12480 17.45518 -26.56639
  18 |  9404 | -3.32 | 1400.20 |     0 |     0 |     0 |  344.62 |    0.00 |    0.00 |     0 | 0.00 || 0.62280 0.79291 -0.39213 47.37922 19.67957 -20.85167
  19 |  9376 | -2.33 | 1151.10 |     0 |     0 |     0 |  139.71 |    0.00 |    0.00 |     0 | 0.00 || 0.09374 -1.36424 -2.65472 109.70825 89.09760 58.42154
  20 |  9306 | -3.14 | 1457.70 |     0 |     0 |     0 |  440.53 |    0.00 |    0.00 |     0 | 0.00 || 2.84738 0.66177 2.72404 62.35096 -36.18064 71.51389
  21 |  9294 | -2.75 | 1169.20 |     0 |     0 |     0 |  382.93 |    0.00 |    0.00 |     0 | 0.00 || -0.08565 0.21853 -0.44365 -8.22923 7.14130 -0.30037
  22 |  9278 | -3.13 | 1152.40 |     0 |     0 |     0 |  372.71 |    0.00 |    0.00 |     0 | 0.00 || 0.77436 0.24516 -1.76077 40.35584 66.09556 -28.11079
  23 |  9254 | -2.47 | 1068.80 |     0 |     0 |     0 |   62.04 |    0.00 |    0.00 |     0 | 0.00 || -2.05212 -0.71848 0.82222 100.02753 16.91840 91.44568
  24 |  9246 | -2.55 | 1087.90 |     0 |     0 |     0 |  248.83 |    0.00 |    0.00 |     0 | 0.00 || 3.09557 0.51175 1.52074 10.29316 -38.64633 76.91804
  25 |  9246 | -2.63 | 1158.00 |     0 |     0 |     0 |   67.20 |    0.00 |    0.00 |     0 | 0.00 || -2.25885 -0.13080 -1.20558 -4.13584 53.41048 115.33893
  26 |  9206 | -2.69 | 1123.40 |     0 |     0 |     0 |  321.37 |    0.00 |    0.00 |     0 | 0.00 || -1.98884 -0.21853 -1.14934 6.68970 39.20855 86.70084
  27 |  9206 | -3.06 | 1415.30 |     0 |     0 |     0 |  239.15 |    0.00 |    0.00 |     0 | 0.00 || -1.57020 -1.03122 -1.66699 -16.24985 14.39142 66.47968
  28 |  9182 | -2.59 | 1085.40 |     0 |     0 |     0 |  479.54 |    0.00 |    0.00 |     0 | 0.00 || 2.72489 -0.89575 2.26949 -11.14568 14.50254 71.58611
  29 |  9174 | -2.68 | 1108.10 |     0 |     0 |     0 |  407.37 |    0.00 |    0.00 |     0 | 0.00 || 0.20251 0.37248 -2.79062 15.24223 84.76125 -44.89269
  30 |  9154 | -2.84 | 1174.00 |     0 |     0 |     0 |  283.86 |    0.00 |    0.00 |     0 | 0.00 || -0.77191 0.18248 -2.83406 26.87189 124.32852 44.32298
  31 |  9146 | -3.30 | 1267.40 |     0 |     0 |     0 |  391.82 |    0.00 |    0.00 |     0 | 0.00 || -1.66688 1.28124 -2.95993 108.45197 108.20529 44.83539
  32 |  9140 | -3.20 | 1352.30 |     0 |     0 |     0 |   39.71 |    0.00 |    0.00 |     0 | 0.00 || -1.69443 -0.52947 0.72518 89.37495 -13.27697 77.94556
  33 |  9134 | -2.29 | 1077.10 |     0 |     0 |     0 |  245.75 |    0.00 |    0.00 |     0 | 0.00 || -2.36562 1.05425 2.45195 105.35688 -17.25476 17.77720
  34 |  9124 | -2.35 | 1078.10 |     0 |     0 |     0 |  179.15 |    0.00 |    0.00 |     0 | 0.00 || 0.37624 -0.97606 0.66014 -34.77075 -37.81157 43.39123
  35 |  9090 | -2.77 | 1099.50 |     0 |     0 |     0 |  321.74 |    0.00 |    0.00 |     0 | 0.00 || 2.74756 0.84942 -0.07381 -2.04076 123.05092 56.85002
  36 |  9086 | -2.85 | 1234.20 |     0 |     0 |     0 |  262.87 |    0.00 |    0.00 |     0 | 0.00 || 2.02669 0.30989 2.37201 35.05605 -61.77728 6.22573
  37 |  9046 | -3.49 | 1442.50 |     0 |     0 |     0 |  309.15 |    0.00 |    0.00 |     0 | 0.00 || 2.23050 1.34188 -2.00819 140.68317 -19.68722 -4.03684
