*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/2PCC_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/2PCC/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/2PCC_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 11780 | -3.13 | 1486.30 |     0 |     0 |     0 |  183.00 |    0.00 |    0.00 |     0 | 0.00 || -1.66037 -0.67976 -2.10093 -10.64628 84.18224 43.65354
   2 | 10970 | -3.04 | 1513.60 |     0 |     0 |     0 |  205.84 |    0.00 |    0.00 |     0 | 0.00 || 1.14069 -0.68245 1.94783 -28.56744 11.13335 17.80029
   3 | 10642 | -2.63 | 1298.90 |     0 |     0 |     0 |  292.73 |    0.00 |    0.00 |     0 | 0.00 || 1.33712 0.26963 -0.09514 -32.16887 74.73009 -9.58514
   4 | 10640 | -3.16 | 1352.00 |     0 |     0 |     0 |  164.13 |    0.00 |    0.00 |     0 | 0.00 || -3.01299 -0.42060 1.32950 0.38925 16.16928 74.89194
   5 | 10628 | -2.84 | 1418.70 |     0 |     0 |     0 |  290.54 |    0.00 |    0.00 |     0 | 0.00 || -0.82421 0.80463 -2.56739 -10.08845 66.87067 -34.06937
   6 | 10556 | -3.28 | 1449.40 |     0 |     0 |     0 |  347.27 |    0.00 |    0.00 |     0 | 0.00 || 1.93618 -0.14832 -2.89071 26.24742 -1.90663 45.08017
   7 | 10460 | -2.96 | 1334.60 |     0 |     0 |     0 |  322.30 |    0.00 |    0.00 |     0 | 0.00 || 2.69024 -0.83078 2.00390 -9.33247 9.99642 63.85212
   8 | 10118 | -2.45 | 1223.20 |     0 |     0 |     0 |  451.30 |    0.00 |    0.00 |     0 | 0.00 || 2.45868 -0.56442 -2.62654 23.58807 9.04371 11.65027
   9 | 10104 | -3.23 | 1412.50 |     0 |     0 |     0 |  449.26 |    0.00 |    0.00 |     0 | 0.00 || 2.99960 -0.59660 -2.92601 8.98152 26.63696 76.23651
  10 | 10084 | -2.90 | 1402.80 |     0 |     0 |     0 |  188.73 |    0.00 |    0.00 |     0 | 0.00 || 0.40242 -1.27457 1.18376 -12.53377 -1.78019 -6.25363
  11 | 10044 | -2.87 | 1286.20 |     0 |     0 |     0 |  347.95 |    0.00 |    0.00 |     0 | 0.00 || 2.93061 -0.80994 0.37888 -1.95093 49.09332 78.55484
  12 |  9896 | -2.79 | 1330.70 |     0 |     0 |     0 |  231.38 |    0.00 |    0.00 |     0 | 0.00 || -2.14303 0.18225 0.00176 -10.64956 -5.76638 60.64153
  13 |  9828 | -3.32 | 1404.00 |     0 |     0 |     0 |  385.49 |    0.00 |    0.00 |     0 | 0.00 || 3.01448 -0.55709 2.01612 0.23937 2.49021 55.54427
  14 |  9818 | -2.94 | 1188.20 |     0 |     0 |     0 |  248.87 |    0.00 |    0.00 |     0 | 0.00 || 0.81438 -0.51941 -3.12781 54.39704 7.72448 14.27208
