*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/2PTC_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/2PTC/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/2PTC_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 |  9906 | -3.17 | 1520.40 |     0 |     0 |     0 |  199.21 |    0.00 |    0.00 |     0 | 0.00 || 1.89099 0.56487 -1.73275 50.79835 47.87791 -52.02402
   2 |  9896 | -2.34 | 1097.40 |     0 |     0 |     0 | -134.19 |    0.00 |    0.00 |     0 | 0.00 || 2.37324 -0.40439 2.78166 19.25638 6.20703 -34.28474
   3 |  9714 | -2.74 | 1245.70 |     0 |     0 |     0 |  235.35 |    0.00 |    0.00 |     0 | 0.00 || 0.20539 0.64105 1.75260 101.52916 102.69778 -18.10036
   4 |  9684 | -2.52 | 1192.60 |     0 |     0 |     0 | -168.67 |    0.00 |    0.00 |     0 | 0.00 || -2.06528 0.72124 0.85067 -55.15447 57.96455 63.98069
   5 |  9484 | -2.41 | 1099.40 |     0 |     0 |     0 |  329.23 |    0.00 |    0.00 |     0 | 0.00 || 1.57156 1.07836 -3.11554 -80.00140 39.57474 -29.27120
   6 |  9442 | -2.50 | 1138.40 |     0 |     0 |     0 |  245.46 |    0.00 |    0.00 |     0 | 0.00 || 2.55482 0.91184 2.25066 -49.53018 27.09995 -32.29961
   7 |  9374 | -3.34 | 1247.60 |     0 |     0 |     0 |  175.59 |    0.00 |    0.00 |     0 | 0.00 || -0.36830 0.30378 1.87203 102.13882 90.19457 31.57603
   8 |  9212 | -2.67 | 1114.60 |     0 |     0 |     0 |  270.04 |    0.00 |    0.00 |     0 | 0.00 || -2.70452 0.82249 0.04690 -35.14780 141.36746 65.33012
   9 |  9200 | -2.23 | 1103.00 |     0 |     0 |     0 |   98.67 |    0.00 |    0.00 |     0 | 0.00 || 1.49261 0.23148 0.56531 13.84360 87.56118 -83.17078
  10 |  9188 | -2.97 | 1309.00 |     0 |     0 |     0 |   90.50 |    0.00 |    0.00 |     0 | 0.00 || -1.10549 0.32416 -2.25118 -2.03665 142.69133 79.57590
