*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/2SIC_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/2SIC/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/2SIC_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 11658 | -2.90 | 1695.40 |     0 |     0 |     0 |  -13.28 |    0.00 |    0.00 |     0 | 0.00 || -1.53001 0.79743 -0.16340 28.83094 19.18027 34.02635
   2 | 11032 | -2.84 | 1477.40 |     0 |     0 |     0 | -175.76 |    0.00 |    0.00 |     0 | 0.00 || 1.38809 0.46164 2.02634 -5.39910 40.46000 29.27575
   3 | 10974 | -3.17 | 1534.90 |     0 |     0 |     0 |  -64.41 |    0.00 |    0.00 |     0 | 0.00 || -0.64220 -1.07634 0.33111 -2.23681 0.87105 28.42649
   4 | 10924 | -2.97 | 1467.30 |     0 |     0 |     0 |  260.42 |    0.00 |    0.00 |     0 | 0.00 || -2.63868 0.44812 2.46006 55.62388 20.16139 46.56259
   5 | 10828 | -2.73 | 1474.70 |     0 |     0 |     0 | -206.22 |    0.00 |    0.00 |     0 | 0.00 || -1.36974 0.38861 -0.31242 -5.81426 -1.27310 28.68282
   6 | 10726 | -2.87 | 1274.60 |     0 |     0 |     0 |  150.48 |    0.00 |    0.00 |     0 | 0.00 || 0.55400 -0.26685 1.02899 30.62805 4.15311 13.77344
   7 | 10718 | -2.65 | 1325.00 |     0 |     0 |     0 |   76.40 |    0.00 |    0.00 |     0 | 0.00 || 0.41635 -0.14998 -0.84246 0.43126 58.80735 -16.70405
   8 | 10690 | -2.59 | 1314.70 |     0 |     0 |     0 |   43.37 |    0.00 |    0.00 |     0 | 0.00 || 0.76706 0.69159 -0.08958 25.56990 48.99622 -24.79083
   9 | 10682 | -2.62 | 1403.60 |     0 |     0 |     0 |   73.95 |    0.00 |    0.00 |     0 | 0.00 || -0.31866 0.03370 -2.11198 5.87820 68.01929 -11.77163
  10 | 10668 | -3.38 | 1514.30 |     0 |     0 |     0 |  -56.32 |    0.00 |    0.00 |     0 | 0.00 || -0.94756 0.67434 -0.40935 34.21674 18.91286 22.90099
