*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/2SNI_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/2SNI/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/2SNI_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 12376 | -3.11 | 1768.50 |     0 |     0 |     0 |  -68.65 |    0.00 |    0.00 |     0 | 0.00 || -1.02327 0.18738 -0.00931 -0.10353 12.05564 -9.02197
   2 | 10904 | -2.72 | 1366.30 |     0 |     0 |     0 | -166.86 |    0.00 |    0.00 |     0 | 0.00 || -0.50527 0.18975 1.45228 -4.48422 -18.18600 -2.28563
   3 | 10498 | -2.74 | 1456.60 |     0 |     0 |     0 | -226.52 |    0.00 |    0.00 |     0 | 0.00 || -0.40309 0.55754 2.20377 13.58685 -25.43870 -7.89582
   4 | 10258 | -3.00 | 1398.40 |     0 |     0 |     0 |  -41.21 |    0.00 |    0.00 |     0 | 0.00 || -1.14737 0.77858 -0.71051 13.26198 15.24169 -18.89843
   5 | 10086 | -3.02 | 1230.70 |     0 |     0 |     0 |   34.21 |    0.00 |    0.00 |     0 | 0.00 || -2.97373 -0.03159 3.08850 43.80968 17.94613 21.27836
   6 | 10070 | -3.00 | 1316.60 |     0 |     0 |     0 |   96.43 |    0.00 |    0.00 |     0 | 0.00 || 1.77242 -1.34852 -1.59994 15.51760 -17.60148 45.12077
   7 | 10028 | -3.03 | 1393.90 |     0 |     0 |     0 |  106.83 |    0.00 |    0.00 |     0 | 0.00 || 1.85104 -0.31071 1.31121 10.49613 -20.52960 3.62581
   8 |  9996 | -2.95 | 1213.50 |     0 |     0 |     0 |   63.50 |    0.00 |    0.00 |     0 | 0.00 || 1.97884 -0.20854 0.45015 1.62208 -26.09389 -1.12815
   9 |  9936 | -3.10 | 1435.20 |     0 |     0 |     0 |  477.83 |    0.00 |    0.00 |     0 | 0.00 || -2.54923 -0.27784 -1.92523 36.71459 4.08193 22.81330
  10 |  9912 | -3.14 | 1323.40 |     0 |     0 |     0 |  260.33 |    0.00 |    0.00 |     0 | 0.00 || -0.62165 -0.57733 0.36356 13.71154 -11.95863 40.03265
  11 |  9890 | -2.79 | 1406.20 |     0 |     0 |     0 |  305.72 |    0.00 |    0.00 |     0 | 0.00 || -2.75817 0.49633 -2.36963 39.95396 -2.94892 8.32844
