*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/2TGP_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/2TGP/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/2TGP_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 10828 | -2.87 | 1397.60 |     0 |     0 |     0 |  -58.97 |    0.00 |    0.00 |     0 | 0.00 || 1.43215 -0.27469 -0.14289 -25.92957 100.34535 -71.01154
   2 | 10500 | -2.35 | 1283.90 |     0 |     0 |     0 |  -82.66 |    0.00 |    0.00 |     0 | 0.00 || 2.55526 0.47215 3.02241 -1.38589 15.30880 -30.33503
   3 | 10208 | -3.18 | 1433.90 |     0 |     0 |     0 |  141.11 |    0.00 |    0.00 |     0 | 0.00 || -0.56268 -0.44251 -2.62177 -21.98685 163.09602 45.24742
   4 | 10060 | -2.83 | 1288.60 |     0 |     0 |     0 |   11.99 |    0.00 |    0.00 |     0 | 0.00 || 0.15116 0.14762 1.69142 95.18152 92.99669 -15.83331
   5 |  9988 | -2.75 | 1371.00 |     0 |     0 |     0 |   42.29 |    0.00 |    0.00 |     0 | 0.00 || -0.78268 0.99673 2.77801 83.90160 136.39612 27.75824
   6 |  9970 | -2.94 | 1364.50 |     0 |     0 |     0 | -309.41 |    0.00 |    0.00 |     0 | 0.00 || 2.03191 -0.45661 0.91241 -48.98622 82.90515 -48.37553
   7 |  9924 | -3.65 | 1359.70 |     0 |     0 |     0 |  301.24 |    0.00 |    0.00 |     0 | 0.00 || -2.06130 -0.21503 1.45156 -12.45094 88.90282 93.52551
   8 |  9822 | -3.78 | 1720.40 |     0 |     0 |     0 |  104.16 |    0.00 |    0.00 |     0 | 0.00 || -2.91507 -1.46020 -1.87652 77.27795 31.94762 34.52716
   9 |  9738 | -2.43 | 1201.30 |     0 |     0 |     0 |    6.01 |    0.00 |    0.00 |     0 | 0.00 || -2.59494 0.34079 -0.98212 49.87910 156.73236 53.89487
  10 |  9660 | -2.45 | 1222.20 |     0 |     0 |     0 |  -53.53 |    0.00 |    0.00 |     0 | 0.00 || -0.04392 -0.76082 -1.58089 -68.54314 99.86642 14.71974
  11 |  9572 | -2.61 | 1129.80 |     0 |     0 |     0 |  177.11 |    0.00 |    0.00 |     0 | 0.00 || -1.93738 0.19201 0.18935 -15.72627 106.42140 86.81462
  12 |  9550 | -3.08 | 1262.30 |     0 |     0 |     0 |  127.02 |    0.00 |    0.00 |     0 | 0.00 || -0.82763 0.80692 -3.11231 59.50565 161.72826 35.01850
  13 |  9346 | -2.68 | 1131.20 |     0 |     0 |     0 |  -73.79 |    0.00 |    0.00 |     0 | 0.00 || 1.80681 0.47539 -1.88582 38.02667 61.89432 -71.20388
  14 |  9136 | -3.64 | 1252.80 |     0 |     0 |     0 |   23.72 |    0.00 |    0.00 |     0 | 0.00 || 0.21015 -0.50796 2.12587 93.71352 115.10761 -11.36756
  15 |  9130 | -2.71 | 1225.90 |     0 |     0 |     0 |   -0.95 |    0.00 |    0.00 |     0 | 0.00 || 2.15929 -0.64923 0.65883 -60.99959 104.14790 -33.79726
  16 |  9036 | -2.73 | 1166.20 |     0 |     0 |     0 |  152.44 |    0.00 |    0.00 |     0 | 0.00 || -1.48147 0.53736 -0.21608 -37.69825 84.95719 76.15753
  17 |  9000 | -2.47 | 1091.60 |     0 |     0 |     0 |   65.61 |    0.00 |    0.00 |     0 | 0.00 || 2.34277 -1.52801 -1.40349 87.93678 120.31885 14.06655
  18 |  8864 | -3.12 | 1096.70 |     0 |     0 |     0 |   19.30 |    0.00 |    0.00 |     0 | 0.00 || 2.71608 -0.47627 0.70618 -18.55981 142.15034 10.90250
  19 |  8834 | -2.88 | 1292.00 |     0 |     0 |     0 |  304.85 |    0.00 |    0.00 |     0 | 0.00 || 2.60932 0.64641 0.44460 -31.40208 158.77496 3.82655
  20 |  8820 | -2.45 | 1043.80 |     0 |     0 |     0 |  295.42 |    0.00 |    0.00 |     0 | 0.00 || 1.50178 0.12426 1.80701 -9.98905 99.65475 -41.96736
  21 |  8820 | -2.15 |  982.50 |     0 |     0 |     0 |  212.68 |    0.00 |    0.00 |     0 | 0.00 || 1.36288 -0.17610 -0.94870 -12.70233 117.01781 -41.80210
  22 |  8762 | -2.25 |  959.00 |     0 |     0 |     0 |  115.58 |    0.00 |    0.00 |     0 | 0.00 || 3.02098 0.61109 1.70255 -30.31277 61.83979 15.32759
  23 |  8734 | -3.38 | 1376.50 |     0 |     0 |     0 |   68.28 |    0.00 |    0.00 |     0 | 0.00 || 0.26690 0.04645 -1.35814 -28.68527 67.23841 -28.91189
  24 |  8640 | -2.48 | 1014.80 |     0 |     0 |     0 |   19.50 |    0.00 |    0.00 |     0 | 0.00 || -2.34185 0.36660 0.66994 -6.62578 94.54715 69.96362
  25 |  8628 | -2.82 | 1072.20 |     0 |     0 |     0 |  109.19 |    0.00 |    0.00 |     0 | 0.00 || 3.12885 -1.05935 1.39777 -30.21582 108.47025 32.62487
  26 |  8592 | -2.88 | 1318.20 |     0 |     0 |     0 | -113.10 |    0.00 |    0.00 |     0 | 0.00 || 0.36331 0.87327 -1.98449 -29.29973 80.08936 -15.30454
  27 |  8584 | -2.60 | 1126.60 |     0 |     0 |     0 |  133.58 |    0.00 |    0.00 |     0 | 0.00 || -0.33382 0.39651 -1.13560 -36.89139 51.58206 4.21576
  28 |  8576 | -2.63 |  992.30 |     0 |     0 |     0 |   37.17 |    0.00 |    0.00 |     0 | 0.00 || -0.94546 1.21911 -1.21611 -64.06406 131.43784 12.05835
  29 |  8546 | -2.93 | 1048.30 |     0 |     0 |     0 |   -6.46 |    0.00 |    0.00 |     0 | 0.00 || 1.19640 0.95528 -0.07384 50.99881 95.64032 -28.78571
  30 |  8520 | -3.59 | 1316.30 |     0 |     0 |     0 |  111.01 |    0.00 |    0.00 |     0 | 0.00 || -2.20174 -0.67272 -1.16419 64.73245 71.12717 76.86608
  31 |  8500 | -2.39 | 1021.90 |     0 |     0 |     0 |   92.33 |    0.00 |    0.00 |     0 | 0.00 || 1.32671 0.20418 -0.52062 12.04562 82.90341 -79.50874
  32 |  8474 | -2.43 |  948.80 |     0 |     0 |     0 |  137.84 |    0.00 |    0.00 |     0 | 0.00 || 1.99430 -0.01003 1.97434 -0.15425 54.70802 -42.47254
  33 |  8466 | -3.00 | 1196.60 |     0 |     0 |     0 |  158.14 |    0.00 |    0.00 |     0 | 0.00 || 1.84395 -0.46596 -1.77861 79.54226 108.39677 -41.06241
  34 |  8456 | -3.40 | 1126.20 |     0 |     0 |     0 |  144.50 |    0.00 |    0.00 |     0 | 0.00 || -2.74655 -0.14868 2.54102 4.79396 26.84030 47.97367
