*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/2VDB_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/2VDB/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/2VDB_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 13370 | -2.69 | 1609.10 |     0 |     0 |     0 |  302.26 |    0.00 |    0.00 |     0 | 0.00 || 1.41175 -0.41141 -2.55578 81.78903 40.57113 73.96883
   2 | 12788 | -3.59 | 1909.60 |     0 |     0 |     0 |  170.82 |    0.00 |    0.00 |     0 | 0.00 || 0.55259 0.10959 0.72564 -42.71502 -18.35278 30.84047
   3 | 12530 | -4.66 | 2257.60 |     0 |     0 |     0 |  367.57 |    0.00 |    0.00 |     0 | 0.00 || 0.88834 -0.30507 1.92108 13.75188 -45.12904 56.47841
   4 | 12248 | -3.01 | 1477.90 |     0 |     0 |     0 |  302.49 |    0.00 |    0.00 |     0 | 0.00 || 1.38997 0.22980 -2.88972 69.12750 21.83811 1.51502
   5 | 12184 | -3.47 | 2083.20 |     0 |     0 |     0 |  425.32 |    0.00 |    0.00 |     0 | 0.00 || 2.29280 -0.51508 -2.11365 23.67261 45.15512 75.15553
   6 | 12160 | -3.04 | 1704.50 |     0 |     0 |     0 |   90.72 |    0.00 |    0.00 |     0 | 0.00 || -2.63466 -0.65856 2.17049 77.51215 -3.72934 62.43286
   7 | 12020 | -3.27 | 1835.60 |     0 |     0 |     0 |  180.90 |    0.00 |    0.00 |     0 | 0.00 || 1.28132 -0.94315 2.87718 28.15990 -5.95100 79.07175
   8 | 11804 | -2.83 | 1457.10 |     0 |     0 |     0 |  348.73 |    0.00 |    0.00 |     0 | 0.00 || -1.37934 -0.47991 2.83857 77.66818 -27.38488 58.85930
   9 | 11764 | -3.72 | 1986.40 |     0 |     0 |     0 |  441.07 |    0.00 |    0.00 |     0 | 0.00 || -3.02210 0.07958 -0.04155 -48.60572 9.62374 38.06201
  10 | 11644 | -3.93 | 2596.10 |     0 |     0 |     0 |  473.38 |    0.00 |    0.00 |     0 | 0.00 || -1.42889 0.47616 0.07624 -26.07993 2.50367 -15.25994
