*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/2VIR_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/2VIR/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/2VIR_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 17946 | -4.15 | 3069.90 |     0 |     0 |     0 |  118.40 |    0.00 |    0.00 |     0 | 0.00 || -1.46091 -0.26259 0.52308 -15.89542 155.27216 22.06743
   2 | 17452 | -4.50 | 3684.50 |     0 |     0 |     0 |  195.81 |    0.00 |    0.00 |     0 | 0.00 || -2.59643 -1.16447 -2.56066 151.32455 -48.63183 -169.25562
   3 | 17148 | -3.80 | 2282.90 |     0 |     0 |     0 |  223.81 |    0.00 |    0.00 |     0 | 0.00 || -1.46833 0.24792 -2.60487 151.28137 -77.28620 6.33771
   4 | 16668 | -4.27 | 3521.30 |     0 |     0 |     0 | -334.29 |    0.00 |    0.00 |     0 | 0.00 || -0.32962 0.03807 -0.54338 12.38107 -36.45007 113.06944
   5 | 16358 | -3.78 | 2812.50 |     0 |     0 |     0 |   38.83 |    0.00 |    0.00 |     0 | 0.00 || -2.63790 -0.41941 -1.43345 107.64033 111.17911 -190.26309
   6 | 16272 | -4.46 | 3595.20 |     0 |     0 |     0 |  -25.28 |    0.00 |    0.00 |     0 | 0.00 || 2.43267 -0.28974 0.57193 13.07546 -41.41138 -237.35873
   7 | 16198 | -3.81 | 2571.00 |     0 |     0 |     0 |  414.85 |    0.00 |    0.00 |     0 | 0.00 || -0.32481 -0.70161 1.39114 102.68985 118.63478 44.79803
   8 | 16192 | -3.35 | 2169.80 |     0 |     0 |     0 |   45.66 |    0.00 |    0.00 |     0 | 0.00 || -3.13591 0.65006 1.83486 -53.88182 84.77553 -208.64458
   9 | 16134 | -2.81 | 2060.80 |     0 |     0 |     0 |  223.10 |    0.00 |    0.00 |     0 | 0.00 || -2.41661 0.75554 -2.62775 46.01195 -118.90752 -125.21651
  10 | 15910 | -3.39 | 2292.20 |     0 |     0 |     0 |   71.95 |    0.00 |    0.00 |     0 | 0.00 || -1.26192 -0.55741 1.68749 -77.44744 66.45836 31.88966
