*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/2VIS_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/2VIS/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/2VIS_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 18894 | -3.28 | 2600.30 |     0 |     0 |     0 |   63.25 |    0.00 |    0.00 |     0 | 0.00 || 2.35545 -0.68347 0.63860 -4.97118 -70.06610 -206.06931
   2 | 18874 | -3.28 | 2495.50 |     0 |     0 |     0 |  204.29 |    0.00 |    0.00 |     0 | 0.00 || 1.04620 -0.22784 2.17374 210.30861 129.66550 -77.33890
   3 | 18684 | -3.44 | 2471.20 |     0 |     0 |     0 |  216.76 |    0.00 |    0.00 |     0 | 0.00 || 3.03348 0.56250 1.09097 36.14524 137.71347 -230.52310
   4 | 18270 | -3.94 | 2407.70 |     0 |     0 |     0 |   88.50 |    0.00 |    0.00 |     0 | 0.00 || -1.43433 -0.73245 0.77039 3.88924 182.39908 -0.17078
   5 | 18006 | -4.70 | 3179.70 |     0 |     0 |     0 |  232.01 |    0.00 |    0.00 |     0 | 0.00 || -1.54061 0.61886 -2.19331 211.25269 7.90892 -30.55763
   6 | 17676 | -4.71 | 3266.60 |     0 |     0 |     0 |  105.36 |    0.00 |    0.00 |     0 | 0.00 || 0.84279 1.09581 0.07044 22.36599 -128.23090 -86.63991
   7 | 17566 | -3.52 | 2397.00 |     0 |     0 |     0 |  145.59 |    0.00 |    0.00 |     0 | 0.00 || -0.24623 -0.03655 -1.08603 13.06482 30.15583 76.75681
   8 | 17390 | -4.07 | 3630.40 |     0 |     0 |     0 |  395.06 |    0.00 |    0.00 |     0 | 0.00 || -0.00906 -1.14184 1.77984 95.54591 179.25609 0.01363
   9 | 17162 | -3.56 | 2515.50 |     0 |     0 |     0 |  420.29 |    0.00 |    0.00 |     0 | 0.00 || 1.52997 0.09126 2.53830 77.48514 146.16833 -185.88492
  10 | 17066 | -3.47 | 2494.40 |     0 |     0 |     0 |  120.04 |    0.00 |    0.00 |     0 | 0.00 || 2.70217 -0.92558 2.95909 203.68594 2.89018 -181.58257
  11 | 16878 | -4.26 | 2840.50 |     0 |     0 |     0 |  467.64 |    0.00 |    0.00 |     0 | 0.00 || 2.04375 -0.74763 0.93098 77.90581 -129.06409 -222.04611
  12 | 16838 | -2.86 | 2080.50 |     0 |     0 |     0 |  -70.13 |    0.00 |    0.00 |     0 | 0.00 || 0.92874 0.13308 -1.99354 -105.17066 142.98410 -50.17322
  13 | 16654 | -3.54 | 2304.30 |     0 |     0 |     0 |  -62.02 |    0.00 |    0.00 |     0 | 0.00 || -2.26253 -0.46855 1.21780 -133.54176 107.93738 -135.59476
  14 | 16434 | -2.99 | 2276.50 |     0 |     0 |     0 |   58.65 |    0.00 |    0.00 |     0 | 0.00 || 2.40912 0.33532 2.28170 40.22833 134.56784 -278.45990
  15 | 16046 | -3.65 | 2458.00 |     0 |     0 |     0 |  -48.53 |    0.00 |    0.00 |     0 | 0.00 || 1.98212 -0.20742 0.02976 -64.60307 -78.04151 -226.92075
  16 | 15976 | -3.16 | 2619.40 |     0 |     0 |     0 |   -8.42 |    0.00 |    0.00 |     0 | 0.00 || -1.68634 -0.13220 2.87577 23.76505 -108.52878 -27.41854
  17 | 15954 | -3.75 | 2203.90 |     0 |     0 |     0 |  -83.45 |    0.00 |    0.00 |     0 | 0.00 || 0.79620 -0.90576 2.93161 44.76178 244.50105 -70.11366
  18 | 15910 | -3.71 | 2296.60 |     0 |     0 |     0 |   10.48 |    0.00 |    0.00 |     0 | 0.00 || 2.85938 -0.64383 -1.12705 42.14555 158.12180 -212.08282
  19 | 15850 | -3.73 | 2757.20 |     0 |     0 |     0 |   37.51 |    0.00 |    0.00 |     0 | 0.00 || 1.38388 -0.74828 2.82884 154.08475 177.59500 -116.00593
  20 | 15798 | -2.82 | 1905.00 |     0 |     0 |     0 |  181.58 |    0.00 |    0.00 |     0 | 0.00 || 1.28495 -0.84209 -3.04333 25.62638 178.51932 -157.20071
  21 | 15346 | -3.46 | 2495.80 |     0 |     0 |     0 |   35.90 |    0.00 |    0.00 |     0 | 0.00 || 0.59108 -0.29635 -2.03192 -84.14100 110.30476 -6.83742
  22 | 15230 | -3.28 | 2040.00 |     0 |     0 |     0 | -240.35 |    0.00 |    0.00 |     0 | 0.00 || -2.72153 0.73307 2.82050 -56.90998 -53.45356 -163.14160
  23 | 15174 | -3.56 | 2200.70 |     0 |     0 |     0 |   25.71 |    0.00 |    0.00 |     0 | 0.00 || -2.46240 0.61068 1.73963 -101.18482 42.25114 -158.46729
  24 | 15102 | -3.18 | 2097.30 |     0 |     0 |     0 |  330.17 |    0.00 |    0.00 |     0 | 0.00 || 0.33477 -0.97830 -0.15441 129.24968 -113.22164 -7.51722
  25 | 15082 | -3.73 | 2934.90 |     0 |     0 |     0 |   44.59 |    0.00 |    0.00 |     0 | 0.00 || -3.02594 -0.38110 -1.41518 64.16855 112.20755 -219.16054
  26 | 15038 | -3.52 | 2675.70 |     0 |     0 |     0 |  429.84 |    0.00 |    0.00 |     0 | 0.00 || -0.76309 -1.05346 1.63650 -72.67969 156.72546 -13.21080
  27 | 14966 | -3.14 | 2199.80 |     0 |     0 |     0 | -105.58 |    0.00 |    0.00 |     0 | 0.00 || -1.02526 -0.44125 3.04707 -12.40578 -27.33849 65.24863
  28 | 14944 | -3.74 | 2237.40 |     0 |     0 |     0 |   81.82 |    0.00 |    0.00 |     0 | 0.00 || 2.28700 1.00096 -2.35618 -75.41601 3.93420 -192.18921
  29 | 14928 | -3.94 | 2118.00 |     0 |     0 |     0 |  402.69 |    0.00 |    0.00 |     0 | 0.00 || -0.66773 -0.25258 0.20209 88.08402 32.11614 90.24763
  30 | 14920 | -2.91 | 1993.70 |     0 |     0 |     0 |  185.43 |    0.00 |    0.00 |     0 | 0.00 || 1.53631 -0.38700 2.02809 135.84206 65.54592 -160.49344
  31 | 14912 | -3.08 | 2293.10 |     0 |     0 |     0 |  367.33 |    0.00 |    0.00 |     0 | 0.00 || 1.86283 -0.42327 -0.60246 -129.43935 -71.10975 -240.45753
  32 | 14826 | -3.11 | 2232.80 |     0 |     0 |     0 |  297.57 |    0.00 |    0.00 |     0 | 0.00 || -2.67626 0.16558 1.10160 -144.31053 89.40922 -207.23868
  33 | 14814 | -3.07 | 1965.80 |     0 |     0 |     0 |   98.85 |    0.00 |    0.00 |     0 | 0.00 || 0.01670 0.85582 -3.04880 98.09456 139.54605 -0.75696
  34 | 14722 | -3.65 | 2624.00 |     0 |     0 |     0 |  265.97 |    0.00 |    0.00 |     0 | 0.00 || -2.46667 0.41004 1.34048 -173.27010 90.93958 -186.19872
  35 | 14672 | -3.43 | 2191.70 |     0 |     0 |     0 | -107.81 |    0.00 |    0.00 |     0 | 0.00 || -0.75936 0.76589 -1.15078 5.17730 133.75777 73.08701
  36 | 14598 | -4.77 | 3315.40 |     0 |     0 |     0 |  189.78 |    0.00 |    0.00 |     0 | 0.00 || 2.70508 -0.03963 -1.16906 -3.40518 42.02606 -311.00690
  37 | 14566 | -3.04 | 1747.10 |     0 |     0 |     0 |  200.07 |    0.00 |    0.00 |     0 | 0.00 || -1.07402 -0.11010 -1.85809 101.00125 14.26774 83.29753
  38 | 14538 | -3.26 | 2516.10 |     0 |     0 |     0 |  118.03 |    0.00 |    0.00 |     0 | 0.00 || 2.28412 -0.05844 2.17026 106.82803 86.99265 -275.06519
  39 | 14496 | -3.26 | 1801.70 |     0 |     0 |     0 |  292.39 |    0.00 |    0.00 |     0 | 0.00 || -2.56702 1.17391 -2.30040 76.32884 -112.14636 -109.22107
  40 | 14474 | -3.72 | 2656.30 |     0 |     0 |     0 |  426.08 |    0.00 |    0.00 |     0 | 0.00 || -1.80035 -0.57203 0.95035 -117.94498 153.52933 -20.29917
  41 | 14412 | -3.52 | 2615.50 |     0 |     0 |     0 | -341.18 |    0.00 |    0.00 |     0 | 0.00 || -0.46944 0.60881 2.87186 107.45033 -23.52602 95.33303
