*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/DockingBenchmark5/2W9E_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/2W9E/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/DockingBenchmark5/2W9E_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 15980 | -4.26 | 3083.30 |     0 |     0 |     0 |  341.13 |    0.00 |    0.00 |     0 | 0.00 || -0.36532 0.02983 -2.58542 -55.86247 -44.75771 -36.96505
   2 | 15468 | -3.17 | 2248.60 |     0 |     0 |     0 |  337.65 |    0.00 |    0.00 |     0 | 0.00 || 0.55831 -0.29800 -0.42362 31.72608 51.45953 21.57354
   3 | 15036 | -3.56 | 2138.30 |     0 |     0 |     0 |  405.77 |    0.00 |    0.00 |     0 | 0.00 || -0.08993 -0.41467 0.27885 -14.34339 49.95557 -2.53182
   4 | 14920 | -3.13 | 2106.00 |     0 |     0 |     0 |  312.28 |    0.00 |    0.00 |     0 | 0.00 || 3.13703 1.11429 2.37168 9.55097 47.11082 76.67092
   5 | 14720 | -3.96 | 2376.80 |     0 |     0 |     0 |  379.05 |    0.00 |    0.00 |     0 | 0.00 || -0.27931 0.51765 -1.77695 -5.50662 -37.17265 22.66016
   6 | 14646 | -3.48 | 2407.30 |     0 |     0 |     0 |  495.55 |    0.00 |    0.00 |     0 | 0.00 || -3.07582 -0.75907 -1.27927 -74.50745 -50.78644 -10.12940
   7 | 14250 | -3.40 | 2363.60 |     0 |     0 |     0 |  365.35 |    0.00 |    0.00 |     0 | 0.00 || -0.26607 0.81024 -0.58116 40.70029 3.73981 38.61989
   8 | 14130 | -3.29 | 1846.70 |     0 |     0 |     0 |  238.92 |    0.00 |    0.00 |     0 | 0.00 || 3.09414 -0.74754 -2.82764 -95.09079 21.61937 -12.66214
   9 | 14046 | -3.61 | 2608.50 |     0 |     0 |     0 |  323.03 |    0.00 |    0.00 |     0 | 0.00 || -1.62139 -0.24065 2.02054 -21.65728 37.85111 -52.63025
  10 | 14028 | -3.00 | 1829.00 |     0 |     0 |     0 |  231.46 |    0.00 |    0.00 |     0 | 0.00 || 2.31918 0.18542 -2.73567 -53.91819 18.65867 87.48924
  11 | 13930 | -3.10 | 1944.00 |     0 |     0 |     0 |  142.38 |    0.00 |    0.00 |     0 | 0.00 || 1.59675 1.26979 1.05753 -59.28694 9.91812 84.40209
  12 | 13868 | -3.07 | 1827.00 |     0 |     0 |     0 |  309.39 |    0.00 |    0.00 |     0 | 0.00 || 1.14380 0.84568 0.23201 -33.99242 37.28052 40.01361
  13 | 13706 | -3.30 | 1829.60 |     0 |     0 |     0 |  448.44 |    0.00 |    0.00 |     0 | 0.00 || -3.09223 -1.07371 -1.65707 -85.55969 -34.76871 -26.40771
  14 | 13620 | -3.19 | 2065.70 |     0 |     0 |     0 |  384.08 |    0.00 |    0.00 |     0 | 0.00 || 0.83226 0.00488 0.10442 7.38784 70.88168 47.75398
  15 | 13482 | -3.07 | 1884.50 |     0 |     0 |     0 |  -11.84 |    0.00 |    0.00 |     0 | 0.00 || 0.80936 0.99165 3.08999 -36.82842 -29.49455 72.94116
  16 | 13480 | -3.10 | 1794.20 |     0 |     0 |     0 |  215.89 |    0.00 |    0.00 |     0 | 0.00 || -2.15401 -0.44682 -0.64486 -42.21566 -78.87954 -11.25433
  17 | 13476 | -3.96 | 2238.50 |     0 |     0 |     0 |  308.82 |    0.00 |    0.00 |     0 | 0.00 || -0.54267 0.75493 0.95713 -3.46441 70.14867 29.81132
  18 | 13248 | -3.99 | 1934.70 |     0 |     0 |     0 |  475.12 |    0.00 |    0.00 |     0 | 0.00 || 0.46758 -0.13844 -3.02715 -56.55103 -39.51455 26.98446
  19 | 13200 | -3.75 | 1919.80 |     0 |     0 |     0 |  443.98 |    0.00 |    0.00 |     0 | 0.00 || -3.05408 0.79563 -0.05243 -25.08585 -51.38115 36.68263
  20 | 13196 | -3.36 | 1629.00 |     0 |     0 |     0 |  141.20 |    0.00 |    0.00 |     0 | 0.00 || 2.75890 -0.93105 1.83773 -30.54943 93.47523 26.31184
  21 | 13128 | -2.90 | 1659.20 |     0 |     0 |     0 |  341.61 |    0.00 |    0.00 |     0 | 0.00 || 0.38294 -0.14948 3.05540 -58.28676 -28.10589 20.31186
  22 | 13024 | -3.40 | 2082.40 |     0 |     0 |     0 |  479.10 |    0.00 |    0.00 |     0 | 0.00 || -0.39457 -0.00235 -0.63064 22.38896 5.59515 -1.87555
  23 | 13002 | -3.21 | 1880.60 |     0 |     0 |     0 |   29.63 |    0.00 |    0.00 |     0 | 0.00 || 3.13091 -0.58933 -0.34400 -30.86922 -28.90808 23.65744
  24 | 13002 | -2.97 | 1682.70 |     0 |     0 |     0 |  391.98 |    0.00 |    0.00 |     0 | 0.00 || -3.08158 -0.18607 0.64988 24.13895 5.86036 54.54457
  25 | 12974 | -3.20 | 1701.60 |     0 |     0 |     0 |  354.47 |    0.00 |    0.00 |     0 | 0.00 || -2.82066 -0.57841 -2.57154 -76.67504 26.27217 -21.94096
  26 | 12940 | -3.45 | 2244.30 |     0 |     0 |     0 |   33.11 |    0.00 |    0.00 |     0 | 0.00 || 2.44284 -1.40909 0.31157 36.16485 11.95905 -0.46893
  27 | 12916 | -3.16 | 1898.70 |     0 |     0 |     0 |  109.86 |    0.00 |    0.00 |     0 | 0.00 || -0.43809 0.05059 1.85589 -76.63419 0.11172 -17.25413
  28 | 12884 | -3.28 | 1787.40 |     0 |     0 |     0 |  425.48 |    0.00 |    0.00 |     0 | 0.00 || -2.01856 0.11638 1.92127 -16.33619 66.43416 22.47851
  29 | 12818 | -2.98 | 1626.30 |     0 |     0 |     0 |  172.62 |    0.00 |    0.00 |     0 | 0.00 || 2.83942 -0.21371 -0.23847 18.45862 -26.23057 57.19154
  30 | 12716 | -3.04 | 1718.30 |     0 |     0 |     0 |  232.31 |    0.00 |    0.00 |     0 | 0.00 || 1.35535 0.01943 1.82110 -68.04905 39.32231 72.94247
  31 | 12700 | -2.74 | 1566.10 |     0 |     0 |     0 |  221.85 |    0.00 |    0.00 |     0 | 0.00 || -1.70613 -0.41168 -2.04567 -97.42216 5.55323 -35.09381
  32 | 12610 | -3.12 | 2026.60 |     0 |     0 |     0 |  151.27 |    0.00 |    0.00 |     0 | 0.00 || -0.28270 1.00175 -3.01367 -61.44795 -7.15364 9.16443
  33 | 12588 | -4.34 | 2093.30 |     0 |     0 |     0 |  476.68 |    0.00 |    0.00 |     0 | 0.00 || -3.11243 0.17507 -1.30152 -77.38274 -40.72727 29.86641
  34 | 12538 | -3.69 | 2074.50 |     0 |     0 |     0 |  331.42 |    0.00 |    0.00 |     0 | 0.00 || 0.83031 0.13661 0.94724 -44.64352 61.20968 58.42868
  35 | 12510 | -2.85 | 1723.30 |     0 |     0 |     0 |  220.02 |    0.00 |    0.00 |     0 | 0.00 || -2.63573 -0.98109 2.62066 -15.76665 77.97960 1.74687
  36 | 12506 | -3.04 | 1788.60 |     0 |     0 |     0 |  278.12 |    0.00 |    0.00 |     0 | 0.00 || -2.34797 -0.51669 1.05450 39.09401 18.84889 -37.99747
  37 | 12420 | -3.44 | 1752.20 |     0 |     0 |     0 |  360.95 |    0.00 |    0.00 |     0 | 0.00 || -1.37870 -0.51961 -2.90163 -51.56363 13.69383 -63.81467
  38 | 12356 | -3.71 | 2002.60 |     0 |     0 |     0 |  313.91 |    0.00 |    0.00 |     0 | 0.00 || 0.50623 0.51348 2.50971 -116.72618 -18.77982 31.03974
  39 | 12356 | -3.15 | 1435.60 |     0 |     0 |     0 |  166.79 |    0.00 |    0.00 |     0 | 0.00 || -0.24372 0.27285 0.41828 11.17835 80.00787 -29.45711
  40 | 12354 | -3.24 | 1626.50 |     0 |     0 |     0 |  458.24 |    0.00 |    0.00 |     0 | 0.00 || -2.17112 1.16401 0.87601 24.14699 0.06859 19.88885
  41 | 12312 | -3.77 | 1913.70 |     0 |     0 |     0 |  480.50 |    0.00 |    0.00 |     0 | 0.00 || 0.46901 -0.92628 -1.46329 5.97322 -12.67507 -37.59476
  42 | 12268 | -3.03 | 1626.00 |     0 |     0 |     0 |  288.10 |    0.00 |    0.00 |     0 | 0.00 || 2.18700 0.75852 -0.27787 -16.73413 8.48733 87.70529
  43 | 12198 | -3.44 | 1668.40 |     0 |     0 |     0 |  301.25 |    0.00 |    0.00 |     0 | 0.00 || 3.01179 -0.52770 -1.87140 -68.45911 -16.79818 37.23648
  44 | 12188 | -2.94 | 1695.10 |     0 |     0 |     0 |  161.38 |    0.00 |    0.00 |     0 | 0.00 || -2.51932 0.35968 -1.39256 -82.45508 -10.48090 43.22783
  45 | 12184 | -2.57 | 1434.20 |     0 |     0 |     0 |  469.58 |    0.00 |    0.00 |     0 | 0.00 || 0.68793 0.11356 -2.99234 -88.92284 -40.86524 14.25382
  46 | 12160 | -3.06 | 1747.30 |     0 |     0 |     0 |  245.34 |    0.00 |    0.00 |     0 | 0.00 || 1.19150 0.35544 -0.20627 14.42688 51.70000 71.31995
  47 | 12154 | -3.41 | 1830.90 |     0 |     0 |     0 |  218.17 |    0.00 |    0.00 |     0 | 0.00 || 2.41631 -1.45887 2.90440 -70.73092 32.18465 6.69283
  48 | 12154 | -3.45 | 2046.30 |     0 |     0 |     0 |  284.69 |    0.00 |    0.00 |     0 | 0.00 || 2.81552 -0.02410 -0.29977 1.74201 -41.96520 74.13895
  49 | 12146 | -3.81 | 1949.70 |     0 |     0 |     0 |  100.58 |    0.00 |    0.00 |     0 | 0.00 || -0.84345 -0.88811 -0.39377 -47.87098 15.58237 -64.55576
  50 | 12140 | -3.14 | 1663.60 |     0 |     0 |     0 |  447.60 |    0.00 |    0.00 |     0 | 0.00 || 0.71188 -0.05042 1.47128 -50.46327 59.79925 29.33443
  51 | 12132 | -3.20 | 1593.10 |     0 |     0 |     0 |  476.11 |    0.00 |    0.00 |     0 | 0.00 || -0.30604 -0.95766 -1.22812 6.52538 38.10583 -18.83368
  52 | 12128 | -3.40 | 1643.50 |     0 |     0 |     0 |  328.20 |    0.00 |    0.00 |     0 | 0.00 || 0.21721 0.55274 -1.56260 22.75639 -20.73590 41.12572
  53 | 12114 | -3.32 | 1798.50 |     0 |     0 |     0 |  347.69 |    0.00 |    0.00 |     0 | 0.00 || 0.49887 -0.94092 -2.91831 -34.24940 -55.68930 8.25971
  54 | 12090 | -3.08 | 1597.30 |     0 |     0 |     0 |  -33.34 |    0.00 |    0.00 |     0 | 0.00 || -3.01950 0.59859 1.70688 18.83758 46.58664 68.94102
  55 | 12082 | -3.75 | 1989.10 |     0 |     0 |     0 |  305.40 |    0.00 |    0.00 |     0 | 0.00 || -0.03274 0.59778 -2.13358 -10.77048 -42.53616 30.60821
  56 | 12078 | -2.73 | 1526.20 |     0 |     0 |     0 |  106.54 |    0.00 |    0.00 |     0 | 0.00 || 1.03237 -0.91060 -2.80527 -66.44953 -49.10373 -25.99447
  57 | 12060 | -3.20 | 1665.50 |     0 |     0 |     0 |  429.91 |    0.00 |    0.00 |     0 | 0.00 || 1.69107 0.75951 1.55428 -46.78490 9.78172 96.13147
  58 | 12058 | -3.46 | 1855.90 |     0 |     0 |     0 |  187.64 |    0.00 |    0.00 |     0 | 0.00 || -0.09221 -0.28455 -1.12480 14.55228 -8.66890 -44.51073
  59 | 12036 | -2.79 | 1544.70 |     0 |     0 |     0 |  439.24 |    0.00 |    0.00 |     0 | 0.00 || -0.28114 0.49020 -0.15050 9.28033 49.60957 27.31596
  60 | 11994 | -3.03 | 1597.70 |     0 |     0 |     0 |  395.62 |    0.00 |    0.00 |     0 | 0.00 || 0.44497 -0.26599 -0.51006 26.51356 46.89503 21.98267
  61 | 11988 | -3.61 | 1820.90 |     0 |     0 |     0 | -116.14 |    0.00 |    0.00 |     0 | 0.00 || 3.07910 -0.05391 1.54691 22.44296 42.58838 60.60695
  62 | 11982 | -3.55 | 2308.70 |     0 |     0 |     0 |   40.01 |    0.00 |    0.00 |     0 | 0.00 || -0.51829 0.27417 2.74938 -90.87862 -6.11913 -34.72946
  63 | 11974 | -3.66 | 2180.70 |     0 |     0 |     0 |  373.07 |    0.00 |    0.00 |     0 | 0.00 || 0.85681 0.33285 -0.10107 -0.45739 36.41982 20.81541
  64 | 11948 | -2.97 | 1611.40 |     0 |     0 |     0 |  241.97 |    0.00 |    0.00 |     0 | 0.00 || 2.73495 -0.98834 -1.71779 -64.57082 -49.41780 -19.32840
  65 | 11946 | -4.25 | 2624.70 |     0 |     0 |     0 |  373.20 |    0.00 |    0.00 |     0 | 0.00 || -2.38935 -0.52818 -0.19786 -25.47935 -49.57151 -30.20836
  66 | 11924 | -3.21 | 1711.50 |     0 |     0 |     0 |  396.18 |    0.00 |    0.00 |     0 | 0.00 || -2.40088 0.79837 3.09552 -48.44317 55.45169 52.85890
  67 | 11894 | -3.55 | 1755.80 |     0 |     0 |     0 |  242.32 |    0.00 |    0.00 |     0 | 0.00 || 1.56060 -0.50267 1.82281 -73.56763 17.40106 46.53145
  68 | 11872 | -3.81 | 1741.60 |     0 |     0 |     0 |   95.80 |    0.00 |    0.00 |     0 | 0.00 || 2.69458 0.58373 -1.50154 -56.61736 6.49747 90.06570
  69 | 11864 | -3.27 | 1620.40 |     0 |     0 |     0 |  375.59 |    0.00 |    0.00 |     0 | 0.00 || -0.38277 -0.40495 2.98323 -73.79133 -25.96900 -51.77205
