*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/DockingBenchmark5/3AAA_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/3AAA/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/DockingBenchmark5/3AAA_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 13702 | -3.02 | 1857.70 |     0 |     0 |     0 |  470.30 |    0.00 |    0.00 |     0 | 0.00 || -1.72517 0.61801 -0.26264 -54.51087 53.92819 45.38124
   2 | 12954 | -3.00 | 1870.20 |     0 |     0 |     0 |  431.01 |    0.00 |    0.00 |     0 | 0.00 || -1.74482 0.38065 1.87085 45.32519 -40.47163 74.41404
   3 | 12768 | -3.39 | 1901.60 |     0 |     0 |     0 |  248.48 |    0.00 |    0.00 |     0 | 0.00 || -2.84849 0.07134 2.39608 37.88084 -3.81808 92.54460
   4 | 12618 | -3.27 | 1591.10 |     0 |     0 |     0 |  431.89 |    0.00 |    0.00 |     0 | 0.00 || 0.20896 0.43291 0.90131 21.26193 7.03196 -24.31657
   5 | 12598 | -2.64 | 1674.30 |     0 |     0 |     0 |  478.22 |    0.00 |    0.00 |     0 | 0.00 || 2.59705 -1.44609 -2.22524 64.38721 -10.74652 87.57692
   6 | 12588 | -3.17 | 1741.80 |     0 |     0 |     0 |  485.79 |    0.00 |    0.00 |     0 | 0.00 || 1.66005 0.32625 -2.61502 40.90387 41.52605 -22.14321
   7 | 12512 | -3.70 | 1914.90 |     0 |     0 |     0 |  438.44 |    0.00 |    0.00 |     0 | 0.00 || -0.48447 -0.25393 0.63184 12.65461 -56.31277 54.58094
   8 | 12490 | -3.64 | 1814.40 |     0 |     0 |     0 |  465.39 |    0.00 |    0.00 |     0 | 0.00 || -1.75982 0.08170 -2.50295 39.28715 88.06803 86.59199
   9 | 12384 | -3.51 | 1706.40 |     0 |     0 |     0 |  377.70 |    0.00 |    0.00 |     0 | 0.00 || 2.99207 0.03343 -0.03947 -34.73430 102.09457 34.56986
  10 | 12356 | -2.95 | 1607.90 |     0 |     0 |     0 |  302.39 |    0.00 |    0.00 |     0 | 0.00 || 2.69817 -0.68144 2.78461 -3.37009 -16.67562 44.41334
