*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/DockingBenchmark5/3BIW_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/3BIW/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/DockingBenchmark5/3BIW_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 15046 | -2.88 | 1998.80 |     0 |     0 |     0 |  448.76 |    0.00 |    0.00 |     0 | 0.00 || -0.17704 -0.76082 -1.85643 -106.21392 110.10817 18.41775
   2 | 14972 | -3.49 | 2022.50 |     0 |     0 |     0 |  321.31 |    0.00 |    0.00 |     0 | 0.00 || -0.27788 -0.40578 1.28557 101.36427 60.75034 -20.43315
   3 | 14910 | -3.40 | 2181.60 |     0 |     0 |     0 |  165.89 |    0.00 |    0.00 |     0 | 0.00 || -1.69707 1.50154 -0.35152 -145.49741 81.22017 77.98942
   4 | 14734 | -3.27 | 2067.10 |     0 |     0 |     0 |  146.93 |    0.00 |    0.00 |     0 | 0.00 || -0.64193 1.14666 -0.92596 -134.64606 27.84248 80.38219
   5 | 14124 | -3.27 | 2189.50 |     0 |     0 |     0 |  361.02 |    0.00 |    0.00 |     0 | 0.00 || -2.82149 1.13689 -2.39570 46.57079 54.44076 40.64516
   6 | 13960 | -3.41 | 2058.00 |     0 |     0 |     0 |  421.78 |    0.00 |    0.00 |     0 | 0.00 || 1.63148 0.52966 0.30892 -5.80879 112.48026 -51.36144
   7 | 13942 | -2.95 | 1872.60 |     0 |     0 |     0 |  383.93 |    0.00 |    0.00 |     0 | 0.00 || 3.02214 1.09277 0.91856 -125.20346 94.88573 28.12026
   8 | 13928 | -3.14 | 1911.80 |     0 |     0 |     0 |  348.05 |    0.00 |    0.00 |     0 | 0.00 || 2.05551 -0.30966 2.77379 -27.12900 -7.17345 -27.78286
   9 | 13926 | -3.01 | 1775.80 |     0 |     0 |     0 |   66.76 |    0.00 |    0.00 |     0 | 0.00 || -1.94463 -0.17169 -0.37099 -13.72002 50.43964 170.77370
  10 | 13834 | -3.18 | 1992.20 |     0 |     0 |     0 |  100.98 |    0.00 |    0.00 |     0 | 0.00 || 1.36653 1.26960 -2.57581 -85.00285 3.19896 -26.48968
  11 | 13824 | -3.86 | 1982.90 |     0 |     0 |     0 |  333.90 |    0.00 |    0.00 |     0 | 0.00 || 0.05653 -0.52575 1.28787 56.33267 27.74731 9.35694
  12 | 13790 | -2.63 | 1674.10 |     0 |     0 |     0 |  301.78 |    0.00 |    0.00 |     0 | 0.00 || -2.53205 0.70854 1.54032 -99.80431 16.75845 139.35449
  13 | 13694 | -3.75 | 2084.90 |     0 |     0 |     0 |  133.70 |    0.00 |    0.00 |     0 | 0.00 || -0.79131 -0.43598 1.90685 33.71721 111.94151 66.38323
  14 | 13652 | -3.22 | 1840.00 |     0 |     0 |     0 |  251.84 |    0.00 |    0.00 |     0 | 0.00 || 2.45634 0.59743 0.17067 -37.24354 157.10091 -1.70323
  15 | 13452 | -3.70 | 2134.50 |     0 |     0 |     0 |  312.96 |    0.00 |    0.00 |     0 | 0.00 || 2.47871 -0.33890 2.35301 -131.23973 -30.78685 -12.12615
  16 | 13414 | -3.10 | 1831.50 |     0 |     0 |     0 |  320.49 |    0.00 |    0.00 |     0 | 0.00 || -0.79783 0.51681 2.28173 67.75484 120.48996 34.30244
  17 | 13412 | -3.71 | 1787.60 |     0 |     0 |     0 |  240.68 |    0.00 |    0.00 |     0 | 0.00 || 2.86932 0.15796 1.51345 -166.45721 61.32502 51.18839
  18 | 13408 | -3.40 | 1856.30 |     0 |     0 |     0 |  196.04 |    0.00 |    0.00 |     0 | 0.00 || 1.38400 -0.35495 -1.07402 -21.77946 103.59473 -47.35784
  19 | 13374 | -3.84 | 1898.20 |     0 |     0 |     0 |  366.50 |    0.00 |    0.00 |     0 | 0.00 || 2.73573 0.68479 0.60387 -73.22213 155.22247 3.41784
  20 | 13326 | -3.12 | 1725.20 |     0 |     0 |     0 |  325.90 |    0.00 |    0.00 |     0 | 0.00 || 2.53871 0.25152 1.67951 -119.62962 48.05723 8.48289
  21 | 13240 | -2.89 | 1697.80 |     0 |     0 |     0 |  498.89 |    0.00 |    0.00 |     0 | 0.00 || 0.81864 -0.44251 -1.10504 -74.68646 69.79883 -106.67638
  22 | 13208 | -3.33 | 2031.30 |     0 |     0 |     0 | -107.35 |    0.00 |    0.00 |     0 | 0.00 || -1.02915 -0.64066 2.08800 13.43649 155.69736 106.89264
  23 | 13158 | -2.96 | 1785.60 |     0 |     0 |     0 |  257.65 |    0.00 |    0.00 |     0 | 0.00 || -0.79207 -0.01202 2.76427 22.70313 148.42099 64.38011
  24 | 13020 | -3.15 | 1762.30 |     0 |     0 |     0 |  130.38 |    0.00 |    0.00 |     0 | 0.00 || -0.47092 -0.03863 -2.46088 -119.27101 152.75809 67.70289
  25 | 13014 | -3.15 | 1945.80 |     0 |     0 |     0 |  317.54 |    0.00 |    0.00 |     0 | 0.00 || 2.73442 0.04596 -2.39875 6.15964 -38.63741 37.50616
  26 | 13000 | -3.25 | 2155.30 |     0 |     0 |     0 |  401.64 |    0.00 |    0.00 |     0 | 0.00 || -1.18540 0.78465 -3.11734 25.04900 136.42139 62.82509
  27 | 12948 | -2.83 | 1713.90 |     0 |     0 |     0 |  118.25 |    0.00 |    0.00 |     0 | 0.00 || 1.60783 1.40661 1.52973 -50.45974 147.05516 26.00508
  28 | 12938 | -2.87 | 1782.30 |     0 |     0 |     0 |  495.72 |    0.00 |    0.00 |     0 | 0.00 || 0.70571 -0.08490 0.85430 29.87474 54.47747 -108.51685
  29 | 12910 | -3.51 | 2152.40 |     0 |     0 |     0 |  184.14 |    0.00 |    0.00 |     0 | 0.00 || -2.01118 -0.33874 -2.58833 -80.47494 46.69320 162.89996
  30 | 12844 | -2.56 | 1594.30 |     0 |     0 |     0 |   69.07 |    0.00 |    0.00 |     0 | 0.00 || 2.07293 -0.25155 0.20540 -25.19906 169.23962 -70.13150
  31 | 12814 | -2.77 | 1499.70 |     0 |     0 |     0 |  262.52 |    0.00 |    0.00 |     0 | 0.00 || -2.33073 -0.80125 1.78383 -51.47423 125.25256 90.39150
  32 | 12774 | -3.59 | 1907.00 |     0 |     0 |     0 |  414.36 |    0.00 |    0.00 |     0 | 0.00 || 2.32139 0.10664 1.07750 -85.69043 111.91144 -22.81410
  33 | 12744 | -3.37 | 1626.10 |     0 |     0 |     0 |  303.64 |    0.00 |    0.00 |     0 | 0.00 || 1.21770 0.26329 2.77690 -44.53107 82.79066 -59.43945
  34 | 12734 | -2.74 | 1616.60 |     0 |     0 |     0 |  154.86 |    0.00 |    0.00 |     0 | 0.00 || -1.71571 0.78598 0.46169 -101.67937 -14.02188 124.24641
  35 | 12728 | -3.14 | 1843.40 |     0 |     0 |     0 |  269.72 |    0.00 |    0.00 |     0 | 0.00 || -0.35036 0.67132 1.81586 55.03383 86.31750 41.02098
  36 | 12688 | -4.12 | 1920.70 |     0 |     0 |     0 |  369.04 |    0.00 |    0.00 |     0 | 0.00 || 3.10042 0.34355 0.71438 -87.44827 131.11388 42.91610
  37 | 12644 | -2.96 | 1649.00 |     0 |     0 |     0 |  232.07 |    0.00 |    0.00 |     0 | 0.00 || -1.58462 0.23131 -3.13902 13.77418 126.09395 146.03848
  38 | 12640 | -3.33 | 1646.00 |     0 |     0 |     0 |  290.05 |    0.00 |    0.00 |     0 | 0.00 || -0.88004 -1.46914 -1.49297 -100.27106 9.43620 40.06407
  39 | 12628 | -2.92 | 1607.00 |     0 |     0 |     0 |  255.95 |    0.00 |    0.00 |     0 | 0.00 || -0.04579 0.02807 2.29628 7.34505 129.80054 -14.16897
  40 | 12624 | -3.18 | 1665.10 |     0 |     0 |     0 |  126.06 |    0.00 |    0.00 |     0 | 0.00 || 0.22665 -0.00657 0.75730 32.76191 6.05295 -6.90773
  41 | 12600 | -3.11 | 1815.90 |     0 |     0 |     0 |  223.04 |    0.00 |    0.00 |     0 | 0.00 || 0.08791 0.34463 -2.36051 -134.44647 120.94534 13.34908
  42 | 12600 | -2.70 | 1554.00 |     0 |     0 |     0 |  295.11 |    0.00 |    0.00 |     0 | 0.00 || -2.88900 0.24779 -2.34523 6.66992 13.88942 65.97429
  43 | 12546 | -3.42 | 1903.30 |     0 |     0 |     0 |  422.93 |    0.00 |    0.00 |     0 | 0.00 || -1.33412 -0.25670 1.23234 30.28854 53.27300 107.01973
  44 | 12512 | -3.21 | 1825.50 |     0 |     0 |     0 |  139.11 |    0.00 |    0.00 |     0 | 0.00 || 1.22837 -0.75833 -2.96597 29.69826 69.70074 -31.76082
  45 | 12510 | -2.65 | 1558.40 |     0 |     0 |     0 |  246.98 |    0.00 |    0.00 |     0 | 0.00 || 0.67954 -0.03820 -0.15577 -33.44590 16.24553 -40.49678
  46 | 12480 | -3.13 | 1597.00 |     0 |     0 |     0 |  170.02 |    0.00 |    0.00 |     0 | 0.00 || -2.70627 0.94467 0.00808 -101.19247 139.50781 47.80236
