*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/3BP8_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/3BP8/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/3BP8_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 12782 | -3.02 | 1770.50 |     0 |     0 |     0 |  218.63 |    0.00 |    0.00 |     0 | 0.00 || -1.46708 0.48464 2.41119 42.11848 -54.25835 -85.72500
   2 | 12322 | -3.97 | 2229.80 |     0 |     0 |     0 |  460.41 |    0.00 |    0.00 |     0 | 0.00 || -1.11687 -0.13049 -2.55112 118.30492 -7.44847 -47.49366
   3 | 12216 | -2.63 | 1634.90 |     0 |     0 |     0 |  374.23 |    0.00 |    0.00 |     0 | 0.00 || -3.10862 -0.52683 0.64441 -4.38604 -128.17633 -0.36944
   4 | 12162 | -3.29 | 1462.00 |     0 |     0 |     0 |  330.40 |    0.00 |    0.00 |     0 | 0.00 || 0.35377 -1.27664 1.30891 -33.44340 17.42692 79.33908
   5 | 12090 | -3.89 | 1824.80 |     0 |     0 |     0 |  426.50 |    0.00 |    0.00 |     0 | 0.00 || 2.85899 0.62140 -1.36075 -27.81260 27.56695 -85.52230
   6 | 11938 | -3.49 | 1737.20 |     0 |     0 |     0 |  269.39 |    0.00 |    0.00 |     0 | 0.00 || 2.03308 -0.06522 1.13961 46.49107 -87.65549 4.25717
   7 | 11812 | -3.13 | 1599.40 |     0 |     0 |     0 |  406.44 |    0.00 |    0.00 |     0 | 0.00 || -1.46204 -0.30786 -0.37911 -68.25614 50.87977 -18.85690
   8 | 11766 | -3.04 | 1639.80 |     0 |     0 |     0 |  163.46 |    0.00 |    0.00 |     0 | 0.00 || -3.00428 0.28038 0.47440 -39.42185 -72.27351 -54.38649
   9 | 11726 | -3.37 | 1609.20 |     0 |     0 |     0 |  209.45 |    0.00 |    0.00 |     0 | 0.00 || 2.94797 0.79730 -0.80011 -61.54987 -44.10576 -110.03637
  10 | 11704 | -3.40 | 1761.90 |     0 |     0 |     0 |  322.15 |    0.00 |    0.00 |     0 | 0.00 || 0.91516 -0.84950 -2.82496 33.97259 -46.31168 82.76368
