*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/DockingBenchmark5/3BX7_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/3BX7/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/DockingBenchmark5/3BX7_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 13606 | -3.39 | 1846.00 |     0 |     0 |     0 | -162.56 |    0.00 |    0.00 |     0 | 0.00 || 0.05658 0.16340 2.24056 90.36128 -88.99606 -8.75255
   2 | 13250 | -3.18 | 2014.70 |     0 |     0 |     0 | -547.61 |    0.00 |    0.00 |     0 | 0.00 || 0.75486 0.49636 -1.70206 67.90208 34.00828 -28.76961
   3 | 13150 | -2.62 | 1549.90 |     0 |     0 |     0 |   -7.01 |    0.00 |    0.00 |     0 | 0.00 || 2.48326 -0.67640 0.17709 37.57685 -79.11211 -12.47130
   4 | 12922 | -2.65 | 1670.30 |     0 |     0 |     0 | -322.35 |    0.00 |    0.00 |     0 | 0.00 || -0.86120 -0.05724 -2.10420 113.57976 1.26743 -10.55878
   5 | 12906 | -3.83 | 2219.40 |     0 |     0 |     0 | -329.15 |    0.00 |    0.00 |     0 | 0.00 || 1.15929 0.27011 1.83392 98.50657 -77.66497 -20.22604
   6 | 12762 | -3.31 | 1878.70 |     0 |     0 |     0 | -590.93 |    0.00 |    0.00 |     0 | 0.00 || 1.31614 0.74511 1.10634 51.92672 -96.28612 -47.13371
   7 | 12700 | -4.56 | 2188.00 |     0 |     0 |     0 | -158.86 |    0.00 |    0.00 |     0 | 0.00 || -2.76954 -0.72286 -2.49598 111.84675 17.52067 -5.37577
   8 | 12186 | -3.32 | 1580.50 |     0 |     0 |     0 | -323.93 |    0.00 |    0.00 |     0 | 0.00 || 2.66257 -0.06118 0.26914 10.66680 -73.06042 -33.54924
   9 | 12000 | -2.94 | 1535.30 |     0 |     0 |     0 | -137.14 |    0.00 |    0.00 |     0 | 0.00 || -1.10754 0.82828 -2.65562 107.54246 -46.52061 -68.22713
  10 | 11734 | -3.48 | 1754.70 |     0 |     0 |     0 | -420.95 |    0.00 |    0.00 |     0 | 0.00 || -2.96971 -0.33612 1.07996 44.49757 -84.29835 -28.52636
  11 | 11708 | -2.98 | 1636.20 |     0 |     0 |     0 | -129.59 |    0.00 |    0.00 |     0 | 0.00 || -3.11717 0.31564 -1.62993 74.15347 -0.99986 -77.98859
  12 | 11574 | -2.85 | 1556.10 |     0 |     0 |     0 | -456.68 |    0.00 |    0.00 |     0 | 0.00 || -0.59490 -0.07107 -0.39551 20.00437 33.83549 -12.83179
  13 | 11530 | -2.95 | 1668.20 |     0 |     0 |     0 |  147.14 |    0.00 |    0.00 |     0 | 0.00 || 1.35901 0.98273 2.80080 134.10310 -4.54355 -47.75375
  14 | 11512 | -4.01 | 1747.00 |     0 |     0 |     0 | -218.86 |    0.00 |    0.00 |     0 | 0.00 || 2.13011 1.09241 -2.70343 78.91741 11.65306 -78.10558
  15 | 11488 | -2.64 | 1419.20 |     0 |     0 |     0 |  -30.00 |    0.00 |    0.00 |     0 | 0.00 || -0.80211 -0.68614 -1.34607 99.33661 2.17354 -2.44675
  16 | 11370 | -3.63 | 1729.50 |     0 |     0 |     0 | -243.06 |    0.00 |    0.00 |     0 | 0.00 || 0.71718 0.17966 -2.02656 100.20158 -4.31503 -2.42250
  17 | 11362 | -3.29 | 1519.30 |     0 |     0 |     0 | -320.60 |    0.00 |    0.00 |     0 | 0.00 || -3.07682 0.35177 -2.27999 82.64520 27.12288 -72.37807
