*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/3BZD_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/3BZD/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/3BZD_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 16560 | -3.84 | 2305.60 |     0 |     0 |     0 | -159.66 |    0.00 |    0.00 |     0 | 0.00 || 2.00576 1.14648 2.32211 -3.23760 113.70859 -83.63125
   2 | 16542 | -4.13 | 2675.00 |     0 |     0 |     0 |  224.17 |    0.00 |    0.00 |     0 | 0.00 || 1.31528 -0.14430 -1.53126 -49.93524 53.73343 -80.24638
   3 | 16120 | -3.28 | 2146.40 |     0 |     0 |     0 |  253.81 |    0.00 |    0.00 |     0 | 0.00 || -1.15408 1.27489 1.59769 11.94565 -36.87723 24.73833
   4 | 16052 | -4.37 | 3157.80 |     0 |     0 |     0 |  123.46 |    0.00 |    0.00 |     0 | 0.00 || 0.08274 -0.60776 1.09953 157.66125 60.31591 39.87759
   5 | 15902 | -3.02 | 2182.10 |     0 |     0 |     0 |  490.35 |    0.00 |    0.00 |     0 | 0.00 || -2.65608 0.45454 -0.80359 147.41595 132.90250 -40.30467
   6 | 14922 | -3.46 | 2097.50 |     0 |     0 |     0 |  412.39 |    0.00 |    0.00 |     0 | 0.00 || 1.71800 0.41909 -2.48168 -21.54745 67.88718 -80.26149
   7 | 14860 | -3.14 | 1918.60 |     0 |     0 |     0 |  343.58 |    0.00 |    0.00 |     0 | 0.00 || 0.29797 -0.90196 -2.63361 17.74533 102.39867 18.95637
   8 | 14750 | -3.45 | 2140.90 |     0 |     0 |     0 | -179.16 |    0.00 |    0.00 |     0 | 0.00 || -1.94938 0.48201 -1.00956 83.11655 107.81467 8.31264
   9 | 14692 | -3.59 | 2293.90 |     0 |     0 |     0 | -192.36 |    0.00 |    0.00 |     0 | 0.00 || -2.52484 -0.69556 1.97783 -3.07519 27.10979 -11.59351
  10 | 14628 | -3.32 | 2056.00 |     0 |     0 |     0 |  403.91 |    0.00 |    0.00 |     0 | 0.00 || -0.60514 0.40692 -1.98784 69.92297 86.20119 84.21672
  11 | 14588 | -3.12 | 2064.20 |     0 |     0 |     0 |  302.35 |    0.00 |    0.00 |     0 | 0.00 || 1.87170 0.67777 2.64388 15.64817 130.38199 -72.43462
  12 | 14520 | -4.24 | 2511.30 |     0 |     0 |     0 |   46.26 |    0.00 |    0.00 |     0 | 0.00 || -3.00469 1.17529 -2.03980 90.05804 -14.41402 -18.23299
  13 | 14518 | -3.58 | 2098.90 |     0 |     0 |     0 |  344.18 |    0.00 |    0.00 |     0 | 0.00 || -0.37372 -0.13606 -2.14729 24.86995 74.87985 45.74903
  14 | 14476 | -4.08 | 2364.80 |     0 |     0 |     0 |   50.20 |    0.00 |    0.00 |     0 | 0.00 || -0.60695 0.58190 -0.79423 17.70928 73.12002 46.70853
  15 | 14378 | -3.25 | 1787.30 |     0 |     0 |     0 |  -44.86 |    0.00 |    0.00 |     0 | 0.00 || -1.66540 0.82404 -1.60646 82.22009 93.46633 18.01320
  16 | 14292 | -3.57 | 2182.40 |     0 |     0 |     0 |   90.10 |    0.00 |    0.00 |     0 | 0.00 || -2.43846 -0.46915 -1.74586 130.63788 18.79345 -18.27594
  17 | 14256 | -3.22 | 1898.30 |     0 |     0 |     0 |  446.41 |    0.00 |    0.00 |     0 | 0.00 || -0.92847 0.03904 -2.20366 58.22493 63.47048 51.02493
  18 | 14214 | -4.27 | 2723.40 |     0 |     0 |     0 |   27.93 |    0.00 |    0.00 |     0 | 0.00 || 1.98157 0.24013 2.28521 48.22228 98.71445 -86.27033
  19 | 14186 | -3.27 | 1977.20 |     0 |     0 |     0 |  -65.39 |    0.00 |    0.00 |     0 | 0.00 || -1.88013 0.75064 -3.00227 134.98601 0.88989 14.84764
  20 | 13972 | -3.36 | 2035.30 |     0 |     0 |     0 |  285.02 |    0.00 |    0.00 |     0 | 0.00 || 2.44559 0.39820 2.97618 11.76008 47.94968 -75.86071
  21 | 13866 | -3.68 | 2462.10 |     0 |     0 |     0 |  207.20 |    0.00 |    0.00 |     0 | 0.00 || 3.11427 -0.98240 2.08069 44.39967 -13.00446 -41.02588
  22 | 13854 | -3.61 | 1949.00 |     0 |     0 |     0 |  237.48 |    0.00 |    0.00 |     0 | 0.00 || 1.63921 -0.76024 2.70661 105.72776 64.83840 -50.11844
  23 | 13850 | -3.03 | 1943.20 |     0 |     0 |     0 |  191.11 |    0.00 |    0.00 |     0 | 0.00 || 2.08804 -0.31841 2.65884 83.15589 71.04070 -83.95105
  24 | 13842 | -3.93 | 2259.40 |     0 |     0 |     0 |  -92.04 |    0.00 |    0.00 |     0 | 0.00 || 0.07127 -1.00190 3.07672 7.77058 123.67485 -5.55042
  25 | 13752 | -2.74 | 1688.10 |     0 |     0 |     0 |  354.80 |    0.00 |    0.00 |     0 | 0.00 || -3.10691 -0.52253 1.12638 -63.74214 52.50912 -44.75678
  26 | 13678 | -3.56 | 2046.70 |     0 |     0 |     0 | -100.90 |    0.00 |    0.00 |     0 | 0.00 || -2.60204 0.11000 1.95992 -2.54939 37.69596 -10.45159
  27 | 13646 | -3.55 | 1880.80 |     0 |     0 |     0 |  261.51 |    0.00 |    0.00 |     0 | 0.00 || 2.89869 0.03748 -0.79420 85.99520 102.18115 -52.46090
  28 | 13618 | -3.16 | 1975.10 |     0 |     0 |     0 |  491.85 |    0.00 |    0.00 |     0 | 0.00 || 2.47900 -0.70233 0.65456 -19.11267 27.14523 -107.40028
  29 | 13610 | -3.31 | 1916.10 |     0 |     0 |     0 |  184.25 |    0.00 |    0.00 |     0 | 0.00 || -2.59135 0.63538 0.21141 51.87690 124.27863 -11.78571
  30 | 13586 | -3.74 | 2486.00 |     0 |     0 |     0 | -199.56 |    0.00 |    0.00 |     0 | 0.00 || -0.45648 0.19072 -0.29687 45.38644 28.22213 58.03080
  31 | 13584 | -2.84 | 1800.60 |     0 |     0 |     0 |   60.12 |    0.00 |    0.00 |     0 | 0.00 || 1.65114 0.20106 1.12131 68.57483 41.18431 -80.39228
  32 | 13546 | -3.59 | 2381.80 |     0 |     0 |     0 |  345.48 |    0.00 |    0.00 |     0 | 0.00 || 2.81406 0.67413 -0.75541 110.68596 101.42008 -98.60663
  33 | 13546 | -2.94 | 1945.50 |     0 |     0 |     0 |  119.65 |    0.00 |    0.00 |     0 | 0.00 || -3.00429 -0.63926 -1.41870 123.99728 72.84630 -59.34707
  34 | 13526 | -3.65 | 2154.50 |     0 |     0 |     0 |  387.38 |    0.00 |    0.00 |     0 | 0.00 || -2.94957 -0.22795 -0.65535 92.56549 157.88216 -26.72731
  35 | 13504 | -3.20 | 1955.80 |     0 |     0 |     0 |  498.91 |    0.00 |    0.00 |     0 | 0.00 || -0.27336 -0.82321 0.70572 157.20531 63.38579 44.10242
  36 | 13500 | -3.43 | 1987.00 |     0 |     0 |     0 |  342.42 |    0.00 |    0.00 |     0 | 0.00 || -1.44431 0.23903 3.05314 53.23088 -12.42740 73.06410
  37 | 13490 | -3.61 | 2290.80 |     0 |     0 |     0 |  350.66 |    0.00 |    0.00 |     0 | 0.00 || -1.68017 -0.24171 0.58996 28.90903 106.26720 29.27018
