*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/3CPH_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/3CPH/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/3CPH_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 14004 | -3.21 | 2076.90 |     0 |     0 |     0 |  237.41 |    0.00 |    0.00 |     0 | 0.00 || -2.82077 -0.99149 -1.73327 34.10347 -2.13540 62.88089
   2 | 13644 | -3.54 | 2140.10 |     0 |     0 |     0 |  494.00 |    0.00 |    0.00 |     0 | 0.00 || 0.64821 0.74370 2.71651 44.97855 -10.04472 -50.37303
   3 | 13412 | -2.63 | 1704.20 |     0 |     0 |     0 |  426.36 |    0.00 |    0.00 |     0 | 0.00 || -0.52237 -0.56056 -0.40375 -11.53466 12.30129 49.20508
   4 | 13374 | -3.86 | 2205.30 |     0 |     0 |     0 |  374.22 |    0.00 |    0.00 |     0 | 0.00 || -0.66693 -0.27237 0.91605 39.37286 -46.64022 37.14562
   5 | 13314 | -3.47 | 2037.80 |     0 |     0 |     0 |  381.98 |    0.00 |    0.00 |     0 | 0.00 || 2.32716 -0.37421 0.97195 -30.38710 -35.30293 17.83140
   6 | 13154 | -3.24 | 1803.90 |     0 |     0 |     0 |  234.76 |    0.00 |    0.00 |     0 | 0.00 || -1.65580 -0.19668 3.13450 70.77117 7.12467 33.06242
   7 | 13108 | -3.09 | 1671.60 |     0 |     0 |     0 |  333.43 |    0.00 |    0.00 |     0 | 0.00 || -1.03395 -0.21160 -2.73967 91.80602 63.57227 32.55118
   8 | 12798 | -2.82 | 1624.20 |     0 |     0 |     0 |  385.40 |    0.00 |    0.00 |     0 | 0.00 || -1.65869 0.52618 -0.04757 -40.13534 -18.47157 -6.38460
   9 | 12726 | -3.45 | 2049.40 |     0 |     0 |     0 |  192.43 |    0.00 |    0.00 |     0 | 0.00 || -1.33615 -0.46997 0.62040 -2.96910 -47.63288 42.83289
  10 | 12726 | -3.53 | 1832.30 |     0 |     0 |     0 |  273.20 |    0.00 |    0.00 |     0 | 0.00 || 1.98297 -0.03286 -0.64548 -11.71894 44.40568 -8.29448
  11 | 12702 | -3.25 | 1815.90 |     0 |     0 |     0 |  431.58 |    0.00 |    0.00 |     0 | 0.00 || 3.01012 -0.39378 -3.08734 67.25681 -22.66020 43.72943
  12 | 12660 | -3.12 | 1944.60 |     0 |     0 |     0 |   59.41 |    0.00 |    0.00 |     0 | 0.00 || 2.83155 -0.19060 -1.21835 24.20252 48.49749 23.13763
  13 | 12606 | -2.82 | 1591.70 |     0 |     0 |     0 |  279.86 |    0.00 |    0.00 |     0 | 0.00 || -0.08419 -0.12109 1.34049 26.49677 -68.22478 -8.56788
  14 | 12554 | -4.42 | 2232.80 |     0 |     0 |     0 |  252.98 |    0.00 |    0.00 |     0 | 0.00 || -0.59462 -0.20972 0.68706 -6.64476 -63.36759 12.20429
  15 | 12528 | -3.79 | 1990.20 |     0 |     0 |     0 |  436.79 |    0.00 |    0.00 |     0 | 0.00 || 1.02155 -0.88495 3.08253 137.02277 -18.38329 37.24562
  16 | 12522 | -3.11 | 1711.20 |     0 |     0 |     0 |  276.64 |    0.00 |    0.00 |     0 | 0.00 || 2.63650 -0.54054 -2.34928 68.51355 4.52416 40.54985
  17 | 12418 | -3.31 | 1898.80 |     0 |     0 |     0 |  386.91 |    0.00 |    0.00 |     0 | 0.00 || -2.97215 -1.14599 -0.00702 14.10565 9.11542 67.38055
  18 | 12320 | -3.52 | 2076.20 |     0 |     0 |     0 |  331.90 |    0.00 |    0.00 |     0 | 0.00 || -2.66540 -0.15861 1.49311 35.67192 -86.77617 21.80515
  19 | 12270 | -3.17 | 1738.90 |     0 |     0 |     0 |  215.50 |    0.00 |    0.00 |     0 | 0.00 || 1.53938 0.14270 1.57167 65.34315 -68.75104 -11.93581
  20 | 12264 | -2.63 | 1472.50 |     0 |     0 |     0 |  399.83 |    0.00 |    0.00 |     0 | 0.00 || 0.92912 -1.06035 -1.06729 15.92918 -6.55032 55.23943
  21 | 12212 | -3.24 | 1889.20 |     0 |     0 |     0 |  344.85 |    0.00 |    0.00 |     0 | 0.00 || 0.48210 0.29146 -0.22019 -6.39484 18.46400 -20.39260
  22 | 12186 | -3.14 | 2002.00 |     0 |     0 |     0 |  259.96 |    0.00 |    0.00 |     0 | 0.00 || 2.72267 0.41278 -1.28270 28.38915 53.96747 -13.40503
  23 | 12164 | -3.33 | 1727.00 |     0 |     0 |     0 |  368.44 |    0.00 |    0.00 |     0 | 0.00 || -1.51388 -1.35073 -1.15129 24.07380 3.64001 80.25213
