*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/DockingBenchmark5/3EOA_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/3EOA/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/DockingBenchmark5/3EOA_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 15598 | -3.71 | 2377.20 |     0 |     0 |     0 |  308.99 |    0.00 |    0.00 |     0 | 0.00 || 1.96893 0.06448 -1.34773 8.15421 25.85593 -22.31383
   2 | 15434 | -3.13 | 2143.70 |     0 |     0 |     0 |  438.50 |    0.00 |    0.00 |     0 | 0.00 || -1.31039 -1.09237 -2.21055 52.50517 -16.40764 53.13633
   3 | 14778 | -3.55 | 2341.60 |     0 |     0 |     0 |  392.11 |    0.00 |    0.00 |     0 | 0.00 || -1.05958 0.58237 3.00616 58.24839 -42.67134 -4.49581
   4 | 14520 | -3.58 | 2433.00 |     0 |     0 |     0 |  447.33 |    0.00 |    0.00 |     0 | 0.00 || 2.32934 -0.41953 -0.73221 -53.73294 1.29241 -1.13551
   5 | 14350 | -2.92 | 1915.50 |     0 |     0 |     0 |  173.50 |    0.00 |    0.00 |     0 | 0.00 || -1.16848 0.84868 -0.43621 36.44617 40.15660 -40.16959
   6 | 14346 | -4.41 | 2266.20 |     0 |     0 |     0 |  497.12 |    0.00 |    0.00 |     0 | 0.00 || -0.88312 -0.72263 -2.81064 86.87405 -38.40152 45.76419
   7 | 14088 | -3.66 | 2125.40 |     0 |     0 |     0 |  423.16 |    0.00 |    0.00 |     0 | 0.00 || -1.83845 0.30758 2.87075 39.74879 -52.74650 -21.30309
   8 | 13996 | -3.15 | 1888.80 |     0 |     0 |     0 |  498.43 |    0.00 |    0.00 |     0 | 0.00 || 1.86876 -0.47280 -0.66383 -55.62451 -6.75433 13.99948
   9 | 13922 | -3.54 | 1996.70 |     0 |     0 |     0 |  478.18 |    0.00 |    0.00 |     0 | 0.00 || 0.58415 -1.01069 -0.56802 53.30316 -30.63082 58.51536
  10 | 13910 | -3.45 | 2439.10 |     0 |     0 |     0 |  382.54 |    0.00 |    0.00 |     0 | 0.00 || 0.92292 -0.31699 -0.67495 -36.74191 0.63999 46.92178
  11 | 13784 | -3.42 | 1679.60 |     0 |     0 |     0 |  486.23 |    0.00 |    0.00 |     0 | 0.00 || -2.03493 0.97092 2.24906 -14.23565 -35.83062 -48.22712
  12 | 13702 | -4.18 | 2341.10 |     0 |     0 |     0 |  268.76 |    0.00 |    0.00 |     0 | 0.00 || -2.13115 0.78142 0.33230 -15.82829 31.68149 -43.48471
  13 | 13622 | -3.31 | 2200.50 |     0 |     0 |     0 |  315.35 |    0.00 |    0.00 |     0 | 0.00 || -2.79654 1.46513 -1.49164 27.00829 -32.57859 -46.36719
  14 | 13566 | -3.77 | 2114.70 |     0 |     0 |     0 |  472.15 |    0.00 |    0.00 |     0 | 0.00 || 0.73234 0.43659 1.88823 102.73165 -59.26523 5.71171
  15 | 13440 | -3.65 | 1982.90 |     0 |     0 |     0 |  313.46 |    0.00 |    0.00 |     0 | 0.00 || 2.19496 0.75479 -2.31663 -1.09067 42.49129 -44.20431
  16 | 13430 | -3.14 | 1818.50 |     0 |     0 |     0 |  192.09 |    0.00 |    0.00 |     0 | 0.00 || 1.74171 0.12488 -0.98444 -53.28616 -6.63461 -5.70612
  17 | 13406 | -4.97 | 2293.70 |     0 |     0 |     0 |  397.58 |    0.00 |    0.00 |     0 | 0.00 || -2.85281 0.42633 -1.99483 80.84211 9.26266 -58.41947
  18 | 13356 | -3.52 | 2145.00 |     0 |     0 |     0 |  444.19 |    0.00 |    0.00 |     0 | 0.00 || -1.75264 -1.21633 1.46078 -31.84068 -12.72414 47.73595
  19 | 13308 | -3.61 | 2023.00 |     0 |     0 |     0 |  496.22 |    0.00 |    0.00 |     0 | 0.00 || -2.29067 -0.46348 -2.98364 118.35767 -36.22911 -11.32316
  20 | 13268 | -4.43 | 2778.30 |     0 |     0 |     0 |  340.50 |    0.00 |    0.00 |     0 | 0.00 || 0.24425 0.26684 -1.03698 22.13679 39.12923 26.68849
  21 | 13232 | -4.57 | 2121.40 |     0 |     0 |     0 |  381.03 |    0.00 |    0.00 |     0 | 0.00 || -0.45516 -0.34053 1.61351 -11.25837 -43.25751 57.20826
  22 | 13210 | -3.34 | 1796.90 |     0 |     0 |     0 |  445.73 |    0.00 |    0.00 |     0 | 0.00 || 1.02451 -0.25794 1.36417 87.00444 -53.88095 27.39932
  23 | 13178 | -3.09 | 1694.10 |     0 |     0 |     0 |  435.78 |    0.00 |    0.00 |     0 | 0.00 || 2.18180 0.10747 -2.96143 93.94755 66.27202 -28.38545
  24 | 13148 | -3.30 | 1817.40 |     0 |     0 |     0 |  228.08 |    0.00 |    0.00 |     0 | 0.00 || -0.82167 0.62885 -0.08112 -29.18596 58.92140 13.01134
  25 | 13144 | -3.43 | 1939.90 |     0 |     0 |     0 |  246.52 |    0.00 |    0.00 |     0 | 0.00 || -2.19479 -0.20353 0.40951 -1.92283 5.59308 -21.50306
  26 | 13124 | -3.35 | 1953.10 |     0 |     0 |     0 |  387.38 |    0.00 |    0.00 |     0 | 0.00 || 1.36127 -0.43215 -2.84144 40.36519 65.43850 45.20666
  27 | 13114 | -3.22 | 1872.20 |     0 |     0 |     0 |  212.61 |    0.00 |    0.00 |     0 | 0.00 || -2.54303 -0.24483 -2.38807 64.70644 15.33439 -17.50931
  28 | 12988 | -3.68 | 2135.90 |     0 |     0 |     0 |  472.94 |    0.00 |    0.00 |     0 | 0.00 || 0.92757 0.99078 2.79198 69.60811 17.04696 -20.10383
  29 | 12980 | -3.52 | 1795.10 |     0 |     0 |     0 |  497.94 |    0.00 |    0.00 |     0 | 0.00 || -0.45571 -0.41827 0.20177 27.09003 1.32217 49.27811
  30 | 12936 | -3.18 | 1774.10 |     0 |     0 |     0 |  305.36 |    0.00 |    0.00 |     0 | 0.00 || 0.65296 -0.19916 2.51490 58.33347 3.50772 49.65368
  31 | 12896 | -4.09 | 2429.20 |     0 |     0 |     0 |  301.63 |    0.00 |    0.00 |     0 | 0.00 || 1.51189 -0.19780 2.82709 68.15547 20.40932 22.50278
  32 | 12890 | -4.14 | 2443.00 |     0 |     0 |     0 |  375.52 |    0.00 |    0.00 |     0 | 0.00 || 0.78930 -0.55488 3.10516 36.69429 23.42812 60.77818
  33 | 12848 | -2.90 | 1827.10 |     0 |     0 |     0 |  347.01 |    0.00 |    0.00 |     0 | 0.00 || 2.18719 0.73505 2.11974 49.41669 -0.93028 -44.60581
  34 | 12812 | -2.74 | 1576.50 |     0 |     0 |     0 |  496.58 |    0.00 |    0.00 |     0 | 0.00 || 1.85482 0.09738 0.53813 -9.39170 -85.46626 -15.68185
  35 | 12776 | -3.16 | 1727.40 |     0 |     0 |     0 |  474.59 |    0.00 |    0.00 |     0 | 0.00 || 2.33130 0.00363 2.98205 112.45401 37.79436 -31.75429
  36 | 12692 | -3.56 | 1969.70 |     0 |     0 |     0 |  497.25 |    0.00 |    0.00 |     0 | 0.00 || 1.61993 -0.96944 -0.93365 7.56651 -19.08397 38.97260
  37 | 12690 | -3.33 | 2197.40 |     0 |     0 |     0 |  498.70 |    0.00 |    0.00 |     0 | 0.00 || 1.74657 -0.49333 -1.30457 3.02503 15.51512 6.11129
