*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/DockingBenchmark5/3F1P_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/3F1P/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/DockingBenchmark5/3F1P_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 11658 | -2.94 | 1471.50 |     0 |     0 |     0 |  -94.40 |    0.00 |    0.00 |     0 | 0.00 || -0.59377 0.21087 2.10324 -28.47027 -80.50599 -38.80998
   2 | 10834 | -3.11 | 1397.30 |     0 |     0 |     0 |   92.13 |    0.00 |    0.00 |     0 | 0.00 || -2.50765 0.99776 2.41170 33.20144 -6.75464 -4.05571
   3 | 10784 | -2.86 | 1414.60 |     0 |     0 |     0 |  142.58 |    0.00 |    0.00 |     0 | 0.00 || -2.61859 -0.87944 -2.94693 9.50355 2.08382 13.32830
   4 | 10648 | -2.61 | 1222.50 |     0 |     0 |     0 |   66.50 |    0.00 |    0.00 |     0 | 0.00 || 1.43362 -0.41847 -0.57696 31.65471 -33.48290 48.48827
   5 | 10538 | -3.04 | 1313.50 |     0 |     0 |     0 |  191.95 |    0.00 |    0.00 |     0 | 0.00 || -2.81108 -0.52005 2.70147 42.53042 -8.08871 17.01187
   6 | 10490 | -2.70 | 1274.40 |     0 |     0 |     0 |  159.14 |    0.00 |    0.00 |     0 | 0.00 || 1.86586 0.23939 -2.04828 18.11261 -44.28733 77.02507
   7 | 10476 | -2.44 | 1377.10 |     0 |     0 |     0 |    4.49 |    0.00 |    0.00 |     0 | 0.00 || 0.92159 0.25160 -1.90182 67.96841 -21.75651 45.80637
   8 | 10386 | -2.53 | 1250.20 |     0 |     0 |     0 |   72.72 |    0.00 |    0.00 |     0 | 0.00 || -1.62163 -0.58196 1.53549 16.85927 -97.96971 -31.53732
   9 | 10330 | -2.68 | 1283.30 |     0 |     0 |     0 |   90.01 |    0.00 |    0.00 |     0 | 0.00 || 0.42348 0.18443 -0.15686 7.19689 2.54572 13.47228
  10 | 10190 | -2.94 | 1296.00 |     0 |     0 |     0 |   91.41 |    0.00 |    0.00 |     0 | 0.00 || 1.67368 0.46206 0.74623 -28.45635 -76.52689 65.97275
  11 | 10152 | -2.82 | 1369.60 |     0 |     0 |     0 |  269.35 |    0.00 |    0.00 |     0 | 0.00 || -2.73426 -0.55863 -0.68467 -38.90877 -90.58302 39.43671
  12 | 10060 | -2.83 | 1289.60 |     0 |     0 |     0 |  234.42 |    0.00 |    0.00 |     0 | 0.00 || -0.08618 0.97116 -0.04240 27.77309 -3.76015 -1.12862
  13 |  9992 | -2.82 | 1235.90 |     0 |     0 |     0 |  -41.31 |    0.00 |    0.00 |     0 | 0.00 || 0.80924 -0.57252 -2.01840 50.22881 -56.16516 48.29475
  14 |  9958 | -2.86 | 1301.20 |     0 |     0 |     0 |   91.46 |    0.00 |    0.00 |     0 | 0.00 || 0.45553 -1.12124 -0.25331 20.16523 0.55652 24.50598
  15 |  9932 | -3.36 | 1426.80 |     0 |     0 |     0 |   27.84 |    0.00 |    0.00 |     0 | 0.00 || -0.03742 0.06393 -0.01686 3.85682 -0.95649 -3.52524
  16 |  9928 | -2.26 | 1134.90 |     0 |     0 |     0 |   78.78 |    0.00 |    0.00 |     0 | 0.00 || -0.26939 0.15662 -1.64177 60.77341 -66.98463 -28.03933
  17 |  9906 | -3.19 | 1385.30 |     0 |     0 |     0 |  -24.48 |    0.00 |    0.00 |     0 | 0.00 || -2.12973 0.48267 0.53923 40.55932 -75.16811 -49.38388
