*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/DockingBenchmark5/3G6D_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/3G6D/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/DockingBenchmark5/3G6D_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 18376 | -3.12 | 2276.30 |     0 |     0 |     0 |  188.69 |    0.00 |    0.00 |     0 | 0.00 || 0.43965 1.03235 1.70760 19.18347 -59.59901 9.17662
   2 | 18316 | -2.96 | 2473.40 |     0 |     0 |     0 |  379.37 |    0.00 |    0.00 |     0 | 0.00 || 0.96399 -1.03830 -0.04038 52.82640 -74.94221 13.83627
   3 | 18130 | -3.19 | 2607.00 |     0 |     0 |     0 |  -21.83 |    0.00 |    0.00 |     0 | 0.00 || 0.47844 1.01598 2.83365 60.41882 -54.28867 14.36064
   4 | 17926 | -2.70 | 2267.30 |     0 |     0 |     0 |  295.88 |    0.00 |    0.00 |     0 | 0.00 || 1.17090 -0.53657 -2.03235 -52.92411 -37.38731 29.46504
   5 | 16908 | -2.85 | 2377.20 |     0 |     0 |     0 |  290.06 |    0.00 |    0.00 |     0 | 0.00 || 2.84500 -0.15684 2.34770 43.73565 -13.81256 -63.16716
   6 | 16768 | -3.74 | 2434.80 |     0 |     0 |     0 |  171.11 |    0.00 |    0.00 |     0 | 0.00 || 1.75194 1.22997 2.90206 46.49294 23.49075 -15.96294
   7 | 16534 | -3.56 | 2622.70 |     0 |     0 |     0 |  390.79 |    0.00 |    0.00 |     0 | 0.00 || 2.64053 0.35873 -0.26226 -1.43531 -56.33137 -64.08416
   8 | 16498 | -3.53 | 2509.80 |     0 |     0 |     0 |   83.23 |    0.00 |    0.00 |     0 | 0.00 || 0.45707 -0.38569 0.33563 20.58981 6.48608 44.31464
   9 | 16410 | -3.26 | 2348.90 |     0 |     0 |     0 |  108.79 |    0.00 |    0.00 |     0 | 0.00 || -2.87358 1.20124 -2.45985 -48.03740 -68.04482 -40.07036
  10 | 16360 | -4.20 | 2444.60 |     0 |     0 |     0 |  -33.60 |    0.00 |    0.00 |     0 | 0.00 || 2.34947 -1.01036 2.93075 45.83200 61.84108 -34.31791
  11 | 15886 | -3.94 | 2386.00 |     0 |     0 |     0 |  321.09 |    0.00 |    0.00 |     0 | 0.00 || 0.23290 -0.26520 -2.30158 4.76201 -18.62499 43.42670
  12 | 15504 | -4.28 | 3728.70 |     0 |     0 |     0 | -399.10 |    0.00 |    0.00 |     0 | 0.00 || 1.56409 0.21692 0.88050 44.25020 -81.78640 13.50990
  13 | 15080 | -3.61 | 1910.30 |     0 |     0 |     0 |  137.48 |    0.00 |    0.00 |     0 | 0.00 || 1.33817 -0.02262 1.55216 55.44823 -42.67785 28.59389
  14 | 15030 | -2.91 | 2288.90 |     0 |     0 |     0 |   94.28 |    0.00 |    0.00 |     0 | 0.00 || -1.78943 1.07874 -0.48638 65.02952 34.67517 -48.09322
  15 | 15002 | -3.23 | 2292.30 |     0 |     0 |     0 | -189.19 |    0.00 |    0.00 |     0 | 0.00 || -1.68303 0.24259 0.65799 -22.99357 53.02534 -58.63438
  16 | 15000 | -4.17 | 2445.30 |     0 |     0 |     0 |  269.47 |    0.00 |    0.00 |     0 | 0.00 || -0.29883 0.33827 -1.57337 52.85452 22.50289 19.24161
  17 | 14760 | -3.03 | 2107.70 |     0 |     0 |     0 |   85.16 |    0.00 |    0.00 |     0 | 0.00 || 0.81883 0.09448 0.60781 10.87712 -64.80933 44.35348
  18 | 14718 | -3.21 | 2037.80 |     0 |     0 |     0 |  134.17 |    0.00 |    0.00 |     0 | 0.00 || 2.17114 -0.08920 -0.30780 -17.33066 -102.50888 -29.28018
  19 | 14620 | -3.18 | 2192.80 |     0 |     0 |     0 |  249.96 |    0.00 |    0.00 |     0 | 0.00 || -3.02559 0.38597 -2.65421 -24.26983 -28.12103 -77.88460
  20 | 14542 | -3.78 | 2699.90 |     0 |     0 |     0 |  -62.25 |    0.00 |    0.00 |     0 | 0.00 || 0.96784 0.51379 -1.69999 -24.24650 37.27906 25.21688
  21 | 14526 | -3.46 | 2326.50 |     0 |     0 |     0 |   72.67 |    0.00 |    0.00 |     0 | 0.00 || -2.03117 -0.94073 -2.90955 63.64667 -69.96944 -46.40427
  22 | 14486 | -3.36 | 1940.00 |     0 |     0 |     0 | -136.42 |    0.00 |    0.00 |     0 | 0.00 || 1.64869 -0.36776 -1.17804 -52.36161 -68.69792 7.82212
  23 | 14452 | -3.62 | 2418.70 |     0 |     0 |     0 |  111.56 |    0.00 |    0.00 |     0 | 0.00 || -0.01389 -0.86435 -3.06087 -40.23960 -33.45588 21.25195
  24 | 14340 | -3.74 | 2112.90 |     0 |     0 |     0 |  162.08 |    0.00 |    0.00 |     0 | 0.00 || 1.80072 1.51799 -1.37514 -59.61918 3.36697 -30.71086
  25 | 14312 | -3.94 | 1988.10 |     0 |     0 |     0 |  272.47 |    0.00 |    0.00 |     0 | 0.00 || 1.40109 -1.40441 -2.42415 -56.39708 19.62688 -14.97366
  26 | 14290 | -3.09 | 2083.50 |     0 |     0 |     0 |   51.42 |    0.00 |    0.00 |     0 | 0.00 || 0.90021 0.22149 -3.11269 28.20361 -6.19110 42.30086
  27 | 14264 | -4.86 | 2456.70 |     0 |     0 |     0 | -242.77 |    0.00 |    0.00 |     0 | 0.00 || -1.00646 0.44089 -2.95814 25.04980 -103.32662 -8.21060
  28 | 14230 | -3.24 | 2018.60 |     0 |     0 |     0 |   14.44 |    0.00 |    0.00 |     0 | 0.00 || 1.10432 -1.04908 -0.68237 16.79116 -101.69392 15.75128
  29 | 14222 | -3.79 | 2409.60 |     0 |     0 |     0 |  125.39 |    0.00 |    0.00 |     0 | 0.00 || 2.80087 0.67924 3.00853 -13.02328 15.66374 -57.50462
  30 | 14198 | -3.20 | 1932.30 |     0 |     0 |     0 |  -35.93 |    0.00 |    0.00 |     0 | 0.00 || -2.74675 1.26077 1.64877 6.83159 24.94171 -43.43002
  31 | 14174 | -3.37 | 2132.10 |     0 |     0 |     0 |   54.59 |    0.00 |    0.00 |     0 | 0.00 || 2.37499 0.76545 0.52960 54.66725 -46.75568 -43.07541
  32 | 14174 | -3.31 | 1903.90 |     0 |     0 |     0 |  145.62 |    0.00 |    0.00 |     0 | 0.00 || -0.76950 0.01704 1.37394 -61.08981 -31.58346 6.54720
  33 | 14152 | -3.24 | 2019.30 |     0 |     0 |     0 | -119.52 |    0.00 |    0.00 |     0 | 0.00 || 0.70517 -0.74820 -0.00464 36.59101 -15.91527 30.59698
  34 | 14150 | -3.37 | 1890.70 |     0 |     0 |     0 |   42.31 |    0.00 |    0.00 |     0 | 0.00 || -0.03980 -0.68151 2.10581 -43.35663 18.68425 28.19433
  35 | 14122 | -3.35 | 2328.10 |     0 |     0 |     0 | -102.79 |    0.00 |    0.00 |     0 | 0.00 || -1.49794 -0.36706 1.65609 -52.25957 -55.71096 -38.54105
  36 | 14116 | -4.16 | 2455.50 |     0 |     0 |     0 |  -65.15 |    0.00 |    0.00 |     0 | 0.00 || -0.10381 -0.86729 -0.39117 55.14942 19.36955 20.82456
  37 | 14108 | -3.43 | 2175.00 |     0 |     0 |     0 |   63.18 |    0.00 |    0.00 |     0 | 0.00 || -2.21323 0.43955 -0.88976 56.24117 -32.91484 -73.21414
  38 | 13982 | -3.04 | 1688.90 |     0 |     0 |     0 |  423.58 |    0.00 |    0.00 |     0 | 0.00 || -1.74310 -1.04019 2.60580 0.26133 -108.28255 -41.04398
  39 | 13928 | -3.32 | 2114.70 |     0 |     0 |     0 |  274.91 |    0.00 |    0.00 |     0 | 0.00 || -1.02219 0.14586 -2.66540 44.48181 -55.50007 -20.58213
  40 | 13880 | -2.95 | 1887.40 |     0 |     0 |     0 |  119.98 |    0.00 |    0.00 |     0 | 0.00 || 1.93863 0.76851 2.14846 69.52959 -7.51690 -14.50343
  41 | 13864 | -3.87 | 2296.40 |     0 |     0 |     0 |  -46.19 |    0.00 |    0.00 |     0 | 0.00 || -0.85465 0.35966 -1.89565 73.53371 -49.55771 2.46146
  42 | 13864 | -4.20 | 2385.40 |     0 |     0 |     0 | -131.90 |    0.00 |    0.00 |     0 | 0.00 || -1.27837 0.32907 -0.21416 22.14304 67.31638 -32.76521
  43 | 13826 | -2.87 | 2187.00 |     0 |     0 |     0 |   42.29 |    0.00 |    0.00 |     0 | 0.00 || -1.61749 -0.07443 -1.18812 45.01991 29.73240 -56.95752
  44 | 13776 | -3.68 | 2498.20 |     0 |     0 |     0 |  -92.21 |    0.00 |    0.00 |     0 | 0.00 || -2.42798 -0.17246 0.15402 -16.06323 -19.92457 -79.05636
  45 | 13754 | -3.84 | 2116.70 |     0 |     0 |     0 |  179.52 |    0.00 |    0.00 |     0 | 0.00 || 2.43363 -0.20609 -1.88563 -52.80708 -9.28193 -44.49710
  46 | 13710 | -3.66 | 2105.40 |     0 |     0 |     0 |  271.15 |    0.00 |    0.00 |     0 | 0.00 || -1.55840 -1.48229 0.12951 -34.59448 20.50046 -8.34824
  47 | 13658 | -4.25 | 2708.30 |     0 |     0 |     0 |   68.44 |    0.00 |    0.00 |     0 | 0.00 || 2.70423 -0.21242 1.29448 52.91047 -26.48975 -67.22935
  48 | 13602 | -3.24 | 1678.20 |     0 |     0 |     0 |  145.05 |    0.00 |    0.00 |     0 | 0.00 || 2.32426 1.39506 -2.69220 -39.14738 10.99169 -22.03680
  49 | 13602 | -4.00 | 2296.70 |     0 |     0 |     0 |  276.51 |    0.00 |    0.00 |     0 | 0.00 || -1.63303 0.74967 2.86143 -27.74175 -51.14700 -54.07122
  50 | 13564 | -3.66 | 2389.80 |     0 |     0 |     0 |   86.28 |    0.00 |    0.00 |     0 | 0.00 || 2.60514 0.14496 0.23719 8.83306 -96.14117 -64.69051
  51 | 13494 | -3.28 | 2354.70 |     0 |     0 |     0 |  226.54 |    0.00 |    0.00 |     0 | 0.00 || 2.47376 -0.48750 1.72415 77.05920 -6.80681 -50.15627
  52 | 13446 | -3.32 | 1960.20 |     0 |     0 |     0 |  221.56 |    0.00 |    0.00 |     0 | 0.00 || -1.41641 -0.45930 -2.48930 45.38921 -88.30840 -40.12048
  53 | 13440 | -2.69 | 1727.90 |     0 |     0 |     0 |  286.41 |    0.00 |    0.00 |     0 | 0.00 || -0.22119 -0.22623 -1.20546 45.67884 -26.29569 -2.66309
  54 | 13402 | -2.78 | 1635.70 |     0 |     0 |     0 |  272.02 |    0.00 |    0.00 |     0 | 0.00 || 0.43168 1.47457 0.56100 -56.19635 -75.80016 -11.36813
  55 | 13356 | -3.24 | 2190.40 |     0 |     0 |     0 |  267.79 |    0.00 |    0.00 |     0 | 0.00 || 0.42895 1.03658 -2.56415 47.05846 34.67270 10.29426
  56 | 13330 | -2.93 | 1695.80 |     0 |     0 |     0 |  246.52 |    0.00 |    0.00 |     0 | 0.00 || 1.88988 0.26025 0.56878 28.55790 -101.04237 -11.05653
  57 | 13284 | -3.70 | 1904.40 |     0 |     0 |     0 |   37.73 |    0.00 |    0.00 |     0 | 0.00 || -1.03095 -1.35815 -0.98804 68.69348 -6.43655 -10.45426
  58 | 13258 | -3.97 | 2556.60 |     0 |     0 |     0 |   71.20 |    0.00 |    0.00 |     0 | 0.00 || 0.40150 0.77444 0.51114 -39.17778 -60.11922 33.43908
  59 | 13256 | -3.36 | 2347.90 |     0 |     0 |     0 |  490.67 |    0.00 |    0.00 |     0 | 0.00 || -1.68273 -0.59586 2.84514 10.84777 -62.49969 -51.33561
  60 | 13254 | -3.53 | 2075.40 |     0 |     0 |     0 |  161.24 |    0.00 |    0.00 |     0 | 0.00 || 2.68487 -0.30390 1.50160 47.22345 -18.91040 -66.86130
  61 | 13178 | -3.41 | 1993.50 |     0 |     0 |     0 |  280.77 |    0.00 |    0.00 |     0 | 0.00 || -0.14634 -1.43907 3.01226 -57.68781 -70.71521 -5.59476
  62 | 13150 | -4.18 | 2371.60 |     0 |     0 |     0 |  243.66 |    0.00 |    0.00 |     0 | 0.00 || 2.75369 -0.47637 -0.74428 -45.12033 -18.56534 -64.88593
  63 | 13058 | -3.26 | 1918.20 |     0 |     0 |     0 |  344.98 |    0.00 |    0.00 |     0 | 0.00 || 0.42255 0.87227 0.67029 -44.04890 -73.91708 22.46762
  64 | 13010 | -2.99 | 1787.40 |     0 |     0 |     0 |  249.29 |    0.00 |    0.00 |     0 | 0.00 || -1.94541 -0.00889 -0.42714 29.57716 7.02708 -67.47103
  65 | 13008 | -3.32 | 2070.70 |     0 |     0 |     0 |  -19.03 |    0.00 |    0.00 |     0 | 0.00 || -0.65123 -0.64058 -0.51520 52.41603 7.88811 16.46161
  66 | 12982 | -2.97 | 1937.60 |     0 |     0 |     0 |   79.99 |    0.00 |    0.00 |     0 | 0.00 || 0.71661 0.13929 -0.29240 -20.12833 -10.71692 39.87418
  67 | 12980 | -3.02 | 1660.10 |     0 |     0 |     0 | -156.19 |    0.00 |    0.00 |     0 | 0.00 || -0.79538 0.77245 -2.91116 45.12141 -99.42310 2.57188
  68 | 12976 | -4.96 | 2313.80 |     0 |     0 |     0 |   90.08 |    0.00 |    0.00 |     0 | 0.00 || 2.71376 0.00374 -2.38003 -21.78358 43.42310 -66.41761
  69 | 12956 | -4.00 | 2554.60 |     0 |     0 |     0 | -168.42 |    0.00 |    0.00 |     0 | 0.00 || 0.44628 0.61634 -0.32796 -33.16251 15.65231 28.27057
  70 | 12956 | -4.65 | 2764.50 |     0 |     0 |     0 |  484.59 |    0.00 |    0.00 |     0 | 0.00 || 0.10607 0.36518 -2.26422 39.39136 7.36952 31.79049
  71 | 12940 | -3.41 | 2059.90 |     0 |     0 |     0 |  458.52 |    0.00 |    0.00 |     0 | 0.00 || 0.96960 1.14409 2.91789 44.30650 -7.79575 18.89787
  72 | 12934 | -3.73 | 1916.30 |     0 |     0 |     0 |  446.45 |    0.00 |    0.00 |     0 | 0.00 || 0.80213 0.63773 -2.46063 13.04353 5.09901 26.21463
  73 | 12918 | -4.25 | 2389.50 |     0 |     0 |     0 |  237.54 |    0.00 |    0.00 |     0 | 0.00 || -0.88547 -0.92557 -0.00365 20.07822 31.24636 -1.35610
  74 | 12914 | -3.74 | 2291.10 |     0 |     0 |     0 |  233.79 |    0.00 |    0.00 |     0 | 0.00 || -0.05819 0.20293 1.47415 -32.51894 -51.56477 40.60370
  75 | 12906 | -3.58 | 1931.60 |     0 |     0 |     0 |  245.18 |    0.00 |    0.00 |     0 | 0.00 || -2.02677 -0.82218 -0.00907 -29.62270 47.58502 -62.83070
