*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/DockingBenchmark5/3H2V_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/3H2V/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/DockingBenchmark5/3H2V_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 11954 | -3.55 | 2047.80 |     0 |     0 |     0 | -175.02 |    0.00 |    0.00 |     0 | 0.00 || -1.30553 0.86577 -2.70854 -12.64830 -41.80195 12.25008
   2 | 11936 | -3.25 | 1625.30 |     0 |     0 |     0 |  143.98 |    0.00 |    0.00 |     0 | 0.00 || -2.42686 -1.30789 -1.68472 3.62458 8.36497 -36.48548
   3 | 11702 | -2.95 | 1554.40 |     0 |     0 |     0 |  462.20 |    0.00 |    0.00 |     0 | 0.00 || 2.04833 0.63163 -0.21754 14.68498 -26.59067 21.27556
   4 | 11634 | -2.91 | 1626.20 |     0 |     0 |     0 |  278.23 |    0.00 |    0.00 |     0 | 0.00 || -1.36544 -1.01764 -3.11696 -10.72716 -34.72102 2.52712
   5 | 11546 | -2.74 | 1504.10 |     0 |     0 |     0 |  357.04 |    0.00 |    0.00 |     0 | 0.00 || -2.08331 0.68776 0.90011 -6.04859 15.53572 26.56494
   6 | 11470 | -3.40 | 1717.40 |     0 |     0 |     0 |  -43.22 |    0.00 |    0.00 |     0 | 0.00 || 2.21711 0.08560 0.12919 35.08396 -25.62085 -2.20642
   7 | 11458 | -3.75 | 2130.60 |     0 |     0 |     0 | -244.08 |    0.00 |    0.00 |     0 | 0.00 || 1.41064 -0.37694 -0.18041 26.81781 -40.99123 -27.39191
   8 | 11300 | -2.86 | 1525.30 |     0 |     0 |     0 |  324.24 |    0.00 |    0.00 |     0 | 0.00 || 1.68053 0.85213 0.51014 20.02616 -19.60506 28.50305
   9 | 11248 | -3.08 | 1613.30 |     0 |     0 |     0 | -123.92 |    0.00 |    0.00 |     0 | 0.00 || 2.19553 0.81954 -0.86186 17.73394 -51.67385 8.43053
  10 | 11234 | -3.02 | 1542.30 |     0 |     0 |     0 |   43.01 |    0.00 |    0.00 |     0 | 0.00 || 0.31899 0.25548 -1.78137 0.17084 -34.50523 26.48181
  11 | 11230 | -2.82 | 1506.10 |     0 |     0 |     0 |  364.73 |    0.00 |    0.00 |     0 | 0.00 || 1.89555 1.00882 0.37945 19.38225 -13.34051 33.22968
  12 | 11224 | -2.77 | 1315.50 |     0 |     0 |     0 |  491.55 |    0.00 |    0.00 |     0 | 0.00 || -1.49311 -0.54521 2.70072 -12.96599 -21.93229 10.98042
  13 | 11220 | -2.85 | 1538.50 |     0 |     0 |     0 |   -5.01 |    0.00 |    0.00 |     0 | 0.00 || -0.13054 -0.73505 2.11162 -20.11154 4.34478 -24.14084
  14 | 11184 | -2.66 | 1347.40 |     0 |     0 |     0 |  209.00 |    0.00 |    0.00 |     0 | 0.00 || -0.05445 0.14762 -2.53751 -25.75031 -4.37145 3.79366
  15 | 11098 | -2.73 | 1452.10 |     0 |     0 |     0 |  321.46 |    0.00 |    0.00 |     0 | 0.00 || -2.63825 -0.51123 -2.26416 4.68228 -23.19143 0.43376
  16 | 11078 | -3.17 | 1482.60 |     0 |     0 |     0 |  417.95 |    0.00 |    0.00 |     0 | 0.00 || 0.89146 -0.00890 -2.58524 -24.09688 -1.41357 31.03193
  17 | 10988 | -4.13 | 1746.10 |     0 |     0 |     0 |  426.34 |    0.00 |    0.00 |     0 | 0.00 || -2.66388 -0.00205 -2.95247 -16.78556 -14.47754 9.76356
  18 | 10950 | -3.00 | 1732.90 |     0 |     0 |     0 |    4.11 |    0.00 |    0.00 |     0 | 0.00 || 1.65095 0.59465 1.54977 0.77399 23.07812 -1.69280
  19 | 10838 | -2.82 | 1434.60 |     0 |     0 |     0 |  405.88 |    0.00 |    0.00 |     0 | 0.00 || 0.92443 0.27452 -3.08156 -20.91946 4.15261 30.65355
  20 | 10814 | -3.14 | 1491.10 |     0 |     0 |     0 |   43.40 |    0.00 |    0.00 |     0 | 0.00 || -1.54346 0.53536 0.59665 8.87730 5.86116 27.04028
  21 | 10808 | -3.26 | 1363.90 |     0 |     0 |     0 |  397.44 |    0.00 |    0.00 |     0 | 0.00 || 2.51805 -0.27176 -0.62075 -13.34972 -7.66141 -23.84038
  22 | 10670 | -2.67 | 1272.40 |     0 |     0 |     0 |  191.84 |    0.00 |    0.00 |     0 | 0.00 || 1.61202 -0.19392 -1.51075 -0.97114 -29.49354 -26.12560
  23 | 10570 | -3.31 | 1401.30 |     0 |     0 |     0 |   52.98 |    0.00 |    0.00 |     0 | 0.00 || 1.46801 -0.33580 2.10881 23.53895 2.41028 -7.98914
  24 | 10568 | -3.10 | 1512.80 |     0 |     0 |     0 |  237.70 |    0.00 |    0.00 |     0 | 0.00 || -1.11290 -1.35537 0.09033 -0.34116 21.55510 -26.79484
  25 | 10542 | -2.60 | 1323.90 |     0 |     0 |     0 |   83.39 |    0.00 |    0.00 |     0 | 0.00 || 2.22182 -0.71493 -0.02281 13.06532 -25.37800 -48.50103
  26 | 10520 | -2.80 | 1233.60 |     0 |     0 |     0 |  410.09 |    0.00 |    0.00 |     0 | 0.00 || -1.95416 0.24825 2.14830 -31.92936 14.95554 -14.47503
  27 | 10516 | -4.06 | 1680.10 |     0 |     0 |     0 |  365.56 |    0.00 |    0.00 |     0 | 0.00 || 1.15619 -0.00831 -2.41716 -31.46472 -10.81637 21.15101
  28 | 10512 | -3.38 | 1718.60 |     0 |     0 |     0 |  153.54 |    0.00 |    0.00 |     0 | 0.00 || -0.84447 -0.90369 0.39666 9.04312 22.63006 -22.03248
  29 | 10488 | -3.58 | 1423.00 |     0 |     0 |     0 |  483.65 |    0.00 |    0.00 |     0 | 0.00 || -0.72855 -0.41036 -1.18185 34.80878 -19.91727 -5.31728
  30 | 10468 | -3.30 | 1411.10 |     0 |     0 |     0 |  482.67 |    0.00 |    0.00 |     0 | 0.00 || -1.71176 -0.00774 -0.79990 21.87054 -8.15893 20.96840
  31 | 10394 | -2.71 | 1246.50 |     0 |     0 |     0 |  312.53 |    0.00 |    0.00 |     0 | 0.00 || 1.14211 -0.99120 -2.61592 -0.38196 12.13282 -21.97253
  32 | 10364 | -3.05 | 1289.70 |     0 |     0 |     0 |  372.58 |    0.00 |    0.00 |     0 | 0.00 || -1.10454 0.87869 0.21114 -18.88341 23.64512 19.07854
  33 | 10338 | -3.00 | 1419.30 |     0 |     0 |     0 |   53.94 |    0.00 |    0.00 |     0 | 0.00 || -0.07682 -0.70207 -1.74864 -20.46224 -14.20004 -6.33094
  34 | 10304 | -2.90 | 1283.50 |     0 |     0 |     0 |  472.58 |    0.00 |    0.00 |     0 | 0.00 || 0.80106 1.17296 2.84043 23.81561 25.08722 10.60888
  35 | 10300 | -3.65 | 1488.60 |     0 |     0 |     0 |  328.95 |    0.00 |    0.00 |     0 | 0.00 || 2.14333 -0.09670 -0.52406 16.05934 -35.44623 -0.36337
  36 | 10292 | -3.17 | 1398.50 |     0 |     0 |     0 |   73.79 |    0.00 |    0.00 |     0 | 0.00 || -1.38327 0.82295 2.52350 -36.77315 -3.15920 21.02806
  37 | 10270 | -2.98 | 1275.00 |     0 |     0 |     0 |  482.48 |    0.00 |    0.00 |     0 | 0.00 || 2.16190 0.20191 -0.70226 13.63134 -31.12226 12.93126
  38 | 10226 | -2.98 | 1345.30 |     0 |     0 |     0 |   74.82 |    0.00 |    0.00 |     0 | 0.00 || 1.56047 -0.61896 -1.43439 -27.33686 -40.51213 -37.29118
  39 | 10198 | -3.05 | 1395.10 |     0 |     0 |     0 |  434.88 |    0.00 |    0.00 |     0 | 0.00 || 2.21117 0.40151 0.02862 36.90768 -21.37725 14.14179
  40 | 10182 | -3.31 | 1526.40 |     0 |     0 |     0 |  188.71 |    0.00 |    0.00 |     0 | 0.00 || -2.61596 0.09247 1.04066 15.44624 17.08128 -26.86137
  41 | 10152 | -3.13 | 1323.50 |     0 |     0 |     0 |  -53.27 |    0.00 |    0.00 |     0 | 0.00 || -2.42788 1.00734 2.68281 -12.57247 -21.25565 21.38297
  42 | 10140 | -3.39 | 1593.70 |     0 |     0 |     0 |  275.51 |    0.00 |    0.00 |     0 | 0.00 || 1.34591 0.57858 1.55308 8.52824 22.37914 -3.08773
  43 | 10118 | -3.16 | 1457.50 |     0 |     0 |     0 |  314.17 |    0.00 |    0.00 |     0 | 0.00 || -1.76612 0.53627 0.17982 14.54039 12.22231 30.91812
  44 | 10070 | -2.79 | 1247.50 |     0 |     0 |     0 |  245.39 |    0.00 |    0.00 |     0 | 0.00 || 1.89193 -0.20459 -1.40457 9.38531 -20.97007 -18.84382
