*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/DockingBenchmark5/3K75_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/3K75/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/DockingBenchmark5/3K75_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 13528 | -3.13 | 1937.10 |     0 |     0 |     0 |  240.95 |    0.00 |    0.00 |     0 | 0.00 || -1.30868 -0.86742 -1.82965 -17.47408 3.32673 -11.64139
   2 | 13048 | -3.46 | 2370.00 |     0 |     0 |     0 |  375.42 |    0.00 |    0.00 |     0 | 0.00 || -2.90012 -1.14255 0.99357 11.83847 -2.54143 -0.19235
   3 | 12760 | -2.77 | 1512.00 |     0 |     0 |     0 |  482.31 |    0.00 |    0.00 |     0 | 0.00 || 1.85972 0.18353 -1.41018 1.36111 -31.01219 24.62664
   4 | 12582 | -2.96 | 1596.90 |     0 |     0 |     0 |  378.85 |    0.00 |    0.00 |     0 | 0.00 || -0.19670 0.74717 -0.77692 21.84633 15.30027 33.62227
   5 | 12530 | -3.20 | 1758.70 |     0 |     0 |     0 |  192.12 |    0.00 |    0.00 |     0 | 0.00 || -2.38244 1.14673 1.59797 7.75929 23.61107 49.06428
   6 | 12522 | -2.53 | 1530.20 |     0 |     0 |     0 |  374.98 |    0.00 |    0.00 |     0 | 0.00 || -1.26345 -0.09445 -2.19298 -14.28532 -30.36597 6.58669
   7 | 12478 | -3.51 | 1690.90 |     0 |     0 |     0 |  299.02 |    0.00 |    0.00 |     0 | 0.00 || -2.60382 -0.08789 0.33703 24.44046 -21.18293 24.18095
   8 | 12416 | -3.91 | 2542.50 |     0 |     0 |     0 |  421.95 |    0.00 |    0.00 |     0 | 0.00 || -2.13145 0.28087 -0.19779 13.18944 -26.60312 16.00175
   9 | 12384 | -2.81 | 1476.70 |     0 |     0 |     0 |  276.75 |    0.00 |    0.00 |     0 | 0.00 || -0.78823 0.21990 -2.95111 -46.89632 -21.54825 10.96621
  10 | 12292 | -3.08 | 1548.50 |     0 |     0 |     0 |  471.02 |    0.00 |    0.00 |     0 | 0.00 || 0.59439 -0.26045 -2.13556 21.99700 -49.86810 -8.39972
  11 | 12100 | -4.08 | 1868.80 |     0 |     0 |     0 |  234.77 |    0.00 |    0.00 |     0 | 0.00 || 0.88676 0.86406 -2.66395 -6.05675 -33.74086 66.02666
  12 | 12032 | -3.18 | 1633.90 |     0 |     0 |     0 |  306.21 |    0.00 |    0.00 |     0 | 0.00 || -1.23748 1.04707 1.65370 -25.57041 44.82727 34.70780
  13 | 11968 | -3.00 | 1842.70 |     0 |     0 |     0 |  390.90 |    0.00 |    0.00 |     0 | 0.00 || 1.83758 -0.76433 -2.46194 -49.46411 -18.80275 27.01836
  14 | 11942 | -3.31 | 1861.80 |     0 |     0 |     0 |  460.58 |    0.00 |    0.00 |     0 | 0.00 || 0.11629 -0.80029 2.21852 -33.97907 -12.51326 19.33140
  15 | 11870 | -2.71 | 1557.20 |     0 |     0 |     0 |  265.79 |    0.00 |    0.00 |     0 | 0.00 || 0.75894 0.08623 -1.23351 9.25088 -20.83000 44.88313
  16 | 11850 | -3.13 | 1620.50 |     0 |     0 |     0 |  241.42 |    0.00 |    0.00 |     0 | 0.00 || 1.40511 -1.54078 -1.16974 21.45823 2.57177 -11.94447
  17 | 11832 | -2.51 | 1368.80 |     0 |     0 |     0 |  497.83 |    0.00 |    0.00 |     0 | 0.00 || -1.65962 0.69588 2.45742 -15.34964 18.85634 -8.78089
  18 | 11746 | -3.35 | 1697.20 |     0 |     0 |     0 |  404.12 |    0.00 |    0.00 |     0 | 0.00 || 2.30718 0.39521 -2.10827 -29.82967 -8.42639 74.27974
  19 | 11712 | -2.54 | 1407.70 |     0 |     0 |     0 |  366.12 |    0.00 |    0.00 |     0 | 0.00 || 3.13842 0.13037 -2.59531 -51.57384 9.31518 53.03256
  20 | 11682 | -2.94 | 1595.40 |     0 |     0 |     0 |  416.39 |    0.00 |    0.00 |     0 | 0.00 || 0.31134 0.11643 -2.40005 26.39748 -32.99440 40.36695
  21 | 11654 | -4.09 | 2028.70 |     0 |     0 |     0 |  391.87 |    0.00 |    0.00 |     0 | 0.00 || 2.96245 0.90895 2.91073 -7.49597 27.30560 68.83782
  22 | 11542 | -3.18 | 1613.20 |     0 |     0 |     0 |  233.55 |    0.00 |    0.00 |     0 | 0.00 || 0.12623 -0.83187 1.11052 -40.34734 25.10884 5.50719
  23 | 11432 | -3.10 | 1727.50 |     0 |     0 |     0 |  278.88 |    0.00 |    0.00 |     0 | 0.00 || -0.09845 -0.70124 1.89439 -47.20243 0.69559 8.08641
  24 | 11390 | -3.66 | 1714.10 |     0 |     0 |     0 |  418.39 |    0.00 |    0.00 |     0 | 0.00 || 0.34072 -0.27906 0.75391 -12.33599 38.52450 27.91760
  25 | 11366 | -3.28 | 1933.20 |     0 |     0 |     0 |  118.90 |    0.00 |    0.00 |     0 | 0.00 || -1.90702 -0.98598 2.43879 -1.84333 18.46659 -13.59936
  26 | 11366 | -3.20 | 1585.00 |     0 |     0 |     0 |  402.82 |    0.00 |    0.00 |     0 | 0.00 || 2.66451 -1.22939 0.51333 51.51059 -11.47889 -24.38094
