*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/DockingBenchmark5/3L5W_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/3L5W/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/DockingBenchmark5/3L5W_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 15720 | -4.16 | 2417.20 |     0 |     0 |     0 |  437.48 |    0.00 |    0.00 |     0 | 0.00 || -3.12148 0.78500 -0.49038 38.11328 64.84758 19.00566
   2 | 15100 | -3.96 | 2331.50 |     0 |     0 |     0 |  296.10 |    0.00 |    0.00 |     0 | 0.00 || -0.23414 0.86739 1.81179 78.84663 53.91247 -21.55045
   3 | 14816 | -3.78 | 2147.10 |     0 |     0 |     0 |  248.27 |    0.00 |    0.00 |     0 | 0.00 || 2.04751 0.02950 -0.13424 54.78194 75.86604 12.90600
   4 | 14720 | -4.01 | 2716.40 |     0 |     0 |     0 |  121.56 |    0.00 |    0.00 |     0 | 0.00 || -0.47167 -0.91201 -0.08734 27.03295 -31.74764 24.80134
   5 | 14682 | -3.01 | 2121.40 |     0 |     0 |     0 |  223.46 |    0.00 |    0.00 |     0 | 0.00 || 2.05305 0.33188 -0.16880 49.58906 76.74492 11.29280
   6 | 14618 | -3.93 | 2290.60 |     0 |     0 |     0 |   -4.94 |    0.00 |    0.00 |     0 | 0.00 || -2.97138 1.23642 1.24342 37.75240 -1.60323 1.20995
   7 | 14560 | -3.50 | 2440.90 |     0 |     0 |     0 |  408.75 |    0.00 |    0.00 |     0 | 0.00 || 1.05325 0.74351 -0.86687 88.57490 42.20119 -27.66502
   8 | 14322 | -3.22 | 2527.00 |     0 |     0 |     0 |  494.75 |    0.00 |    0.00 |     0 | 0.00 || -0.70503 0.66133 -0.15375 48.97021 0.48396 -11.92552
   9 | 14092 | -3.29 | 2034.90 |     0 |     0 |     0 |  369.40 |    0.00 |    0.00 |     0 | 0.00 || -1.33738 -0.20827 -0.54269 30.35849 11.36198 26.60992
  10 | 14088 | -3.31 | 2410.40 |     0 |     0 |     0 |  -70.71 |    0.00 |    0.00 |     0 | 0.00 || 1.86071 -0.60904 -0.26755 61.87977 76.72047 14.77351
