*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/DockingBenchmark5/3L89_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/3L89/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/DockingBenchmark5/3L89_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 16596 | -3.24 | 2254.90 |     0 |     0 |     0 |  395.78 |    0.00 |    0.00 |     0 | 0.00 || 0.66702 -1.29080 -2.47727 10.25760 12.35915 72.82306
   2 | 16186 | -3.35 | 2440.70 |     0 |     0 |     0 |  142.00 |    0.00 |    0.00 |     0 | 0.00 || -0.49465 -0.00350 2.79112 58.08907 -36.21674 51.14349
   3 | 15330 | -3.56 | 2087.50 |     0 |     0 |     0 |  297.31 |    0.00 |    0.00 |     0 | 0.00 || -0.48326 -0.71824 0.44600 15.52632 13.81419 75.60625
   4 | 15162 | -3.92 | 2986.60 |     0 |     0 |     0 |  211.94 |    0.00 |    0.00 |     0 | 0.00 || 0.64171 -0.41448 1.38324 57.97469 -2.27549 34.44882
   5 | 15154 | -3.44 | 2311.80 |     0 |     0 |     0 |  453.45 |    0.00 |    0.00 |     0 | 0.00 || 1.37804 0.65347 2.35846 114.34625 14.31087 -20.10902
   6 | 14682 | -3.89 | 2340.20 |     0 |     0 |     0 |  -47.40 |    0.00 |    0.00 |     0 | 0.00 || -1.58321 -0.75053 1.81360 25.91990 -23.36909 2.78559
   7 | 14674 | -2.99 | 2009.70 |     0 |     0 |     0 |  209.60 |    0.00 |    0.00 |     0 | 0.00 || 1.82429 -0.83671 -0.42163 -23.99990 -33.51260 17.57597
   8 | 14606 | -3.49 | 2173.70 |     0 |     0 |     0 |  -17.18 |    0.00 |    0.00 |     0 | 0.00 || -1.77034 -1.33957 2.50517 23.13226 -30.88242 2.74205
   9 | 14586 | -3.47 | 2019.60 |     0 |     0 |     0 |  390.16 |    0.00 |    0.00 |     0 | 0.00 || 0.66216 0.58387 0.71915 18.86354 -72.91492 6.46130
  10 | 14542 | -2.95 | 1839.30 |     0 |     0 |     0 |  197.09 |    0.00 |    0.00 |     0 | 0.00 || -1.04719 0.37783 1.71812 10.78042 -18.13521 19.23884
  11 | 14496 | -3.25 | 2307.60 |     0 |     0 |     0 |  101.99 |    0.00 |    0.00 |     0 | 0.00 || 0.76558 -0.03643 2.93705 63.95622 35.33833 42.25136
  12 | 14394 | -3.65 | 2632.70 |     0 |     0 |     0 | -420.55 |    0.00 |    0.00 |     0 | 0.00 || -1.12970 -0.23302 0.41879 19.69598 32.20487 26.20261
  13 | 14318 | -4.43 | 2797.60 |     0 |     0 |     0 |  341.90 |    0.00 |    0.00 |     0 | 0.00 || -1.33878 1.04407 -0.65498 43.00961 68.77770 -38.90762
  14 | 14272 | -3.82 | 2753.00 |     0 |     0 |     0 |  -80.43 |    0.00 |    0.00 |     0 | 0.00 || 2.03772 -0.57657 -2.72895 63.43621 76.53094 13.72907
  15 | 14268 | -4.32 | 2450.80 |     0 |     0 |     0 |  -79.23 |    0.00 |    0.00 |     0 | 0.00 || 0.83945 1.11719 -3.10003 111.33121 35.96730 -27.81577
  16 | 14120 | -2.73 | 1786.50 |     0 |     0 |     0 |  -76.64 |    0.00 |    0.00 |     0 | 0.00 || 2.49003 0.53047 1.07151 44.15858 -31.08430 -14.77615
  17 | 13836 | -3.75 | 1753.70 |     0 |     0 |     0 |  112.93 |    0.00 |    0.00 |     0 | 0.00 || -2.26094 -0.34038 -1.06112 25.08176 33.04949 -3.44065
  18 | 13822 | -2.95 | 1858.70 |     0 |     0 |     0 |  260.71 |    0.00 |    0.00 |     0 | 0.00 || 0.07465 0.00305 -0.62672 -1.20488 28.19632 60.31761
  19 | 13808 | -2.92 | 1778.30 |     0 |     0 |     0 |  136.65 |    0.00 |    0.00 |     0 | 0.00 || 0.81935 0.50130 -0.03273 -37.63944 -28.74469 -4.51322
  20 | 13764 | -3.53 | 2244.10 |     0 |     0 |     0 |  142.81 |    0.00 |    0.00 |     0 | 0.00 || -2.82932 -0.25755 0.04886 1.54900 3.76534 -57.02287
  21 | 13748 | -4.21 | 3360.80 |     0 |     0 |     0 |  426.00 |    0.00 |    0.00 |     0 | 0.00 || -2.39036 -0.82298 -1.65731 84.92979 62.86033 7.48821
  22 | 13720 | -3.40 | 1965.80 |     0 |     0 |     0 |  258.91 |    0.00 |    0.00 |     0 | 0.00 || -1.34779 -0.59481 1.23833 13.04612 -0.20153 7.83897
  23 | 13708 | -2.99 | 1764.00 |     0 |     0 |     0 |  -62.06 |    0.00 |    0.00 |     0 | 0.00 || 1.40373 1.36251 -2.60324 36.95226 53.71093 -8.14623
  24 | 13690 | -3.07 | 1885.60 |     0 |     0 |     0 |   58.13 |    0.00 |    0.00 |     0 | 0.00 || -1.04846 -0.19763 -1.33964 91.10989 22.22057 11.72453
  25 | 13662 | -2.76 | 1789.40 |     0 |     0 |     0 |  401.07 |    0.00 |    0.00 |     0 | 0.00 || -2.28895 -0.03510 2.16408 66.98334 -68.98027 -18.42148
  26 | 13596 | -3.43 | 1859.70 |     0 |     0 |     0 |  189.24 |    0.00 |    0.00 |     0 | 0.00 || 2.12053 -0.37468 1.63678 90.51298 -67.11362 -5.96063
  27 | 13592 | -3.68 | 1951.90 |     0 |     0 |     0 |  299.45 |    0.00 |    0.00 |     0 | 0.00 || 1.04798 0.25885 -0.17805 -19.61874 -45.97662 10.24767
  28 | 13576 | -3.19 | 2007.50 |     0 |     0 |     0 |  176.56 |    0.00 |    0.00 |     0 | 0.00 || -1.25025 0.25161 2.19929 44.27925 -82.43378 -10.70801
  29 | 13538 | -2.95 | 1976.30 |     0 |     0 |     0 |  -83.56 |    0.00 |    0.00 |     0 | 0.00 || -0.05654 -0.62888 -1.57839 51.41381 -15.66452 57.96025
  30 | 13506 | -3.24 | 1720.10 |     0 |     0 |     0 |  166.48 |    0.00 |    0.00 |     0 | 0.00 || 1.40442 -1.03233 -1.84566 11.48228 46.88801 59.85622
  31 | 13500 | -3.73 | 2174.70 |     0 |     0 |     0 |   -2.50 |    0.00 |    0.00 |     0 | 0.00 || -0.37954 0.41313 0.45414 -8.75861 32.20988 4.06802
  32 | 13492 | -4.08 | 1912.90 |     0 |     0 |     0 |  311.08 |    0.00 |    0.00 |     0 | 0.00 || 2.14728 0.23992 -0.29307 -27.09048 -21.31837 -44.21770
  33 | 13450 | -4.08 | 2407.40 |     0 |     0 |     0 | -203.01 |    0.00 |    0.00 |     0 | 0.00 || -0.51093 -1.13877 -2.78253 49.25885 3.85112 43.81079
  34 | 13422 | -4.22 | 2637.20 |     0 |     0 |     0 |   77.73 |    0.00 |    0.00 |     0 | 0.00 || -2.44203 0.10530 -0.09154 17.52244 45.63642 -51.80051
  35 | 13408 | -3.46 | 1745.20 |     0 |     0 |     0 |  338.84 |    0.00 |    0.00 |     0 | 0.00 || -2.53115 0.72711 -0.78174 58.52620 31.99037 -75.03522
  36 | 13402 | -3.04 | 1990.30 |     0 |     0 |     0 |  153.37 |    0.00 |    0.00 |     0 | 0.00 || 1.00086 -0.30225 -2.09766 47.07613 63.99291 15.04231
  37 | 13386 | -3.50 | 2156.20 |     0 |     0 |     0 |  494.19 |    0.00 |    0.00 |     0 | 0.00 || -2.30974 1.30635 -1.23461 76.41431 -8.73867 -78.83080
  38 | 13370 | -3.64 | 2067.30 |     0 |     0 |     0 |  167.35 |    0.00 |    0.00 |     0 | 0.00 || -2.12018 1.05678 1.89911 -9.19423 -9.69728 -67.37242
  39 | 13340 | -3.32 | 1782.60 |     0 |     0 |     0 |  177.46 |    0.00 |    0.00 |     0 | 0.00 || 0.98267 0.05361 0.00435 35.73695 -34.55527 14.17619
  40 | 13306 | -3.10 | 1841.80 |     0 |     0 |     0 |  400.46 |    0.00 |    0.00 |     0 | 0.00 || 0.40058 -0.16408 -1.91550 69.11599 49.63711 36.79155
  41 | 13304 | -3.36 | 2100.70 |     0 |     0 |     0 |  -82.73 |    0.00 |    0.00 |     0 | 0.00 || 0.19920 0.67089 1.10097 23.32133 -21.59328 -5.50721
  42 | 13256 | -3.86 | 1876.10 |     0 |     0 |     0 |  400.57 |    0.00 |    0.00 |     0 | 0.00 || 1.04332 0.32855 0.92587 44.00851 -23.18180 -7.92674
  43 | 13220 | -3.24 | 1852.00 |     0 |     0 |     0 |  169.43 |    0.00 |    0.00 |     0 | 0.00 || 1.26608 -0.16769 1.65616 70.69627 -2.02510 -2.57351
  44 | 13212 | -3.45 | 2092.20 |     0 |     0 |     0 |  112.88 |    0.00 |    0.00 |     0 | 0.00 || 1.91228 -0.30176 2.96895 75.18863 6.62625 11.14829
  45 | 13208 | -3.57 | 1743.30 |     0 |     0 |     0 |  492.27 |    0.00 |    0.00 |     0 | 0.00 || 0.04823 0.42829 2.05099 81.88571 -69.57452 8.69702
  46 | 13192 | -4.50 | 3136.10 |     0 |     0 |     0 |  -91.04 |    0.00 |    0.00 |     0 | 0.00 || -2.36533 0.20988 -1.20212 53.56860 51.16133 -63.86940
  47 | 13180 | -3.77 | 2020.30 |     0 |     0 |     0 |  481.68 |    0.00 |    0.00 |     0 | 0.00 || 0.51455 0.29216 -3.07259 115.20189 24.49472 24.66462
  48 | 13158 | -3.64 | 1922.50 |     0 |     0 |     0 |  325.61 |    0.00 |    0.00 |     0 | 0.00 || 2.46673 0.90415 -1.95846 21.58487 45.57387 -52.03052
  49 | 13142 | -2.87 | 1697.20 |     0 |     0 |     0 |  404.01 |    0.00 |    0.00 |     0 | 0.00 || -1.58087 -0.46929 -0.58457 24.44110 79.00366 26.71346
  50 | 13138 | -4.08 | 2161.40 |     0 |     0 |     0 |  -90.80 |    0.00 |    0.00 |     0 | 0.00 || 1.27160 0.23496 -0.49927 -2.54745 12.02355 -16.47919
  51 | 13114 | -3.43 | 1802.70 |     0 |     0 |     0 |  271.31 |    0.00 |    0.00 |     0 | 0.00 || -0.84276 0.51654 2.13284 48.47929 -82.01744 -12.28545
  52 | 13104 | -4.32 | 2114.90 |     0 |     0 |     0 |  297.78 |    0.00 |    0.00 |     0 | 0.00 || -0.73028 -0.78595 -2.27819 78.25659 17.09748 37.64811
  53 | 13034 | -2.99 | 1581.70 |     0 |     0 |     0 |  231.85 |    0.00 |    0.00 |     0 | 0.00 || 0.08691 -0.23274 -1.01435 9.20845 32.47240 68.00481
  54 | 12978 | -3.89 | 1742.60 |     0 |     0 |     0 |  100.04 |    0.00 |    0.00 |     0 | 0.00 || -0.74560 -0.72270 -2.40722 68.93625 -36.85099 50.34580
  55 | 12968 | -3.94 | 2142.20 |     0 |     0 |     0 |  174.23 |    0.00 |    0.00 |     0 | 0.00 || -1.77236 0.58159 2.80258 74.98128 -24.12267 -42.50137
  56 | 12910 | -3.79 | 1733.60 |     0 |     0 |     0 |  131.91 |    0.00 |    0.00 |     0 | 0.00 || -2.86819 -0.93352 -2.46402 120.58907 15.95017 20.44347
  57 | 12906 | -2.99 | 1841.20 |     0 |     0 |     0 |  -47.14 |    0.00 |    0.00 |     0 | 0.00 || -2.17306 -0.55452 0.04432 5.90643 -3.19485 -2.57746
  58 | 12904 | -3.76 | 2332.60 |     0 |     0 |     0 |   55.34 |    0.00 |    0.00 |     0 | 0.00 || -3.02251 0.36939 1.42574 27.22493 -16.38984 -79.08228
  59 | 12890 | -2.79 | 1512.80 |     0 |     0 |     0 |   10.44 |    0.00 |    0.00 |     0 | 0.00 || -2.60928 0.04834 -0.29569 17.67019 36.70853 -64.27155
  60 | 12884 | -4.07 | 1948.40 |     0 |     0 |     0 |  189.65 |    0.00 |    0.00 |     0 | 0.00 || 1.08041 0.53668 -1.10519 4.45902 46.88924 -21.56055
  61 | 12848 | -2.81 | 1682.00 |     0 |     0 |     0 |  231.32 |    0.00 |    0.00 |     0 | 0.00 || 0.16871 -0.54402 -1.28739 14.78951 25.35016 73.57085
  62 | 12848 | -3.35 | 1846.50 |     0 |     0 |     0 |  389.83 |    0.00 |    0.00 |     0 | 0.00 || -2.28995 -0.29925 -1.88314 98.14342 56.65462 -23.04419
  63 | 12848 | -3.13 | 1784.90 |     0 |     0 |     0 |  414.80 |    0.00 |    0.00 |     0 | 0.00 || 2.26154 1.00674 2.13169 94.93578 8.88294 -73.09918
  64 | 12834 | -3.72 | 2014.90 |     0 |     0 |     0 |   42.22 |    0.00 |    0.00 |     0 | 0.00 || 1.14874 1.33452 3.06895 42.20033 18.74973 -25.75132
  65 | 12830 | -2.73 | 1658.10 |     0 |     0 |     0 |  381.72 |    0.00 |    0.00 |     0 | 0.00 || -1.55453 0.48830 -2.80442 92.37909 -8.56989 -50.77111
  66 | 12828 | -3.07 | 1688.80 |     0 |     0 |     0 |  221.25 |    0.00 |    0.00 |     0 | 0.00 || -0.92010 -0.88573 0.93174 39.66946 17.52296 17.22242
