*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/DockingBenchmark5/3LVK_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/3LVK/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/DockingBenchmark5/3LVK_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 13156 | -2.92 | 1697.60 |     0 |     0 |     0 |  208.50 |    0.00 |    0.00 |     0 | 0.00 || 1.36099 -0.55297 -1.38029 -25.64227 -54.23399 27.21460
   2 | 12844 | -2.96 | 1610.90 |     0 |     0 |     0 |  231.22 |    0.00 |    0.00 |     0 | 0.00 || 2.93855 0.81215 1.87396 22.29961 13.70619 37.66785
   3 | 12722 | -3.20 | 1691.00 |     0 |     0 |     0 |  478.00 |    0.00 |    0.00 |     0 | 0.00 || 1.88835 -0.76146 -1.74457 -16.17700 -40.92087 13.28644
   4 | 12490 | -3.68 | 1733.40 |     0 |     0 |     0 |  472.05 |    0.00 |    0.00 |     0 | 0.00 || -2.01632 0.72806 2.92191 -5.16620 -20.30127 41.88947
   5 | 12400 | -3.19 | 1746.30 |     0 |     0 |     0 |   59.53 |    0.00 |    0.00 |     0 | 0.00 || 1.92844 1.25540 -2.02384 17.37462 -16.61896 65.43261
   6 | 12340 | -3.01 | 1728.50 |     0 |     0 |     0 |  127.54 |    0.00 |    0.00 |     0 | 0.00 || -0.32409 0.00763 -0.93762 -6.04185 19.76505 26.60769
   7 | 12334 | -3.45 | 1643.50 |     0 |     0 |     0 |  348.13 |    0.00 |    0.00 |     0 | 0.00 || -2.54121 -0.70354 -2.68120 9.11851 -24.52134 -7.31363
   8 | 12310 | -3.64 | 1876.30 |     0 |     0 |     0 |  241.65 |    0.00 |    0.00 |     0 | 0.00 || -1.65376 0.50219 -1.81397 25.64818 -52.98100 27.07373
   9 | 12124 | -3.39 | 1753.60 |     0 |     0 |     0 |  304.21 |    0.00 |    0.00 |     0 | 0.00 || 1.38209 -0.51906 -1.51765 -6.18316 -38.36391 16.16685
  10 | 12048 | -2.77 | 1530.40 |     0 |     0 |     0 |   36.47 |    0.00 |    0.00 |     0 | 0.00 || -0.96281 0.35283 1.21005 -10.41237 -15.90317 49.64449
