*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/DockingBenchmark5/3R9A_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/3R9A/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/DockingBenchmark5/3R9A_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 16480 | -2.92 | 2003.90 |     0 |     0 |     0 |  387.86 |    0.00 |    0.00 |     0 | 0.00 || 1.44814 -0.21331 2.11819 -42.63932 -0.43332 -29.76216
   2 | 16356 | -2.71 | 2076.50 |     0 |     0 |     0 |  307.39 |    0.00 |    0.00 |     0 | 0.00 || 2.40336 -0.02978 2.25245 -17.06680 -68.39165 15.88414
   3 | 16136 | -3.36 | 2514.80 |     0 |     0 |     0 |  436.90 |    0.00 |    0.00 |     0 | 0.00 || -1.50836 -0.63220 3.12573 -6.58187 1.66228 -21.30645
   4 | 15950 | -3.56 | 2436.50 |     0 |     0 |     0 |  428.75 |    0.00 |    0.00 |     0 | 0.00 || -1.72678 0.13987 0.95387 40.77185 -3.65279 -6.61382
   5 | 15584 | -3.88 | 2087.20 |     0 |     0 |     0 |  474.65 |    0.00 |    0.00 |     0 | 0.00 || -1.80841 0.20085 -2.17526 3.51132 -1.58400 -24.13905
   6 | 15580 | -3.01 | 2071.20 |     0 |     0 |     0 |  251.82 |    0.00 |    0.00 |     0 | 0.00 || -0.84066 0.03087 0.81845 10.37931 -71.89191 -43.92320
   7 | 15540 | -3.75 | 2358.30 |     0 |     0 |     0 |  -65.15 |    0.00 |    0.00 |     0 | 0.00 || -1.52980 0.96001 -3.01628 -15.05675 -3.37376 -24.64347
   8 | 15366 | -3.44 | 2085.10 |     0 |     0 |     0 |  157.02 |    0.00 |    0.00 |     0 | 0.00 || -0.27925 0.05830 0.55161 -11.40700 19.13949 -78.41193
   9 | 15312 | -2.86 | 1993.20 |     0 |     0 |     0 |  466.20 |    0.00 |    0.00 |     0 | 0.00 || 0.27676 -0.35115 0.15764 -23.05529 34.69368 -72.38318
  10 | 15218 | -2.95 | 1869.70 |     0 |     0 |     0 |  445.32 |    0.00 |    0.00 |     0 | 0.00 || -1.05329 -0.66797 -2.19140 -38.20458 56.65380 -42.20363
  11 | 15212 | -3.43 | 2343.80 |     0 |     0 |     0 |  398.45 |    0.00 |    0.00 |     0 | 0.00 || 0.58472 -1.43873 0.38692 -1.60809 -4.89926 -30.27752
  12 | 15184 | -3.11 | 2373.40 |     0 |     0 |     0 |  278.79 |    0.00 |    0.00 |     0 | 0.00 || 0.45608 -0.68122 0.53618 -55.26015 5.05424 -65.95676
  13 | 15070 | -3.56 | 2352.50 |     0 |     0 |     0 |  296.90 |    0.00 |    0.00 |     0 | 0.00 || 0.84878 1.09542 -0.18705 45.52783 26.69715 -6.52055
  14 | 14978 | -3.51 | 2265.10 |     0 |     0 |     0 |  176.20 |    0.00 |    0.00 |     0 | 0.00 || -1.69953 -0.54627 -1.66762 -45.71678 21.49255 -51.93937
  15 | 14872 | -3.57 | 2147.80 |     0 |     0 |     0 |  253.76 |    0.00 |    0.00 |     0 | 0.00 || -0.27054 -0.75231 1.25102 5.33214 -76.21118 -24.90848
  16 | 14856 | -3.13 | 1903.90 |     0 |     0 |     0 |  365.92 |    0.00 |    0.00 |     0 | 0.00 || -0.09625 0.16210 2.74456 -20.35090 3.26761 -84.37441
  17 | 14718 | -3.32 | 2069.10 |     0 |     0 |     0 |  386.25 |    0.00 |    0.00 |     0 | 0.00 || 2.83209 -0.19361 0.32998 14.92257 15.01466 47.99432
  18 | 14682 | -3.67 | 2772.40 |     0 |     0 |     0 |  128.47 |    0.00 |    0.00 |     0 | 0.00 || -2.83610 -0.26520 2.83816 23.37001 24.34521 43.54383
  19 | 14660 | -2.92 | 2137.60 |     0 |     0 |     0 |  173.95 |    0.00 |    0.00 |     0 | 0.00 || 2.98258 -0.07580 2.53294 11.53220 24.33169 41.69782
  20 | 14572 | -3.20 | 2010.70 |     0 |     0 |     0 |  446.08 |    0.00 |    0.00 |     0 | 0.00 || -2.41309 1.41714 2.58759 -3.05775 -0.89408 -3.56484
  21 | 14542 | -3.00 | 1919.60 |     0 |     0 |     0 |  338.11 |    0.00 |    0.00 |     0 | 0.00 || 1.58238 -0.87182 -1.09140 16.49807 55.91719 20.41601
  22 | 14526 | -3.47 | 1953.10 |     0 |     0 |     0 |  443.88 |    0.00 |    0.00 |     0 | 0.00 || -1.40389 -1.08675 2.67600 -3.89067 -2.66309 -16.02828
  23 | 14522 | -3.28 | 2413.20 |     0 |     0 |     0 |  469.58 |    0.00 |    0.00 |     0 | 0.00 || -0.06271 -0.53137 -0.66418 -35.12548 38.75381 -61.29166
  24 | 14516 | -3.23 | 1809.50 |     0 |     0 |     0 |  452.21 |    0.00 |    0.00 |     0 | 0.00 || 1.48311 0.83880 -2.83387 48.06063 -39.83603 4.70601
  25 | 14488 | -3.42 | 2485.70 |     0 |     0 |     0 |  121.51 |    0.00 |    0.00 |     0 | 0.00 || -0.64888 -0.85554 0.66721 -20.36785 -2.77176 -14.08473
  26 | 14464 | -3.06 | 1835.10 |     0 |     0 |     0 |  460.92 |    0.00 |    0.00 |     0 | 0.00 || 2.79580 0.96276 -1.93692 0.79664 -5.99858 1.99310
  27 | 14446 | -3.44 | 2000.00 |     0 |     0 |     0 |  352.98 |    0.00 |    0.00 |     0 | 0.00 || -2.10367 -0.51533 0.80529 -0.82722 -17.15673 -30.00295
  28 | 14402 | -3.48 | 2030.30 |     0 |     0 |     0 |  308.55 |    0.00 |    0.00 |     0 | 0.00 || 1.09382 0.44549 2.20755 -3.94557 -14.90706 -3.53637
  29 | 14382 | -2.43 | 1751.90 |     0 |     0 |     0 |  486.69 |    0.00 |    0.00 |     0 | 0.00 || 1.87864 -0.99631 2.64548 16.24701 -44.27788 -35.74271
  30 | 14348 | -3.12 | 1885.40 |     0 |     0 |     0 |  429.54 |    0.00 |    0.00 |     0 | 0.00 || 1.50154 0.49546 0.02259 5.65315 1.77914 -13.08478
  31 | 14344 | -3.05 | 2053.70 |     0 |     0 |     0 |  384.91 |    0.00 |    0.00 |     0 | 0.00 || -2.28155 -0.23233 -1.63716 -68.38704 -11.81918 29.74729
  32 | 14332 | -3.88 | 2398.90 |     0 |     0 |     0 |  273.41 |    0.00 |    0.00 |     0 | 0.00 || -0.58980 -0.64210 0.90678 -6.44139 -75.49916 -24.36591
  33 | 14308 | -2.34 | 1737.10 |     0 |     0 |     0 |  465.20 |    0.00 |    0.00 |     0 | 0.00 || -1.40738 0.91183 0.51367 -23.95219 -40.30258 5.63682
  34 | 14284 | -3.35 | 1794.60 |     0 |     0 |     0 |    4.28 |    0.00 |    0.00 |     0 | 0.00 || -2.95892 -0.04935 0.65834 -15.55770 -57.07388 2.65365
  35 | 14226 | -2.93 | 2053.20 |     0 |     0 |     0 |  405.87 |    0.00 |    0.00 |     0 | 0.00 || 2.99354 0.64897 -2.36984 15.12016 -18.84445 -16.87663
  36 | 14202 | -3.26 | 2124.50 |     0 |     0 |     0 |  103.16 |    0.00 |    0.00 |     0 | 0.00 || 2.53518 0.42827 2.14198 -3.24673 -73.74144 1.07964
  37 | 14190 | -3.03 | 2128.50 |     0 |     0 |     0 |  351.54 |    0.00 |    0.00 |     0 | 0.00 || 3.01787 0.86439 -2.31177 24.74876 36.11301 39.48737
  38 | 14152 | -3.77 | 2106.30 |     0 |     0 |     0 |  489.32 |    0.00 |    0.00 |     0 | 0.00 || 1.30463 -0.74031 -0.90831 27.58473 50.86973 13.87142
  39 | 14078 | -3.86 | 2026.70 |     0 |     0 |     0 |  237.88 |    0.00 |    0.00 |     0 | 0.00 || 2.61036 0.46732 1.94003 -24.57471 -71.58904 -2.68083
  40 | 14046 | -3.57 | 2003.00 |     0 |     0 |     0 |  294.32 |    0.00 |    0.00 |     0 | 0.00 || 2.97088 0.62089 1.81290 -11.15621 -74.12972 0.13504
  41 | 14012 | -3.71 | 2195.70 |     0 |     0 |     0 |  367.19 |    0.00 |    0.00 |     0 | 0.00 || -1.81436 0.34352 0.64680 42.33658 -63.89017 -29.87034
  42 | 13966 | -3.62 | 2283.50 |     0 |     0 |     0 |  407.10 |    0.00 |    0.00 |     0 | 0.00 || 2.89591 0.67245 -0.80593 2.51407 -3.03570 -23.13611
  43 | 13922 | -3.38 | 1950.20 |     0 |     0 |     0 |  445.89 |    0.00 |    0.00 |     0 | 0.00 || 2.06539 0.80632 -1.18045 44.93897 50.65687 2.42045
  44 | 13922 | -4.56 | 2956.80 |     0 |     0 |     0 |  468.70 |    0.00 |    0.00 |     0 | 0.00 || 2.63595 -1.16754 3.04727 -9.64573 -14.98631 -32.81164
  45 | 13914 | -3.03 | 1987.50 |     0 |     0 |     0 |  494.30 |    0.00 |    0.00 |     0 | 0.00 || -2.73008 0.33210 2.86311 22.59366 39.94167 32.34688
  46 | 13902 | -3.59 | 2124.80 |     0 |     0 |     0 |  459.15 |    0.00 |    0.00 |     0 | 0.00 || -0.06781 0.15061 -2.89187 27.99190 4.56665 -95.52126
  47 | 13898 | -3.43 | 2376.80 |     0 |     0 |     0 |  423.71 |    0.00 |    0.00 |     0 | 0.00 || -0.12046 0.75542 1.81338 -2.16476 34.13301 -85.09006
  48 | 13890 | -3.78 | 2382.70 |     0 |     0 |     0 |  429.12 |    0.00 |    0.00 |     0 | 0.00 || 0.00132 -0.71618 -2.69361 64.66515 0.31172 -59.47225
  49 | 13890 | -3.72 | 2177.30 |     0 |     0 |     0 |  393.67 |    0.00 |    0.00 |     0 | 0.00 || 2.90595 -0.17814 -0.38220 -24.97781 16.68443 60.85730
  50 | 13852 | -3.57 | 2208.10 |     0 |     0 |     0 |  370.26 |    0.00 |    0.00 |     0 | 0.00 || -3.12580 0.65367 1.37051 -35.79472 -67.37506 -1.31965
  51 | 13822 | -2.84 | 1749.00 |     0 |     0 |     0 |  378.81 |    0.00 |    0.00 |     0 | 0.00 || 2.47185 0.72736 1.73967 -29.03089 -27.30569 -52.99158
  52 | 13812 | -3.51 | 2143.10 |     0 |     0 |     0 |   80.39 |    0.00 |    0.00 |     0 | 0.00 || -0.40615 -0.73973 1.02242 -16.08315 -75.00034 -25.23561
  53 | 13796 | -3.52 | 2054.30 |     0 |     0 |     0 |   72.95 |    0.00 |    0.00 |     0 | 0.00 || 1.55132 -0.99969 -0.24732 12.76429 -5.30806 -6.90308
  54 | 13768 | -2.71 | 1689.60 |     0 |     0 |     0 |  284.19 |    0.00 |    0.00 |     0 | 0.00 || 1.57967 -0.00277 2.43881 -10.33303 -73.85611 5.63250
  55 | 13744 | -3.29 | 1922.60 |     0 |     0 |     0 |  436.27 |    0.00 |    0.00 |     0 | 0.00 || -2.45341 0.53667 -0.00013 -44.53967 -59.68295 9.24267
  56 | 13742 | -3.60 | 2822.00 |     0 |     0 |     0 |   96.24 |    0.00 |    0.00 |     0 | 0.00 || 0.24691 0.24941 0.26232 -24.50585 20.18934 -81.28188
  57 | 13720 | -3.11 | 1880.80 |     0 |     0 |     0 |  353.23 |    0.00 |    0.00 |     0 | 0.00 || 1.12705 0.44271 2.57469 -26.59920 -68.25300 -14.58711
  58 | 13702 | -4.38 | 2211.50 |     0 |     0 |     0 |   13.69 |    0.00 |    0.00 |     0 | 0.00 || 2.58260 1.23372 1.47197 -12.33834 -71.16336 -14.64151
  59 | 13668 | -3.41 | 2006.40 |     0 |     0 |     0 |  280.40 |    0.00 |    0.00 |     0 | 0.00 || -0.65222 -0.31996 2.39201 71.47873 -11.42365 -53.65115
  60 | 13636 | -3.18 | 1764.10 |     0 |     0 |     0 |  299.52 |    0.00 |    0.00 |     0 | 0.00 || -0.70881 -0.65440 1.09526 17.84875 -75.17422 -17.01184
  61 | 13622 | -2.88 | 1897.20 |     0 |     0 |     0 |  430.09 |    0.00 |    0.00 |     0 | 0.00 || 1.27234 0.89007 1.55816 -61.76654 -21.86518 -57.68104
  62 | 13620 | -3.45 | 2442.70 |     0 |     0 |     0 |  371.45 |    0.00 |    0.00 |     0 | 0.00 || -0.17720 -0.74659 -0.90976 -23.61425 29.16537 -79.88583
  63 | 13620 | -3.94 | 2206.60 |     0 |     0 |     0 |  161.04 |    0.00 |    0.00 |     0 | 0.00 || -2.85944 0.92903 -1.55218 -0.20689 67.22968 -26.81738
  64 | 13608 | -3.73 | 2293.10 |     0 |     0 |     0 |   62.77 |    0.00 |    0.00 |     0 | 0.00 || -2.05537 -0.34168 -1.46241 -44.06466 19.20050 -35.65343
  65 | 13604 | -3.37 | 1889.00 |     0 |     0 |     0 |   89.59 |    0.00 |    0.00 |     0 | 0.00 || 1.27889 -0.66697 2.47905 13.25605 -74.00240 -7.84343
  66 | 13586 | -2.91 | 1612.10 |     0 |     0 |     0 |  364.11 |    0.00 |    0.00 |     0 | 0.00 || -1.28671 0.85115 2.18893 -4.93277 -3.36260 -7.24042
  67 | 13552 | -3.89 | 1880.40 |     0 |     0 |     0 |  276.43 |    0.00 |    0.00 |     0 | 0.00 || 2.55031 1.15637 -2.77380 20.30070 8.73059 -59.15759
  68 | 13550 | -3.45 | 2051.40 |     0 |     0 |     0 |  437.87 |    0.00 |    0.00 |     0 | 0.00 || 0.43964 -0.55431 -1.00546 -3.38893 -5.38853 -27.24348
  69 | 13534 | -3.48 | 2140.00 |     0 |     0 |     0 |  318.97 |    0.00 |    0.00 |     0 | 0.00 || -1.06603 0.27393 -1.69054 -37.47382 31.74999 -67.43623
  70 | 13502 | -3.95 | 2028.80 |     0 |     0 |     0 |  441.55 |    0.00 |    0.00 |     0 | 0.00 || 0.74850 -0.61901 2.98154 31.67535 -67.46552 -36.81487
  71 | 13468 | -2.70 | 1661.40 |     0 |     0 |     0 |  487.35 |    0.00 |    0.00 |     0 | 0.00 || -1.58425 0.03267 -1.24039 -4.49577 -21.15370 -19.07904
  72 | 13468 | -3.76 | 1946.10 |     0 |     0 |     0 |  300.99 |    0.00 |    0.00 |     0 | 0.00 || 1.50598 -1.21135 1.02706 8.35065 6.42037 -19.95189
  73 | 13466 | -3.25 | 1931.70 |     0 |     0 |     0 |  341.45 |    0.00 |    0.00 |     0 | 0.00 || -0.29875 -0.98619 -1.44932 2.21892 -3.68425 -34.84920
  74 | 13448 | -3.73 | 2156.80 |     0 |     0 |     0 |  257.74 |    0.00 |    0.00 |     0 | 0.00 || 1.19894 -0.36983 2.21188 -15.25341 -72.06313 3.19036
  75 | 13424 | -3.47 | 1925.50 |     0 |     0 |     0 |  496.02 |    0.00 |    0.00 |     0 | 0.00 || 3.07751 -1.00257 2.64339 -50.67889 7.25192 -16.41575
  76 | 13414 | -3.01 | 1696.60 |     0 |     0 |     0 |  470.47 |    0.00 |    0.00 |     0 | 0.00 || 0.51769 0.59555 1.37323 -53.38951 -1.93179 -65.74715
  77 | 13396 | -3.46 | 1877.50 |     0 |     0 |     0 |  184.20 |    0.00 |    0.00 |     0 | 0.00 || -0.37085 -1.35586 1.85982 6.36877 -71.08303 -11.22620
  78 | 13384 | -3.96 | 2250.10 |     0 |     0 |     0 |  130.75 |    0.00 |    0.00 |     0 | 0.00 || -1.92764 0.61563 -2.37826 -0.14890 -2.25603 -30.41970
  79 | 13378 | -3.13 | 1844.20 |     0 |     0 |     0 |  418.80 |    0.00 |    0.00 |     0 | 0.00 || 1.77293 0.19327 2.69509 24.91881 -73.11697 -26.04989
  80 | 13378 | -3.39 | 2080.60 |     0 |     0 |     0 |  284.85 |    0.00 |    0.00 |     0 | 0.00 || 1.18882 0.65968 -1.47512 46.22665 18.76498 7.22891
  81 | 13368 | -3.93 | 2225.30 |     0 |     0 |     0 |  286.85 |    0.00 |    0.00 |     0 | 0.00 || 2.95592 0.55671 -0.49840 -61.19739 11.96232 32.28557
  82 | 13366 | -3.28 | 2001.40 |     0 |     0 |     0 |   76.24 |    0.00 |    0.00 |     0 | 0.00 || -2.46042 0.74701 1.50980 9.56404 -73.67998 6.54019
  83 | 13362 | -3.48 | 1894.90 |     0 |     0 |     0 |  466.07 |    0.00 |    0.00 |     0 | 0.00 || 2.38902 0.83746 2.56841 37.17415 -68.95996 -28.07097
  84 | 13358 | -2.58 | 1715.70 |     0 |     0 |     0 |  258.00 |    0.00 |    0.00 |     0 | 0.00 || -2.78594 1.23587 2.49612 0.49194 16.15504 -6.99900
  85 | 13356 | -3.77 | 1959.40 |     0 |     0 |     0 |  388.81 |    0.00 |    0.00 |     0 | 0.00 || -2.18162 -0.29283 3.00656 48.20256 13.10561 -30.69422
  86 | 13348 | -4.10 | 1950.20 |     0 |     0 |     0 |  497.38 |    0.00 |    0.00 |     0 | 0.00 || 1.01389 -0.47809 -1.04235 7.04975 -4.10955 -38.02812
  87 | 13348 | -2.87 | 1837.70 |     0 |     0 |     0 |  278.30 |    0.00 |    0.00 |     0 | 0.00 || 0.93616 0.29136 1.80552 -15.75664 -21.16124 7.19284
  88 | 13346 | -3.11 | 1597.20 |     0 |     0 |     0 |  307.28 |    0.00 |    0.00 |     0 | 0.00 || 2.19659 0.70391 -1.05790 -20.42244 2.77981 -9.47258
  89 | 13330 | -3.33 | 1850.70 |     0 |     0 |     0 |  489.82 |    0.00 |    0.00 |     0 | 0.00 || 1.73981 -0.36775 -2.52538 63.62486 -42.27722 -2.00802
  90 | 13320 | -3.59 | 1797.90 |     0 |     0 |     0 |  386.80 |    0.00 |    0.00 |     0 | 0.00 || -1.67831 0.00606 0.67227 3.24768 -76.46730 -34.11858
  91 | 13290 | -2.96 | 1859.50 |     0 |     0 |     0 |  338.77 |    0.00 |    0.00 |     0 | 0.00 || 0.81704 0.26821 -1.63859 62.75647 -22.03702 -65.45049
  92 | 13288 | -4.32 | 2488.60 |     0 |     0 |     0 |  370.42 |    0.00 |    0.00 |     0 | 0.00 || 0.47165 1.43213 -0.59555 56.79080 -8.00036 -75.05413
  93 | 13284 | -3.32 | 1898.20 |     0 |     0 |     0 |  295.27 |    0.00 |    0.00 |     0 | 0.00 || 2.41107 0.58329 -1.75696 14.87850 41.60693 -44.17654
  94 | 13274 | -3.13 | 1693.90 |     0 |     0 |     0 |  299.97 |    0.00 |    0.00 |     0 | 0.00 || 0.69736 0.50781 -3.13702 10.02683 -43.02480 -97.15686
  95 | 13270 | -2.80 | 1849.70 |     0 |     0 |     0 |  372.19 |    0.00 |    0.00 |     0 | 0.00 || -2.67571 -1.06928 -3.13200 -17.73574 -29.14315 8.39026
  96 | 13266 | -3.40 | 1912.00 |     0 |     0 |     0 |  368.78 |    0.00 |    0.00 |     0 | 0.00 || -2.47869 0.05398 2.71552 -7.93768 4.36049 -15.13950
  97 | 13230 | -2.89 | 1780.20 |     0 |     0 |     0 |  107.62 |    0.00 |    0.00 |     0 | 0.00 || 1.39232 0.99314 1.92231 -37.74556 -58.12840 -42.37265
  98 | 13230 | -3.59 | 2286.70 |     0 |     0 |     0 |  466.78 |    0.00 |    0.00 |     0 | 0.00 || 1.23571 0.04167 -1.05734 -5.35836 -1.31202 -13.65815
  99 | 13224 | -2.52 | 1563.50 |     0 |     0 |     0 |  287.85 |    0.00 |    0.00 |     0 | 0.00 || 0.87215 -0.26891 -2.42969 28.66301 14.96832 -73.76562
