*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/DockingBenchmark5/3S9D_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/3S9D/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/DockingBenchmark5/3S9D_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 18536 | -3.90 | 2885.40 |     0 |     0 |     0 |  369.19 |    0.00 |    0.00 |     0 | 0.00 || 3.08055 0.06028 -0.70811 43.40585 24.37919 94.09703
   2 | 17704 | -2.99 | 2226.30 |     0 |     0 |     0 |  423.46 |    0.00 |    0.00 |     0 | 0.00 || 2.60320 0.14025 -0.27110 28.30644 34.13256 72.33122
   3 | 16994 | -3.15 | 2755.20 |     0 |     0 |     0 |  259.44 |    0.00 |    0.00 |     0 | 0.00 || -2.51193 0.39357 -0.54545 3.82381 5.79193 91.37990
   4 | 16818 | -3.39 | 2684.90 |     0 |     0 |     0 |  334.20 |    0.00 |    0.00 |     0 | 0.00 || -2.79595 1.07832 0.30852 -15.63152 -27.90334 50.87962
   5 | 16242 | -2.92 | 2007.40 |     0 |     0 |     0 |  364.58 |    0.00 |    0.00 |     0 | 0.00 || -1.13473 -0.93043 -2.94458 42.25803 38.05933 61.98056
   6 | 16184 | -4.18 | 3160.90 |     0 |     0 |     0 |  405.73 |    0.00 |    0.00 |     0 | 0.00 || -1.38347 0.68480 -0.45183 -4.00044 -47.57367 43.85292
   7 | 15946 | -2.78 | 2173.20 |     0 |     0 |     0 |  413.53 |    0.00 |    0.00 |     0 | 0.00 || -1.53864 -0.44415 3.10660 53.60881 29.59383 76.69028
   8 | 15614 | -2.93 | 2239.40 |     0 |     0 |     0 |  167.20 |    0.00 |    0.00 |     0 | 0.00 || -2.58476 0.75756 3.09712 97.32539 -10.15192 66.29919
   9 | 15316 | -3.73 | 2217.20 |     0 |     0 |     0 |  354.37 |    0.00 |    0.00 |     0 | 0.00 || -0.08326 -0.38175 -2.58557 75.17141 36.25302 -1.77050
  10 | 15150 | -4.10 | 2498.70 |     0 |     0 |     0 |  480.24 |    0.00 |    0.00 |     0 | 0.00 || -1.91111 0.57758 -2.23448 28.16206 39.01793 60.62965
  11 | 15056 | -3.85 | 2164.70 |     0 |     0 |     0 |  431.50 |    0.00 |    0.00 |     0 | 0.00 || -2.78216 0.32614 -0.12794 -8.72770 -24.11405 99.40006
  12 | 15056 | -3.32 | 2147.90 |     0 |     0 |     0 |  308.22 |    0.00 |    0.00 |     0 | 0.00 || -3.11862 -0.67721 -1.97434 61.55269 -31.10119 96.24908
  13 | 15046 | -3.49 | 2479.90 |     0 |     0 |     0 |  398.93 |    0.00 |    0.00 |     0 | 0.00 || 1.39105 0.91352 -1.35432 90.53434 -19.62829 6.54763
  14 | 14980 | -3.47 | 2066.80 |     0 |     0 |     0 |  312.92 |    0.00 |    0.00 |     0 | 0.00 || 2.49454 0.32367 -0.58821 52.43243 55.13479 64.40565
  15 | 14942 | -4.56 | 2891.30 |     0 |     0 |     0 |  173.73 |    0.00 |    0.00 |     0 | 0.00 || -0.51079 1.22882 -1.52372 -0.46634 -33.96013 15.01963
  16 | 14942 | -3.10 | 1974.50 |     0 |     0 |     0 |  485.56 |    0.00 |    0.00 |     0 | 0.00 || -1.05477 -0.42571 0.99986 83.17433 -55.27852 47.44461
  17 | 14940 | -3.19 | 2092.70 |     0 |     0 |     0 |  257.04 |    0.00 |    0.00 |     0 | 0.00 || 0.48625 0.65496 -0.38745 59.60407 -23.62123 -16.44672
  18 | 14900 | -3.04 | 1937.60 |     0 |     0 |     0 |  404.78 |    0.00 |    0.00 |     0 | 0.00 || 0.00874 0.38928 -2.86934 42.11016 19.68394 -7.92462
  19 | 14844 | -3.39 | 2331.80 |     0 |     0 |     0 |   63.26 |    0.00 |    0.00 |     0 | 0.00 || -3.01981 -0.44027 1.69724 21.39437 -22.27583 103.95297
  20 | 14782 | -3.48 | 2321.10 |     0 |     0 |     0 |  225.86 |    0.00 |    0.00 |     0 | 0.00 || 2.00949 -0.74342 0.43092 8.26069 41.63095 64.04360
  21 | 14366 | -3.46 | 2235.40 |     0 |     0 |     0 |  308.04 |    0.00 |    0.00 |     0 | 0.00 || -0.55248 -0.10640 2.55199 94.86197 24.61533 21.04943
  22 | 14350 | -3.95 | 2781.90 |     0 |     0 |     0 |  282.52 |    0.00 |    0.00 |     0 | 0.00 || -0.33166 0.95988 -1.55132 9.13720 -29.94465 -1.19643
