*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/3SGB_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/3SGB/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/3SGB_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 11852 | -2.82 | 1630.90 |     0 |     0 |     0 |  -15.17 |    0.00 |    0.00 |     0 | 0.00 || 0.62413 -1.00261 -2.35002 23.48007 31.76871 17.02691
   2 | 11658 | -2.84 | 1459.80 |     0 |     0 |     0 |   67.59 |    0.00 |    0.00 |     0 | 0.00 || -2.18868 0.23954 -0.29709 -46.15275 23.16444 72.56664
   3 | 11530 | -3.08 | 1475.80 |     0 |     0 |     0 |    3.66 |    0.00 |    0.00 |     0 | 0.00 || -2.18719 0.05522 2.99992 6.87776 56.33970 72.68961
   4 | 11410 | -3.17 | 1620.20 |     0 |     0 |     0 | -183.58 |    0.00 |    0.00 |     0 | 0.00 || 1.08942 -0.39576 0.94366 -54.35042 10.19067 3.06372
   5 | 11380 | -2.61 | 1380.10 |     0 |     0 |     0 |  -63.30 |    0.00 |    0.00 |     0 | 0.00 || 0.89334 -0.67440 2.55535 1.89680 -23.58580 6.55129
   6 | 11374 | -3.26 | 1463.70 |     0 |     0 |     0 |   44.03 |    0.00 |    0.00 |     0 | 0.00 || -2.00885 -0.31380 -1.95616 -36.77620 31.69212 52.82787
   7 | 11370 | -3.47 | 1727.10 |     0 |     0 |     0 | -126.09 |    0.00 |    0.00 |     0 | 0.00 || 1.70850 -0.42695 0.45545 -54.22112 56.03172 33.23129
   8 | 11338 | -2.93 | 1371.20 |     0 |     0 |     0 | -217.86 |    0.00 |    0.00 |     0 | 0.00 || 2.24976 0.14547 0.35870 -49.71556 47.41361 29.26316
   9 | 11152 | -3.83 | 1518.60 |     0 |     0 |     0 |   14.16 |    0.00 |    0.00 |     0 | 0.00 || 0.61519 0.13984 1.56798 -25.82525 23.72557 3.39508
  10 | 11056 | -3.12 | 1473.60 |     0 |     0 |     0 |  -89.87 |    0.00 |    0.00 |     0 | 0.00 || -2.84149 -1.23178 -2.49768 -17.17921 4.91920 82.95673
  11 | 11044 | -3.91 | 1540.20 |     0 |     0 |     0 |  127.21 |    0.00 |    0.00 |     0 | 0.00 || 2.72263 0.73340 2.36464 -7.70636 -3.64958 55.46106
  12 | 10964 | -2.70 | 1453.50 |     0 |     0 |     0 |  -60.66 |    0.00 |    0.00 |     0 | 0.00 || 1.04728 0.45701 -0.35959 -8.74447 39.48766 -15.17080
  13 | 10824 | -3.19 | 1767.30 |     0 |     0 |     0 |  -78.51 |    0.00 |    0.00 |     0 | 0.00 || 0.63020 -0.51233 2.23228 -7.00155 -10.93603 2.85191
  14 | 10748 | -3.79 | 1872.80 |     0 |     0 |     0 |   26.93 |    0.00 |    0.00 |     0 | 0.00 || -1.02007 0.43349 1.72176 23.99786 11.46815 9.22517
  15 | 10562 | -3.71 | 1734.70 |     0 |     0 |     0 | -287.75 |    0.00 |    0.00 |     0 | 0.00 || -0.51887 0.82968 -1.52013 -50.07108 13.27198 -2.42149
  16 | 10550 | -3.27 | 1530.20 |     0 |     0 |     0 |  -61.51 |    0.00 |    0.00 |     0 | 0.00 || -0.74947 -0.30244 -2.37850 -7.82071 76.50249 43.34490
  17 | 10538 | -3.67 | 1643.60 |     0 |     0 |     0 |  350.77 |    0.00 |    0.00 |     0 | 0.00 || 2.42888 0.19692 2.97763 5.38607 -29.98098 35.47089
  18 | 10494 | -3.11 | 1731.40 |     0 |     0 |     0 |   26.63 |    0.00 |    0.00 |     0 | 0.00 || 2.87070 -0.57615 -1.97467 3.29644 22.27343 76.96918
  19 | 10456 | -2.99 | 1227.60 |     0 |     0 |     0 |  -62.94 |    0.00 |    0.00 |     0 | 0.00 || -1.39748 0.54570 -1.91905 -47.80080 66.15864 38.57538
  20 | 10456 | -3.49 | 1466.00 |     0 |     0 |     0 |  174.48 |    0.00 |    0.00 |     0 | 0.00 || 0.44753 0.50819 -0.91280 -17.54600 26.24377 -11.23958
  21 | 10386 | -2.49 | 1136.10 |     0 |     0 |     0 | -160.12 |    0.00 |    0.00 |     0 | 0.00 || -0.54987 0.32416 -0.98499 -53.25299 25.05392 14.56907
  22 | 10266 | -3.01 | 1344.00 |     0 |     0 |     0 |  -85.26 |    0.00 |    0.00 |     0 | 0.00 || 2.14763 0.48396 -1.95313 47.97855 8.15150 19.55056
  23 | 10252 | -3.09 | 1440.20 |     0 |     0 |     0 |  298.10 |    0.00 |    0.00 |     0 | 0.00 || -1.26770 -1.33988 2.73699 -5.42642 63.59787 50.38888
  24 | 10202 | -2.85 | 1313.90 |     0 |     0 |     0 |   28.66 |    0.00 |    0.00 |     0 | 0.00 || -2.17186 0.13528 -3.06148 -0.62126 56.98256 65.49368
  25 | 10194 | -3.17 | 1573.50 |     0 |     0 |     0 |   66.42 |    0.00 |    0.00 |     0 | 0.00 || 3.05943 0.15416 -2.52456 9.23896 16.33656 57.66850
  26 | 10062 | -3.19 | 1452.10 |     0 |     0 |     0 | -161.49 |    0.00 |    0.00 |     0 | 0.00 || -0.87827 1.41664 0.75695 41.42640 -7.54471 31.91769
  27 | 10044 | -3.02 | 1371.60 |     0 |     0 |     0 |   29.04 |    0.00 |    0.00 |     0 | 0.00 || -0.61419 0.58999 2.57178 29.46247 35.70935 0.86384
  28 |  9970 | -3.45 | 1577.70 |     0 |     0 |     0 |  311.36 |    0.00 |    0.00 |     0 | 0.00 || -1.02932 -0.81211 2.47077 28.36285 58.89287 57.05378
  29 |  9894 | -2.76 | 1341.20 |     0 |     0 |     0 |  128.87 |    0.00 |    0.00 |     0 | 0.00 || 0.51911 0.87061 2.23520 -3.95859 21.33316 4.76635
  30 |  9892 | -2.82 | 1480.60 |     0 |     0 |     0 | -314.38 |    0.00 |    0.00 |     0 | 0.00 || -0.58619 0.76979 -2.73870 0.16087 43.86635 -1.03417
  31 |  9890 | -2.93 | 1388.80 |     0 |     0 |     0 | -116.85 |    0.00 |    0.00 |     0 | 0.00 || -1.54905 -0.35989 0.93758 26.53930 -0.41992 77.01012
  32 |  9854 | -3.38 | 1273.80 |     0 |     0 |     0 |    7.19 |    0.00 |    0.00 |     0 | 0.00 || -0.80544 0.05852 -2.30202 -7.31227 47.29063 35.23302
