*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/DockingBenchmark5/3V6Z_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/3V6Z/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/DockingBenchmark5/3V6Z_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 17720 | -4.53 | 2792.90 |     0 |     0 |     0 | -149.81 |    0.00 |    0.00 |     0 | 0.00 || 0.78552 0.41693 2.91760 -58.70188 -30.42021 70.03973
   2 | 16738 | -3.29 | 2458.10 |     0 |     0 |     0 |  102.24 |    0.00 |    0.00 |     0 | 0.00 || 1.94983 -1.01561 1.78850 -35.30255 29.00832 46.11351
   3 | 16382 | -3.24 | 2248.80 |     0 |     0 |     0 |  271.84 |    0.00 |    0.00 |     0 | 0.00 || -0.92521 -0.84993 0.10121 12.46409 -45.88296 -11.40468
   4 | 16176 | -2.83 | 2084.50 |     0 |     0 |     0 |  126.66 |    0.00 |    0.00 |     0 | 0.00 || -1.43682 0.40384 -1.80199 -31.66355 -29.88696 66.66281
   5 | 15676 | -3.30 | 2524.20 |     0 |     0 |     0 |  -87.46 |    0.00 |    0.00 |     0 | 0.00 || -0.85041 0.45072 2.68671 -11.82596 40.21817 9.94494
   6 | 15458 | -3.38 | 2251.60 |     0 |     0 |     0 |  -83.17 |    0.00 |    0.00 |     0 | 0.00 || -0.96304 -0.18621 -0.00408 50.46311 -46.99854 1.75520
   7 | 15254 | -3.40 | 2225.20 |     0 |     0 |     0 |  -59.74 |    0.00 |    0.00 |     0 | 0.00 || 0.97215 -0.95037 -2.31803 66.51938 -50.69258 29.01148
   8 | 15050 | -3.49 | 2692.70 |     0 |     0 |     0 | -127.82 |    0.00 |    0.00 |     0 | 0.00 || 1.24376 -0.74712 1.29756 -28.89437 30.66023 29.79930
   9 | 14876 | -3.56 | 2152.80 |     0 |     0 |     0 | -219.92 |    0.00 |    0.00 |     0 | 0.00 || 0.24424 0.09638 -0.31332 38.40404 38.51998 6.53043
  10 | 14860 | -3.24 | 1892.90 |     0 |     0 |     0 |  236.24 |    0.00 |    0.00 |     0 | 0.00 || 2.33973 -0.22304 1.65119 -2.35771 63.44878 124.74486
  11 | 14848 | -3.64 | 2500.20 |     0 |     0 |     0 |  213.74 |    0.00 |    0.00 |     0 | 0.00 || 1.38557 0.59086 0.56236 10.14344 52.57283 70.37814
  12 | 14688 | -3.09 | 1756.10 |     0 |     0 |     0 |   89.11 |    0.00 |    0.00 |     0 | 0.00 || 2.50057 -0.74837 -1.26568 50.29333 -43.83710 41.91415
  13 | 14634 | -2.97 | 2206.00 |     0 |     0 |     0 |   79.88 |    0.00 |    0.00 |     0 | 0.00 || -0.91982 -0.88157 -2.72075 -7.63775 52.84822 -8.38939
  14 | 14608 | -3.09 | 2108.90 |     0 |     0 |     0 |  -52.73 |    0.00 |    0.00 |     0 | 0.00 || -2.06344 0.88100 -1.96510 -66.27299 28.09602 80.13640
  15 | 14548 | -3.06 | 1988.50 |     0 |     0 |     0 | -198.42 |    0.00 |    0.00 |     0 | 0.00 || 2.79777 -0.74597 -1.04791 26.52765 -39.81269 92.58617
  16 | 14516 | -3.41 | 2501.40 |     0 |     0 |     0 |  453.31 |    0.00 |    0.00 |     0 | 0.00 || 0.64784 -1.31730 -2.75299 65.44376 -46.65561 8.84513
  17 | 14308 | -3.75 | 2398.20 |     0 |     0 |     0 |  170.07 |    0.00 |    0.00 |     0 | 0.00 || 0.30674 1.11584 -1.60127 52.23843 -72.84866 48.77031
  18 | 14296 | -3.14 | 2053.60 |     0 |     0 |     0 | -217.58 |    0.00 |    0.00 |     0 | 0.00 || -0.11173 -0.55870 3.11467 32.24348 -23.76508 -4.31450
  19 | 14260 | -3.39 | 2048.50 |     0 |     0 |     0 |   66.57 |    0.00 |    0.00 |     0 | 0.00 || -1.78221 1.29490 1.88666 76.24245 22.35608 89.51982
  20 | 14252 | -3.30 | 1879.20 |     0 |     0 |     0 |  276.16 |    0.00 |    0.00 |     0 | 0.00 || 3.07204 -1.13771 2.97553 -42.37838 14.53888 45.06269
  21 | 14218 | -3.35 | 2266.20 |     0 |     0 |     0 |  -53.62 |    0.00 |    0.00 |     0 | 0.00 || 1.06736 0.87287 -0.42678 44.52381 55.53234 90.27524
  22 | 14096 | -2.89 | 1706.70 |     0 |     0 |     0 |  -68.35 |    0.00 |    0.00 |     0 | 0.00 || 0.50418 0.21497 -1.49411 48.92121 -32.69552 53.53947
  23 | 14004 | -2.79 | 1768.70 |     0 |     0 |     0 |  -66.79 |    0.00 |    0.00 |     0 | 0.00 || 0.94115 -0.66638 0.33626 -14.51764 74.60229 36.51987
  24 | 13970 | -3.02 | 1834.90 |     0 |     0 |     0 |  -67.78 |    0.00 |    0.00 |     0 | 0.00 || -0.39054 0.33538 1.13493 54.00534 65.39609 37.25648
  25 | 13942 | -3.37 | 2095.80 |     0 |     0 |     0 |  161.55 |    0.00 |    0.00 |     0 | 0.00 || -1.12143 -0.02595 0.14730 21.44614 -27.04689 2.18325
  26 | 13942 | -3.77 | 2644.30 |     0 |     0 |     0 | -217.24 |    0.00 |    0.00 |     0 | 0.00 || 1.58575 -0.87697 2.67922 -36.44503 -44.88869 44.86322
  27 | 13894 | -2.75 | 1702.50 |     0 |     0 |     0 |  181.14 |    0.00 |    0.00 |     0 | 0.00 || -2.23025 -0.62100 3.07546 -16.12300 50.94607 25.61475
  28 | 13880 | -3.33 | 1984.80 |     0 |     0 |     0 |   86.34 |    0.00 |    0.00 |     0 | 0.00 || 2.63512 0.03788 -2.84063 3.84223 10.40585 99.91743
  29 | 13826 | -3.01 | 1806.50 |     0 |     0 |     0 |  205.27 |    0.00 |    0.00 |     0 | 0.00 || 2.49180 0.73877 1.57594 20.12173 -7.48994 140.60190
  30 | 13772 | -2.99 | 1857.50 |     0 |     0 |     0 |   95.77 |    0.00 |    0.00 |     0 | 0.00 || 0.69250 -0.30954 0.98576 -53.50610 51.08012 3.57885
  31 | 13734 | -3.81 | 2046.90 |     0 |     0 |     0 |  204.43 |    0.00 |    0.00 |     0 | 0.00 || 1.96526 0.56911 -2.17457 56.47674 -23.42640 135.59468
  32 | 13726 | -3.32 | 1908.80 |     0 |     0 |     0 |  383.57 |    0.00 |    0.00 |     0 | 0.00 || -1.62403 -1.27704 1.11176 74.27144 -37.17873 -2.52323
  33 | 13660 | -2.82 | 1746.60 |     0 |     0 |     0 |  -68.03 |    0.00 |    0.00 |     0 | 0.00 || -2.67049 -0.45370 0.27738 34.19741 -45.39103 57.60847
  34 | 13630 | -4.10 | 2161.90 |     0 |     0 |     0 |  314.23 |    0.00 |    0.00 |     0 | 0.00 || -2.93626 -0.41547 -2.49917 -70.86319 7.24224 63.57446
  35 | 13624 | -4.20 | 2216.60 |     0 |     0 |     0 |  195.81 |    0.00 |    0.00 |     0 | 0.00 || 1.28114 -0.94136 -1.64440 49.90709 -10.80746 24.39989
  36 | 13622 | -3.05 | 1820.70 |     0 |     0 |     0 | -195.93 |    0.00 |    0.00 |     0 | 0.00 || 1.78757 0.33950 2.83512 -10.45726 -0.14365 95.38924
  37 | 13536 | -4.17 | 2320.90 |     0 |     0 |     0 |   67.71 |    0.00 |    0.00 |     0 | 0.00 || 1.26220 0.09831 1.02090 -5.70290 52.12046 79.66595
  38 | 13498 | -3.45 | 2114.90 |     0 |     0 |     0 |  -16.64 |    0.00 |    0.00 |     0 | 0.00 || -3.05669 0.77750 1.89258 52.73855 -18.90957 109.84300
  39 | 13444 | -3.22 | 1968.80 |     0 |     0 |     0 |  -60.88 |    0.00 |    0.00 |     0 | 0.00 || -1.40891 0.04865 2.95875 -34.42984 75.40599 43.39268
  40 | 13410 | -3.89 | 1981.10 |     0 |     0 |     0 |   91.05 |    0.00 |    0.00 |     0 | 0.00 || -0.14320 0.43506 1.25879 30.95181 45.25475 21.47873
  41 | 13406 | -4.27 | 2204.50 |     0 |     0 |     0 |   98.69 |    0.00 |    0.00 |     0 | 0.00 || -3.04856 0.32779 -2.93789 1.89798 6.55234 118.67972
  42 | 13362 | -4.15 | 2848.20 |     0 |     0 |     0 |  -58.42 |    0.00 |    0.00 |     0 | 0.00 || -2.33060 -0.63100 0.69296 61.66339 0.92817 53.07227
  43 | 13348 | -3.72 | 2054.90 |     0 |     0 |     0 | -197.46 |    0.00 |    0.00 |     0 | 0.00 || 1.30455 0.98524 1.46592 -33.01480 9.87035 106.38826
  44 | 13340 | -4.62 | 2147.90 |     0 |     0 |     0 |   94.25 |    0.00 |    0.00 |     0 | 0.00 || 1.46066 0.42731 -2.52158 9.42862 -44.21167 68.84115
  45 | 13328 | -3.53 | 1816.20 |     0 |     0 |     0 |  114.97 |    0.00 |    0.00 |     0 | 0.00 || -0.92742 0.72741 -2.63753 -95.35046 -28.84287 46.02891
