*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/DockingBenchmark5/4DN4_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/4DN4/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/DockingBenchmark5/4DN4_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 14434 | -3.00 | 1937.00 |     0 |     0 |     0 |  481.61 |    0.00 |    0.00 |     0 | 0.00 || 3.05992 -0.15859 2.61410 -110.57843 31.91094 -58.44650
   2 | 13954 | -3.38 | 1894.60 |     0 |     0 |     0 |  144.35 |    0.00 |    0.00 |     0 | 0.00 || 2.03292 0.55140 -2.64118 -65.44932 -16.98791 -29.49192
   3 | 13760 | -4.06 | 2407.90 |     0 |     0 |     0 |  312.02 |    0.00 |    0.00 |     0 | 0.00 || 0.39785 -0.02011 -1.51809 -77.07686 -4.76664 -55.59838
   4 | 13608 | -3.42 | 1991.40 |     0 |     0 |     0 |  348.66 |    0.00 |    0.00 |     0 | 0.00 || 0.63926 0.24897 0.96735 38.00135 73.75638 -54.58734
   5 | 13600 | -3.02 | 1865.90 |     0 |     0 |     0 |  133.92 |    0.00 |    0.00 |     0 | 0.00 || 0.48053 -0.42912 -0.80083 -4.62670 -26.77115 -101.50906
   6 | 13564 | -3.07 | 1940.10 |     0 |     0 |     0 |   28.87 |    0.00 |    0.00 |     0 | 0.00 || 1.56669 -0.79215 -2.59968 -38.36192 54.79552 -125.80524
   7 | 13496 | -3.19 | 2192.50 |     0 |     0 |     0 |  -20.19 |    0.00 |    0.00 |     0 | 0.00 || 0.50123 -1.19083 1.25383 28.76993 13.70887 -78.54559
   8 | 13474 | -2.73 | 1723.50 |     0 |     0 |     0 |  260.17 |    0.00 |    0.00 |     0 | 0.00 || -2.19675 -0.76064 1.86606 -92.33453 110.59383 -48.93120
   9 | 13398 | -3.90 | 2159.30 |     0 |     0 |     0 |  142.27 |    0.00 |    0.00 |     0 | 0.00 || -1.21651 0.76615 -2.89435 -37.74911 64.33424 36.01931
  10 | 13330 | -3.75 | 2497.60 |     0 |     0 |     0 |  -67.54 |    0.00 |    0.00 |     0 | 0.00 || -2.54082 0.13235 0.72726 -7.45125 99.24533 12.30191
  11 | 13176 | -4.17 | 2969.60 |     0 |     0 |     0 | -222.06 |    0.00 |    0.00 |     0 | 0.00 || -0.14951 -0.65980 -2.63280 -107.42387 73.21365 -60.68251
  12 | 13170 | -3.20 | 1689.00 |     0 |     0 |     0 |    6.43 |    0.00 |    0.00 |     0 | 0.00 || -1.27921 0.25519 2.95672 -55.06256 48.26086 51.76109
  13 | 13144 | -2.68 | 1685.00 |     0 |     0 |     0 |   36.26 |    0.00 |    0.00 |     0 | 0.00 || -1.81229 0.53688 -0.41399 2.93281 25.08317 48.28313
  14 | 12968 | -3.37 | 2379.10 |     0 |     0 |     0 |  -68.17 |    0.00 |    0.00 |     0 | 0.00 || 0.31483 -0.15311 0.95877 63.63184 46.82212 -38.97014
  15 | 12860 | -3.21 | 2067.40 |     0 |     0 |     0 |   38.73 |    0.00 |    0.00 |     0 | 0.00 || -0.87110 -0.25161 1.70779 10.75159 99.84099 7.37836
  16 | 12634 | -3.13 | 1881.40 |     0 |     0 |     0 |   49.97 |    0.00 |    0.00 |     0 | 0.00 || -0.48100 -1.09758 -1.66475 -61.44896 -14.73559 -56.79976
  17 | 12606 | -3.75 | 1910.20 |     0 |     0 |     0 |  260.49 |    0.00 |    0.00 |     0 | 0.00 || -2.32435 -0.45308 2.69145 -91.23734 23.42111 -10.06080
  18 | 12554 | -3.00 | 1743.20 |     0 |     0 |     0 |  424.81 |    0.00 |    0.00 |     0 | 0.00 || 0.53629 0.35124 -0.05313 47.86780 -29.16992 -23.97430
  19 | 12512 | -3.52 | 1814.50 |     0 |     0 |     0 |  219.72 |    0.00 |    0.00 |     0 | 0.00 || -1.99523 0.74727 0.49472 -28.72229 63.02966 71.56839
  20 | 12186 | -3.35 | 1884.60 |     0 |     0 |     0 |  318.63 |    0.00 |    0.00 |     0 | 0.00 || 0.22288 1.06672 1.53076 38.17766 100.40381 18.93371
  21 | 12176 | -2.95 | 1675.30 |     0 |     0 |     0 |  225.38 |    0.00 |    0.00 |     0 | 0.00 || -0.36425 0.40106 2.66870 -28.97768 95.36545 26.33425
  22 | 12090 | -3.99 | 1873.90 |     0 |     0 |     0 |  215.15 |    0.00 |    0.00 |     0 | 0.00 || -1.20011 -0.09053 2.46001 -51.49517 79.33154 27.22081
