*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/DockingBenchmark5/4FQI_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/4FQI/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/DockingBenchmark5/4FQI_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 16528 | -2.88 | 2206.70 |     0 |     0 |     0 |  375.00 |    0.00 |    0.00 |     0 | 0.00 || -0.62769 -0.82448 -0.00263 35.65806 64.96313 27.15502
   2 | 16438 | -4.29 | 3030.90 |     0 |     0 |     0 |  449.55 |    0.00 |    0.00 |     0 | 0.00 || 1.30309 -0.13423 0.31117 11.45509 -92.82111 -88.30314
   3 | 16058 | -4.33 | 2468.30 |     0 |     0 |     0 |  431.22 |    0.00 |    0.00 |     0 | 0.00 || 1.96559 0.48308 2.89688 -66.71727 123.74664 -162.98047
   4 | 15712 | -3.25 | 2496.30 |     0 |     0 |     0 |  195.55 |    0.00 |    0.00 |     0 | 0.00 || 1.49673 0.36761 -2.43429 -151.49377 116.77400 -117.20428
   5 | 15644 | -3.18 | 2088.90 |     0 |     0 |     0 |   68.61 |    0.00 |    0.00 |     0 | 0.00 || 1.85214 0.94757 2.90063 -129.17456 149.59526 -107.91249
   6 | 15562 | -4.65 | 3468.70 |     0 |     0 |     0 |  275.77 |    0.00 |    0.00 |     0 | 0.00 || -2.00588 -0.32235 -2.83065 -56.34002 -35.29345 52.01881
   7 | 15518 | -3.09 | 1934.60 |     0 |     0 |     0 |  231.48 |    0.00 |    0.00 |     0 | 0.00 || 2.60857 -1.24588 0.51510 -137.50845 65.12042 -13.03923
   8 | 15492 | -4.27 | 3655.30 |     0 |     0 |     0 |  264.18 |    0.00 |    0.00 |     0 | 0.00 || 1.84028 1.02150 -1.44952 -52.12137 -4.28239 -84.36084
   9 | 15370 | -4.04 | 2676.30 |     0 |     0 |     0 |  490.57 |    0.00 |    0.00 |     0 | 0.00 || -1.56873 0.26854 -0.73855 -61.46239 102.94041 43.08018
  10 | 15358 | -3.03 | 2072.80 |     0 |     0 |     0 |  219.90 |    0.00 |    0.00 |     0 | 0.00 || -1.34344 -1.38956 0.89777 -62.07215 182.00172 -29.58635
  11 | 15266 | -4.51 | 2733.10 |     0 |     0 |     0 |  371.65 |    0.00 |    0.00 |     0 | 0.00 || 2.52165 1.17966 -0.51499 26.19905 40.30371 -31.80751
  12 | 15022 | -3.47 | 2339.80 |     0 |     0 |     0 |  392.95 |    0.00 |    0.00 |     0 | 0.00 || 2.28568 -1.04216 -0.46934 -101.74954 130.50781 -82.35723
  13 | 14966 | -3.02 | 1960.80 |     0 |     0 |     0 |  237.97 |    0.00 |    0.00 |     0 | 0.00 || 1.28415 -0.48029 2.04311 59.76874 94.58614 -119.36099
  14 | 14946 | -3.99 | 2962.50 |     0 |     0 |     0 |  442.88 |    0.00 |    0.00 |     0 | 0.00 || -0.04835 0.27326 0.54351 1.65544 -1.51639 -39.96325
  15 | 14720 | -2.95 | 2078.80 |     0 |     0 |     0 |  170.41 |    0.00 |    0.00 |     0 | 0.00 || -0.63904 0.67086 -1.45433 -73.14032 154.02371 42.43895
  16 | 14658 | -3.69 | 2039.50 |     0 |     0 |     0 |  341.10 |    0.00 |    0.00 |     0 | 0.00 || 1.97518 0.42025 2.14739 -87.39192 93.69122 -130.74057
  17 | 14642 | -3.45 | 2142.50 |     0 |     0 |     0 |  336.91 |    0.00 |    0.00 |     0 | 0.00 || 0.71389 0.85086 2.71728 -60.29252 146.70560 -74.84880
  18 | 14628 | -3.21 | 2114.40 |     0 |     0 |     0 |  233.39 |    0.00 |    0.00 |     0 | 0.00 || 1.59184 0.50049 -2.70209 -110.98303 30.32616 -83.19929
  19 | 14570 | -4.65 | 3929.60 |     0 |     0 |     0 |  198.88 |    0.00 |    0.00 |     0 | 0.00 || 0.07361 -1.07128 -0.45116 0.35155 -104.47395 13.60992
