*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/DockingBenchmark5/4G6M_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/4G6M/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/DockingBenchmark5/4G6M_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 16344 | -4.02 | 2582.60 |     0 |     0 |     0 |  353.12 |    0.00 |    0.00 |     0 | 0.00 || -2.41844 -0.10907 -1.50164 50.70773 53.61927 27.19432
   2 | 15534 | -3.78 | 3285.40 |     0 |     0 |     0 |  444.04 |    0.00 |    0.00 |     0 | 0.00 || -1.39209 0.64969 1.69848 -6.50848 18.22839 49.02354
   3 | 15278 | -3.37 | 2125.50 |     0 |     0 |     0 |  494.64 |    0.00 |    0.00 |     0 | 0.00 || -0.99436 0.74809 -2.79223 35.86354 57.11217 48.81169
   4 | 14400 | -3.44 | 2127.10 |     0 |     0 |     0 |  431.17 |    0.00 |    0.00 |     0 | 0.00 || -0.25352 0.40164 -2.57745 12.67559 77.65292 53.74472
   5 | 14104 | -3.73 | 2108.90 |     0 |     0 |     0 |  372.77 |    0.00 |    0.00 |     0 | 0.00 || -0.57975 0.45750 0.12329 -5.86380 34.25347 62.16872
   6 | 13756 | -4.01 | 2459.30 |     0 |     0 |     0 |  477.54 |    0.00 |    0.00 |     0 | 0.00 || -2.81283 -0.52935 -2.27177 45.99066 32.41630 15.54310
   7 | 13546 | -4.13 | 2117.20 |     0 |     0 |     0 |  489.18 |    0.00 |    0.00 |     0 | 0.00 || -2.06485 -0.02325 -2.10593 48.55118 31.44541 41.61408
   8 | 13292 | -3.94 | 2342.10 |     0 |     0 |     0 |  280.60 |    0.00 |    0.00 |     0 | 0.00 || 3.01304 0.32051 1.75307 -15.25279 48.12211 -4.78966
   9 | 13248 | -3.32 | 1990.10 |     0 |     0 |     0 |  347.15 |    0.00 |    0.00 |     0 | 0.00 || -1.66834 0.21843 2.14059 -8.85843 24.74152 52.13383
  10 | 12992 | -3.40 | 1763.50 |     0 |     0 |     0 |  102.00 |    0.00 |    0.00 |     0 | 0.00 || 0.33913 -0.20978 1.24684 51.32792 33.17159 48.36577
  11 | 12954 | -3.46 | 2088.80 |     0 |     0 |     0 |  119.43 |    0.00 |    0.00 |     0 | 0.00 || 2.17883 0.33347 2.91703 5.62469 52.44785 -9.28969
  12 | 12934 | -3.09 | 1809.00 |     0 |     0 |     0 |  245.19 |    0.00 |    0.00 |     0 | 0.00 || -2.02279 -0.26236 0.81877 -16.49161 74.89145 41.77262
  13 | 12902 | -3.09 | 1593.10 |     0 |     0 |     0 |  308.64 |    0.00 |    0.00 |     0 | 0.00 || -1.22003 -1.39720 0.84484 22.18614 88.58099 37.97046
  14 | 12832 | -2.86 | 1678.20 |     0 |     0 |     0 |  368.31 |    0.00 |    0.00 |     0 | 0.00 || -1.74544 -0.55330 -0.35312 33.98268 75.16819 51.01206
  15 | 12808 | -3.71 | 1851.40 |     0 |     0 |     0 |  425.14 |    0.00 |    0.00 |     0 | 0.00 || 0.76580 1.10988 1.67666 52.52973 51.81670 23.73305
  16 | 12654 | -3.30 | 1927.30 |     0 |     0 |     0 |  350.85 |    0.00 |    0.00 |     0 | 0.00 || -2.62817 0.84214 1.14202 -21.16080 67.45671 17.71268
  17 | 12620 | -2.93 | 1739.60 |     0 |     0 |     0 |  300.06 |    0.00 |    0.00 |     0 | 0.00 || 0.22651 0.06611 -0.76200 -16.27312 27.58978 45.60962
  18 | 12596 | -4.37 | 2203.50 |     0 |     0 |     0 |  486.50 |    0.00 |    0.00 |     0 | 0.00 || -0.72733 -0.31435 3.07725 8.33714 50.81105 62.63715
  19 | 12522 | -3.25 | 1732.20 |     0 |     0 |     0 |   84.44 |    0.00 |    0.00 |     0 | 0.00 || 0.37840 -0.81043 2.90166 12.26067 89.16925 42.18245
  20 | 12436 | -3.73 | 1938.00 |     0 |     0 |     0 |  281.43 |    0.00 |    0.00 |     0 | 0.00 || -0.83145 -0.34269 2.09304 10.15774 54.77747 64.69210
