*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/DockingBenchmark5/4GXU_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/4GXU/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/DockingBenchmark5/4GXU_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 17840 | -3.50 | 3365.90 |     0 |     0 |     0 |  347.55 |    0.00 |    0.00 |     0 | 0.00 || 1.95832 0.91657 -0.95126 -143.70932 -129.53418 81.73363
   2 | 17314 | -3.82 | 3182.40 |     0 |     0 |     0 |  399.99 |    0.00 |    0.00 |     0 | 0.00 || -1.56831 -0.61697 -3.02303 -135.85953 -123.44019 -226.74187
   3 | 17308 | -2.77 | 2432.20 |     0 |     0 |     0 |  431.22 |    0.00 |    0.00 |     0 | 0.00 || -2.15374 -0.31243 0.82716 5.05878 85.28831 -243.59494
   4 | 17212 | -3.35 | 2422.60 |     0 |     0 |     0 |  470.80 |    0.00 |    0.00 |     0 | 0.00 || 2.41428 0.04852 2.12142 33.69786 115.64784 -73.86199
   5 | 16896 | -3.38 | 2544.50 |     0 |     0 |     0 |  215.84 |    0.00 |    0.00 |     0 | 0.00 || -2.28722 -0.23063 -1.38151 -12.83192 -151.77110 -217.48813
   6 | 16864 | -3.91 | 3214.00 |     0 |     0 |     0 |  421.29 |    0.00 |    0.00 |     0 | 0.00 || -2.74257 -0.33531 -1.68850 -149.34297 -98.40515 -237.53531
   7 | 16714 | -3.18 | 2597.00 |     0 |     0 |     0 |  228.87 |    0.00 |    0.00 |     0 | 0.00 || -1.81450 -1.17468 0.22597 -103.82404 27.18669 -173.99663
   8 | 16530 | -4.16 | 3926.10 |     0 |     0 |     0 |  409.58 |    0.00 |    0.00 |     0 | 0.00 || -0.78253 -0.49033 -0.97937 137.65666 -51.56872 -115.07207
   9 | 16460 | -3.31 | 2394.50 |     0 |     0 |     0 |  229.00 |    0.00 |    0.00 |     0 | 0.00 || 1.01345 0.21781 -2.67287 -133.18918 -93.25985 47.86702
  10 | 16406 | -3.44 | 2609.20 |     0 |     0 |     0 |  353.44 |    0.00 |    0.00 |     0 | 0.00 || 0.91854 0.25728 2.52690 -72.53833 -13.93007 51.68015
  11 | 16294 | -3.13 | 2512.00 |     0 |     0 |     0 |   43.31 |    0.00 |    0.00 |     0 | 0.00 || 1.10133 -1.32484 -2.35302 -152.12553 -140.36172 -185.18347
  12 | 16162 | -3.08 | 2260.20 |     0 |     0 |     0 |  171.52 |    0.00 |    0.00 |     0 | 0.00 || -2.18302 -0.42298 2.00154 -87.78897 12.74694 -182.18011
  13 | 16072 | -3.72 | 2604.70 |     0 |     0 |     0 |  355.95 |    0.00 |    0.00 |     0 | 0.00 || -2.17919 1.30992 -2.82357 -164.32828 -143.27374 3.34931
  14 | 16050 | -3.45 | 2275.80 |     0 |     0 |     0 |    3.60 |    0.00 |    0.00 |     0 | 0.00 || -1.67323 -0.19477 3.11640 -123.85521 -145.16791 -216.43390
  15 | 16040 | -4.09 | 2782.10 |     0 |     0 |     0 |  412.22 |    0.00 |    0.00 |     0 | 0.00 || -1.18015 -0.26169 2.50943 -181.54466 -87.34528 -194.13531
  16 | 15938 | -3.80 | 2630.80 |     0 |     0 |     0 |   43.73 |    0.00 |    0.00 |     0 | 0.00 || -0.67380 -0.23197 0.42609 8.19089 66.19028 -109.14121
  17 | 15918 | -3.06 | 1966.80 |     0 |     0 |     0 |  384.30 |    0.00 |    0.00 |     0 | 0.00 || -1.99002 0.99171 0.74569 7.94619 131.07632 -11.69783
  18 | 15876 | -3.25 | 2151.40 |     0 |     0 |     0 |   66.46 |    0.00 |    0.00 |     0 | 0.00 || 0.19097 0.92650 -0.29858 -32.67097 10.72585 118.27386
  19 | 15760 | -3.32 | 2178.30 |     0 |     0 |     0 |  298.45 |    0.00 |    0.00 |     0 | 0.00 || 1.40939 1.05490 -1.13189 -158.21681 -16.78027 82.96143
  20 | 15736 | -3.11 | 2236.50 |     0 |     0 |     0 |  246.51 |    0.00 |    0.00 |     0 | 0.00 || 0.87680 0.35449 1.03817 9.79128 3.41270 124.67596
  21 | 15622 | -3.62 | 2479.70 |     0 |     0 |     0 |  445.10 |    0.00 |    0.00 |     0 | 0.00 || 1.65415 -1.04179 -2.40953 -186.78326 -68.05235 -184.94409
  22 | 15448 | -3.51 | 2465.30 |     0 |     0 |     0 |  449.88 |    0.00 |    0.00 |     0 | 0.00 || 1.58999 -0.95926 0.16033 131.73679 -89.49261 -119.10195
  23 | 15404 | -3.71 | 2390.30 |     0 |     0 |     0 |   34.80 |    0.00 |    0.00 |     0 | 0.00 || 1.63827 -0.55674 1.51730 50.11245 43.44051 -97.34760
  24 | 15302 | -2.79 | 1940.00 |     0 |     0 |     0 |  301.14 |    0.00 |    0.00 |     0 | 0.00 || 0.00322 -0.10915 0.54931 -14.60598 124.81306 26.32876
  25 | 15206 | -2.99 | 2395.60 |     0 |     0 |     0 |  471.68 |    0.00 |    0.00 |     0 | 0.00 || 2.72592 -0.67592 1.80444 78.79626 94.43426 -198.18619
  26 | 15200 | -3.43 | 1982.60 |     0 |     0 |     0 |  315.31 |    0.00 |    0.00 |     0 | 0.00 || -1.02385 -1.38018 -0.08467 -17.96721 128.42390 -212.03897
  27 | 15166 | -3.33 | 1895.50 |     0 |     0 |     0 |  248.51 |    0.00 |    0.00 |     0 | 0.00 || 1.62719 1.08211 2.55609 23.80125 19.88070 110.07856
  28 | 15080 | -3.20 | 2130.40 |     0 |     0 |     0 |  325.63 |    0.00 |    0.00 |     0 | 0.00 || 3.04580 -0.39122 2.26064 -7.32561 129.50681 -205.21515
  29 | 15028 | -2.74 | 1955.50 |     0 |     0 |     0 |  471.94 |    0.00 |    0.00 |     0 | 0.00 || -0.07148 -0.37966 2.20391 -189.96599 27.57800 -107.55188
  30 | 14816 | -4.03 | 2473.40 |     0 |     0 |     0 |  456.43 |    0.00 |    0.00 |     0 | 0.00 || -1.34841 -0.65234 -1.52956 72.23186 -126.95822 -195.98177
  31 | 14770 | -3.42 | 2461.10 |     0 |     0 |     0 |  333.31 |    0.00 |    0.00 |     0 | 0.00 || 1.87171 -0.05433 -0.74975 -19.77342 -281.82434 -26.31086
  32 | 14720 | -3.81 | 2218.10 |     0 |     0 |     0 |  105.54 |    0.00 |    0.00 |     0 | 0.00 || 2.66711 -0.91899 -2.84421 -133.90768 55.73858 -265.35919
  33 | 14668 | -3.83 | 3063.60 |     0 |     0 |     0 |   -1.02 |    0.00 |    0.00 |     0 | 0.00 || 1.13632 -0.41168 -2.71969 -189.54938 -100.11739 -31.18559
  34 | 14664 | -3.80 | 2516.50 |     0 |     0 |     0 |  253.20 |    0.00 |    0.00 |     0 | 0.00 || -1.45635 -0.97887 1.74579 -157.08386 -82.06512 -255.15222
  35 | 14610 | -3.93 | 2347.80 |     0 |     0 |     0 |  129.59 |    0.00 |    0.00 |     0 | 0.00 || -2.79392 0.72540 1.65503 -3.41910 74.82045 -114.08568
  36 | 14608 | -3.52 | 1905.30 |     0 |     0 |     0 |  168.68 |    0.00 |    0.00 |     0 | 0.00 || 2.97182 -0.73040 -2.91625 -93.38181 52.71748 -159.60756
  37 | 14576 | -3.16 | 2122.20 |     0 |     0 |     0 |  391.40 |    0.00 |    0.00 |     0 | 0.00 || 1.43992 0.39431 -2.09861 -122.63509 -58.45541 74.99011
  38 | 14574 | -3.49 | 2121.70 |     0 |     0 |     0 |  277.13 |    0.00 |    0.00 |     0 | 0.00 || -2.44401 -0.18561 0.23634 37.04688 -66.35844 -202.40813
  39 | 14510 | -3.39 | 1907.40 |     0 |     0 |     0 |  477.73 |    0.00 |    0.00 |     0 | 0.00 || 2.97817 -0.88517 1.99509 60.01782 65.57012 -235.48300
  40 | 14502 | -3.40 | 2261.40 |     0 |     0 |     0 |  314.64 |    0.00 |    0.00 |     0 | 0.00 || 1.42065 -0.68105 2.75445 -225.38580 84.69278 -79.43891
  41 | 14490 | -3.36 | 2266.70 |     0 |     0 |     0 |  -39.52 |    0.00 |    0.00 |     0 | 0.00 || -1.36835 0.71709 2.74082 -181.90395 -116.32070 -72.03592
  42 | 14400 | -3.83 | 1991.80 |     0 |     0 |     0 |  382.40 |    0.00 |    0.00 |     0 | 0.00 || -1.92685 1.11056 1.18061 -63.41078 158.36525 -58.14300
  43 | 14288 | -3.84 | 2591.30 |     0 |     0 |     0 |  302.38 |    0.00 |    0.00 |     0 | 0.00 || -0.68665 -0.30616 -1.32792 134.03935 -113.83615 -88.17549
  44 | 14278 | -4.08 | 2876.40 |     0 |     0 |     0 |  176.18 |    0.00 |    0.00 |     0 | 0.00 || -2.95459 0.73120 -2.93701 -229.66833 31.58589 -59.47249
  45 | 14248 | -4.69 | 3110.70 |     0 |     0 |     0 |   81.14 |    0.00 |    0.00 |     0 | 0.00 || 0.93222 0.38474 -2.63051 -149.54596 -24.38379 83.60103
  46 | 14228 | -3.53 | 2381.70 |     0 |     0 |     0 |  302.92 |    0.00 |    0.00 |     0 | 0.00 || -0.39405 0.78106 -0.36012 56.35099 40.00500 85.89468
  47 | 14186 | -4.43 | 3347.30 |     0 |     0 |     0 | -327.99 |    0.00 |    0.00 |     0 | 0.00 || 2.37821 0.18274 -2.31602 -190.56885 -74.43938 -87.40992
  48 | 14172 | -3.10 | 2116.60 |     0 |     0 |     0 |  465.73 |    0.00 |    0.00 |     0 | 0.00 || 0.25051 0.33596 2.93526 -106.42728 -73.50123 83.40807
  49 | 14130 | -3.34 | 2086.80 |     0 |     0 |     0 |  201.72 |    0.00 |    0.00 |     0 | 0.00 || -2.45817 -0.18854 2.28531 -112.85416 34.42001 -288.24643
  50 | 14126 | -2.88 | 1832.80 |     0 |     0 |     0 |  285.06 |    0.00 |    0.00 |     0 | 0.00 || 1.84027 -0.03721 1.57541 31.05950 113.54095 0.21076
  51 | 14052 | -3.86 | 2970.90 |     0 |     0 |     0 |  249.72 |    0.00 |    0.00 |     0 | 0.00 || 0.77935 0.53466 1.23954 -27.39891 -16.97881 126.35306
  52 | 14012 | -2.97 | 1893.70 |     0 |     0 |     0 |  367.16 |    0.00 |    0.00 |     0 | 0.00 || 3.01912 -0.72035 -0.08182 -13.13529 -166.14923 -206.94153
  53 | 13998 | -3.17 | 1789.70 |     0 |     0 |     0 |  384.97 |    0.00 |    0.00 |     0 | 0.00 || -2.29355 1.15022 -0.09604 139.40103 -1.70163 -2.04759
  54 | 13982 | -3.43 | 2173.80 |     0 |     0 |     0 |  370.25 |    0.00 |    0.00 |     0 | 0.00 || 1.01599 0.16247 -0.49119 23.45746 -154.36549 38.19239
  55 | 13968 | -3.74 | 2147.60 |     0 |     0 |     0 |  242.46 |    0.00 |    0.00 |     0 | 0.00 || 2.24894 0.96477 2.86182 -101.48341 49.50696 31.60859
  56 | 13948 | -4.03 | 2275.80 |     0 |     0 |     0 |  475.79 |    0.00 |    0.00 |     0 | 0.00 || 0.25947 -0.10040 -0.42794 68.99505 -50.54322 40.48636
  57 | 13948 | -3.50 | 2184.20 |     0 |     0 |     0 |  360.02 |    0.00 |    0.00 |     0 | 0.00 || 2.23027 1.09860 0.44217 43.61192 -171.45166 13.19701
  58 | 13934 | -3.16 | 1762.40 |     0 |     0 |     0 |  -34.29 |    0.00 |    0.00 |     0 | 0.00 || -1.70048 0.85668 0.52142 58.01298 50.23229 -57.01995
  59 | 13916 | -3.15 | 2011.90 |     0 |     0 |     0 |  458.78 |    0.00 |    0.00 |     0 | 0.00 || 1.24721 1.31160 -1.95029 -83.74799 102.31967 64.67262
  60 | 13912 | -4.42 | 3463.00 |     0 |     0 |     0 | -169.13 |    0.00 |    0.00 |     0 | 0.00 || 0.97637 0.62059 2.20389 -25.38176 -42.20670 52.83051
  61 | 13904 | -3.96 | 2188.00 |     0 |     0 |     0 |  384.62 |    0.00 |    0.00 |     0 | 0.00 || -1.08740 -0.74746 -0.79434 70.97417 -43.96501 -162.13461
  62 | 13882 | -2.39 | 1646.60 |     0 |     0 |     0 |  434.46 |    0.00 |    0.00 |     0 | 0.00 || -2.46916 0.08060 0.15892 63.52908 -14.71058 -246.22583
  63 | 13850 | -4.16 | 2615.90 |     0 |     0 |     0 |  169.97 |    0.00 |    0.00 |     0 | 0.00 || -0.65929 0.14723 2.26611 -225.34250 7.99564 -22.20783
  64 | 13836 | -3.68 | 1875.00 |     0 |     0 |     0 |  299.16 |    0.00 |    0.00 |     0 | 0.00 || -1.69003 1.09114 -1.94085 -2.34822 -143.18214 -2.04631
  65 | 13826 | -3.43 | 1776.50 |     0 |     0 |     0 |  445.10 |    0.00 |    0.00 |     0 | 0.00 || 1.33868 0.45536 0.27612 7.70448 -124.44585 49.64884
  66 | 13788 | -3.50 | 2051.40 |     0 |     0 |     0 |   61.93 |    0.00 |    0.00 |     0 | 0.00 || -1.91090 -1.15133 -2.52882 39.48101 -93.79401 -309.77319
  67 | 13784 | -3.43 | 2320.00 |     0 |     0 |     0 |  331.55 |    0.00 |    0.00 |     0 | 0.00 || -0.95856 -1.13102 -2.25320 30.07328 -169.76428 -182.53931
  68 | 13732 | -3.40 | 1998.20 |     0 |     0 |     0 |  440.49 |    0.00 |    0.00 |     0 | 0.00 || -0.39159 -0.53440 -0.00909 105.73788 129.10760 -139.06880
  69 | 13724 | -3.99 | 2303.70 |     0 |     0 |     0 |  205.35 |    0.00 |    0.00 |     0 | 0.00 || -1.04307 -0.33599 2.24540 -234.42990 3.87026 -141.22620
  70 | 13704 | -3.67 | 2400.30 |     0 |     0 |     0 |  152.14 |    0.00 |    0.00 |     0 | 0.00 || 0.01496 0.95279 2.15798 -147.50253 -60.08343 81.41725
  71 | 13644 | -3.75 | 2036.80 |     0 |     0 |     0 |  266.02 |    0.00 |    0.00 |     0 | 0.00 || -0.85810 -0.00297 1.71722 -250.82925 55.90051 -82.67641
  72 | 13632 | -3.60 | 2174.00 |     0 |     0 |     0 |  379.88 |    0.00 |    0.00 |     0 | 0.00 || 1.92186 0.26258 2.18097 -40.36132 146.26698 -37.26054
  73 | 13602 | -3.06 | 1989.20 |     0 |     0 |     0 |  260.87 |    0.00 |    0.00 |     0 | 0.00 || 1.13015 -0.19553 -0.22220 55.18909 -70.98831 23.00950
  74 | 13586 | -4.27 | 2045.90 |     0 |     0 |     0 |  110.34 |    0.00 |    0.00 |     0 | 0.00 || -0.03801 -0.80177 2.04778 -227.69868 106.43201 -101.35008
  75 | 13554 | -3.05 | 1715.90 |     0 |     0 |     0 |  262.85 |    0.00 |    0.00 |     0 | 0.00 || 0.32458 -0.02957 -3.00669 -215.90176 -114.13636 -7.43658
  76 | 13546 | -3.98 | 2369.10 |     0 |     0 |     0 | -117.59 |    0.00 |    0.00 |     0 | 0.00 || -0.75297 0.22818 0.72279 -38.85754 71.12430 -47.63144
  77 | 13538 | -3.91 | 2221.90 |     0 |     0 |     0 |  226.09 |    0.00 |    0.00 |     0 | 0.00 || -0.42864 0.80859 0.80588 -128.54750 29.53471 44.38999
  78 | 13534 | -4.18 | 2186.50 |     0 |     0 |     0 |  297.62 |    0.00 |    0.00 |     0 | 0.00 || -1.22686 -0.94538 -2.68911 -20.72667 -184.53566 -197.90341
  79 | 13488 | -4.59 | 2362.10 |     0 |     0 |     0 |  290.60 |    0.00 |    0.00 |     0 | 0.00 || 0.92682 -0.75698 -1.45900 -102.04693 -271.13058 -78.18616
  80 | 13452 | -3.25 | 1921.90 |     0 |     0 |     0 |  -41.71 |    0.00 |    0.00 |     0 | 0.00 || 0.14427 -0.49692 0.47395 67.70976 41.67543 -47.08702
  81 | 13432 | -3.66 | 1982.50 |     0 |     0 |     0 |  -44.82 |    0.00 |    0.00 |     0 | 0.00 || 2.96176 1.41550 -1.33992 -125.33861 -203.67850 68.02365
  82 | 13418 | -3.38 | 2003.50 |     0 |     0 |     0 |  245.28 |    0.00 |    0.00 |     0 | 0.00 || -0.14348 0.72646 0.97269 -61.08675 60.63280 51.68858
  83 | 13390 | -4.11 | 2243.80 |     0 |     0 |     0 |  247.08 |    0.00 |    0.00 |     0 | 0.00 || -2.81234 0.27902 -3.03990 -224.37361 34.52802 -147.16153
  84 | 13378 | -3.55 | 1830.60 |     0 |     0 |     0 |  446.65 |    0.00 |    0.00 |     0 | 0.00 || 0.59199 1.21743 1.76817 -18.22821 -89.65833 96.21616
  85 | 13336 | -3.53 | 2153.10 |     0 |     0 |     0 |  182.76 |    0.00 |    0.00 |     0 | 0.00 || 0.83129 0.43351 2.32427 -36.56806 23.89963 76.81087
  86 | 13326 | -3.46 | 2080.50 |     0 |     0 |     0 |  260.30 |    0.00 |    0.00 |     0 | 0.00 || -2.96981 0.54239 2.75868 -230.67064 77.07016 -102.44801
  87 | 13312 | -3.33 | 1889.90 |     0 |     0 |     0 |  371.37 |    0.00 |    0.00 |     0 | 0.00 || -0.21859 0.68522 -1.73618 40.70847 -146.72386 32.00749
  88 | 13302 | -3.83 | 2346.00 |     0 |     0 |     0 |  236.24 |    0.00 |    0.00 |     0 | 0.00 || 1.68447 0.53823 2.00469 26.84093 12.56344 24.34895
  89 | 13280 | -3.21 | 1635.70 |     0 |     0 |     0 |  219.89 |    0.00 |    0.00 |     0 | 0.00 || -3.12417 0.01854 -2.86244 -155.14792 -39.02222 -166.00400
  90 | 13258 | -4.09 | 2963.80 |     0 |     0 |     0 |   24.96 |    0.00 |    0.00 |     0 | 0.00 || -0.76206 0.26581 2.63474 -187.30260 -130.34755 -47.88589
  91 | 13256 | -2.81 | 1783.80 |     0 |     0 |     0 |   17.51 |    0.00 |    0.00 |     0 | 0.00 || -0.65365 0.47888 -2.16333 35.52805 -255.01543 10.86476
  92 | 13228 | -3.72 | 2115.80 |     0 |     0 |     0 |  410.75 |    0.00 |    0.00 |     0 | 0.00 || 2.55668 1.26183 -1.48053 -144.32051 -149.38901 20.02156
  93 | 13218 | -3.39 | 1829.20 |     0 |     0 |     0 |  143.20 |    0.00 |    0.00 |     0 | 0.00 || -2.41727 -0.62877 1.47992 -39.09691 18.48174 -208.98399
  94 | 13192 | -3.38 | 1813.60 |     0 |     0 |     0 |   43.20 |    0.00 |    0.00 |     0 | 0.00 || -1.60766 -0.46041 -1.09393 28.76827 -5.81978 -202.17551
  95 | 13182 | -3.72 | 2527.00 |     0 |     0 |     0 |  436.30 |    0.00 |    0.00 |     0 | 0.00 || -0.62136 -0.70049 2.36051 -264.64673 -19.71903 -194.24831
  96 | 13182 | -3.66 | 2035.70 |     0 |     0 |     0 |  308.35 |    0.00 |    0.00 |     0 | 0.00 || 1.75535 0.11006 -0.03179 106.66570 -171.13335 -34.30274
  97 | 13178 | -3.02 | 1819.50 |     0 |     0 |     0 |  295.19 |    0.00 |    0.00 |     0 | 0.00 || -1.26781 0.36164 -2.08651 -51.32337 -229.60010 -63.15924
  98 | 13174 | -3.07 | 1873.30 |     0 |     0 |     0 |   93.06 |    0.00 |    0.00 |     0 | 0.00 || 2.10628 -0.07695 1.66144 77.05972 40.96884 -56.58316
  99 | 13172 | -4.77 | 2498.60 |     0 |     0 |     0 |  488.58 |    0.00 |    0.00 |     0 | 0.00 || -1.13925 0.41185 1.28892 -106.98236 59.77548 -66.99551
