*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/DockingBenchmark5/4IZ7_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/4IZ7/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/DockingBenchmark5/4IZ7_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 13504 | -3.24 | 1874.80 |     0 |     0 |     0 |  381.87 |    0.00 |    0.00 |     0 | 0.00 || 1.30492 0.32477 0.96981 -15.77672 20.96626 -9.09023
   2 | 13160 | -2.64 | 1707.60 |     0 |     0 |     0 |  426.10 |    0.00 |    0.00 |     0 | 0.00 || -1.18852 0.08132 2.50461 25.81365 25.86319 37.71653
   3 | 12282 | -3.33 | 1865.40 |     0 |     0 |     0 |  370.78 |    0.00 |    0.00 |     0 | 0.00 || -0.67994 0.64172 -0.32693 30.19515 -31.98213 11.54609
   4 | 12084 | -2.87 | 1658.60 |     0 |     0 |     0 |  251.21 |    0.00 |    0.00 |     0 | 0.00 || -2.47900 -0.60323 -0.79061 48.72448 -5.54219 87.07118
   5 | 12044 | -3.25 | 1679.90 |     0 |     0 |     0 |    9.52 |    0.00 |    0.00 |     0 | 0.00 || 1.06347 0.38155 -2.72813 -2.74596 -5.41196 -8.85842
   6 | 11972 | -2.63 | 1524.30 |     0 |     0 |     0 |  292.63 |    0.00 |    0.00 |     0 | 0.00 || 0.74204 -0.73256 -1.25773 -14.04356 25.02207 7.14596
   7 | 11864 | -3.09 | 1709.10 |     0 |     0 |     0 |  408.47 |    0.00 |    0.00 |     0 | 0.00 || -1.53868 1.00528 0.27382 27.65563 -28.48072 34.48717
   8 | 11750 | -2.83 | 1759.60 |     0 |     0 |     0 |   89.10 |    0.00 |    0.00 |     0 | 0.00 || 0.46368 -0.70772 -2.27871 4.34514 24.67480 5.86756
   9 | 11722 | -3.43 | 1806.40 |     0 |     0 |     0 |  231.93 |    0.00 |    0.00 |     0 | 0.00 || 1.08377 0.60083 0.10838 45.41171 0.90151 -33.13216
  10 | 11716 | -3.28 | 1573.70 |     0 |     0 |     0 |  462.45 |    0.00 |    0.00 |     0 | 0.00 || 3.11831 -0.14720 1.82533 19.37897 -5.53366 54.00163
  11 | 11590 | -3.19 | 1851.90 |     0 |     0 |     0 |  230.67 |    0.00 |    0.00 |     0 | 0.00 || -3.12659 -1.20434 1.82548 -30.53281 22.93496 40.32398
  12 | 11524 | -3.16 | 1685.30 |     0 |     0 |     0 |   -3.63 |    0.00 |    0.00 |     0 | 0.00 || 2.22027 -0.74804 -2.61320 31.32662 -59.17181 -6.47241
  13 | 11440 | -3.40 | 1647.60 |     0 |     0 |     0 |  431.38 |    0.00 |    0.00 |     0 | 0.00 || 2.88444 0.26095 -1.25307 52.20540 -9.38392 26.83873
  14 | 11316 | -3.47 | 1598.40 |     0 |     0 |     0 |  391.99 |    0.00 |    0.00 |     0 | 0.00 || 3.13452 -0.54379 -1.72782 23.05503 -9.87268 54.89142
  15 | 11216 | -3.04 | 1565.00 |     0 |     0 |     0 |  419.09 |    0.00 |    0.00 |     0 | 0.00 || -2.32621 0.28523 -2.65746 10.15255 13.78704 64.07663
  16 | 11182 | -2.87 | 1476.50 |     0 |     0 |     0 |  350.89 |    0.00 |    0.00 |     0 | 0.00 || 1.06827 0.35320 0.50378 -4.11596 12.82197 -9.93075
  17 | 11044 | -2.54 | 1297.90 |     0 |     0 |     0 |  110.74 |    0.00 |    0.00 |     0 | 0.00 || 1.82216 -0.39980 0.54102 -31.76262 26.88154 12.28102
  18 | 10986 | -3.71 | 1633.60 |     0 |     0 |     0 |  130.20 |    0.00 |    0.00 |     0 | 0.00 || 0.55804 0.40884 0.39794 38.07998 -29.93881 -30.08434
  19 | 10970 | -2.66 | 1417.70 |     0 |     0 |     0 |  379.94 |    0.00 |    0.00 |     0 | 0.00 || 2.68133 0.26267 -2.31936 59.02483 -47.60938 34.25639
  20 | 10962 | -3.09 | 1516.50 |     0 |     0 |     0 |  367.95 |    0.00 |    0.00 |     0 | 0.00 || 0.21656 0.22179 1.15371 17.02400 0.70657 -12.86943
  21 | 10960 | -3.93 | 1883.90 |     0 |     0 |     0 |  250.35 |    0.00 |    0.00 |     0 | 0.00 || -1.05189 1.42174 -1.18885 -40.15618 -8.53925 22.47032
  22 | 10922 | -3.35 | 1654.90 |     0 |     0 |     0 |  201.66 |    0.00 |    0.00 |     0 | 0.00 || 2.01408 0.25276 -0.49468 44.11829 27.76940 -18.13554
  23 | 10910 | -3.46 | 1736.30 |     0 |     0 |     0 |  218.25 |    0.00 |    0.00 |     0 | 0.00 || 0.40511 -0.46623 -1.57966 -13.32661 26.52846 -1.96893
  24 | 10878 | -2.45 | 1347.40 |     0 |     0 |     0 |  115.05 |    0.00 |    0.00 |     0 | 0.00 || 2.77183 -0.80898 0.33086 23.94081 57.45203 28.77235
  25 | 10858 | -2.55 | 1337.00 |     0 |     0 |     0 |  206.52 |    0.00 |    0.00 |     0 | 0.00 || 0.36012 0.68517 1.56540 60.69114 14.92186 -7.49215
  26 | 10834 | -3.27 | 1643.10 |     0 |     0 |     0 |  395.57 |    0.00 |    0.00 |     0 | 0.00 || 0.97875 1.03409 -2.18822 27.19205 -26.58312 27.75182
  27 | 10804 | -3.17 | 1529.10 |     0 |     0 |     0 |  391.62 |    0.00 |    0.00 |     0 | 0.00 || 2.61363 0.39970 -2.27135 40.40850 -21.89395 61.36083
  28 | 10748 | -2.90 | 1357.40 |     0 |     0 |     0 |  319.38 |    0.00 |    0.00 |     0 | 0.00 || -1.88474 -0.95459 -0.80051 1.96164 -20.48137 47.43357
  29 | 10716 | -2.61 | 1262.00 |     0 |     0 |     0 |  276.27 |    0.00 |    0.00 |     0 | 0.00 || -2.93498 0.11233 -0.07390 -1.91940 38.71174 42.18755
  30 | 10642 | -3.26 | 1542.00 |     0 |     0 |     0 |  272.22 |    0.00 |    0.00 |     0 | 0.00 || 2.42691 0.42831 2.91064 -3.57116 -35.99651 25.86532
  31 | 10596 | -2.77 | 1403.20 |     0 |     0 |     0 |  161.25 |    0.00 |    0.00 |     0 | 0.00 || -0.21336 0.99536 -0.99914 -23.02113 -26.75193 13.90288
  32 | 10584 | -3.05 | 1422.20 |     0 |     0 |     0 |  238.65 |    0.00 |    0.00 |     0 | 0.00 || 0.11161 -0.12456 1.52261 66.75099 -8.93033 -5.24018
  33 | 10572 | -2.76 | 1400.20 |     0 |     0 |     0 |  218.57 |    0.00 |    0.00 |     0 | 0.00 || 2.74886 -0.32605 -0.61935 46.47451 -3.52377 49.75487
  34 | 10562 | -3.00 | 1507.00 |     0 |     0 |     0 |  239.29 |    0.00 |    0.00 |     0 | 0.00 || 1.38530 -0.36023 0.46582 18.04295 24.51511 -0.92553
  35 | 10560 | -3.60 | 1898.50 |     0 |     0 |     0 |  417.22 |    0.00 |    0.00 |     0 | 0.00 || -1.56264 0.33546 0.74184 2.74592 -29.83850 47.83260
  36 | 10548 | -2.66 | 1230.90 |     0 |     0 |     0 |  463.63 |    0.00 |    0.00 |     0 | 0.00 || -0.35761 -1.01092 -1.63282 -2.40754 11.73044 -10.50540
  37 | 10530 | -4.04 | 1653.90 |     0 |     0 |     0 |  331.33 |    0.00 |    0.00 |     0 | 0.00 || -1.52052 0.27177 0.02588 30.24860 -16.54593 50.77784
  38 | 10518 | -2.77 | 1382.90 |     0 |     0 |     0 |  141.65 |    0.00 |    0.00 |     0 | 0.00 || -0.14693 -1.06184 1.85075 79.35083 -12.45827 19.82859
  39 | 10482 | -2.66 | 1372.20 |     0 |     0 |     0 |  329.09 |    0.00 |    0.00 |     0 | 0.00 || 1.82062 0.69443 1.45778 -37.29439 14.79259 11.66142
  40 | 10432 | -3.82 | 1740.30 |     0 |     0 |     0 |  283.12 |    0.00 |    0.00 |     0 | 0.00 || -1.62651 0.18048 2.29815 22.44135 6.65201 52.61481
  41 | 10410 | -3.04 | 1328.70 |     0 |     0 |     0 |  317.55 |    0.00 |    0.00 |     0 | 0.00 || 0.93175 0.51829 1.22094 -9.97701 5.06398 -9.12698
  42 | 10408 | -3.21 | 1538.20 |     0 |     0 |     0 |  292.40 |    0.00 |    0.00 |     0 | 0.00 || 0.11831 -1.46807 -1.27494 -31.75850 25.23669 31.16080
  43 | 10392 | -3.47 | 1582.70 |     0 |     0 |     0 |  320.08 |    0.00 |    0.00 |     0 | 0.00 || 2.79193 -1.29957 -3.08662 18.42521 -61.72239 27.37179
  44 | 10358 | -2.54 | 1272.50 |     0 |     0 |     0 |  441.86 |    0.00 |    0.00 |     0 | 0.00 || 2.62653 -0.79123 1.53854 -30.18420 14.08614 66.45863
  45 | 10356 | -3.02 | 1624.10 |     0 |     0 |     0 |   79.16 |    0.00 |    0.00 |     0 | 0.00 || 0.51616 0.89120 1.26627 15.74321 31.92697 -9.83373
  46 | 10350 | -2.98 | 1449.90 |     0 |     0 |     0 |  301.07 |    0.00 |    0.00 |     0 | 0.00 || 2.96702 -0.92101 -1.41735 61.68297 -13.24257 12.64893
