*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/5NVU_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/5NVU/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/5NVU_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 15202 | -3.52 | 2162.20 |     0 |     0 |     0 |  337.52 |    0.00 |    0.00 |     0 | 0.00 || -3.11401 -0.22160 2.09718 32.84373 -13.68741 78.75606
   2 | 14792 | -2.69 | 1754.10 |     0 |     0 |     0 |  490.20 |    0.00 |    0.00 |     0 | 0.00 || 0.95602 0.04581 3.04051 70.96144 7.15680 -29.28553
   3 | 14478 | -3.03 | 2015.10 |     0 |     0 |     0 |  316.44 |    0.00 |    0.00 |     0 | 0.00 || 0.95213 0.72232 -1.18552 42.98287 24.19256 -8.83722
   4 | 14406 | -3.46 | 2173.00 |     0 |     0 |     0 |  363.22 |    0.00 |    0.00 |     0 | 0.00 || 0.83509 -1.18169 0.98995 -6.71325 -14.47247 56.21185
   5 | 14150 | -2.46 | 1631.60 |     0 |     0 |     0 |  433.68 |    0.00 |    0.00 |     0 | 0.00 || -1.02669 0.04833 -1.93610 13.96162 21.47183 58.51692
   6 | 14028 | -3.01 | 1883.60 |     0 |     0 |     0 |  464.67 |    0.00 |    0.00 |     0 | 0.00 || 0.16293 -1.24170 -3.01278 118.18750 54.04462 31.02509
   7 | 13942 | -3.42 | 2278.50 |     0 |     0 |     0 |  324.80 |    0.00 |    0.00 |     0 | 0.00 || -3.10056 -1.25665 0.90902 25.37742 79.58916 87.40238
   8 | 13854 | -3.14 | 2035.80 |     0 |     0 |     0 |  381.76 |    0.00 |    0.00 |     0 | 0.00 || -2.17593 -1.22287 -0.38428 88.32400 -69.84996 58.12599
   9 | 13704 | -2.82 | 1735.40 |     0 |     0 |     0 |  485.17 |    0.00 |    0.00 |     0 | 0.00 || -1.04874 -0.42417 0.79992 75.57094 -17.83864 48.99763
  10 | 13652 | -2.94 | 1877.10 |     0 |     0 |     0 |  381.80 |    0.00 |    0.00 |     0 | 0.00 || -0.50003 -0.31983 -2.76768 3.68853 73.51223 26.56074
  11 | 13642 | -3.31 | 2078.70 |     0 |     0 |     0 |  464.13 |    0.00 |    0.00 |     0 | 0.00 || 0.20741 0.84380 -1.31379 -3.55426 -40.03578 5.11181
  12 | 13482 | -2.89 | 1848.80 |     0 |     0 |     0 |  492.76 |    0.00 |    0.00 |     0 | 0.00 || -0.06083 -0.26677 -1.15813 -35.78008 37.63780 -13.68652
  13 | 13386 | -3.31 | 1939.90 |     0 |     0 |     0 |  408.75 |    0.00 |    0.00 |     0 | 0.00 || 2.88843 -0.65844 2.78149 -9.45781 -46.02966 100.12207
  14 | 13326 | -3.92 | 2106.20 |     0 |     0 |     0 |  426.87 |    0.00 |    0.00 |     0 | 0.00 || -0.58894 -0.37742 -1.63513 -33.45628 24.34007 -20.00533
  15 | 13326 | -3.05 | 1760.10 |     0 |     0 |     0 |  190.59 |    0.00 |    0.00 |     0 | 0.00 || 0.03239 0.02425 -2.68191 55.82831 34.40274 2.97601
  16 | 13312 | -2.97 | 1919.70 |     0 |     0 |     0 |  356.81 |    0.00 |    0.00 |     0 | 0.00 || -2.71769 0.49118 -2.31629 46.59370 36.84126 131.29549
  17 | 13284 | -3.31 | 1878.90 |     0 |     0 |     0 |  354.08 |    0.00 |    0.00 |     0 | 0.00 || -2.06401 -0.81100 3.08080 35.99813 30.80073 77.52528
  18 | 13270 | -3.33 | 1794.40 |     0 |     0 |     0 |  301.03 |    0.00 |    0.00 |     0 | 0.00 || -1.64409 -1.41741 0.63484 94.52605 14.28070 86.75927
  19 | 13260 | -2.77 | 1567.30 |     0 |     0 |     0 |  196.40 |    0.00 |    0.00 |     0 | 0.00 || 2.51645 0.06443 0.95529 -55.91817 21.88968 64.01909
  20 | 13252 | -2.72 | 1714.80 |     0 |     0 |     0 |  259.53 |    0.00 |    0.00 |     0 | 0.00 || -0.73004 -0.58267 -2.73699 53.51010 52.33472 43.77995
  21 | 13246 | -3.33 | 1868.70 |     0 |     0 |     0 |  120.41 |    0.00 |    0.00 |     0 | 0.00 || 2.09611 -0.36927 -3.07093 19.22212 -60.05837 68.21452
  22 | 13202 | -3.49 | 1838.70 |     0 |     0 |     0 |  182.40 |    0.00 |    0.00 |     0 | 0.00 || 1.12384 0.78580 -2.97031 -22.30287 -66.69705 -1.54965
  23 | 13200 | -3.48 | 1925.30 |     0 |     0 |     0 |  470.90 |    0.00 |    0.00 |     0 | 0.00 || -3.07369 -1.16170 -1.00242 80.07538 -3.77210 46.95885
  24 | 13196 | -3.44 | 2022.80 |     0 |     0 |     0 |  252.45 |    0.00 |    0.00 |     0 | 0.00 || 1.95004 0.77806 3.03121 8.01577 -36.80367 35.30593
  25 | 13160 | -3.48 | 1899.20 |     0 |     0 |     0 |  392.51 |    0.00 |    0.00 |     0 | 0.00 || 0.97158 -1.47775 -2.55969 89.97293 48.76762 72.83164
  26 | 13134 | -3.30 | 1784.10 |     0 |     0 |     0 |  416.01 |    0.00 |    0.00 |     0 | 0.00 || -1.95393 1.06634 1.99527 66.04985 -6.89777 23.04511
  27 | 13110 | -3.00 | 1920.30 |     0 |     0 |     0 |  481.07 |    0.00 |    0.00 |     0 | 0.00 || 2.90503 0.18998 2.49705 49.80589 -30.75268 61.72326
  28 | 13036 | -3.40 | 2232.60 |     0 |     0 |     0 |  391.07 |    0.00 |    0.00 |     0 | 0.00 || 2.09540 -0.31302 0.77410 -16.36751 82.18466 51.24699
  29 | 12964 | -3.72 | 1906.40 |     0 |     0 |     0 |  495.21 |    0.00 |    0.00 |     0 | 0.00 || -2.52945 0.58012 1.94159 27.87356 -15.79011 87.69652
  30 | 12952 | -3.14 | 2036.40 |     0 |     0 |     0 |  136.91 |    0.00 |    0.00 |     0 | 0.00 || -1.14524 0.22215 1.10666 112.59355 -14.69779 29.79776
  31 | 12918 | -3.66 | 2247.20 |     0 |     0 |     0 |  432.95 |    0.00 |    0.00 |     0 | 0.00 || -2.78941 -0.53551 2.74047 38.18713 6.21772 82.92957
  32 | 12874 | -2.80 | 1644.80 |     0 |     0 |     0 |  468.57 |    0.00 |    0.00 |     0 | 0.00 || -1.17899 0.98739 -1.58997 -42.30294 -6.21165 36.88776
  33 | 12872 | -4.13 | 2087.90 |     0 |     0 |     0 |  245.75 |    0.00 |    0.00 |     0 | 0.00 || 1.17880 -0.67907 -0.38179 7.20923 45.79424 39.20958
  34 | 12776 | -3.38 | 1872.10 |     0 |     0 |     0 |  463.06 |    0.00 |    0.00 |     0 | 0.00 || 1.47587 0.74941 2.50726 26.68824 -21.25768 4.61371
  35 | 12760 | -2.98 | 1601.20 |     0 |     0 |     0 |  344.89 |    0.00 |    0.00 |     0 | 0.00 || 2.75744 0.96732 -1.29427 84.77175 65.29237 14.44769
  36 | 12722 | -3.26 | 1840.00 |     0 |     0 |     0 |  306.67 |    0.00 |    0.00 |     0 | 0.00 || 1.17415 -1.04996 -1.19122 40.26389 94.19411 37.12792
  37 | 12706 | -2.76 | 1628.70 |     0 |     0 |     0 |  389.29 |    0.00 |    0.00 |     0 | 0.00 || -0.92379 -0.03306 -2.82345 49.53126 80.26141 65.34081
  38 | 12680 | -3.22 | 1936.00 |     0 |     0 |     0 |  440.89 |    0.00 |    0.00 |     0 | 0.00 || 0.88331 0.19566 2.44665 25.91829 -15.75995 -45.82162
  39 | 12662 | -3.03 | 1723.50 |     0 |     0 |     0 |  410.74 |    0.00 |    0.00 |     0 | 0.00 || -1.35097 0.81030 -1.87521 -13.42505 32.84277 62.99287
  40 | 12650 | -2.99 | 1547.00 |     0 |     0 |     0 |  264.39 |    0.00 |    0.00 |     0 | 0.00 || -1.43925 -0.32933 0.88076 108.70270 -29.13534 49.04057
  41 | 12642 | -4.17 | 1959.40 |     0 |     0 |     0 |  250.61 |    0.00 |    0.00 |     0 | 0.00 || 0.04288 -0.74112 -1.32864 14.37179 45.52166 29.32330
  42 | 12628 | -2.88 | 1711.80 |     0 |     0 |     0 |  124.09 |    0.00 |    0.00 |     0 | 0.00 || -0.82290 -0.34099 0.99094 68.70197 -51.67925 71.16420
  43 | 12618 | -3.85 | 2177.70 |     0 |     0 |     0 |  214.59 |    0.00 |    0.00 |     0 | 0.00 || 1.66342 0.44178 0.28306 -4.71338 35.57254 20.63560
  44 | 12614 | -3.31 | 1684.00 |     0 |     0 |     0 |  396.17 |    0.00 |    0.00 |     0 | 0.00 || -0.13116 0.63513 1.53042 36.82278 32.98444 -12.14183
  45 | 12598 | -3.40 | 1957.60 |     0 |     0 |     0 |  212.47 |    0.00 |    0.00 |     0 | 0.00 || 1.85293 0.16165 0.79715 -32.23862 89.44333 28.03560
  46 | 12596 | -3.31 | 1930.60 |     0 |     0 |     0 |  282.40 |    0.00 |    0.00 |     0 | 0.00 || 0.21388 0.47712 2.02618 41.75253 44.36042 5.19121
  47 | 12584 | -2.67 | 1497.50 |     0 |     0 |     0 |  225.31 |    0.00 |    0.00 |     0 | 0.00 || 3.13562 0.77844 -2.98916 70.13447 8.57520 40.63033
  48 | 12510 | -3.62 | 1944.70 |     0 |     0 |     0 |  163.77 |    0.00 |    0.00 |     0 | 0.00 || -2.69242 0.08479 -1.24353 47.27224 64.72026 90.91517
