1AVX	-54.80	-3.62	1.63	-4.04	-27.20	-19.74	-17.63	-16.51	11.50	11.37	13.20	9.48	-3.65	2.16	1.44	-0.49	11.90	20.49	20.69	20.35	-60.17	-22.57	-17.38	-16.12	0.00	18.17	18.80	15.54	-20.57	-8.70	-7.15	-6.55	0.00	8.13	7.27	6.66	0.00	-0.51	-0.52	-0.44	-6.28	-5.78	-2.97	-0.02	-6.79	0.31	1.54	2.80	2808.10	2795.51	2805.25	2769.86	9.75	1.75	5.61	6.16	-3453.90	-3236.50	-3120.11	-2975.08	34.98	18.47	47.77	17.69	7.44	5.52	5.03	4.42	5.45	5.36	59.09	9.46	2.97	5.51	5.93	5.76	3.38	4.69	3.85	3.22	60.17	26.05	24.23	24.99	0.00	24.77	26.48	24.40	5.93	8.44	8.16	7.86	0.00	8.74	8.35	8.06	0.00	0.62	0.62	0.59	5.29	5.80	6.24	5.52	5.92	6.06	6.71	6.68	514.70	818.69	796.82	703.76	5.34	17.44	17.74	17.66	731.80	968.76	923.28	795.85
1AY7	3.29	2.77	8.51	7.81	-16.09	-13.99	-13.80	-13.47	6.72	6.20	6.55	6.83	4.63	3.10	2.08	2.49	18.34	19.56	19.79	19.88	-75.92	-41.38	-25.92	-26.08	51.98	26.42	33.56	29.67	-26.04	-15.44	-11.22	-10.06	18.29	11.52	13.37	11.68	-0.72	-0.45	-0.35	-0.34	2.79	1.75	1.92	2.28	2.81	0.80	3.51	5.03	1979.25	1765.42	1929.34	1942.39	17.71	13.88	11.86	10.71	-2194.70	-1955.53	-2093.25	-2040.74	19.05	11.67	16.55	15.31	6.18	3.56	3.36	3.59	2.61	3.21	3.97	4.01	3.35	4.67	6.13	5.58	1.72	2.51	2.90	2.88	69.91	41.48	34.70	28.90	54.48	28.90	33.29	32.49	13.34	11.10	11.87	9.10	12.44	10.37	10.70	10.09	0.76	0.54	0.52	0.51	4.02	3.63	4.34	4.05	4.62	5.33	6.09	5.46	493.19	356.70	475.19	445.25	8.98	15.56	17.10	14.66	486.03	424.65	554.34	486.42
1BUH	-4.78	-2.24	3.19	5.34	-16.95	-16.29	-15.74	-15.52	4.75	8.94	8.03	7.68	-4.69	3.42	4.00	4.30	19.41	18.24	18.35	18.18	-15.02	-52.21	-40.30	-37.57	87.09	42.87	39.73	39.95	-12.25	-21.52	-15.98	-15.05	22.37	17.36	15.57	14.90	-0.26	-0.36	-0.37	-0.32	2.88	5.60	4.80	2.91	8.08	10.91	9.60	6.18	1798.15	2010.52	2095.62	2148.78	29.47	12.45	9.25	6.88	-1980.95	-2205.87	-2201.63	-2246.92	22.02	21.07	20.93	20.96	3.21	4.30	4.54	4.46	1.25	4.81	7.89	4.53	0.21	5.00	5.42	5.67	3.48	3.49	3.90	3.78	11.22	53.24	40.59	41.63	58.00	42.47	42.16	45.24	2.17	14.05	13.44	12.91	8.98	14.59	13.66	13.95	0.26	0.47	0.56	0.49	1.85	4.22	5.07	5.65	1.65	4.48	6.92	7.47	280.45	529.00	552.70	532.02	9.31	12.67	14.13	15.15	333.35	572.63	595.10	586.76
1BVN	-87.77	-11.37	-5.18	2.08	-31.07	-18.62	-17.43	-16.17	8.11	13.67	8.95	8.04	-10.04	-3.32	0.41	0.90	10.39	15.19	18.97	17.93	-149.06	-17.27	-25.72	-43.95	35.46	26.32	24.73	42.32	-25.22	-6.13	-9.98	-16.67	19.22	9.20	9.80	15.64	-0.45	-0.61	-0.53	-0.39	3.72	-4.48	-1.94	2.63	14.91	6.66	4.16	3.85	4997.00	3598.97	2706.74	2381.22	47.67	5.94	21.12	-2.11	-5212.60	-3931.44	-2873.33	-2514.06	0.00	49.30	15.59	16.79	0.00	5.85	4.66	3.96	0.00	63.82	4.83	4.51	0.00	4.30	4.76	4.57	0.00	5.19	3.82	3.34	0.00	26.15	34.31	41.64	0.00	32.53	31.68	42.51	0.00	7.33	10.20	13.85	0.00	9.35	9.86	12.62	0.00	0.68	0.66	0.54	0.00	6.28	6.31	6.44	0.00	6.30	6.65	5.90	0.00	925.51	717.50	546.13	0.00	16.12	21.81	14.72	0.00	984.28	766.94	588.97
1CLV	-10.27	-5.82	2.76	9.95	-17.87	-14.49	-13.88	-13.80	2.16	6.27	7.30	7.56	-2.93	-2.35	0.59	2.11	11.51	13.55	16.97	18.35	0.00	-3.25	-5.34	-15.04	14.96	14.86	13.70	26.81	0.00	-1.76	-2.55	-5.01	15.93	4.87	4.78	9.96	-0.76	-0.31	-0.44	-0.35	1.20	1.37	-0.91	-4.45	-0.42	2.02	-0.76	0.70	2925.73	2408.55	2171.56	2278.77	-17.51	-20.20	-0.87	-9.58	-3155.93	-2590.69	-2293.72	-2499.74	21.36	12.29	12.58	15.51	5.86	3.75	3.41	3.43	1.51	3.33	4.10	4.16	4.81	3.49	4.23	5.00	3.29	4.25	3.46	3.54	0.00	11.09	13.37	24.04	11.41	26.83	23.62	32.02	0.00	3.73	4.70	6.60	12.54	6.89	7.46	9.22	0.63	0.45	0.56	0.55	3.56	4.78	5.70	5.58	2.33	5.35	7.35	6.40	752.48	621.92	543.49	462.97	9.45	10.08	16.44	16.09	814.99	677.05	545.99	481.38
1D6R	-38.30	-10.81	-3.63	-6.04	-27.13	-17.80	-15.31	-14.13	11.29	8.93	10.18	7.65	1.49	-1.83	-1.05	-2.23	9.82	19.37	19.79	19.58	-45.65	-3.36	-8.63	-7.58	0.00	4.17	9.08	6.32	-3.08	-1.67	-3.28	-3.13	0.00	1.65	3.71	2.64	-1.23	-0.42	-0.37	-0.34	-2.47	-0.09	-0.49	-0.57	-7.69	4.05	1.89	-0.12	2932.10	2819.09	2389.54	2188.62	19.04	-0.65	5.84	0.82	-3409.00	-3196.26	-2584.05	-2393.09	0.00	14.15	43.92	13.77	0.00	4.58	4.08	3.73	0.00	4.16	52.67	4.07	0.00	4.97	5.24	5.65	0.00	4.40	3.64	3.48	0.00	9.43	17.31	15.58	0.00	10.24	16.91	13.58	0.00	3.11	5.07	4.93	0.00	3.43	5.31	4.58	0.00	0.62	0.53	0.50	0.00	5.90	5.15	5.02	0.00	7.35	7.08	7.51	0.00	760.20	567.21	462.99	0.00	9.57	12.67	10.53	0.00	787.81	617.14	517.60
1E6E	-18.17	11.94	15.27	15.23	-16.51	-18.24	-17.45	-17.11	5.09	9.17	9.60	9.04	3.42	7.66	4.87	6.90	17.28	18.64	19.36	18.69	-127.85	-68.97	-64.08	-54.06	43.75	51.82	62.25	54.15	-43.54	-28.60	-26.57	-21.74	12.49	22.46	25.29	21.44	-1.19	-0.41	-0.35	-0.39	7.98	7.84	5.09	4.69	13.83	10.81	9.28	8.85	3877.07	3127.25	2930.06	2632.72	8.88	7.65	-3.01	9.08	-4134.80	-3326.63	-3104.05	-2752.61	24.78	23.52	25.11	20.28	9.02	5.60	4.94	4.48	1.66	7.39	14.95	5.15	2.49	5.68	6.01	6.02	3.35	4.75	4.30	3.37	96.27	59.20	55.17	48.77	36.26	51.65	55.27	47.30	33.92	19.11	17.66	15.43	9.95	18.27	18.53	14.75	0.66	0.57	0.53	0.56	3.11	5.77	6.46	6.32	4.95	7.71	7.56	6.80	522.30	973.97	805.11	717.99	7.15	21.39	23.48	22.73	604.01	1076.94	873.03	758.73
1EAW	-74.42	-5.39	5.39	7.61	-39.18	-17.88	-16.21	-14.24	13.44	9.19	8.67	6.98	-1.44	3.25	3.44	3.56	10.17	15.78	19.22	18.79	-74.89	-21.38	-39.36	-44.74	10.09	21.64	44.54	43.76	-14.12	-12.71	-16.28	-17.43	4.54	8.23	16.32	17.38	0.00	-0.40	-0.40	-0.32	4.94	1.49	1.58	1.90	-0.17	4.75	5.71	5.63	3185.90	2215.13	2018.86	1713.46	16.88	0.69	1.71	-2.41	-3910.60	-2576.44	-2254.95	-1875.73	0.00	19.78	20.65	20.16	0.00	5.85	4.82	3.75	0.00	5.69	11.40	4.35	0.00	5.44	5.32	5.93	0.00	5.55	3.71	3.76	0.00	26.73	38.82	47.21	0.00	36.03	45.20	43.88	0.00	10.63	12.63	14.28	0.00	7.98	12.81	14.92	0.00	0.54	0.54	0.48	0.00	4.53	4.60	3.63	0.00	4.83	5.15	4.47	0.00	713.62	537.42	395.79	0.00	11.91	12.11	15.07	0.00	817.94	622.33	446.10
1EWY	2.85	16.10	23.11	22.73	-17.74	-17.83	-17.55	-16.91	11.80	11.33	10.09	9.00	2.65	7.63	5.98	7.12	14.47	16.21	18.61	18.83	-113.93	-79.11	-59.24	-48.20	89.35	66.84	70.88	59.79	-51.40	-30.09	-22.22	-19.40	22.75	23.98	28.45	25.11	-0.17	-0.51	-0.41	-0.35	6.63	9.38	6.65	5.63	10.82	12.96	12.33	14.57	3294.30	3043.86	2793.26	2744.16	14.41	12.89	4.05	2.03	-3470.50	-3212.32	-2952.23	-2762.69	26.34	29.14	29.92	22.49	4.17	5.41	4.49	4.36	1.78	12.97	18.53	8.66	3.74	5.42	5.79	5.66	3.29	4.88	3.93	3.46	59.84	53.24	54.62	41.52	82.08	60.32	63.86	51.04	11.27	15.19	15.61	13.30	19.31	19.45	21.52	17.57	0.15	0.65	0.58	0.54	3.08	6.14	5.64	4.97	5.92	9.16	8.36	7.48	608.11	821.41	633.58	587.52	16.30	21.93	22.32	24.57	667.00	867.74	683.96	633.01
1EZU	-71.41	1.01	7.15	5.47	-37.51	-18.93	-18.33	-17.74	5.79	10.04	10.75	10.76	-13.27	3.14	4.73	3.36	10.04	18.41	19.45	19.61	-17.54	-25.80	-31.19	-27.09	36.37	28.62	34.39	31.97	-16.75	-10.28	-12.92	-10.60	18.92	11.68	13.49	12.72	-0.69	-0.42	-0.42	-0.42	-3.57	1.10	3.49	5.12	2.30	12.30	13.22	13.38	4816.30	3567.22	3375.43	3342.76	-48.16	-13.99	-2.99	8.41	-5066.80	-3733.50	-3410.58	-3324.62	0.00	20.96	33.26	34.12	0.00	5.56	4.98	4.48	0.00	5.87	32.70	35.55	0.00	7.37	7.18	6.54	0.00	5.64	4.52	3.86	0.00	31.50	33.12	30.67	0.00	31.80	36.28	34.23	0.00	10.35	11.21	9.87	0.00	11.05	11.43	11.36	0.00	0.60	0.57	0.55	0.00	5.76	6.80	7.35	0.00	7.40	8.30	8.39	0.00	1160.80	1046.85	940.87	0.00	22.73	25.58	24.64	0.00	1170.24	1008.23	853.86
